 INPUT STRING:	براحة
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P1W8
      OFFSETS:	35-38
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>iyh
        GLOSS:	what

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P1W9
      OFFSETS:	39-45
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZ~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+exactly

 INPUT STRING:	إنما
     IS_TRANS:	<nmA
        INDEX:	P2W1
      OFFSETS:	1-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~amA_1]
   UNSPLITVOC:	(<in~amA)
          POS:	RESTRIC_PART
          VOC:	<in~amA
        GLOSS:	but rather/indeed

 INPUT STRING:	الأعمال
     IS_TRANS:	Al>EmAl
        INDEX:	P2W2
      OFFSETS:	6-13
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Al>aEomAl)
          POS:	DET+NOUN
          VOC:	Al+>aEomAl
        GLOSS:	the+actions/activities/work

 INPUT STRING:	بالنيات
     IS_TRANS:	bAlnyAt
        INDEX:	P2W3
      OFFSETS:	14-21
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niy~ap_1]
   UNSPLITVOC:	(biAln~iy~At)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	bi+Al+niy~+At
        GLOSS:	with/by+the+intention/purpose/desire+[fem.pl.]

 INPUT STRING:	وإنمالكل
     IS_TRANS:	w<nmAlkl
        INDEX:	P2W4
      OFFSETS:	22-30
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w<nmAlkl)
          POS:	TYPO
          VOC:	w<nmAlkl
        GLOSS:	nogloss

 INPUT STRING:	امرئ
     IS_TRANS:	Amr}
        INDEX:	P2W5
      OFFSETS:	31-35
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aimoru&_1]
   UNSPLITVOC:	(Aimori})
          POS:	NOUN
          VOC:	Aimori}
        GLOSS:	man

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W6
      OFFSETS:	36-38
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	نوى
     IS_TRANS:	nwY
        INDEX:	P2W7
      OFFSETS:	39-42
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawaY_1]
   UNSPLITVOC:	(nawaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	nawaY+(null)
        GLOSS:	intend+he/it

 INPUT STRING:	يااااااااااااااااااااااااااااااارب
     IS_TRANS:	yAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAArb
        INDEX:	P3W1
      OFFSETS:	0-34
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab_1]
   UNSPLITVOC:	(yArab)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab
        GLOSS:	oh+God

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W2
      OFFSETS:	35-37
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	أراد
     IS_TRANS:	>rAd
        INDEX:	P3W3
      OFFSETS:	38-42
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(>arAd)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>arAd+(null)
        GLOSS:	want/desire/intend/be desired/be intended+he/it

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P3W4
      OFFSETS:	43-46
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بسوء
     IS_TRANS:	bsw'
        INDEX:	P3W5
      OFFSETS:	47-51
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suw'_1]
   UNSPLITVOC:	(bisuw')
          POS:	PREP+NOUN
          VOC:	bi+suw'
        GLOSS:	with/by+offense/bad/ill

 INPUT STRING:	فاقسم
     IS_TRANS:	fAqsm
        INDEX:	P3W6
      OFFSETS:	52-57
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qasam_1]
   UNSPLITVOC:	(fAiqsim)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	f+Aiqsim+(null)
        GLOSS:	so+split+you

 INPUT STRING:	ظهره
     IS_TRANS:	Zhrh
        INDEX:	P3W7
      OFFSETS:	58-62
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zahr_1]
   UNSPLITVOC:	(Zahruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Zahr+uh
        GLOSS:	back+his/its

 INPUT STRING:	ودمره
     IS_TRANS:	wdmrh
        INDEX:	P3W8
      OFFSETS:	63-68
       TOKENS:	P3W12-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dam~ar_1]
   UNSPLITVOC:	(widam~iruh)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3MS
          VOC:	wi+dam~ir+(null)+uh
        GLOSS:	and+destroy/wreck/be destroyed/be wrecked+you+it/him

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P3W9
      OFFSETS:	69-73
       TOKENS:	P3W15-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	ياااااااااااااااااااااارب
     IS_TRANS:	yAAAAAAAAAAAAAAAAAAAAAArb
        INDEX:	P4W1
      OFFSETS:	0-25
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab_1]
   UNSPLITVOC:	(yArab)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab
        GLOSS:	oh+God

 INPUT STRING:	نستودعك
     IS_TRANS:	nstwdEk
        INDEX:	P4W2
      OFFSETS:	26-33
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotawdaE_1]
   UNSPLITVOC:	(nisotawdiEak)
          POS:	IV1P+IV+IVSUFF_DO:2MS
          VOC:	ni+sotawdiE+ak
        GLOSS:	we+give+you

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W3
      OFFSETS:	34-37
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	فاحفظها
     IS_TRANS:	fAHfZhA
        INDEX:	P4W4
      OFFSETS:	38-45
       TOKENS:	P4W6-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(fa<iHofaZhA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	fa+<iHofaZ+(null)+hA
        GLOSS:	so+protect+you+she/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W5
      OFFSETS:	46-48
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كيد
     IS_TRANS:	kyd
        INDEX:	P4W6
      OFFSETS:	49-52
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayd_1]
   UNSPLITVOC:	(kayd)
          POS:	NOUN
          VOC:	kayd
        GLOSS:	stratagem/ruse/stratagems/ruses

 INPUT STRING:	الكائدين
     IS_TRANS:	AlkA}dyn
        INDEX:	P4W7
      OFFSETS:	53-61
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kA}id_1]
   UNSPLITVOC:	(AlkA}idiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+kA}id+iyn
        GLOSS:	the+wicked+[masc.pl.]

 INPUT STRING:	ويد
     IS_TRANS:	wyd
        INDEX:	P4W8
      OFFSETS:	62-65
       TOKENS:	P4W12-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(wiyad)
          POS:	CONJ+NOUN
          VOC:	wi+yad
        GLOSS:	and+hand

 INPUT STRING:	المخربين
     IS_TRANS:	Almxrbyn
        INDEX:	P4W9
      OFFSETS:	66-74
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxar~ib_1]
   UNSPLITVOC:	(Almuxar~ibiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+muxar~ib+iyn
        GLOSS:	the+destroying+[masc.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W10
      OFFSETS:	74-75
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W11
      OFFSETS:	75-76
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W12
      OFFSETS:	76-77
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W13
      OFFSETS:	77-78
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W14
      OFFSETS:	78-79
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W15
      OFFSETS:	79-80
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W16
      OFFSETS:	80-81
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W17
      OFFSETS:	81-82
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يااااااااااارب
     IS_TRANS:	yAAAAAAAAAAArb
        INDEX:	P5W1
      OFFSETS:	0-14
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab_1]
   UNSPLITVOC:	(yArab)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab
        GLOSS:	oh+God

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W2
      OFFSETS:	15-17
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W3
      OFFSETS:	18-20
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P5W4
      OFFSETS:	21-24
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	qul+t
        GLOSS:	said/say/be said/say/(for example)+you

 INPUT STRING:	ادخلوها
     IS_TRANS:	AdxlwhA
        INDEX:	P5W5
      OFFSETS:	26-33
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(AidoxuluwhA)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:3FS
          VOC:	Aidoxul+uwA+hA
        GLOSS:	enter/be entered+you+it/them/her

 INPUT STRING:	بسلام
     IS_TRANS:	bslAm
        INDEX:	P5W6
      OFFSETS:	34-39
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(bisalAm)
          POS:	PREP+NOUN
          VOC:	bi+salAm
        GLOSS:	with/by+peace

 INPUT STRING:	آمنين
     IS_TRANS:	|mnyn
        INDEX:	P5W7
      OFFSETS:	40-45
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|min_1]
   UNSPLITVOC:	(|miniyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	|min+iyn
        GLOSS:	peaceful+[masc.pl.]

 INPUT STRING:	اجعلها
     IS_TRANS:	AjElhA
        INDEX:	P5W8
      OFFSETS:	48-54
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaEal_1]
   UNSPLITVOC:	(AjEalhA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	AjEal+(null)+hA
        GLOSS:	make+you+it/them/her

 INPUT STRING:	أمن
     IS_TRANS:	>mn
        INDEX:	P5W9
      OFFSETS:	55-58
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	وسلام
     IS_TRANS:	wslAm
        INDEX:	P5W10
      OFFSETS:	59-64
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(wisalAm)
          POS:	CONJ+NOUN
          VOC:	wi+salAm
        GLOSS:	and+peace

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P5W11
      OFFSETS:	65-68
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P5W12
      OFFSETS:	69-72
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P5W13
      OFFSETS:	73-78
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	واحفظ
     IS_TRANS:	wAHfZ
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(wi<iHofaZ)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+<iHofaZ+(null)
        GLOSS:	and+protect+you

 INPUT STRING:	شعبها
     IS_TRANS:	$EbhA
        INDEX:	P6W2
      OFFSETS:	6-11
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEb_1]
   UNSPLITVOC:	($aEbahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	$aEba+hA
        GLOSS:	people+her/it

 INPUT STRING:	ودورها
     IS_TRANS:	wdwrhA
        INDEX:	P6W3
      OFFSETS:	12-18
       TOKENS:	P6W5-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawr_1]
   UNSPLITVOC:	(widawrahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+dawr+hA
        GLOSS:	and+role/part/roles/parts+its/their/her

 INPUT STRING:	وأرضها
     IS_TRANS:	w>rDhA
        INDEX:	P6W4
      OFFSETS:	19-25
       TOKENS:	P6W8-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arD_1]
   UNSPLITVOC:	(wi>arDhA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+>arD+hA
        GLOSS:	and+land+its/their/her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W5
      OFFSETS:	26-28
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W6
      OFFSETS:	29-31
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	سوء
     IS_TRANS:	sw'
        INDEX:	P6W7
      OFFSETS:	32-35
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suw'_1]
   UNSPLITVOC:	(suw')
          POS:	NOUN
          VOC:	suw'
        GLOSS:	offense/bad/ill

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P6W8
      OFFSETS:	36-37
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وجنبنا
     IS_TRANS:	wjnbnA
        INDEX:	P6W9
      OFFSETS:	38-44
       TOKENS:	P6W15-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jan~ib_1]
   UNSPLITVOC:	(wijan~ibnA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	wi+jan~ib+(null)+nA
        GLOSS:	and+avoid+you+us

 INPUT STRING:	الفتن
     IS_TRANS:	Alftn
        INDEX:	P6W10
      OFFSETS:	45-50
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faton_1]
