 INPUT STRING:	أنا
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المظاهرات
     IS_TRANS:	AlmZAhrAt
        INDEX:	P2W2
      OFFSETS:	4-13
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(AlmuZAharAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muZAhar+At
        GLOSS:	the+demonstrations/rallies+[fem.pl.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P2W3
      OFFSETS:	14-18
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	تحدث
     IS_TRANS:	tHdv
        INDEX:	P2W4
      OFFSETS:	19-23
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(tiHoduv)
          POS:	IV3FS+IV
          VOC:	ti+Hoduv
        GLOSS:	it/they/she+happen

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P2W5
      OFFSETS:	24-27
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(bayon)
          POS:	NOUN
          VOC:	bayon
        GLOSS:	between/among

 INPUT STRING:	الحين
     IS_TRANS:	AlHyn
        INDEX:	P2W6
      OFFSETS:	28-33
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(AlHiyn)
          POS:	DET+NOUN
          VOC:	Al+Hiyn
        GLOSS:	the+time/moment/opportunity/times/opportunities/sometimes/occasionally

 INPUT STRING:	والاخر
     IS_TRANS:	wAlAxr
        INDEX:	P2W7
      OFFSETS:	34-40
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axar_1]
   UNSPLITVOC:	(wiAl|axar)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+|axar
        GLOSS:	and+the+other/another

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W8
      OFFSETS:	41-42
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W9
      OFFSETS:	42-43
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W1
      OFFSETS:	1-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	حوارات
     IS_TRANS:	HwArAt
        INDEX:	P3W2
      OFFSETS:	4-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(HiwArAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HiwAr+At
        GLOSS:	dialogue/discussions/talks+[fem.pl.]

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P3W3
      OFFSETS:	11-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W4
      OFFSETS:	17-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P3W5
      OFFSETS:	20-26
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets

 INPUT STRING:	والاتوبيسات
     IS_TRANS:	wAlAtwbysAt
        INDEX:	P3W6
      OFFSETS:	27-38
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Autuwbiys_1]
   UNSPLITVOC:	(wiAlAutuwbiysAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+Autuwbiys+At
        GLOSS:	and+the+buses+[fem.pl.]

 INPUT STRING:	والتاكسيات
     IS_TRANS:	wAltAksyAt
        INDEX:	P3W7
      OFFSETS:	39-49
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[takiy_1]
   UNSPLITVOC:	(wiAltAksyAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+tAksy+At
        GLOSS:	and+the+taxis+[fem.pl.]

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P3W8
      OFFSETS:	50-54
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	CONJ+PREP
          VOC:	wi+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	القهاوى
     IS_TRANS:	AlqhAwY
        INDEX:	P3W9
      OFFSETS:	55-62
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qahowap_1]
   UNSPLITVOC:	(AlqahAwiy)
          POS:	DET+NOUN
          VOC:	Al+qahAwiy
        GLOSS:	the+cafes

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W10
      OFFSETS:	63-64
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W11
      OFFSETS:	64-65
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W12
      OFFSETS:	65-66
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W1
      OFFSETS:	1-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مقالات
     IS_TRANS:	mqAlAt
        INDEX:	P4W2
      OFFSETS:	4-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqAl_1]
   UNSPLITVOC:	(maqAlAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	maqAl+At
        GLOSS:	articles/essays+[fem.pl.]

 INPUT STRING:	الصحف
     IS_TRANS:	AlSHf
        INDEX:	P4W3
      OFFSETS:	11-16
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyfap_1]
   UNSPLITVOC:	(AlS~uHuf)
          POS:	DET+NOUN
          VOC:	Al+SuHuf
        GLOSS:	the+newspapers

 INPUT STRING:	المستقلة
     IS_TRANS:	Almstqlp
        INDEX:	P4W4
      OFFSETS:	17-25
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqil~_1]
   UNSPLITVOC:	(Almusotaqil~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+musotaqil~+ap
        GLOSS:	the+independent/autonomous+[fem.sg.]

 INPUT STRING:	والمعارضة
     IS_TRANS:	wAlmEArDp
        INDEX:	P4W5
      OFFSETS:	26-35
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAroDap_1]
   UNSPLITVOC:	(wiAlmuEAroDap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+muEAroD+ap
        GLOSS:	and+the+opposition+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W6
      OFFSETS:	36-37
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W7
      OFFSETS:	37-38
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W8
      OFFSETS:	38-39
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W9
      OFFSETS:	39-40
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W1
      OFFSETS:	1-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	التنقل
     IS_TRANS:	Altnql
        INDEX:	P5W2
      OFFSETS:	4-10
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanaq~ul_1]
   UNSPLITVOC:	(Alt~anaq~ul)
          POS:	DET+NOUN
          VOC:	Al+tanaq~ul
        GLOSS:	the+transportation/transfer/movement

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P5W3
      OFFSETS:	11-14
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(bayon)
          POS:	NOUN
          VOC:	bayon
        GLOSS:	between/among

 INPUT STRING:	منتديات
     IS_TRANS:	mntdyAt
        INDEX:	P5W4
      OFFSETS:	15-22
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munotaday_1]
   UNSPLITVOC:	(munotadayAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	munotaday+At
        GLOSS:	conferences/fairs/assemblies+[fem.pl.]

 INPUT STRING:	النت
     IS_TRANS:	Alnt
        INDEX:	P5W5
      OFFSETS:	23-27
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nit~_1]
   UNSPLITVOC:	(Aln~it~)
          POS:	DET+NOUN
          VOC:	Al+nit~
        GLOSS:	the+net

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P5W6
      OFFSETS:	28-30
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W7
      OFFSETS:	31-33
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ازمات
     IS_TRANS:	AzmAt
        INDEX:	P5W8
      OFFSETS:	34-39
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azomap_1]
   UNSPLITVOC:	(>azamAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	>azam+At
        GLOSS:	crises+[fem.pl.]

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P5W9
      OFFSETS:	40-44
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	regime/government

 INPUT STRING:	حاكم
     IS_TRANS:	HAkm
        INDEX:	P5W10
      OFFSETS:	45-49
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(HAkim)
          POS:	ADJ
          VOC:	HAkim
        GLOSS:	ruling

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P5W11
      OFFSETS:	50-53
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lay~is_1]
   UNSPLITVOC:	(lay~is)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	lay~is+(null)
        GLOSS:	not be+he/it [verb]

 INPUT STRING:	لديه
     IS_TRANS:	ldyh
        INDEX:	P5W12
      OFFSETS:	54-58
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladayhi)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	ladaY+hi
        GLOSS:	with/by+it/him

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P5W13
      OFFSETS:	59-63
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadiyd_1]
   UNSPLITVOC:	(jadiyd)
          POS:	ADJ
          VOC:	jadiyd
        GLOSS:	new/modern

 INPUT STRING:	ولديه
     IS_TRANS:	wldyh
        INDEX:	P5W14
      OFFSETS:	64-69
       TOKENS:	P5W15-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(waladayhi)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wa+ladaY+hi
        GLOSS:	and+with/by+it/him

 INPUT STRING:	القديم
     IS_TRANS:	Alqdym
        INDEX:	P5W15
      OFFSETS:	70-76
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadiym_1]
   UNSPLITVOC:	(Alqadiym)
          POS:	DET+ADJ
          VOC:	Al+qadiym
        GLOSS:	the+old/ancient/old/ancients

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P5W16
      OFFSETS:	77-80
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	واتضح
     IS_TRANS:	wAtDH
        INDEX:	P5W17
      OFFSETS:	81-86
       TOKENS:	P5W20-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aDaH_1]
   UNSPLITVOC:	(wiAit~aDaH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+Ait~aDaH+(null)
        GLOSS:	and+be clear+he/it

 INPUT STRING:	خضوعه
     IS_TRANS:	xDwEh
        INDEX:	P5W18
      OFFSETS:	87-92
       TOKENS:	P5W22-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xuDuwE_1]
   UNSPLITVOC:	(xDwEh)
          POS:	NOUN.VN+POSS_PRON_3MS
          VOC:	xDwE+uh
        GLOSS:	surrender+his/its

 INPUT STRING:	لقوى
     IS_TRANS:	lqwY
        INDEX:	P5W19
      OFFSETS:	93-97
       TOKENS:	P5W24-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(liquwaY)
          POS:	PREP+NOUN
          VOC:	li+quwaY
        GLOSS:	for/to+power/forces

 INPUT STRING:	خارجية
     IS_TRANS:	xArjyp
        INDEX:	P5W20
      OFFSETS:	98-104
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArijiy_1]
   UNSPLITVOC:	(xArijiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xArijiy~+ap
        GLOSS:	foreign/outside/outer+[fem.sg.]

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P6W1
      OFFSETS:	1-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wamin)
          POS:	CONJ+PREP
          VOC:	wa+min
        GLOSS:	and+from

 INPUT STRING:	أزمة
     IS_TRANS:	>zmp
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azomap_1]
   UNSPLITVOC:	(>azomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>azom+ap
        GLOSS:	crisis/crises+[fem.sg.]

 INPUT STRING:	القضاة
     IS_TRANS:	AlqDAp
        INDEX:	P6W3
      OFFSETS:	10-16
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(AlquDAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+quDA+ap
        GLOSS:	the+judges/magistrates+[fem.sg.]

 INPUT STRING:	ومطالبهم
     IS_TRANS:	wmTAlbhm
        INDEX:	P6W4
      OFFSETS:	17-25
       TOKENS:	P6W5-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maTlab_1]
   UNSPLITVOC:	(wimTAlbhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+mTAlb+hum
        GLOSS:	and+requests+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W5
      OFFSETS:	26-27
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W6
      OFFSETS:	27-28
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W7
      OFFSETS:	28-29
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W8
      OFFSETS:	29-30
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W9
      OFFSETS:	30-31
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P7W1
      OFFSETS:	1-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
