 INPUT STRING:	حملة
        LEMMA:	[Huriy~ap_1]
   UNSPLITVOC:	(AlHuriy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+Huriy~+ap
        GLOSS:	the+Hurria+[fem.sg.]

 INPUT STRING:	وسفينة
     IS_TRANS:	wsfynp
        INDEX:	P1W10
      OFFSETS:	58-64
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safiynap_1]
   UNSPLITVOC:	(wisafiynap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+safiyn+ap
        GLOSS:	and+ship/vessel/ships/vessels+[fem.sg.]

 INPUT STRING:	مرمره
     IS_TRANS:	mrmrh
        INDEX:	P1W11
      OFFSETS:	65-70
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maromarap_1]
   UNSPLITVOC:	(maromarap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	maromar+ap
        GLOSS:	Marmara+[fem.sg.]

 INPUT STRING:	المتجه
     IS_TRANS:	Almtjh
        INDEX:	P1W12
      OFFSETS:	71-77
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mit~ijih_1]
   UNSPLITVOC:	(Almit~ijih)
          POS:	DET+NOUN.VN
          VOC:	Al+mit~ijih
        GLOSS:	the+directed/aimed

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P1W13
      OFFSETS:	78-81
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	غزه
     IS_TRANS:	gzh
        INDEX:	P1W14
      OFFSETS:	82-85
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاخر
     IS_TRANS:	AlAxr
        INDEX:	P2W2
      OFFSETS:	3-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(Al|xir)
          POS:	DET+ADJ_COMP
          VOC:	Al+|xir
        GLOSS:	the+last/end

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W3
      OFFSETS:	9-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	not

 INPUT STRING:	عاوزين
     IS_TRANS:	EAwzyn
        INDEX:	P2W4
      OFFSETS:	12-18
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwoziyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAwoz+iyn
        GLOSS:	wanting/needing+[masc.pl.]

 INPUT STRING:	مظاهرات
     IS_TRANS:	mZAhrAt
        INDEX:	P2W5
      OFFSETS:	19-26
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(muZAharAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muZAhar+At
        GLOSS:	demonstrations/rallies+[fem.pl.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W6
      OFFSETS:	27-30
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+not

 INPUT STRING:	عاوزين
     IS_TRANS:	EAwzyn
        INDEX:	P2W7
      OFFSETS:	31-37
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwoziyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAwoz+iyn
        GLOSS:	wanting/needing+[masc.pl.]

 INPUT STRING:	شتايم
     IS_TRANS:	$tAym
        INDEX:	P2W8
      OFFSETS:	38-43
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$itiymap_1]
   UNSPLITVOC:	($atAyim)
          POS:	NOUN
          VOC:	$atAyim
        GLOSS:	insults/invectives

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W9
      OFFSETS:	44-47
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+not

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P2W10
      OFFSETS:	48-50
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P2W11
      OFFSETS:	51-55
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	القصه
     IS_TRANS:	AlqSh
        INDEX:	P3W2
      OFFSETS:	3-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiS~ap_1]
   UNSPLITVOC:	(AlqiS~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qiS~+ap
        GLOSS:	the+story/stories+[fem.sg.]

 INPUT STRING:	راسل
     IS_TRANS:	rAsl
        INDEX:	P3W3
      OFFSETS:	9-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAsil_1]
   UNSPLITVOC:	(rAsil)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	rAsil+(null)
        GLOSS:	mail/correspond+you

 INPUT STRING:	صحابك
     IS_TRANS:	SHAbk
        INDEX:	P3W4
      OFFSETS:	14-19
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SuHAbak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	SuHAb+ak
        GLOSS:	friend/companion/friends/companions+your

 INPUT STRING:	بره
     IS_TRANS:	brh
        INDEX:	P3W5
      OFFSETS:	20-23
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bar~ah_1]
   UNSPLITVOC:	(bar~ah)
          POS:	NOUN
          VOC:	bar~ah
        GLOSS:	abroad/outside

 INPUT STRING:	وابعتلهم
     IS_TRANS:	wAbEtlhm
        INDEX:	P3W6
      OFFSETS:	24-32
       TOKENS:	P3W7-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(wiAiboEat_luhum)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+PREP+PRON_3P
          VOC:	wi+AiboEat+(null)+li+hum
        GLOSS:	and+send+you+to/for+they

 INPUT STRING:	لينك
     IS_TRANS:	lynk
        INDEX:	P3W7
      OFFSETS:	33-37
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lynk)
          POS:	FOREIGN
          VOC:	lynk
        GLOSS:	nogloss

 INPUT STRING:	اليوتيوب
     IS_TRANS:	Alywtywb
        INDEX:	P3W8
      OFFSETS:	38-46
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alywtywb)
          POS:	FOREIGN
          VOC:	Alywtywb
        GLOSS:	nogloss

 INPUT STRING:	ابعت
     IS_TRANS:	AbEt
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(AiboEat)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	AiboEat+(null)
        GLOSS:	send+you

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P4W2
      OFFSETS:	5-8
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all/entire/every/whole

 INPUT STRING:	صحابك
     IS_TRANS:	SHAbk
        INDEX:	P4W3
      OFFSETS:	9-14
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SuHAbak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	SuHAb+ak
        GLOSS:	friend/companion/friends/companions+your

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P4W4
      OFFSETS:	15-18
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الايميلات
     IS_TRANS:	AlAymylAt
        INDEX:	P4W5
      OFFSETS:	19-28
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iymiyl_1]
   UNSPLITVOC:	(Al<iymiylAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<iymiyl+At
        GLOSS:	the+E-mail+[fem.pl.]

 INPUT STRING:	دلوقتي
     IS_TRANS:	dlwqty
        INDEX:	P4W6
      OFFSETS:	29-35
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	ولمده
     IS_TRANS:	wlmdh
        INDEX:	P4W7
      OFFSETS:	36-41
       TOKENS:	P4W9-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mud~ap_1]
   UNSPLITVOC:	(wilimud~ap)
          POS:	CONJ+PREP+NOUN+NSUFF_FEM_SG
          VOC:	wi+li+mud~+ap
        GLOSS:	and+for/to+period of time/interval+[fem.sg.]

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P4W8
      OFFSETS:	42-43
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[3_1]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P4W9
      OFFSETS:	44-48
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(>ay~Am)
          POS:	NOUN
          VOC:	>ay~Am
        GLOSS:	today/some day/ever/days

 INPUT STRING:	لينك
     IS_TRANS:	lynk
        INDEX:	P4W10
      OFFSETS:	49-53
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lynk)
          POS:	FOREIGN
          VOC:	lynk
        GLOSS:	nogloss

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P4W11
      OFFSETS:	54-61
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W12
      OFFSETS:	62-64
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مزيكا
     IS_TRANS:	mzykA
        INDEX:	P4W13
      OFFSETS:	65-70
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maz~iykA_1]
   UNSPLITVOC:	(maz~iykA)
          POS:	NOUN_PROP
          VOC:	maz~iykA
        GLOSS:	Mazzika/Music

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P4W14
      OFFSETS:	71-75
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	يفهمو
     IS_TRANS:	yfhmw
        INDEX:	P4W15
      OFFSETS:	76-81
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(yifohamuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+foham+uwA
        GLOSS:	they+understand+we

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P4W16
      OFFSETS:	82-89
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P4W17
      OFFSETS:	90-92
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	لينك
     IS_TRANS:	lynk
        INDEX:	P4W18
      OFFSETS:	93-97
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lynk)
          POS:	FOREIGN
          VOC:	lynk
        GLOSS:	nogloss

 INPUT STRING:	اليوتيوب
     IS_TRANS:	Alywtywb
        INDEX:	P4W19
      OFFSETS:	98-106
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alywtywb)
          POS:	FOREIGN
          VOC:	Alywtywb
        GLOSS:	nogloss

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P4W20
      OFFSETS:	107-110
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P4W21
      OFFSETS:	111-114
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	direct/directly/length/height/lengths/heights

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W22
      OFFSETS:	115-117
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هتفرق
     IS_TRANS:	htfrq
        INDEX:	P4W23
      OFFSETS:	118-123
       TOKENS:	P4W28-P4W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraq_1]
   UNSPLITVOC:	(Hatiforiq)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+foriq
        GLOSS:	will+it/they/she+matter/separate/differentiate

 INPUT STRING:	افضحوووووهم
     IS_TRANS:	AfDHwwwwwhm
        INDEX:	P5W1
      OFFSETS:	0-11
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AfDHwwwwwhm)
          POS:	NO_FUNC
          VOC:	AfDHwwwwwhm
        GLOSS:	nogloss

 INPUT STRING:	إسرائيل
     IS_TRANS:	<srA}yl
        INDEX:	P6W1
      OFFSETS:	0-7
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	ورم
     IS_TRANS:	wrm
        INDEX:	P6W2
      OFFSETS:	8-11
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waram_1]
   UNSPLITVOC:	(waram)
          POS:	NOUN
          VOC:	waram
        GLOSS:	tumor/swelling

 INPUT STRING:	سرطانى
     IS_TRANS:	srTAnY
        INDEX:	P6W3
      OFFSETS:	12-18
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraTAniy_1]
   UNSPLITVOC:	(saraTAniy)
          POS:	ADJ
          VOC:	saraTAniy
        GLOSS:	cancerous/cancer-related

 INPUT STRING:	خبيث
     IS_TRANS:	xbyv
        INDEX:	P6W4
      OFFSETS:	19-23
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabiyv_1]
   UNSPLITVOC:	(xabiyv)
          POS:	ADJ
          VOC:	xabiyv
        GLOSS:	malicious/malignant

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W5
      OFFSETS:	24-26
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	جسد
     IS_TRANS:	jsd
        INDEX:	P6W6
      OFFSETS:	27-30
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jasad_1]
   UNSPLITVOC:	(jasad)
          POS:	NOUN
          VOC:	jasad
        GLOSS:	body/bodies

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P6W7
      OFFSETS:	31-36
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
