 INPUT STRING:	هذا
   UNSPLITVOC:	(misAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	misAH+ap
        GLOSS:	surface/space/land/terrain+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W20
      OFFSETS:	103-106
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	2.5
     IS_TRANS:	2.5
        INDEX:	P2W21
      OFFSETS:	107-110
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2.5)
          POS:	NOUN_NUM
          VOC:	2.5
        GLOSS:	2.5

 INPUT STRING:	مليون
     IS_TRANS:	mlywn
        INDEX:	P2W22
      OFFSETS:	111-116
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miloyawon_1]
   UNSPLITVOC:	(miloyawon)
          POS:	NOUN_NUM
          VOC:	miloyawon
        GLOSS:	million

 INPUT STRING:	كم
     IS_TRANS:	km
        INDEX:	P2W23
      OFFSETS:	117-119
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[km_1]
   UNSPLITVOC:	(km)
          POS:	ABBREV
          VOC:	km
        GLOSS:	kilometre

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P2W24
      OFFSETS:	119-120
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W25
      OFFSETS:	120-121
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ويبلغ
     IS_TRANS:	wyblg
        INDEX:	P2W26
      OFFSETS:	122-127
       TOKENS:	P2W29-P2W30
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balag-u_1]
   UNSPLITVOC:	(wayaboluga)
          POS:	CONJ+IV3MS+IV+IVSUFF_MOOD:S
          VOC:	wa+ya+bolug+a
        GLOSS:	and+he/it+reach/attain+[sub.]

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P2W27
      OFFSETS:	128-131
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	سكانه
     IS_TRANS:	skAnh
        INDEX:	P2W28
      OFFSETS:	132-137
       TOKENS:	P2W32-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(suk~Anuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	suk~An+uh
        GLOSS:	residents/inhabitants+his/its

 INPUT STRING:	40.2
     IS_TRANS:	40.2
        INDEX:	P2W29
      OFFSETS:	138-142
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(40.2)
          POS:	NOUN_NUM
          VOC:	40.2
        GLOSS:	40.2

 INPUT STRING:	مليون
     IS_TRANS:	mlywn
        INDEX:	P2W30
      OFFSETS:	143-148
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miloyawon_1]
   UNSPLITVOC:	(miloyawon)
          POS:	NOUN_NUM
          VOC:	miloyawon
        GLOSS:	million

 INPUT STRING:	نسمة
     IS_TRANS:	nsmp
        INDEX:	P2W31
      OFFSETS:	149-153
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nasamap_1]
   UNSPLITVOC:	(nasamap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nasam+ap
        GLOSS:	persons/population+[fem.sg.]

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P2W32
      OFFSETS:	155-158
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	NOUN
          VOC:	EAm
        GLOSS:	year/years

 INPUT STRING:	2008
     IS_TRANS:	2008
        INDEX:	P2W33
      OFFSETS:	159-163
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2008)
          POS:	NOUN_NUM
          VOC:	2008
        GLOSS:	2008

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W34
      OFFSETS:	164-165
       TOKENS:	P2W39-P2W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P2W35
      OFFSETS:	166-169
       TOKENS:	P2W40-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+he/it

 INPUT STRING:	يتحكم
     IS_TRANS:	ytHkm
        INDEX:	P2W36
      OFFSETS:	170-175
       TOKENS:	P2W42-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHakam_1]
   UNSPLITVOC:	(yitoHikim)
          POS:	IV3MS+IV
          VOC:	yi+toHikim
        GLOSS:	he/it+control/judge

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W37
      OFFSETS:	176-178
       TOKENS:	P2W43-P2W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	منابع
     IS_TRANS:	mnAbE
        INDEX:	P2W38
      OFFSETS:	179-184
       TOKENS:	P2W44-P2W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manobaE_1]
   UNSPLITVOC:	(manAbiE)
          POS:	NOUN
          VOC:	manAbiE
        GLOSS:	sources/springs

 INPUT STRING:	النيل
     IS_TRANS:	Alnyl
        INDEX:	P2W39
      OFFSETS:	185-190
       TOKENS:	P2W45-P2W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niyl_1]
   UNSPLITVOC:	(Aln~iyl)
          POS:	DET+NOUN_PROP
          VOC:	Al+niyl
        GLOSS:	the+Nile

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P2W40
      OFFSETS:	191-195
       TOKENS:	P2W46-P2W46
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	تمثِّل
     IS_TRANS:	tmv~il
        INDEX:	P2W41
      OFFSETS:	196-202
       TOKENS:	P2W47-P2W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mv~al_1]
   UNSPLITVOC:	(tmv~il)
          POS:	IV3FS+IV
          VOC:	t+mv~il
        GLOSS:	it/she+represent/constitute/act

 INPUT STRING:	شريان
     IS_TRANS:	$ryAn
        INDEX:	P2W42
      OFFSETS:	203-208
       TOKENS:	P2W48-P2W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroyAn_1]
   UNSPLITVOC:	($uroyAn)
          POS:	NOUN
          VOC:	$uroyAn
        GLOSS:	artery

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P2W43
      OFFSETS:	209-215
       TOKENS:	P2W49-P2W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN
          VOC:	Al+HayAp
        GLOSS:	the+life/lives

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P2W44
      OFFSETS:	216-220
       TOKENS:	P2W50-P2W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(limiSor)
          POS:	PREP+NOUN_PROP
          VOC:	li+miSor
        GLOSS:	for/to+Egypt

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P2W45
      OFFSETS:	221-224
       TOKENS:	P2W52-P2W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wamin)
          POS:	CONJ+PREP
          VOC:	wa+min
        GLOSS:	and+from

 INPUT STRING:	بعدها
     IS_TRANS:	bEdhA
        INDEX:	P2W46
      OFFSETS:	225-230
       TOKENS:	P2W54-P2W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	baEod+hA
        GLOSS:	after+its/their/her

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P2W47
      OFFSETS:	231-232
       TOKENS:	P2W56-P2W56
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P2W48
      OFFSETS:	233-236
       TOKENS:	P2W57-P2W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamA_1]
   UNSPLITVOC:	(kamA)
          POS:	CONJ
          VOC:	kamA
        GLOSS:	and/as/also

 INPUT STRING:	يريدون
     IS_TRANS:	yrydwn
        INDEX:	P2W49
      OFFSETS:	237-243
       TOKENS:	P2W58-P2W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAda_1]
   UNSPLITVOC:	(yuriyduwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+riyd+uwn
        GLOSS:	they (people)+want/desire/intend+[masc.pl.]

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P2W50
      OFFSETS:	244-245
       TOKENS:	P2W59-P2W59
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	إسرائيل
     IS_TRANS:	<srA}yl
        INDEX:	P2W51
      OFFSETS:	246-253
       TOKENS:	P2W60-P2W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisorA}iyl_1]
   UNSPLITVOC:	(AisorA}iyl)
          POS:	NOUN_PROP
          VOC:	AisorA}iyl
        GLOSS:	Israel

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W52
      OFFSETS:	253-254
       TOKENS:	P2W61-P2W61
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W2
      OFFSETS:	4-6
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P3W3
      OFFSETS:	7-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	دفع
     IS_TRANS:	dfE
        INDEX:	P3W4
      OFFSETS:	12-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dafaE-a_1]
   UNSPLITVOC:	(dafaEa)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	dafaE+a
        GLOSS:	push/motivate/pay+he/it [verb]

 INPUT STRING:	الغرب
     IS_TRANS:	Algrb
        INDEX:	P3W5
      OFFSETS:	16-21
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garob_1]
   UNSPLITVOC:	(Algarob)
          POS:	DET+NOUN
          VOC:	Al+garob
        GLOSS:	the+west/West

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P3W6
