 INPUT STRING:	قرر
        INDEX:	P1W10
      OFFSETS:	55-59
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(bisabab)
          POS:	PREP+NOUN
          VOC:	bi+sabab
        GLOSS:	with/by+reason/cause/because of/due to

 INPUT STRING:	مجزرة
     IS_TRANS:	mjzrp
        INDEX:	P1W11
      OFFSETS:	60-65
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majozarap_1]
   UNSPLITVOC:	(majozarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	majozar+ap
        GLOSS:	massacre/slaughter+[fem.sg.]

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P1W12
      OFFSETS:	66-73
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Port Said

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P1W13
      OFFSETS:	74-78
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	that

 INPUT STRING:	راح
     IS_TRANS:	rAH
        INDEX:	P1W14
      OFFSETS:	79-82
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rAH+(null)
        GLOSS:	go/leave+he/it

 INPUT STRING:	ضحيتها
     IS_TRANS:	DHythA
        INDEX:	P1W15
      OFFSETS:	83-89
       TOKENS:	P1W16-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(DaHiy~athA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	DaHiy~+at+hA
        GLOSS:	victim+[fem.sg.]+its/their/her

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W16
      OFFSETS:	90-92
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	يزيد
     IS_TRANS:	yzyd
        INDEX:	P1W17
      OFFSETS:	93-97
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAd_1]
   UNSPLITVOC:	(yaziyd)
          POS:	IV3MS+IV
          VOC:	ya+ziyd
        GLOSS:	he/it+augment

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W18
      OFFSETS:	98-100
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	73
     IS_TRANS:	73
        INDEX:	P1W19
      OFFSETS:	101-103
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(73)
          POS:	NOUN_NUM
          VOC:	73
        GLOSS:	73

 INPUT STRING:	قتيل
     IS_TRANS:	qtyl
        INDEX:	P1W20
      OFFSETS:	104-108
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatiyl_1]
   UNSPLITVOC:	(qatiyl)
          POS:	NOUN
          VOC:	qatiyl
        GLOSS:	killed/ murdered

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W21
      OFFSETS:	108-109
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وأكد
     IS_TRANS:	w>kd
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~id_1]
   UNSPLITVOC:	(wi>ak~id)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>ak~id+(null)
        GLOSS:	and+ascetain/assure+he/it

 INPUT STRING:	حازم
     IS_TRANS:	HAzm
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAzim_1]
   UNSPLITVOC:	(HAzim)
          POS:	NOUN_PROP
          VOC:	HAzim
        GLOSS:	Hazim

 INPUT STRING:	الحديدى
     IS_TRANS:	AlHdydY
        INDEX:	P2W3
      OFFSETS:	10-17
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiydiy_1]
   UNSPLITVOC:	(AlHadiydiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Hadiydiy
        GLOSS:	the+Hadidi

 INPUT STRING:	مدير
     IS_TRANS:	mdyr
        INDEX:	P2W4
      OFFSETS:	18-22
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(mudiyr)
          POS:	NOUN
          VOC:	mudiyr
        GLOSS:	director/manager/chief/directors/managers

 INPUT STRING:	أعمال
     IS_TRANS:	>EmAl
        INDEX:	P2W5
      OFFSETS:	23-28
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(>aEomAl)
          POS:	NOUN
          VOC:	>aEomAl
        GLOSS:	actions/activities/work

 INPUT STRING:	بركات
     IS_TRANS:	brkAt
        INDEX:	P2W6
      OFFSETS:	29-34
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barakap_1]
   UNSPLITVOC:	(barakAt)
          POS:	NOUN_PROP+NSUFF_FEM_PL
          VOC:	barak+At
        GLOSS:	Barakaat/Barakat+[fem.pl.]

 INPUT STRING:	خلال
     IS_TRANS:	xlAl
        INDEX:	P2W7
      OFFSETS:	35-39
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAl_1]
   UNSPLITVOC:	(xilAl)
          POS:	NOUN
          VOC:	xilAl
        GLOSS:	during/through/(by) means (of)/via/through

 INPUT STRING:	إتصال
     IS_TRANS:	<tSAl
        INDEX:	P2W8
      OFFSETS:	40-45
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~iSAl_1]
   UNSPLITVOC:	(Ait~iSAl)
          POS:	NOUN
          VOC:	Ait~iSAl
        GLOSS:	contact/communication

 INPUT STRING:	هاتفى
     IS_TRANS:	hAtfY
        INDEX:	P2W9
      OFFSETS:	46-51
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAtifiy_1]
   UNSPLITVOC:	(hAtifiy)
          POS:	ADJ
          VOC:	hAtifiy
        GLOSS:	telephone/telephonic

 INPUT STRING:	بـ
     IS_TRANS:	b_
        INDEX:	P2W10
      OFFSETS:	52-54
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[b_1]
   UNSPLITVOC:	(bi)
          POS:	PREP
          VOC:	bi
        GLOSS:	with

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P2W11
      OFFSETS:	69-71
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اللاعب
     IS_TRANS:	AllAEb
        INDEX:	P2W12
      OFFSETS:	72-78
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAEib_1]
   UNSPLITVOC:	(AllAEib)
          POS:	DET+NOUN
          VOC:	Al+lAEib
        GLOSS:	the+player/athlete

 INPUT STRING:	مصمم
     IS_TRANS:	mSmm
        INDEX:	P2W13
      OFFSETS:	79-83
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSam~im_1]
   UNSPLITVOC:	(miSam~im)
          POS:	ADJ
          VOC:	miSam~im
        GLOSS:	determined/resolute

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W14
      OFFSETS:	84-87
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قراره
     IS_TRANS:	qrArh
        INDEX:	P2W15
      OFFSETS:	88-93
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(qarAruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	qarAr+uh
        GLOSS:	decision/resolution+his/its

 INPUT STRING:	وأنه
     IS_TRANS:	w>nh
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~uh)
          POS:	CONJ+SUB_CONJ+PRON_3MS
          VOC:	wi+<in~+uh
        GLOSS:	and+that+he/it

 INPUT STRING:	سيبلغ
     IS_TRANS:	syblg
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bal~ag_1]
   UNSPLITVOC:	(sayubal~igu)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_MOOD:I
          VOC:	sa+yu+bal~ig+u
        GLOSS:	will+he/it+communicate/convey+[ind.]

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P3W3
      OFFSETS:	11-13
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with+it/him

 INPUT STRING:	مانويل
     IS_TRANS:	mAnwyl
        INDEX:	P3W4
      OFFSETS:	14-20
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAnuwiyl_1]
   UNSPLITVOC:	(mAnuwiyl)
          POS:	NOUN_PROP
          VOC:	mAnuwiyl
        GLOSS:	Manuel

 INPUT STRING:	جوزيه
     IS_TRANS:	jwzyh
        INDEX:	P3W5
      OFFSETS:	21-26
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juwziyh_1]
   UNSPLITVOC:	(juwziyh)
          POS:	NOUN_PROP
          VOC:	juwziyh
        GLOSS:	Jose

 INPUT STRING:	المدير
     IS_TRANS:	Almdyr
        INDEX:	P3W6
      OFFSETS:	27-33
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(Almudiyr)
          POS:	DET+NOUN
          VOC:	Al+mudiyr
        GLOSS:	the+director/manager/chief/directors/managers

 INPUT STRING:	الفنى
     IS_TRANS:	AlfnY
        INDEX:	P3W7
      OFFSETS:	34-39
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fan~iy_1]
   UNSPLITVOC:	(Alfan~iy)
          POS:	DET+ADJ
          VOC:	Al+fan~iy
        GLOSS:	the+technical/artistic

 INPUT STRING:	للأهلى
     IS_TRANS:	ll>hlY
        INDEX:	P3W8
      OFFSETS:	40-46
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aholiy_2]
   UNSPLITVOC:	(lil>aholiy)
          POS:	PREP+DET+NOUN_PROP
          VOC:	li+Al+>aholiy
        GLOSS:	to/for+the+Ahly/Ahli

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W9
      OFFSETS:	47-49
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P3W10
      OFFSETS:	50-53
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	moments/times

 INPUT STRING:	لاحق
     IS_TRANS:	lAHq
        INDEX:	P3W11
      OFFSETS:	54-58
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAHiq_1]
   UNSPLITVOC:	(lAHiq)
          POS:	ADJ
          VOC:	lAHiq
        GLOSS:	later/afterwards/soon

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W12
      OFFSETS:	59-61
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P3W13
      OFFSETS:	62-65
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	الأحد
     IS_TRANS:	Al>Hd
        INDEX:	P3W14
      OFFSETS:	66-71
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(Al>aHad)
          POS:	DET+NOUN
          VOC:	Al+>aHad
        GLOSS:	the+Sunday/Sundays

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W15
      OFFSETS:	71-72
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وفى
     IS_TRANS:	wfY
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	النهاية
     IS_TRANS:	AlnhAyp
        INDEX:	P4W2
      OFFSETS:	4-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nihAyap_1]
   UNSPLITVOC:	(Aln~ihAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nihAy+ap
        GLOSS:	the+end/termination+[fem.sg.]

 INPUT STRING:	ناشد
     IS_TRANS:	nA$d
        INDEX:	P4W3
      OFFSETS:	12-16
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA$id_1]
   UNSPLITVOC:	(nA$id)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	nA$id+(null)
        GLOSS:	urge/implore+he/it

 INPUT STRING:	الحديدى
     IS_TRANS:	AlHdydY
        INDEX:	P4W4
      OFFSETS:	17-24
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiydiy_1]
   UNSPLITVOC:	(AlHadiydiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Hadiydiy
        GLOSS:	the+Hadidi

 INPUT STRING:	جماهير
     IS_TRANS:	jmAhyr
        INDEX:	P4W5
      OFFSETS:	25-31
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwr_1]
   UNSPLITVOC:	(jamAhiyr)
          POS:	NOUN
          VOC:	jamAhiyr
        GLOSS:	masses

 INPUT STRING:	الكرة
     IS_TRANS:	Alkrp
        INDEX:	P4W6
      OFFSETS:	32-37
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurap_1]
   UNSPLITVOC:	(Alkurap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kur+ap
        GLOSS:	the+ball/globe/sphere/balls/globes/spheres/soccer/football+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P4W7
      OFFSETS:	38-45
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	بمختلف
     IS_TRANS:	bmxtlf
        INDEX:	P4W8
      OFFSETS:	46-52
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxotalif_1]
   UNSPLITVOC:	(bimuxotalif)
          POS:	PREP+NOUN
          VOC:	bi+muxotalif
        GLOSS:	with/by+different/various

 INPUT STRING:	ميولها
     IS_TRANS:	mywlhA
        INDEX:	P4W9
      OFFSETS:	53-59
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mayl_1]
   UNSPLITVOC:	(miyuwlhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	miyuwl+hA
        GLOSS:	inclination/tendency/sympathy/inclination/tendencies/sympathies+its/their/her

 INPUT STRING:	بالوقوف
     IS_TRANS:	bAlwqwf
        INDEX:	P4W10
      OFFSETS:	60-67
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuquwf_1]
   UNSPLITVOC:	(biAlwuquwf)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+wuquwf
        GLOSS:	with/by+the+standing/stopping/halting

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P4W11
      OFFSETS:	68-71
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	جانب
     IS_TRANS:	jAnb
        INDEX:	P4W12
      OFFSETS:	72-76
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAnib_1]
   UNSPLITVOC:	(jAnib)
          POS:	NOUN
          VOC:	jAnib
        GLOSS:	side/aspect/next /beside/sides/aspects

 INPUT STRING:	بركات
     IS_TRANS:	brkAt
        INDEX:	P4W13
      OFFSETS:	77-82
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barakap_1]
   UNSPLITVOC:	(barakAt)
          POS:	NOUN_PROP+NSUFF_FEM_PL
          VOC:	barak+At
