 INPUT STRING:	الرسالة
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruSASap_1]
   UNSPLITVOC:	(ruSAS)
          POS:	NOUN
          VOC:	ruSAS
        GLOSS:	lead

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W7
      OFFSETS:	34-35
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W8
      OFFSETS:	35-36
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بتبعتها
     IS_TRANS:	btbEthA
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(bitiboEathA)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:3FS
          VOC:	bi+ti+boEat+hA
        GLOSS:	[present-tense]+it/they/she+send+it/them/her

 INPUT STRING:	إنسانة
     IS_TRANS:	<nsAnp
        INDEX:	P2W2
      OFFSETS:	8-14
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(<inosAnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<inosAn+ap
        GLOSS:	human being/human beings+[fem.sg.]

 INPUT STRING:	آلية
     IS_TRANS:	|lyp
        INDEX:	P2W3
      OFFSETS:	15-19
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|liy_1]
   UNSPLITVOC:	(|liy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	|liy~+ap
        GLOSS:	mechanical/automatic+[fem.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P2W4
      OFFSETS:	20-23
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	يحصل
     IS_TRANS:	yHSl
        INDEX:	P2W5
      OFFSETS:	24-28
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(yiHoSal)
          POS:	IV3MS+IV
          VOC:	yi+HoSal
        GLOSS:	he/it+obtain/acquire/get/be obtained/be acquired/occur/happen/take place

 INPUT STRING:	تعديل
     IS_TRANS:	tEdyl
        INDEX:	P2W6
      OFFSETS:	29-34
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEodiyl_1]
   UNSPLITVOC:	(taEodiyl)
          POS:	NOUN
          VOC:	taEodiyl
        GLOSS:	adjustment/change/modification/amendment

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W7
      OFFSETS:	35-38
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P2W8
      OFFSETS:	39-41
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P2W9
      OFFSETS:	42-46
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	إنت
     IS_TRANS:	<nt
        INDEX:	P2W10
      OFFSETS:	47-50
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you/you [masc.sg.]

 INPUT STRING:	كتبتها
     IS_TRANS:	ktbthA
        INDEX:	P2W11
      OFFSETS:	51-57
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(katabtahA)
          POS:	PV+PVSUFF_SUBJ:2MS+PVSUFF_DO:3FS
          VOC:	katab+t+hA
        GLOSS:	write/be written/be fated/be destined+you+it/them/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W12
      OFFSETS:	57-58
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W13
      OFFSETS:	58-59
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	التعديل
     IS_TRANS:	AltEdyl
        INDEX:	P3W1
      OFFSETS:	0-7
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEodiyl_1]
   UNSPLITVOC:	(Alt~aEodiyl)
          POS:	DET+NOUN
          VOC:	Al+taEodiyl
        GLOSS:	the+adjustment/change/modification/amendment

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P3W2
      OFFSETS:	8-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W3
      OFFSETS:	11-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	إداري
     IS_TRANS:	<dAry
        INDEX:	P3W4
      OFFSETS:	15-20
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idAriy_1]
   UNSPLITVOC:	(<idAriy)
          POS:	ADJ
          VOC:	<idAriy
        GLOSS:	administrative/management/departmental/officer/administratively/officially

 INPUT STRING:	نتيجة
     IS_TRANS:	ntyjp
        INDEX:	P3W5
      OFFSETS:	21-26
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(natiyjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	natiyj+ap
        GLOSS:	result/consequence/results/consequences/as a result (of)+[fem.sg.]

 INPUT STRING:	أنتهاكات
     IS_TRANS:	>nthAkAt
        INDEX:	P3W6
      OFFSETS:	27-35
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotihAk_1]
   UNSPLITVOC:	(AinotihAkAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	AinotihAk+At
        GLOSS:	violation/contraventio+[fem.pl.]

 INPUT STRING:	للدستور
     IS_TRANS:	lldstwr
        INDEX:	P3W7
      OFFSETS:	36-43
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(lild~usotuwr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+dusotuwr
        GLOSS:	for/to+the+constitution/statute/constitutions/statutes

 INPUT STRING:	إرتكبت
     IS_TRANS:	<rtkbt
        INDEX:	P3W8
      OFFSETS:	45-51
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Airotakabt_1]
   UNSPLITVOC:	(Airotakabt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	Airotakab+t
        GLOSS:	commit/perpetrate+you [masc.sg.] [verb]

 INPUT STRING:	مخالفات
     IS_TRANS:	mxAlfAt
        INDEX:	P3W9
      OFFSETS:	52-59
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxAlofap_1]
   UNSPLITVOC:	(muxAlofAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muxAlof+At
        GLOSS:	infringement/contrast+[fem.pl.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P3W10
      OFFSETS:	60-64
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	بيظهر
     IS_TRANS:	byZhr
        INDEX:	P3W11
      OFFSETS:	66-71
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(biyiZohar)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Zohar
        GLOSS:	[present-tense]+he/it+appear/emerge

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W12
      OFFSETS:	72-74
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	آخر
     IS_TRANS:	|xr
        INDEX:	P3W13
      OFFSETS:	75-78
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(|xir)
          POS:	ADJ_COMP
          VOC:	|xir
        GLOSS:	last/end

 INPUT STRING:	المداخلة
     IS_TRANS:	AlmdAxlp
        INDEX:	P3W14
      OFFSETS:	79-87
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[midAxalap_1]
   UNSPLITVOC:	(AlmidAxalap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+midAxal+ap
        GLOSS:	the+interference/participation+[fem.sg.]

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P3W15
      OFFSETS:	88-93
       TOKENS:	P3W17-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nafos+hA
        GLOSS:	same/self/selves/soul/souls+its/their/her

 INPUT STRING:	جملة
     IS_TRANS:	jmlp
        INDEX:	P3W16
      OFFSETS:	94-98
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumolap_1]
   UNSPLITVOC:	(jumolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jumol+ap
        GLOSS:	sentence/clause/sentences/clauses/wholesale/entire+[fem.sg.]

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P3W17
      OFFSETS:	100-102
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P3W18
      OFFSETS:	103-110
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN
          VOC:	Al+taHoriyr
        GLOSS:	the+liberation/liberating/editorship/editing

 INPUT STRING:	بواسطة
     IS_TRANS:	bwAsTp
        INDEX:	P3W19
      OFFSETS:	111-117
       TOKENS:	P3W22-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsoTap_1]
   UNSPLITVOC:	(biwAsoTap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wAsoT+ap
        GLOSS:	with/by+means/device/devices/jobber/nomination/candidacy/recommendation/broker+[fem.sg.]

 INPUT STRING:	كذا
     IS_TRANS:	k*A
        INDEX:	P3W20
      OFFSETS:	118-121
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*A_1]
   UNSPLITVOC:	(ka*A)
          POS:	NOUN
          VOC:	ka*A
        GLOSS:	such/thus/so

 INPUT STRING:	كذا
     IS_TRANS:	k*A
        INDEX:	P3W21
      OFFSETS:	122-125
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*A_1]
   UNSPLITVOC:	(ka*A)
          POS:	NOUN
          VOC:	ka*A
        GLOSS:	such/thus/so

 INPUT STRING:	لمخالفة
     IS_TRANS:	lmxAlfp
        INDEX:	P3W22
      OFFSETS:	126-133
       TOKENS:	P3W26-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mixAlofap_1]
   UNSPLITVOC:	(limixAlofap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+mixAlof+ap
        GLOSS:	for/to+infringement/contrast+[fem.sg.]

 INPUT STRING:	المادة
     IS_TRANS:	AlmAdp
        INDEX:	P3W23
      OFFSETS:	134-140
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAd~ap_1]
   UNSPLITVOC:	(AlmAd~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mAd~+ap
        GLOSS:	the+substance/material/substances/materials/subject/topic/subjects/topics+[fem.sg.]

 INPUT STRING:	كذا
     IS_TRANS:	k*A
        INDEX:	P3W24
      OFFSETS:	141-144
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*A_1]
   UNSPLITVOC:	(ka*A)
          POS:	NOUN
          VOC:	ka*A
        GLOSS:	such/thus/so

 INPUT STRING:	بند
     IS_TRANS:	bnd
        INDEX:	P3W25
      OFFSETS:	145-148
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banod_1]
   UNSPLITVOC:	(banod)
          POS:	NOUN
          VOC:	banod
        GLOSS:	article/clause/articles/clauses

 INPUT STRING:	كذا
     IS_TRANS:	k*A
        INDEX:	P3W26
      OFFSETS:	149-152
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka*A_1]
   UNSPLITVOC:	(ka*A)
          POS:	NOUN
          VOC:	ka*A
        GLOSS:	such/thus/so

 INPUT STRING:	وده
     IS_TRANS:	wdh
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+these/this

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W2
      OFFSETS:	4-6
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حاصل
     IS_TRANS:	HASl
        INDEX:	P4W3
      OFFSETS:	7-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HASil_1]
   UNSPLITVOC:	(HASil)
          POS:	ADJ
          VOC:	HASil
        GLOSS:	holding/happening/occuring

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W4
      OFFSETS:	12-14
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مداخلتك
     IS_TRANS:	mdAxltk
        INDEX:	P4W5
      OFFSETS:	15-22
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mudAxolap_1]
   UNSPLITVOC:	(mudAxolitak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	mudAxol+ap+ak
        GLOSS:	interference/participation+[fem.sg.]+your [masc.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W6
      OFFSETS:	22-23
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W7
      OFFSETS:	23-24
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P4W8
      OFFSETS:	25-29
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+be/became/become/last/remain

 INPUT STRING:	محصلش
     IS_TRANS:	mHSl$
        INDEX:	P4W9
      OFFSETS:	30-35
       TOKENS:	P4W11-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(mA_HaSal$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+HaSal+(null)+$
        GLOSS:	not+obtain/acquire/get/be obtained/be acquired/occur/happen/take place+he/it+not

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P4W10
      OFFSETS:	36-41
       TOKENS:	P4W14-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/them/her

 INPUT STRING:	تحريرات
     IS_TRANS:	tHryrAt
        INDEX:	P4W11
      OFFSETS:	42-49
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(taHoriyrAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	taHoriyr+At
        GLOSS:	editorship/editing+[fem.pl.]

 INPUT STRING:	إدارية
     IS_TRANS:	<dAryp
        INDEX:	P4W12
      OFFSETS:	50-56
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AidAriy_1]
   UNSPLITVOC:	(AidAriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	AidAriy~+ap
        GLOSS:	administrative/management/departmental/officer/administratively/officially+[fem.sg.]

 INPUT STRING:	أساسا
     IS_TRANS:	>sAsA
        INDEX:	P4W13
      OFFSETS:	57-62
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(>asAsAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>asAs+AF
        GLOSS:	foundation/basis/foundations/bases/primarily/basically+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W14
      OFFSETS:	62-63
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W15
      OFFSETS:	63-64
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	كنت
