 INPUT STRING:	يا
     IS_TRANS:	wAlmtHDr
        INDEX:	P2W4
      OFFSETS:	19-27
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaHaD~ir_1]
   UNSPLITVOC:	(wiAlmutaHaD~ir)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+mutaHaD~ir
        GLOSS:	and+the+civilized

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W5
      OFFSETS:	28-30
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدول
     IS_TRANS:	Aldwl
        INDEX:	P2W6
      OFFSETS:	31-36
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~uwal)
          POS:	DET+NOUN
          VOC:	Al+duwal
        GLOSS:	the+state/country/states/countries

 INPUT STRING:	الديمقراطية
     IS_TRANS:	AldymqrATyp
        INDEX:	P2W7
      OFFSETS:	37-48
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diymuqorATiy_1]
   UNSPLITVOC:	(Ald~iymuqorATiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+diymuqorATiy~+ap
        GLOSS:	the+democratic+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W8
      OFFSETS:	48-49
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P2W9
      OFFSETS:	50-52
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	حدث
     IS_TRANS:	Hdv
        INDEX:	P2W10
      OFFSETS:	53-56
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Hadav)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Hadav+(null)
        GLOSS:	happen/take place+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W11
      OFFSETS:	57-59
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بلادهم
     IS_TRANS:	blAdhm
        INDEX:	P2W12
      OFFSETS:	60-66
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(bilAdhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	bilAd+hum
        GLOSS:	country/countries+their

 INPUT STRING:	ربع
     IS_TRANS:	rbE
        INDEX:	P2W13
      OFFSETS:	67-70
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruboE_1]
   UNSPLITVOC:	(ruboE)
          POS:	NOUN_QUANT
          VOC:	ruboE
        GLOSS:	quarter, (one) fourth

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W14
      OFFSETS:	71-73
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	حدث
     IS_TRANS:	Hdv
        INDEX:	P2W15
      OFFSETS:	74-77
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Hadav)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Hadav+(null)
        GLOSS:	happen/take place+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W16
      OFFSETS:	78-80
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بور
     IS_TRANS:	bwr
        INDEX:	P2W17
      OFFSETS:	81-84
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[buwr_2]
   UNSPLITVOC:	(buwr)
          POS:	NOUN_PROP
          VOC:	buwr
        GLOSS:	Port

 INPUT STRING:	سعيد
     IS_TRANS:	sEyd
        INDEX:	P2W18
      OFFSETS:	85-89
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEiyd_1]
   UNSPLITVOC:	(saEiyd)
          POS:	NOUN_PROP
          VOC:	saEiyd
        GLOSS:	Said/Saeed

 INPUT STRING:	لكانت
     IS_TRANS:	lkAnt
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(lakAnit)
          POS:	RC_PART+PV+PVSUFF_SUBJ:3FS
          VOC:	la+kAn+it
        GLOSS:	Will (definitely/certainly)+be/was/were+it/they/she [verb]

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P3W2
      OFFSETS:	6-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration+[fem.sg.]

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P3W3
      OFFSETS:	14-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(qado)
          POS:	VERB_PART
          VOC:	qado
        GLOSS:	may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	تقدمت
     IS_TRANS:	tqdmt
        INDEX:	P3W4
      OFFSETS:	17-22
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taqad~am_1]
   UNSPLITVOC:	(taqad~amat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	taqad~am+at
        GLOSS:	present/advance+it/they/she [verb]

 INPUT STRING:	باستقالتها
     IS_TRANS:	bAstqAlthA
        INDEX:	P3W5
      OFFSETS:	23-33
       TOKENS:	P3W6-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isotiqAlap_1]
   UNSPLITVOC:	(bi<isotiqAlathA)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	bi+<isotiqAl+ap+hA
        GLOSS:	by+resignation/retirement+[fem.sg.]+her/it

 INPUT STRING:	فورا
     IS_TRANS:	fwrA
        INDEX:	P3W6
      OFFSETS:	34-38
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawr_1]
   UNSPLITVOC:	(fawrAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fawr+AF
        GLOSS:	at once , immediately , right away/immediately after+[acc.indef.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P3W7
      OFFSETS:	38-39
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	الدول
     IS_TRANS:	Aldwl
        INDEX:	P4W2
      OFFSETS:	4-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~uwal)
          POS:	DET+NOUN
          VOC:	Al+duwal
        GLOSS:	the+state/country/states/countries

 INPUT STRING:	الأقل
     IS_TRANS:	Al>ql
        INDEX:	P4W3
      OFFSETS:	10-15
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(Al>aqal~)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aqal~
        GLOSS:	the+least/smallest/minimum

 INPUT STRING:	ديمقراطية
     IS_TRANS:	dymqrATyp
        INDEX:	P4W4
      OFFSETS:	16-25
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diymuqrATiy~_1]
   UNSPLITVOC:	(diymuqrATiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	diymuqrATiy~+ap
        GLOSS:	democrat+[fem.sg.]

 INPUT STRING:	لكان
     IS_TRANS:	lkAn
        INDEX:	P4W5
      OFFSETS:	26-30
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(lakAn)
          POS:	RC_PART+PV+PVSUFF_SUBJ:3MS
          VOC:	la+kAn+(null)
        GLOSS:	will(definitely/certainly)+was/were/be+he/it[verb]

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P4W6
      OFFSETS:	31-35
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P4W7
      OFFSETS:	36-44
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxoliy~ap_1]
   UNSPLITVOC:	(Ald~Axoliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dAxoliy~+ap
        GLOSS:	the+interior/of state+[fem.sg.]

 INPUT STRING:	بمفرده
     IS_TRANS:	bmfrdh
        INDEX:	P4W8
      OFFSETS:	45-51
       TOKENS:	P4W10-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muforad_1]
   UNSPLITVOC:	(bimuforaduh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+muforad+uh
        GLOSS:	with/by+single/individual/alone+its/his

 INPUT STRING:	وبشجاعة
     IS_TRANS:	wb$jAEp
        INDEX:	P4W9
      OFFSETS:	52-59
       TOKENS:	P4W13-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ajAEap_1]
   UNSPLITVOC:	(wibi$ajAEap)
          POS:	CONJ+PREP+NOUN+NSUFF_FEM_SG
          VOC:	wi+bi+$ajAE+ap
        GLOSS:	and+with/by+courage+[fem.sg.]

 INPUT STRING:	الفرسان
     IS_TRANS:	AlfrsAn
        INDEX:	P4W10
      OFFSETS:	60-67
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAris_2]
   UNSPLITVOC:	(AlfurosAn)
          POS:	DET+NOUN
          VOC:	Al+furosAn
        GLOSS:	the+knights/cavalry

 INPUT STRING:	المحترمين
     IS_TRANS:	AlmHtrmyn
        INDEX:	P4W11
      OFFSETS:	68-77
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(AlmuHotaramiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+muHotaram+iyn
        GLOSS:	the+esteemed/respected+[masc.pl.]

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P4W12
      OFFSETS:	78-80
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(qado)
          POS:	VERB_PART
          VOC:	qado
        GLOSS:	may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	تقدم
     IS_TRANS:	tqdm
        INDEX:	P4W13
      OFFSETS:	81-85
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taqad~am_1]
   UNSPLITVOC:	(taqad~am)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	taqad~am+(null)
        GLOSS:	present/advance+he/it [verb]

 INPUT STRING:	باستقالته
     IS_TRANS:	bAstqAlth
        INDEX:	P4W14
      OFFSETS:	86-95
       TOKENS:	P4W20-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqAlap_1]
   UNSPLITVOC:	(biAisotiqAltuh)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	bi+AisotiqAl+ap+uh
        GLOSS:	with/by+resignation/retirement+[fem.sg.]+his/its

 INPUT STRING:	فورا
     IS_TRANS:	fwrA
        INDEX:	P4W15
      OFFSETS:	96-100
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawr_1]
   UNSPLITVOC:	(fawrAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fawr+AF
        GLOSS:	at once , immediately , right away/immediately after+[acc.indef.]

 INPUT STRING:	وأعلن
     IS_TRANS:	w>Eln
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(wi>aEolan)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aEolan+(null)
        GLOSS:	and+announce/declare/be announced/be declared+he/it

 INPUT STRING:	مسئوليته
     IS_TRANS:	ms}wlyth
        INDEX:	P5W2
      OFFSETS:	6-14
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso&uliy~ap_1]
   UNSPLITVOC:	(maso}uwliy~ituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	maso}uwliy~+ap+uh
        GLOSS:	responsibility+[fem.sg.]+his/its

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W3
      OFFSETS:	15-17
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	for/about

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W4
      OFFSETS:	18-20
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الأحداث
     IS_TRANS:	Al>HdAv
        INDEX:	P5W5
      OFFSETS:	21-28
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Al>aHodAv)
          POS:	DET+NOUN
          VOC:	Al+>aHodAv
        GLOSS:	the+events

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P5W6
      OFFSETS:	29-33
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

