 INPUT STRING:	ألحقو
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ar~iy_1]
   UNSPLITVOC:	(Al*~ar~iy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+*ar~iy~+ap
        GLOSS:	the+atomic+[fem.sg.]

 INPUT STRING:	المعارض
     IS_TRANS:	AlmEArD
        INDEX:	P2W7
      OFFSETS:	39-46
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miEAriD_1]
   UNSPLITVOC:	(AlmiEAriD)
          POS:	DET+NOUN
          VOC:	Al+miEAriD
        GLOSS:	the+opponent/adversary/opposition

 INPUT STRING:	السياسي
     IS_TRANS:	AlsyAsy
        INDEX:	P2W8
      OFFSETS:	47-54
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siyAsiy~_1]
   UNSPLITVOC:	(AlsiyAsiy~)
          POS:	DET+ADJ
          VOC:	Al+siyAsiy~
        GLOSS:	the+political

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P2W9
      OFFSETS:	55-62
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(Ald~ukotawr)
          POS:	DET+NOUN
          VOC:	Al+dukotawr
        GLOSS:	the+doctor/Doctor/Dr.

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P2W10
      OFFSETS:	63-67
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	البرادعي
     IS_TRANS:	AlbrAdEy
        INDEX:	P2W11
      OFFSETS:	68-76
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdiEiy~_2]
   UNSPLITVOC:	(AlbarAdiEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy~
        GLOSS:	the+Baradei

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W12
      OFFSETS:	77-79
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	احتمال
     IS_TRANS:	AHtmAl
        INDEX:	P2W13
      OFFSETS:	80-86
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iHotimAl_1]
   UNSPLITVOC:	(AiHotimAl)
          POS:	NOUN
          VOC:	{iHotimAl
        GLOSS:	possibility/probability/likelihood/scenario

 INPUT STRING:	اندلاع
     IS_TRANS:	AndlAE
        INDEX:	P2W14
      OFFSETS:	87-93
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinodilAE_1]
   UNSPLITVOC:	(AinodilAE)
          POS:	NOUN
          VOC:	AinodilAE
        GLOSS:	breaking out

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P2W15
      OFFSETS:	94-98
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W16
      OFFSETS:	99-101
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W17
      OFFSETS:	102-105
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	مماثلة
     IS_TRANS:	mmAvlp
        INDEX:	P2W18
      OFFSETS:	106-112
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mumAvil_1]
   UNSPLITVOC:	(mumAvilap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mumAvil+ap
        GLOSS:	similar/analogous/resembling+[fem.sg.]

 INPUT STRING:	للاحتجاجات
     IS_TRANS:	llAHtjAjAt
        INDEX:	P2W19
      OFFSETS:	113-123
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotijAj_1]
   UNSPLITVOC:	(lilAiHotijAjAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	li+Al+AiHotijAj+At
        GLOSS:	to/for+the+protest+[fem.pl.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P2W20
      OFFSETS:	124-128
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	تضرب
     IS_TRANS:	tDrb
        INDEX:	P2W21
      OFFSETS:	129-133
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(tiDorab)
          POS:	IV3FS+IV
          VOC:	ti+Dorab
        GLOSS:	it/they/she+strike/hit/be struck/be hit

 INPUT STRING:	تونس
     IS_TRANS:	twns
        INDEX:	P2W22
      OFFSETS:	134-138
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuwnis_1]
   UNSPLITVOC:	(tuwnis)
          POS:	NOUN_PROP
          VOC:	tuwnis
        GLOSS:	Tunisia

 INPUT STRING:	حاليا
     IS_TRANS:	HAlyA
        INDEX:	P2W23
      OFFSETS:	139-144
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy~_1]
   UNSPLITVOC:	(HAliy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	HAliy~+AF
        GLOSS:	present/current+[acc.indef.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W24
      OFFSETS:	144-145
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	والتى
     IS_TRANS:	wAltY
        INDEX:	P2W25
      OFFSETS:	146-151
       TOKENS:	P2W27-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(waAl~atiy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Al~atiy
        GLOSS:	and+which

 INPUT STRING:	أجبرت
     IS_TRANS:	>jbrt
        INDEX:	P2W26
      OFFSETS:	152-157
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajabor_1]
   UNSPLITVOC:	(>ajaborit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>ajabor+it
        GLOSS:	made+it/they/she

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P2W27
      OFFSETS:	158-164
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	زين
     IS_TRANS:	zyn
        INDEX:	P2W28
      OFFSETS:	165-168
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zayn_1]
   UNSPLITVOC:	(zayn)
          POS:	NOUN_PROP
          VOC:	zayn
        GLOSS:	Zein

 INPUT STRING:	العابدين
     IS_TRANS:	AlEAbdyn
        INDEX:	P2W29
      OFFSETS:	169-177
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAbodiyn_1]
   UNSPLITVOC:	(AlEAbodiyn)
          POS:	DET+NOUN_PROP
          VOC:	Al+EAbodiyn
        GLOSS:	the+Abdiyn

 INPUT STRING:	بن
     IS_TRANS:	bn
        INDEX:	P2W30
      OFFSETS:	178-180
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bin_2]
   UNSPLITVOC:	(bin)
          POS:	NOUN_PROP
          VOC:	bin
        GLOSS:	bin

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P2W31
      OFFSETS:	181-184
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealiy_1]
   UNSPLITVOC:	(Ealiy)
          POS:	NOUN_PROP
          VOC:	Ealiy
        GLOSS:	Ali

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W32
      OFFSETS:	185-188
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مغادرة
     IS_TRANS:	mgAdrp
        INDEX:	P2W33
      OFFSETS:	189-195
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mugAdorap_1]
   UNSPLITVOC:	(mugAdorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mugAdor+ap
        GLOSS:	departure+[fem.sg.]

 INPUT STRING:	البلاد
     IS_TRANS:	AlblAd
        INDEX:	P2W34
      OFFSETS:	196-202
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(AlbilAd)
          POS:	DET+NOUN
          VOC:	Al+bilAd
        GLOSS:	the+country/country/countries

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W35
      OFFSETS:	202-203
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	معربا
     IS_TRANS:	mErbA
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEoribAF_1]
   UNSPLITVOC:	(muEoribAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	muEorib+AF
        GLOSS:	showing+[acc.indef.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P3W2
      OFFSETS:	6-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	تضامنه
     IS_TRANS:	tDAmnh
        INDEX:	P3W3
      OFFSETS:	9-15
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taDAmun_1]
   UNSPLITVOC:	(taDAmunuh)
          POS:	NOUN.VN+POSS_PRON_3MS
          VOC:	taDAmun+uh
        GLOSS:	solidarity+his/its

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P3W4
      OFFSETS:	16-18
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P3W5
      OFFSETS:	19-24
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	التونسي
     IS_TRANS:	Altwnsy
        INDEX:	P3W6
      OFFSETS:	25-32
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuwnsiy_1]
   UNSPLITVOC:	(Alt~uwnsiy)
          POS:	DET+ADJ
          VOC:	Al+tuwnsiy
        GLOSS:	the+Tunisian

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P3W7
      OFFSETS:	33-37
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	سقط
     IS_TRANS:	sqT
        INDEX:	P3W8
      OFFSETS:	38-41
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saqaT_1]
   UNSPLITVOC:	(saqaT)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	saqaT+(null)
        GLOSS:	fall+he/it

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P3W9
      OFFSETS:	42-45
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+his/its

 INPUT STRING:	عشرات
     IS_TRANS:	E$rAt
        INDEX:	P3W10
      OFFSETS:	46-51
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ea$or_1]
   UNSPLITVOC:	(Ea$arAt)
          POS:	NOUN_NUM+NSUFF_FEM_PL
          VOC:	Ea$ar+At
        GLOSS:	tens/scores/dozens+[fem.pl.]

 INPUT STRING:	القتلى
     IS_TRANS:	AlqtlY
        INDEX:	P3W11
      OFFSETS:	52-58
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatiyl_1]
   UNSPLITVOC:	(AlqatolaY)
          POS:	DET+NOUN
          VOC:	Al+qatolaY
        GLOSS:	the+dead/killed/casualties

 INPUT STRING:	جراء
     IS_TRANS:	jrA'
        INDEX:	P3W12
      OFFSETS:	59-63
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jar~A'_1]
   UNSPLITVOC:	(jar~A')
          POS:	NOUN
          VOC:	jar~A'
        GLOSS:	because of/as a result of

 INPUT STRING:	الانتفاضة
     IS_TRANS:	AlAntfADp
        INDEX:	P3W13
      OFFSETS:	64-73
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotifADap_1]
   UNSPLITVOC:	(AlAinotifADap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AinotifAD+ap
        GLOSS:	the+popular uprising+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W14
      OFFSETS:	73-74
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/say/(for example)+he/it

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P4W2
      OFFSETS:	5-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdiEiy~_2]
   UNSPLITVOC:	(AlbarAdiEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy~
        GLOSS:	the+Baradei

 INPUT STRING:	مخاطبا
     IS_TRANS:	mxATbA
        INDEX:	P4W3
      OFFSETS:	14-20
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxATib_1]
   UNSPLITVOC:	(muxATibAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	muxATib+AF
        GLOSS:	asking+[acc.indef.]

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P4W4
      OFFSETS:	21-26
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	التونسي
     IS_TRANS:	Altwnsy
        INDEX:	P4W5
      OFFSETS:	27-34
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuwnsiy_1]
   UNSPLITVOC:	(Alt~uwnsiy)
          POS:	DET+ADJ
          VOC:	Al+tuwnsiy
        GLOSS:	the+Tunisian

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P4W6
      OFFSETS:	34-35
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	قلبى
     IS_TRANS:	qlbY
        INDEX:	P4W7
      OFFSETS:	38-42
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qalob+iy
        GLOSS:	heart/center/essence+my

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P4W8
      OFFSETS:	43-45
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	تونس
     IS_TRANS:	twns
        INDEX:	P4W9
      OFFSETS:	46-50
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuwnis_1]
   UNSPLITVOC:	(tuwnis)
          POS:	NOUN_PROP
          VOC:	tuwnis
        GLOSS:	Tunisia

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W10
      OFFSETS:	51-52
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
