 INPUT STRING:	أعلن
     IS_TRANS:	wAl$wrY
        INDEX:	P1W6
      OFFSETS:	27-34
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uwraY_1]
   UNSPLITVOC:	(wiAl$uwraY)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+$uwraY
        GLOSS:	and+the+consultation/deliberation

 INPUT STRING:	والتنميه
     IS_TRANS:	wAltnmyh
        INDEX:	P1W7
      OFFSETS:	35-43
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanomiyap_1]
   UNSPLITVOC:	(wiAltanomiyap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+tanomiy+ap
        GLOSS:	and+the+development/growth+[fem.sg.]

 INPUT STRING:	المحلية
     IS_TRANS:	AlmHlyp
        INDEX:	P1W8
      OFFSETS:	44-51
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHal~iy_1]
   UNSPLITVOC:	(AlmaHal~iy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maHal~iy~+ap
        GLOSS:	the+local+[fem.sg.]

 INPUT STRING:	المستشار
     IS_TRANS:	Almst$Ar
        INDEX:	P1W9
      OFFSETS:	52-60
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$Ar_1]
   UNSPLITVOC:	(Almusota$Ar)
          POS:	DET+NOUN
          VOC:	Al+musota$Ar
        GLOSS:	the+counselor/adviser

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P1W10
      OFFSETS:	61-65
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	عطية
     IS_TRANS:	ETyp
        INDEX:	P1W11
      OFFSETS:	66-70
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaTiy~ap_1]
   UNSPLITVOC:	(EaTiy~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	EaTiy~+ap
        GLOSS:	Atiyya+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W12
      OFFSETS:	71-73
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	انتخابات
     IS_TRANS:	AntxAbAt
        INDEX:	P1W13
      OFFSETS:	74-82
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AinotixAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	{inotixAb+At
        GLOSS:	elections/selections+[fem.pl.]

 INPUT STRING:	الرئاسة
     IS_TRANS:	Alr}Asp
        INDEX:	P1W14
      OFFSETS:	83-90
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(Alr~i}Asap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ri}As+ap
        GLOSS:	the+presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P1W15
      OFFSETS:	92-96
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	الجمهورية
     IS_TRANS:	Aljmhwryp
        INDEX:	P1W16
      OFFSETS:	97-106
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jumohuwriy~_1]
   UNSPLITVOC:	(Aljumohuwriy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumohuwriy~+ap
        GLOSS:	the+republican+[fem.sg.]

 INPUT STRING:	سوف
     IS_TRANS:	swf
        INDEX:	P1W17
      OFFSETS:	108-111
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawofa_1]
   UNSPLITVOC:	(sawofa)
          POS:	FUT_PART
          VOC:	sawofa
        GLOSS:	will/shall

 INPUT STRING:	تجرى
     IS_TRANS:	tjrY
        INDEX:	P1W18
      OFFSETS:	112-116
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaraY_1]
   UNSPLITVOC:	(tujraY)
          POS:	IV3FS+IV_PASS
          VOC:	tu+jraY
        GLOSS:	it/they/she+occur

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W19
      OFFSETS:	117-119
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أواخر
     IS_TRANS:	>wAxr
        INDEX:	P1W20
      OFFSETS:	120-125
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(>awAxir)
          POS:	ADJ_COMP
          VOC:	>awAxir
        GLOSS:	last/end

 INPUT STRING:	مايو
     IS_TRANS:	mAyw
        INDEX:	P1W21
      OFFSETS:	126-130
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAyuw_1]
   UNSPLITVOC:	(mAyuw)
          POS:	NOUN
          VOC:	mAyuw
        GLOSS:	May

 INPUT STRING:	المقبل
     IS_TRANS:	Almqbl
        INDEX:	P1W22
      OFFSETS:	131-137
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqobil_1]
   UNSPLITVOC:	(Almuqobil)
          POS:	DET+ADJ
          VOC:	Al+muqobil
        GLOSS:	the+next/coming/approaching

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W23
      OFFSETS:	138-139
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W24
      OFFSETS:	139-140
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وقد
     IS_TRANS:	wqd
        INDEX:	P1W25
      OFFSETS:	141-144
       TOKENS:	P1W27-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(waqado)
          POS:	CONJ+VERB_PART
          VOC:	wa+qado
        GLOSS:	and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	منح
     IS_TRANS:	mnH
        INDEX:	P1W26
      OFFSETS:	145-148
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manaH_1]
   UNSPLITVOC:	(manaH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	manaH+(null)
        GLOSS:	grant/award/bestow/be granted/be awarded/be bestowed+he/it

 INPUT STRING:	مهله
     IS_TRANS:	mhlh
        INDEX:	P1W27
      OFFSETS:	149-153
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muholap_1]
   UNSPLITVOC:	(muholap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muhol+ap
        GLOSS:	delay/respite/extension+[fem.sg.]

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P1W28
      OFFSETS:	154-155
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	أسابيع
     IS_TRANS:	>sAbyE
        INDEX:	P1W29
      OFFSETS:	156-162
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usobuwE_1]
   UNSPLITVOC:	(>asAbiyE)
          POS:	NOUN
          VOC:	>asAbiyE
        GLOSS:	weeks

 INPUT STRING:	لتقديم
     IS_TRANS:	ltqdym
        INDEX:	P1W30
      OFFSETS:	163-169
       TOKENS:	P1W33-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqodiym_1]
   UNSPLITVOC:	(litaqodiym)
          POS:	PREP+NOUN
          VOC:	li+taqodiym
        GLOSS:	for/to+offering/presenting/submitting

 INPUT STRING:	أوراق
     IS_TRANS:	>wrAq
        INDEX:	P1W31
      OFFSETS:	170-175
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waraq_1]
   UNSPLITVOC:	(>awrAq)
          POS:	NOUN
          VOC:	>awrAq
        GLOSS:	papers/sheets

 INPUT STRING:	المرشحون
     IS_TRANS:	Almr$Hwn
        INDEX:	P1W32
      OFFSETS:	176-184
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(Almura$~aHuwna)
          POS:	DET+NOUN+NSUFF_MASC_PL_NOM
          VOC:	Al+mura$~aH+uwna
        GLOSS:	the+candidate/nominee+[masc.pl.]

 INPUT STRING:	ابتدا
     IS_TRANS:	AbtdA
        INDEX:	P1W33
      OFFSETS:	185-190
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AibtidA>_1]
   UNSPLITVOC:	(AibtidA>)
          POS:	NOUN
          VOC:	AibtidA>
        GLOSS:	starting

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W34
      OFFSETS:	191-193
       TOKENS:	P1W38-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	10
     IS_TRANS:	10
        INDEX:	P1W35
      OFFSETS:	194-196
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(10)
          POS:	NOUN_NUM
          VOC:	10
        GLOSS:	10

 INPUT STRING:	مارس
     IS_TRANS:	mArs
        INDEX:	P1W36
      OFFSETS:	197-201
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAris_1]
   UNSPLITVOC:	(mAris)
          POS:	NOUN
          VOC:	mAris
        GLOSS:	March

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+he/it

 INPUT STRING:	الموعد
     IS_TRANS:	AlmwEd
        INDEX:	P2W2
      OFFSETS:	4-10
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawEid_1]
   UNSPLITVOC:	(AlmawEid)
          POS:	DET+NOUN
          VOC:	Al+mawEid
        GLOSS:	the+appointment/date/rendezvous/appointment

 INPUT STRING:	المحدد
     IS_TRANS:	AlmHdd
        INDEX:	P2W3
      OFFSETS:	11-17
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHad~ad_1]
   UNSPLITVOC:	(AlmuHad~ad)
          POS:	DET+ADJ
          VOC:	Al+muHad~ad
        GLOSS:	the+set/determined/defined

 INPUT STRING:	لفتح
     IS_TRANS:	lftH
        INDEX:	P2W4
      OFFSETS:	18-22
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatoH_1]
   UNSPLITVOC:	(lifatoH)
          POS:	PREP+NOUN
          VOC:	li+fatoH
        GLOSS:	for/to+opening

 INPUT STRING:	باب
     IS_TRANS:	bAb
        INDEX:	P2W5
      OFFSETS:	23-26
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAb_1]
   UNSPLITVOC:	(bAb)
          POS:	NOUN
          VOC:	bAb
        GLOSS:	door

 INPUT STRING:	الترشح
     IS_TRANS:	Altr$H
        INDEX:	P2W6
      OFFSETS:	27-33
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tara$~uH_1]
   UNSPLITVOC:	(Alt~ara$~uH)
          POS:	DET+NOUN
          VOC:	Al+tara$~uH
        GLOSS:	the+infiltration/candidature

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W7
      OFFSETS:	33-34
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W8
      OFFSETS:	34-35
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W9
      OFFSETS:	36-37
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P2W10
      OFFSETS:	38-41
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	ونصف
     IS_TRANS:	wnSf
        INDEX:	P2W11
      OFFSETS:	42-46
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niSof_1]
   UNSPLITVOC:	(winiSof)
          POS:	CONJ+NOUN
          VOC:	wi+niSof
        GLOSS:	and+half

 INPUT STRING:	45
     IS_TRANS:	45
        INDEX:	P2W12
      OFFSETS:	48-50
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(45)
          POS:	NOUN_NUM
          VOC:	45
        GLOSS:	45

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P2W13
      OFFSETS:	51-54
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	للدعاية
     IS_TRANS:	lldEAyp
        INDEX:	P2W14
      OFFSETS:	56-63
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diEAyap_1]
   UNSPLITVOC:	(lild~iEAyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+diEAy+ap
        GLOSS:	for/to+the+propaganda/advertising+[fem.sg.]

 INPUT STRING:	الانتخابية
     IS_TRANS:	AlAntxAbyp
        INDEX:	P2W15
      OFFSETS:	64-74
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAbiy~_1]
   UNSPLITVOC:	(AlAinotixAbiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+{inotixAbiy~+ap
        GLOSS:	the+electoral/election/selection+[fem.sg.]

 INPUT STRING:	وعرض
     IS_TRANS:	wErD
        INDEX:	P2W16
      OFFSETS:	75-79
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(wiEaroD)
          POS:	CONJ+NOUN
          VOC:	wi+EaroD
        GLOSS:	and+presentation/display/review/show/offer/presentations/shows/reviews/displays/offers/tenders

 INPUT STRING:	البرنامج
     IS_TRANS:	AlbrnAmj
        INDEX:	P2W17
      OFFSETS:	80-88
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(AlbironAmij)
          POS:	DET+NOUN
          VOC:	Al+bironAmij
        GLOSS:	the+program

 INPUT STRING:	الخاص
     IS_TRANS:	AlxAS
        INDEX:	P2W18
      OFFSETS:	89-94
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~_1]
   UNSPLITVOC:	(AlxAS~)
          POS:	DET+ADJ
          VOC:	Al+xAS~
        GLOSS:	the+private/exclusive

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P2W19
      OFFSETS:	95-98
       TOKENS:	P2W24-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	مرشح
     IS_TRANS:	mr$H
        INDEX:	P2W20
      OFFSETS:	99-103
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(mura$~aH)
          POS:	NOUN
          VOC:	mura$~aH
        GLOSS:	candidate/nominee

 INPUT STRING:	للجمهور
     IS_TRANS:	lljmhwr
        INDEX:	P2W21
      OFFSETS:	104-111
       TOKENS:	P2W27-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwr_1]
   UNSPLITVOC:	(liljumohuwr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+jumohuwr
        GLOSS:	for/to+the+multitude/public/masses

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P2W22
      OFFSETS:	113-118
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	وقد
     IS_TRANS:	wqd
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(waqado)
          POS:	CONJ+VERB_PART
          VOC:	wa+qado
        GLOSS:	and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	أضاف
     IS_TRANS:	>DAf
        INDEX:	P3W2
      OFFSETS:	4-8
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aDAf_1]
   UNSPLITVOC:	(>aDAf)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aDAf+(null)
        GLOSS:	add/be added+he/it

 INPUT STRING:	أيضا
     IS_TRANS:	>yDA
        INDEX:	P3W3
      OFFSETS:	9-13
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayD_1]
   UNSPLITVOC:	(>ayDAF)
          POS:	ADV+CASE_INDEF_ACC
          VOC:	>ayD+AF
        GLOSS:	also+[acc.indef.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W4
      OFFSETS:	14-16
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	المسئول
     IS_TRANS:	Alms}wl
        INDEX:	P3W5
      OFFSETS:	17-24
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso}uwl_1]
   UNSPLITVOC:	(Almaso}uwl)
          POS:	DET+NOUN
          VOC:	Al+maso}uwl
        GLOSS:	the+official/functionary

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P3W6
      OFFSETS:	25-27
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	تحديد
     IS_TRANS:	tHdyd
