 INPUT STRING:	موضوع
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$kilap_1]
   UNSPLITVOC:	(m$klitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	m$kl+ap+nA
        GLOSS:	problem+[fem.sg.]+our

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P3W2
      OFFSETS:	9-13
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	بنخاف
     IS_TRANS:	bnxAf
        INDEX:	P3W3
      OFFSETS:	14-19
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(binixAf)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+xAf
        GLOSS:	[present-tense]+we+fear for/be worried (of)

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P3W4
      OFFSETS:	20-23
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	نفرح
     IS_TRANS:	nfrH
        INDEX:	P3W5
      OFFSETS:	24-28
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[far~aH_1]
   UNSPLITVOC:	(nifar~aH)
          POS:	IV1P+IV
          VOC:	ni+far~aH
        GLOSS:	we+gladden/make merry

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P4W1
      OFFSETS:	1-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P4W2
      OFFSETS:	4-7
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+good luck

 INPUT STRING:	أعذرني
     IS_TRANS:	>E*rny
        INDEX:	P4W3
      OFFSETS:	8-14
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ea*ar_1]
   UNSPLITVOC:	(>E*rniy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	>E*rn+iy
        GLOSS:	excuse me+you

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P4W4
      OFFSETS:	15-17
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P4W5
      OFFSETS:	18-22
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+afflict/be afflicted

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P4W6
      OFFSETS:	23-26
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	ماسوني
     IS_TRANS:	mAswny
        INDEX:	P4W7
      OFFSETS:	27-33
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAsuwniy_1]
   UNSPLITVOC:	(mAsuwniy)
          POS:	ADJ
          VOC:	mAsuwniy
        GLOSS:	Masonic

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P4W8
      OFFSETS:	33-34
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P4W9
      OFFSETS:	34-35
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P5W1
      OFFSETS:	1-7
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	الصعب
     IS_TRANS:	AlSEb
        INDEX:	P5W2
      OFFSETS:	8-13
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEob_1]
   UNSPLITVOC:	(AlS~aEob)
          POS:	DET+ADJ
          VOC:	Al+SaEob
        GLOSS:	the+difficult/hard/arduous

 INPUT STRING:	مدرسنهوش
     IS_TRANS:	mdrsnhw$
        INDEX:	P5W3
      OFFSETS:	14-22
       TOKENS:	P5W3-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daras_1]
   UNSPLITVOC:	(madrisnahuw$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1P+PVSUFF_DO:3MS+NEG_PART
          VOC:	ma+dris+na+huw+$
        GLOSS:	not+study+we+he/it [verb]+not

 INPUT STRING:	تحياتي
     IS_TRANS:	tHyAty
        INDEX:	P6W1
      OFFSETS:	1-7
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(tHyAtiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	tHy+At+iy
        GLOSS:	greeting+[fem.pl.]+my

 INPUT STRING:	السلام
     IS_TRANS:	AlslAm
        INDEX:	P7W1
      OFFSETS:	1-7
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(Als~alAm)
          POS:	DET+NOUN
          VOC:	Al+salAm
        GLOSS:	the+greeting/salute/salutation

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P7W2
      OFFSETS:	8-13
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kum
        GLOSS:	on/above+you

 INPUT STRING:	ورحمة
     IS_TRANS:	wrHmp
        INDEX:	P7W3
      OFFSETS:	14-19
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHomap_1]
   UNSPLITVOC:	(wiraHomap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+raHom+ap
        GLOSS:	and+compassion/mercy+[fem.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P7W4
      OFFSETS:	20-24
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	وبركاته
     IS_TRANS:	wbrkAth
        INDEX:	P7W5
      OFFSETS:	25-32
       TOKENS:	P7W7-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barakap_1]
   UNSPLITVOC:	(wibarakAtuh)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	wi+barak+At+uh
        GLOSS:	and+blessing/blessings+[fem.pl.]+his/its

 INPUT STRING:	استاذ
     IS_TRANS:	AstA*
        INDEX:	P8W1
      OFFSETS:	1-6
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usotA*_1]
   UNSPLITVOC:	(>usotA*)
          POS:	NOUN
          VOC:	>usotA*
        GLOSS:	professor

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P8W2
      OFFSETS:	7-11
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	ميزا
     IS_TRANS:	myzA
        INDEX:	P8W3
      OFFSETS:	12-16
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyzap_1]
   UNSPLITVOC:	(miyzaA)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	miyz+ap
        GLOSS:	distinguishing feature/characteristic/advantage+[fem.sg.]

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P9W1
      OFFSETS:	1-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first+[acc.indef.]

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P9W2
      OFFSETS:	6-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you/thanks+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W3
      OFFSETS:	11-14
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P9W4
      OFFSETS:	15-22
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	ثانيا
     IS_TRANS:	vAnyA
        INDEX:	P10W1
      OFFSETS:	1-6
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnoyap_1]
   UNSPLITVOC:	(vAnoyaA)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vAnoy+ap
        GLOSS:	second+[fem.sg.]

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P10W2
      OFFSETS:	7-10
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P10W3
      OFFSETS:	11-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	وائل
     IS_TRANS:	wA}l
        INDEX:	P10W4
      OFFSETS:	14-18
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA}il_1]
   UNSPLITVOC:	(wA}il)
          POS:	NOUN_PROP
          VOC:	wA}il
        GLOSS:	wail

 INPUT STRING:	غنيم
     IS_TRANS:	gnym
        INDEX:	P10W5
      OFFSETS:	19-23
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gunim_1]
   UNSPLITVOC:	(gnym)
          POS:	NOUN_PROP
          VOC:	gnym
        GLOSS:	Gunim

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P11W1
      OFFSETS:	1-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	وائل
     IS_TRANS:	wA}l
        INDEX:	P11W2
      OFFSETS:	5-9
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA}il_1]
   UNSPLITVOC:	(wA}il)
          POS:	NOUN_PROP
          VOC:	wA}il
        GLOSS:	wail

 INPUT STRING:	غنيم
     IS_TRANS:	gnym
        INDEX:	P11W3
      OFFSETS:	10-14
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gunim_1]
   UNSPLITVOC:	(gnym)
          POS:	NOUN_PROP
          VOC:	gnym
        GLOSS:	Gunim

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P11W4
      OFFSETS:	15-18
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	شاغل
     IS_TRANS:	$Agl
        INDEX:	P11W5
      OFFSETS:	19-23
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Agil_1]
   UNSPLITVOC:	($Agil)
          POS:	ADJ
          VOC:	$Agil
        GLOSS:	working/functioning

 INPUT STRING:	دماغ
     IS_TRANS:	dmAg
        INDEX:	P11W6
      OFFSETS:	24-28
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAg)
          POS:	NOUN
          VOC:	dimAg
        GLOSS:	brain/brains

 INPUT STRING:	وتفكير
     IS_TRANS:	wtfkyr
        INDEX:	P11W7
      OFFSETS:	29-35
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafokiyr_1]
   UNSPLITVOC:	(witafokiyr)
          POS:	CONJ+NOUN
          VOC:	wi+tafokiyr
        GLOSS:	and+thinking/meditation/reflection

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P11W8
      OFFSETS:	36-41
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P11W9
      OFFSETS:	42-48
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P12W1
      OFFSETS:	1-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	وائل
     IS_TRANS:	wA}l
        INDEX:	P12W2
      OFFSETS:	5-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA}il_1]
   UNSPLITVOC:	(wA}il)
          POS:	NOUN_PROP
          VOC:	wA}il
        GLOSS:	Wail

 INPUT STRING:	غنيم
     IS_TRANS:	gnym
        INDEX:	P12W3
      OFFSETS:	10-14
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gunim_1]
   UNSPLITVOC:	(gnym)
          POS:	NOUN_PROP
          VOC:	gnym
        GLOSS:	Gunim

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P12W4
      OFFSETS:	15-18
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	انتشر
     IS_TRANS:	Ant$r
        INDEX:	P12W5
      OFFSETS:	19-24
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota$ar_1]
   UNSPLITVOC:	(Ainota$ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Ainota$ar+(null)
        GLOSS:	spread+he/it

 INPUT STRING:	بشده
     IS_TRANS:	b$dh
        INDEX:	P12W6
      OFFSETS:	25-29
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$id~ap_1]
   UNSPLITVOC:	(bi$id~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+$id~+ap
        GLOSS:	with/by+intensity/forcefulness+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P12W7
      OFFSETS:	30-33
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفضائيات
     IS_TRANS:	AlfDA}yAt
        INDEX:	P12W8
      OFFSETS:	34-43
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faDA}iy~ap_1]
   UNSPLITVOC:	(AlfDA}yAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+fDA}y+At
        GLOSS:	the+mass media+[fem.pl.]

 INPUT STRING:	الايام
     IS_TRANS:	AlAyAm
        INDEX:	P12W9
      OFFSETS:	44-50
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(AlAiy~Am)
          POS:	DET+NOUN
          VOC:	Al+Aiy~Am
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P12W10
      OFFSETS:	51-54
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	فاتت
     IS_TRANS:	fAtt
        INDEX:	P12W11
      OFFSETS:	55-59
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAt_1]
   UNSPLITVOC:	(fAtit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	fAt+it
        GLOSS:	expire/go by+it/they/she

 INPUT STRING:	وائل
     IS_TRANS:	wA}l
        INDEX:	P13W1
      OFFSETS:	1-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA}il_1]
   UNSPLITVOC:	(wA}il)
          POS:	NOUN_PROP
          VOC:	wA}il
        GLOSS:	Wail

 INPUT STRING:	غنيم
     IS_TRANS:	gnym
        INDEX:	P13W2
      OFFSETS:	6-10
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gunim_1]
   UNSPLITVOC:	(gnym)
