 INPUT STRING:	مصـــــــر
      COMMENT:	[]
        LEMMA:	[<inotiZAr_1]
   UNSPLITVOC:	(<inotiZAr)
          POS:	NOUN
          VOC:	<inotiZAr
        GLOSS:	waiting/anticipating

 INPUT STRING:	مشاركاتكم
     IS_TRANS:	m$ArkAtkm
        INDEX:	P8W3
      OFFSETS:	10-19
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$Arkap_1]
   UNSPLITVOC:	(mu$ArkAtkum)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_2P
          VOC:	mu$Ark+At+kum
        GLOSS:	participation/association+[fem.pl.]+your [pl.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	النهاردة
     IS_TRANS:	AlnhArdp
        INDEX:	P9W2
      OFFSETS:	4-12
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlnhArdp)
          POS:	NO_FUNC
          VOC:	AlnhArdp
        GLOSS:	nogloss

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P9W3
      OFFSETS:	13-18
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+quwl
        GLOSS:	[present-tense]+it/she+said/say/be said/say/(for example)

 INPUT STRING:	لولادها
     IS_TRANS:	lwlAdhA
        INDEX:	P9W4
      OFFSETS:	19-26
       TOKENS:	P9W5-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(liwilAdhA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	li+wilAd+hA
        GLOSS:	for/to+children/sons+its/their/her

 INPUT STRING:	يحميكم
     IS_TRANS:	yHmykm
        INDEX:	P9W5
      OFFSETS:	27-33
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamaY_1]
   UNSPLITVOC:	(yiHomiykum)
          POS:	IV3MS+IV+IVSUFF_DO:2P
          VOC:	yi+Homiy+kum
        GLOSS:	he/it+defend/protect/forbid/be defended/be protected/be forbidden+you

 INPUT STRING:	ربي
     IS_TRANS:	rby
        INDEX:	P9W6
      OFFSETS:	34-37
       TOKENS:	P9W10-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	rab~+iy
        GLOSS:	lord/master+my

 INPUT STRING:	رفعتوا
     IS_TRANS:	rfEtwA
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaE_1]
   UNSPLITVOC:	(rafaEtuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	rafaE+tuwA
        GLOSS:	promote/raise+you

 INPUT STRING:	راسي
     IS_TRANS:	rAsy
        INDEX:	P10W2
      OFFSETS:	7-11
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAs_1]
   UNSPLITVOC:	(rAsiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	rAs+iy
        GLOSS:	head+my

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W3
      OFFSETS:	12-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P10W4
      OFFSETS:	15-17
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P10W5
      OFFSETS:	18-22
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	اتكلمت
     IS_TRANS:	Atklmt
        INDEX:	P11W2
      OFFSETS:	3-9
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(Aitokal~imt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Aitokal~im+t
        GLOSS:	talk/speak+I

 INPUT STRING:	بلسان
     IS_TRANS:	blsAn
        INDEX:	P11W3
      OFFSETS:	10-15
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lisAn_1]
   UNSPLITVOC:	(bilisAn)
          POS:	PREP+NOUN
          VOC:	bi+lisAn
        GLOSS:	with/by+tongue

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W4
      OFFSETS:	16-19
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	النهاردة
     IS_TRANS:	AlnhArdp
        INDEX:	P11W5
      OFFSETS:	20-28
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlnhArdp)
          POS:	NO_FUNC
          VOC:	AlnhArdp
        GLOSS:	nogloss

 INPUT STRING:	هقول
     IS_TRANS:	hqwl
        INDEX:	P11W6
      OFFSETS:	29-33
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HaAaquwl)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+quwl
        GLOSS:	will+I+said/say/be said/say/(for example)

 INPUT STRING:	لولادي
     IS_TRANS:	lwlAdy
        INDEX:	P11W7
      OFFSETS:	34-40
       TOKENS:	P11W9-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(liwilAdiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+wilAd+iy
        GLOSS:	for/to+children/sons+my

 INPUT STRING:	خافو
     IS_TRANS:	xAfw
        INDEX:	P11W8
      OFFSETS:	41-45
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(xAfuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	xAf+uwA
        GLOSS:	fear for/be worried (of)+you

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P11W9
      OFFSETS:	46-49
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above/about

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P11W10
      OFFSETS:	50-52
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	ذرة
     IS_TRANS:	*rp
        INDEX:	P11W11
      OFFSETS:	53-56
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ar~ap_1]
   UNSPLITVOC:	(*ar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	*ar~+ap
        GLOSS:	atom/particle+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W12
      OFFSETS:	57-59
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ترابي
     IS_TRANS:	trAby
        INDEX:	P11W13
      OFFSETS:	60-65
       TOKENS:	P11W17-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[turAb_1]
   UNSPLITVOC:	(turAbiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	turAb+iy
        GLOSS:	soil+my

 INPUT STRING:	وأحموها
     IS_TRANS:	w>HmwhA
        INDEX:	P11W14
      OFFSETS:	66-73
       TOKENS:	P11W19-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hamaY_1]
   UNSPLITVOC:	(wiAiHmuwhA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P+CVSUFF_DO:3FS
          VOC:	wi+AiHm+uwA+hA
        GLOSS:	and+protect/defend++it/them/her

 INPUT STRING:	رفعتو
     IS_TRANS:	rfEtw
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaE_1]
   UNSPLITVOC:	(rafaEtuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	rafaE+tuwA
        GLOSS:	promote/raise+you

 INPUT STRING:	راسي
     IS_TRANS:	rAsy
        INDEX:	P12W2
      OFFSETS:	6-10
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAs_1]
   UNSPLITVOC:	(rAsiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	rAs+iy
        GLOSS:	head+my

 INPUT STRING:	لفوق
     IS_TRANS:	lfwq
        INDEX:	P12W3
      OFFSETS:	11-15
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fuwoq_1]
   UNSPLITVOC:	(lifuwoq)
          POS:	PREP+NOUN
          VOC:	li+fuwoq
        GLOSS:	for/to+above/over/top

 INPUT STRING:	بعزيمة
     IS_TRANS:	bEzymp
        INDEX:	P12W4
      OFFSETS:	16-22
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaziymap_1]
   UNSPLITVOC:	(biEaziymap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+Eaziym+ap
        GLOSS:	with/by+determination/firm resolve+[fem.sg.]

 INPUT STRING:	وقوة
     IS_TRANS:	wqwp
        INDEX:	P12W5
      OFFSETS:	23-27
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(wiquw~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+quw~+ap
        GLOSS:	and+power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P12W6
      OFFSETS:	28-33
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	أشوفكم
     IS_TRANS:	>$wfkm
        INDEX:	P12W7
      OFFSETS:	34-40
       TOKENS:	P12W11-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwfkum)
          POS:	IV1S+IV+IVSUFF_DO:2P
          VOC:	Aa+$uwf+kum
        GLOSS:	I+look/see+you

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P12W8
      OFFSETS:	41-44
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
