 INPUT STRING:	المسيحيون
 INPUT STRING:	حاول
     IS_TRANS:	HAwl
        INDEX:	P1W9
      OFFSETS:	54-58
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(HAwil)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HAwil+(null)
        GLOSS:	attempt/try+he/it [verb]

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P1W10
      OFFSETS:	59-61
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	تيار
     IS_TRANS:	tyAr
        INDEX:	P1W11
      OFFSETS:	62-66
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tay~Ar_1]
   UNSPLITVOC:	(tay~Ar)
          POS:	NOUN
          VOC:	tay~Ar
        GLOSS:	current/stream/go to

 INPUT STRING:	ديني
     IS_TRANS:	dyny
        INDEX:	P1W12
      OFFSETS:	67-71
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(diyniy)
          POS:	ADJ
          VOC:	diyniy
        GLOSS:	religious

 INPUT STRING:	اسلامي
     IS_TRANS:	AslAmy
        INDEX:	P1W13
      OFFSETS:	72-78
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy)
          POS:	ADJ
          VOC:	<isolAmiy
        GLOSS:	Islamic/Islamist/Muslim

 INPUT STRING:	فرض
     IS_TRANS:	frD
        INDEX:	P1W14
      OFFSETS:	79-82
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroD_1]
   UNSPLITVOC:	(faroD)
          POS:	NOUN
          VOC:	faroD
        GLOSS:	imposing/levying/duties/suppositions

 INPUT STRING:	اتجاه
     IS_TRANS:	AtjAh
        INDEX:	P1W15
      OFFSETS:	83-88
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ijAh_1]
   UNSPLITVOC:	(Ait~ijAh)
          POS:	NOUN
          VOC:	Ait~ijAh
        GLOSS:	view/opinion

 INPUT STRING:	معين
     IS_TRANS:	mEyn
        INDEX:	P1W16
      OFFSETS:	89-93
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEay~an_1]
   UNSPLITVOC:	(muEay~an)
          POS:	NOUN
          VOC:	muEay~an
        GLOSS:	certain/specific

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P1W17
      OFFSETS:	94-99
       TOKENS:	P1W19-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	الجملة
     IS_TRANS:	Aljmlp
        INDEX:	P2W2
      OFFSETS:	4-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumolap_1]
   UNSPLITVOC:	(Aljumolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumol+ap
        GLOSS:	the+sentence/clause/sentences/clauses+[fem.sg.]

 INPUT STRING:	قالها
     IS_TRANS:	qAlhA
        INDEX:	P2W3
      OFFSETS:	11-16
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	qAl+(null)+hA
        GLOSS:	say+he/it [verb]+it/them/her

 INPUT STRING:	القس
     IS_TRANS:	Alqs
        INDEX:	P2W4
      OFFSETS:	17-21
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qis~_1]
   UNSPLITVOC:	(Alqis~)
          POS:	DET+NOUN
          VOC:	Al+qis~
        GLOSS:	the+clergyman/reverend

 INPUT STRING:	بطرس
     IS_TRANS:	bTrs
        INDEX:	P2W5
      OFFSETS:	22-26
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buTorus_1]
   UNSPLITVOC:	(buTorus)
          POS:	NOUN_PROP
          VOC:	buTorus
        GLOSS:	Boutros

 INPUT STRING:	الأنبا
     IS_TRANS:	Al>nbA
        INDEX:	P2W6
      OFFSETS:	27-33
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anobA_1]
   UNSPLITVOC:	(Al>anobA)
          POS:	DET+NOUN
          VOC:	Al+>anobA
        GLOSS:	the+Abba/Bishop/Anba

 INPUT STRING:	بولا
     IS_TRANS:	bwlA
        INDEX:	P2W7
      OFFSETS:	34-38
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwlA_1]
   UNSPLITVOC:	(buwlA)
          POS:	NOUN_PROP
          VOC:	buwlA
        GLOSS:	bola

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W8
      OFFSETS:	39-41
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ذكري
     IS_TRANS:	*kry
        INDEX:	P2W9
      OFFSETS:	42-46
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ikoraY_1]
   UNSPLITVOC:	(*ikoraY)
          POS:	NOUN
          VOC:	*ikoraY
        GLOSS:	commemoration/remembrance/memoirs/diary

 INPUT STRING:	تأبين
     IS_TRANS:	t>byn
        INDEX:	P2W10
      OFFSETS:	47-52
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>obiyn_1]
   UNSPLITVOC:	(ta>obiyn)
          POS:	NOUN
          VOC:	ta>obiyn
        GLOSS:	funeral/obituary

 INPUT STRING:	شهداء
     IS_TRANS:	$hdA'
        INDEX:	P2W11
      OFFSETS:	53-58
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	($uhadA')
          POS:	NOUN
          VOC:	$uhadA'
        GLOSS:	martyrs

 INPUT STRING:	حادثة
     IS_TRANS:	HAdvp
        INDEX:	P2W12
      OFFSETS:	59-64
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdovap_1]
   UNSPLITVOC:	(HAdovap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAdov+ap
        GLOSS:	incident/event+[fem.sg.]

 INPUT STRING:	كنيسة
     IS_TRANS:	knysp
        INDEX:	P2W13
      OFFSETS:	65-70
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiniysap_1]
   UNSPLITVOC:	(kiniysap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kiniys+ap
        GLOSS:	church+[fem.sg.]

 INPUT STRING:	القديسين
     IS_TRANS:	Alqdysyn
        INDEX:	P2W14
      OFFSETS:	71-79
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qid~iys_1]
   UNSPLITVOC:	(Alqid~iysiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+qid~iys+iyn
        GLOSS:	the+saint+[masc.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W15
      OFFSETS:	80-82
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كنيسة
     IS_TRANS:	knysp
        INDEX:	P2W16
      OFFSETS:	83-88
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiniysap_1]
   UNSPLITVOC:	(kiniysap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kiniys+ap
        GLOSS:	church+[fem.sg.]

 INPUT STRING:	ماري
     IS_TRANS:	mAry
        INDEX:	P2W17
      OFFSETS:	89-93
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAriy_1]
   UNSPLITVOC:	(mAriy)
          POS:	NOUN_PROP
          VOC:	mAriy
        GLOSS:	Mary

 INPUT STRING:	مينا
     IS_TRANS:	mynA
        INDEX:	P2W18
      OFFSETS:	94-98
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miynA_1]
   UNSPLITVOC:	(miynA)
          POS:	NOUN_PROP
          VOC:	miynA
        GLOSS:	mina

 INPUT STRING:	بالاسكندرية
     IS_TRANS:	bAlAskndryp
        INDEX:	P2W19
      OFFSETS:	99-110
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisokinodiriy~ap_1]
   UNSPLITVOC:	(biAlAisokinodiriy~ap)
          POS:	PREP+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	bi+Al+Aisokinodiriy~+ap
        GLOSS:	with/by+the+Alexandria+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W20
      OFFSETS:	110-111
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وأثارت
     IS_TRANS:	w>vArt
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avAr_1]
   UNSPLITVOC:	(wi>avArit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+>avAr+it
        GLOSS:	and+raise/provoke/agitate+it/they/she [verb]

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P3W2
      OFFSETS:	7-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	التصريحات
     IS_TRANS:	AltSryHAt
        INDEX:	P3W3
      OFFSETS:	11-20
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSoriyH_1]
   UNSPLITVOC:	(Alt~aSoriyHAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+taSoriyH+At
        GLOSS:	the+declarations/statements+[fem.pl.]

 INPUT STRING:	جدلا
     IS_TRANS:	jdlA
        INDEX:	P3W4
      OFFSETS:	21-25
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadal_1]
   UNSPLITVOC:	(jadalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jadal+AF
        GLOSS:	controvers/quarrel/debate+[acc.indef.]

 INPUT STRING:	واسعا
     IS_TRANS:	wAsEA
        INDEX:	P3W5
      OFFSETS:	26-31
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAsiE_1]
   UNSPLITVOC:	(wAsiEAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	wAsiE+AF
        GLOSS:	wide/extensive/broad+[acc.indef.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W6
      OFFSETS:	32-33
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	تصريح
     IS_TRANS:	tSryH
        INDEX:	P4W2
      OFFSETS:	4-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSoriyH_1]
   UNSPLITVOC:	(taSoriyH)
          POS:	NOUN
          VOC:	taSoriyH
        GLOSS:	declaration/statement

 INPUT STRING:	خاص
     IS_TRANS:	xAS
        INDEX:	P4W3
      OFFSETS:	10-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~_1]
   UNSPLITVOC:	(xAS~)
          POS:	ADJ
          VOC:	xAS~
        GLOSS:	private/exclusive

 INPUT STRING:	لبوابة
     IS_TRANS:	lbwAbp
        INDEX:	P4W4
      OFFSETS:	14-20
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baw~Abap_1]
   UNSPLITVOC:	(libaw~Abap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+baw~Ab+ap
        GLOSS:	for/to+portal/gate/portals/gates+[fem.sg.]

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P4W5
      OFFSETS:	21-27
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$abAb_1]
   UNSPLITVOC:	(Al$abAb)
          POS:	DET+NOUN_PROP
          VOC:	Al+$abAb
        GLOSS:	the+Shabab/Jeunesse (in "Jeunesse de la Massira")

 INPUT STRING:	أكد
     IS_TRANS:	>kd
        INDEX:	P4W6
      OFFSETS:	28-31
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~id_1]
   UNSPLITVOC:	(>ak~id)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>ak~id+(null)
        GLOSS:	confirm+he/it [verb]

 INPUT STRING:	القس
     IS_TRANS:	Alqs
        INDEX:	P4W7
      OFFSETS:	32-36
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qis~_1]
   UNSPLITVOC:	(Alqis~)
          POS:	DET+NOUN
          VOC:	Al+qis~
        GLOSS:	the+clergyman/reverend

 INPUT STRING:	بطرس
     IS_TRANS:	bTrs
        INDEX:	P4W8
      OFFSETS:	37-41
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buTorus_1]
   UNSPLITVOC:	(buTorus)
          POS:	NOUN_PROP
          VOC:	buTorus
        GLOSS:	Boutros

 INPUT STRING:	الأنبا
     IS_TRANS:	Al>nbA
        INDEX:	P4W9
      OFFSETS:	42-48
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anobA_1]
   UNSPLITVOC:	(Al>anobA)
          POS:	DET+NOUN
          VOC:	Al+>anobA
        GLOSS:	the+Abba/Bishop/Anba

 INPUT STRING:	بولا
     IS_TRANS:	bwlA
        INDEX:	P4W10
      OFFSETS:	49-53
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwlA_1]
   UNSPLITVOC:	(buwlA)
          POS:	NOUN_PROP
          VOC:	buwlA
        GLOSS:	bola

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P4W11
      OFFSETS:	54-57
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P4W12
      OFFSETS:	58-60
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يقل
     IS_TRANS:	yql
        INDEX:	P4W13
      OFFSETS:	61-64
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl-u_1]
   UNSPLITVOC:	(yaqulo)
          POS:	IV3MS+IV+IVSUFF_MOOD:J
          VOC:	ya+qul+o
        GLOSS:	he/it+say+[jus.]

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P4W14
      OFFSETS:	65-68
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P4W15
      OFFSETS:	69-75
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	بهذه
     IS_TRANS:	bh*h
        INDEX:	P4W16
      OFFSETS:	76-80
       TOKENS:	P4W19-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(biha*ihi)
          POS:	PREP+DEM_PRON_F
          VOC:	bi+ha*ihi
        GLOSS:	with/by+this/these

 INPUT STRING:	الطريقة
     IS_TRANS:	AlTryqp
        INDEX:	P4W17
      OFFSETS:	81-88
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(AlT~ariyqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Tariyq+ap
        GLOSS:	the+method/procedure/methods/manners+[fem.sg.]

 INPUT STRING:	وأن
     IS_TRANS:	w>n
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in~
        GLOSS:	and+that

 INPUT STRING:	الصحفيين
     IS_TRANS:	AlSHfyyn
        INDEX:	P5W2
      OFFSETS:	4-12
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHafiy_1]
   UNSPLITVOC:	(AlS~aHafiy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+SaHafiy~+iyn
        GLOSS:	the+journalist/reporter+[masc.pl.]

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P5W3
      OFFSETS:	13-18
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

