 INPUT STRING:	كل
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	شافها
     IS_TRANS:	$AfhA
        INDEX:	P1W13
      OFFSETS:	67-72
       TOKENS:	P1W19-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($AfhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	$Af+(null)+hA
        GLOSS:	look+he/it+it/them/her

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W14
      OFFSETS:	73-75
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P1W15
      OFFSETS:	76-81
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/countries

 INPUT STRING:	وإيه
     IS_TRANS:	w<yh
        INDEX:	P1W16
      OFFSETS:	82-86
       TOKENS:	P1W23-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(wi<iyh)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+<iyh
        GLOSS:	and+what

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P1W17
      OFFSETS:	87-89
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	الحجات
     IS_TRANS:	AlHjAt
        INDEX:	P1W18
      OFFSETS:	90-96
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HajAt_1]
   UNSPLITVOC:	(AlHajAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Haj+At
        GLOSS:	the+matter/thing+[fem.pl.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P1W19
      OFFSETS:	97-101
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	متغيرتش
     IS_TRANS:	mtgyrt$
        INDEX:	P1W20
      OFFSETS:	102-109
       TOKENS:	P1W28-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitgay~ar_1]
   UNSPLITVOC:	(maAitgay~arit$)
          POS:	NEG_PART+PV_PASS+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	ma+Aitgay~ar+it+$
        GLOSS:	not+be changed/modify/be modified/change+it/they/she+not

 INPUT STRING:	وعينزنها
     IS_TRANS:	wEynznhA
        INDEX:	P1W21
      OFFSETS:	110-118
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wEynznhA)
          POS:	TYPO
          VOC:	wEynznhA
        GLOSS:	nogloss

 INPUT STRING:	تتغير
     IS_TRANS:	ttgyr
        INDEX:	P1W22
      OFFSETS:	119-124
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(titogay~ar)
          POS:	IV3FS+IV_PASS
          VOC:	ti+togay~ar
        GLOSS:	it/they/she+change/modify

 INPUT STRING:	مستنية
     IS_TRANS:	mstnyp
        INDEX:	P2W1
      OFFSETS:	3-9
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotan~iy_1]
   UNSPLITVOC:	(misotan~iy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	misotan~iy~+ap
        GLOSS:	waiting/anticipating+[fem.sg.]

 INPUT STRING:	ردودكم
     IS_TRANS:	rdwdkm
        INDEX:	P2W2
      OFFSETS:	10-16
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(ruduwdkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	ruduwd+kum
        GLOSS:	reply/response/replies/responses/return/repulsion/in reply to/in answer to+your

 INPUT STRING:	ومتسحبوش
     IS_TRANS:	wmtsHbw$
        INDEX:	P2W3
      OFFSETS:	17-25
       TOKENS:	P2W4-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saHab_1]
   UNSPLITVOC:	(wimA_tisoHabuw$)
          POS:	CONJ+NEG_PART+IV2P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	wi+mA+ti+soHab+uwA+$
        GLOSS:	and+not+you+withdraw/pull out/be pulled out/be withdrawn+[pl.]+not

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P2W4
      OFFSETS:	26-30
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealay~A)
          POS:	NOUN+POSS_PRON_1S
          VOC:	EalaY+yA
        GLOSS:	on above+me

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	احسن
     IS_TRANS:	AHsn
        INDEX:	P3W2
      OFFSETS:	7-11
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P3W3
      OFFSETS:	12-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	حصلت
     IS_TRANS:	HSlt
        INDEX:	P3W4
      OFFSETS:	17-21
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	HaSal+it
        GLOSS:	obtain/acquire/get/be obtained/be acquired/occur/happen/take place+it/they/she

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W5
      OFFSETS:	22-24
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P3W6
      OFFSETS:	25-28
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W7
      OFFSETS:	29-31
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	30
     IS_TRANS:	30
        INDEX:	P3W8
      OFFSETS:	32-34
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[30_1]
   UNSPLITVOC:	(30)
          POS:	NOUN_NUM
          VOC:	30
        GLOSS:	30

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P3W9
      OFFSETS:	35-38
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	الايجابيات
     IS_TRANS:	AlAyjAbyAt
        INDEX:	P4W1
      OFFSETS:	0-10
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyjAbiy_1]
   UNSPLITVOC:	(Al<iyjAbiy~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<iyjAbiy~+At
        GLOSS:	the+positive aspects/good points+[fem.pl.]

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P4W2
      OFFSETS:	11-15
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	most/majority/more than/more

 INPUT STRING:	بكتير
     IS_TRANS:	bktyr
        INDEX:	P4W3
      OFFSETS:	16-21
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(bikitiyr)
          POS:	PREP+ADJ
          VOC:	bi+kitiyr
        GLOSS:	with/by+numerous/many/several/much/a lot/very

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W4
      OFFSETS:	22-24
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السلبيات
     IS_TRANS:	AlslbyAt
        INDEX:	P4W5
      OFFSETS:	25-33
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[salobiy~_1]
   UNSPLITVOC:	(Alsalobiy~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+salobiy~+At
        GLOSS:	the+negative points+[fem.pl.]

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P4W6
      OFFSETS:	34-38
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+yet/on the other hand/still/But/however/nevertheless

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P4W7
      OFFSETS:	39-42
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	برايى
     IS_TRANS:	brAyY
        INDEX:	P4W8
      OFFSETS:	43-48
       TOKENS:	P4W10-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(bira>oyiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	bi+ra>oy+iy
        GLOSS:	with/by+opinion/view/idea/opinions/views/ideas+my

 INPUT STRING:	السلبيات
     IS_TRANS:	AlslbyAt
        INDEX:	P4W9
      OFFSETS:	49-57
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[salobiy~_1]
   UNSPLITVOC:	(Alsalobiy~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+salobiy~+At
        GLOSS:	the+negative points+[fem.pl.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P4W10
      OFFSETS:	58-60
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	ضربية
     IS_TRANS:	Drbyp
        INDEX:	P4W11
      OFFSETS:	61-66
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Drbyp)
          POS:	TYPO
          VOC:	Drbyp
        GLOSS:	nogloss

 INPUT STRING:	النجاح
     IS_TRANS:	AlnjAH
        INDEX:	P4W12
      OFFSETS:	67-73
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[najAH_1]
   UNSPLITVOC:	(Aln~ajAH)
          POS:	DET+NOUN
          VOC:	Al+najAH
        GLOSS:	the+success/successes

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	كتيرة
     IS_TRANS:	ktyrp
        INDEX:	P5W2
      OFFSETS:	6-11
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kitiyr+ap
        GLOSS:	numerous/many/several/much/a lot/very+[fem.sg.]

 INPUT STRING:	اتغيرت
     IS_TRANS:	Atgyrt
        INDEX:	P5W3
      OFFSETS:	12-18
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(Aitogay~arit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aitogay~ar+it
        GLOSS:	change/modify+it/they/she

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P5W4
      OFFSETS:	19-22
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P5W5
      OFFSETS:	23-29
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W6
      OFFSETS:	29-30
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W7
      OFFSETS:	30-31
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	نفسى
     IS_TRANS:	nfsY
        INDEX:	P5W8
      OFFSETS:	32-36
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nifs_1]
   UNSPLITVOC:	(nifsiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifs+iy
        GLOSS:	hope/dsire/same/self/appetite/soul/selves/wish+my

 INPUT STRING:	نفوس
     IS_TRANS:	nfws
        INDEX:	P5W9
      OFFSETS:	37-41
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_2]
   UNSPLITVOC:	(nufuws)
          POS:	NOUN
          VOC:	nufuws
        GLOSS:	souls

 INPUT STRING:	المصرين
     IS_TRANS:	AlmSryn
        INDEX:	P5W10
      OFFSETS:	42-49
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSoriy_1]
   UNSPLITVOC:	(AlmiSoriyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+miSor+iyn
        GLOSS:	the+egyptians/Egyptian+[masc.pl.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P5W11
      OFFSETS:	50-52
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P5W12
      OFFSETS:	53-57
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	تتغير
     IS_TRANS:	ttgyr
        INDEX:	P5W13
      OFFSETS:	58-63
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(titogay~ar)
          POS:	IV3FS+IV_PASS
          VOC:	ti+togay~ar
        GLOSS:	it/they/she+change/modify

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(wi<in)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in
        GLOSS:	and+if

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P6W2
      OFFSETS:	4-7
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P6W3
      OFFSETS:	8-12
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
