 INPUT STRING:	يا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be+we

 INPUT STRING:	اتحررنا
     IS_TRANS:	AtHrrnA
        INDEX:	P1W21
      OFFSETS:	112-119
       TOKENS:	P1W29-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHar~ar_1]
   UNSPLITVOC:	(AitoHar~arnA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	AitoHar~ar+(null)+nA
        GLOSS:	be free+he/it+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W22
      OFFSETS:	120-122
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	حكم
     IS_TRANS:	Hkm
        INDEX:	P1W23
      OFFSETS:	123-126
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Hukom)
          POS:	NOUN
          VOC:	Hukom
        GLOSS:	rule/government

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P1W24
      OFFSETS:	127-132
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	وعصابته
     IS_TRANS:	wESAbth
        INDEX:	P1W25
      OFFSETS:	133-140
       TOKENS:	P1W34-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EiSAba_1]
   UNSPLITVOC:	(wiEiSAbapuh)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	wi+EiSAb+ap+uh
        GLOSS:	and+gang+[fem.sg.]+his/its

 INPUT STRING:	المماليك
     IS_TRANS:	AlmmAlyk
        INDEX:	P1W26
      OFFSETS:	141-149
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamoluwk_1]
   UNSPLITVOC:	(AlmamAliyk)
          POS:	DET+NOUN
          VOC:	Al+mamAliyk
        GLOSS:	the+slaves

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W27
      OFFSETS:	150-153
       TOKENS:	P1W38-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	راي
     IS_TRANS:	rAy
        INDEX:	P1W28
      OFFSETS:	154-157
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	دكتور
     IS_TRANS:	dktwr
        INDEX:	P1W29
      OFFSETS:	158-163
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(dukotawr)
          POS:	NOUN
          VOC:	dukotawr
        GLOSS:	doctor

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P1W30
      OFFSETS:	164-169
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN_PROP
          VOC:	tawfiyq
        GLOSS:	Tawfiq

 INPUT STRING:	عكاشه
     IS_TRANS:	EkA$h
        INDEX:	P1W31
      OFFSETS:	170-175
       TOKENS:	P1W42-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EukA$ap_1]
   UNSPLITVOC:	(EukA$ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	EukA$+ap
        GLOSS:	Okasha+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W32
      OFFSETS:	176-179
       TOKENS:	P1W43-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قناة
     IS_TRANS:	qnAp
        INDEX:	P1W33
      OFFSETS:	180-184
       TOKENS:	P1W44-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN
          VOC:	qanAp
        GLOSS:	channel/channels

 INPUT STRING:	الفراعين
     IS_TRANS:	AlfrAEyn
        INDEX:	P1W34
      OFFSETS:	185-193
       TOKENS:	P1W45-P1W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[farAEiyn_1]
   UNSPLITVOC:	(AlfarAEiyn)
          POS:	DET+NOUN_PROP+NSUFF_MASC_PL
          VOC:	Al+farAE+iyn
        GLOSS:	the+Farain+two

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P1W35
      OFFSETS:	194-197
       TOKENS:	P1W46-P1W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P1W36
      OFFSETS:	198-203
       TOKENS:	P1W47-P1W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	بتهاجمه
     IS_TRANS:	bthAjmh
        INDEX:	P1W37
      OFFSETS:	204-211
       TOKENS:	P1W48-P1W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(bithAjmuh)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:3MS
          VOC:	bi+t+hAjm+uh
        GLOSS:	[present-tense]+it/they/she+attack+them

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P1W38
      OFFSETS:	212-216
       TOKENS:	P1W51-P1W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	بيدافع
     IS_TRANS:	bydAfE
        INDEX:	P1W39
      OFFSETS:	217-223
       TOKENS:	P1W53-P1W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(biyidAfiE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+dAfiE
        GLOSS:	[present-tense]+he/it+defend

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W40
      OFFSETS:	224-226
       TOKENS:	P1W55-P1W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P1W41
      OFFSETS:	227-232
       TOKENS:	P1W56-P1W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P2W2
      OFFSETS:	4-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P2W3
      OFFSETS:	7-12
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN_PROP
          VOC:	tawfiyq
        GLOSS:	Tawfiq

 INPUT STRING:	عكاشه
     IS_TRANS:	EkA$h
        INDEX:	P2W4
      OFFSETS:	13-18
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EukA$ap_1]
   UNSPLITVOC:	(EukA$ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	EukA$+ap
        GLOSS:	Okasha+[fem.sg.]

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P2W5
      OFFSETS:	19-21
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	Gloss:TBA+him/it

 INPUT STRING:	اخطاء
     IS_TRANS:	AxTA'
        INDEX:	P2W6
      OFFSETS:	22-27
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTa>_1]
   UNSPLITVOC:	(>axoTA')
          POS:	NOUN
          VOC:	>axoTA'
        GLOSS:	mistakes/errors/faults

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W7
      OFFSETS:	28-30
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	النهايه
     IS_TRANS:	AlnhAyh
        INDEX:	P2W8
      OFFSETS:	31-38
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nihAyap_1]
   UNSPLITVOC:	(Aln~ihAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nihAy+ap
        GLOSS:	the+end/termination+[fem.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P2W9
      OFFSETS:	39-41
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بشر
     IS_TRANS:	b$r
        INDEX:	P2W10
      OFFSETS:	42-45
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ba$or_1]
   UNSPLITVOC:	(ba$or)
          POS:	NOUN
          VOC:	ba$or
        GLOSS:	human being

 INPUT STRING:	وكلنا
     IS_TRANS:	wklnA
        INDEX:	P2W11
      OFFSETS:	46-51
       TOKENS:	P2W12-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~inA)
          POS:	CONJ+NOUN_QUANT+POSS_PRON_1P
          VOC:	wi+kul~+nA
        GLOSS:	and+all/entire+our

 INPUT STRING:	بنغلط
     IS_TRANS:	bnglT
        INDEX:	P2W12
      OFFSETS:	52-57
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giliT_1]
   UNSPLITVOC:	(binigolaT)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+golaT
        GLOSS:	[present-tense]+we+make errors

 INPUT STRING:	برنامج
     IS_TRANS:	brnAmj
        INDEX:	P2W13
      OFFSETS:	58-64
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(bironAmij)
          POS:	NOUN
          VOC:	bironAmij
        GLOSS:	program

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W14
      OFFSETS:	65-68
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P2W15
      OFFSETS:	69-74
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	كشف
     IS_TRANS:	k$f
        INDEX:	P2W16
      OFFSETS:	75-78
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka$af_1]
   UNSPLITVOC:	(ka$af)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	ka$af+(null)
        GLOSS:	discover/reveal/disclose/examine/be discovered/be revealed/be disclosed/examine+he/it

 INPUT STRING:	مخطط
     IS_TRANS:	mxTT
        INDEX:	P2W17
      OFFSETS:	79-83
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxaT~aT_1]
   UNSPLITVOC:	(muxaT~aT)
          POS:	NOUN
          VOC:	muxaT~aT
        GLOSS:	plan/sketch

 INPUT STRING:	اسقاط
     IS_TRANS:	AsqAT
        INDEX:	P2W18
      OFFSETS:	84-89
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isoqAT_1]
   UNSPLITVOC:	(<isoqAT)
          POS:	NOUN
          VOC:	<isoqAT
        GLOSS:	overthrow/shooting down

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P2W19
      OFFSETS:	90-95
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	واسقاط
     IS_TRANS:	wAsqAT
        INDEX:	P2W20
      OFFSETS:	96-102
       TOKENS:	P2W24-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isoqAT_1]
   UNSPLITVOC:	(wi<isoqAT)
          POS:	CONJ+NOUN
          VOC:	wi+<isoqAT
        GLOSS:	and+overthrow/shooting down

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W21
      OFFSETS:	103-106
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	با
     IS_TRANS:	bA
        INDEX:	P2W22
      OFFSETS:	107-109
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bi)
          POS:	PREP
          VOC:	bi
        GLOSS:	with

 INPUT STRING:	المستندات
     IS_TRANS:	AlmstndAt
        INDEX:	P2W23
      OFFSETS:	110-119
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotanad_1]
   UNSPLITVOC:	(AlmusotanadAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+musotanad+At
        GLOSS:	the+deeds/vouchers/receipts+[fem.pl.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P2W24
      OFFSETS:	120-123
