 INPUT STRING:	نحن
        GLOSS:	with/by+dead/lifeless+[indef.gen.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W6
      OFFSETS:	27-29
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	إيلام
     IS_TRANS:	<ylAm
        INDEX:	P1W7
      OFFSETS:	30-35
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iylAm_1]
   UNSPLITVOC:	(<iylAmi)
          POS:	NOUN+CASE_DEF_GEN
          VOC:	<iylAm+i
        GLOSS:	wound/pain+[def.gen.]

 INPUT STRING:	لقد
     IS_TRANS:	lqd
        INDEX:	P2W1
      OFFSETS:	1-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(laqado)
          POS:	VERB_PART
          VOC:	laqado
        GLOSS:	already

 INPUT STRING:	شاهدت
     IS_TRANS:	$Ahdt
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Ahad_1]
   UNSPLITVOC:	($Ahadotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	$Ahad+tu
        GLOSS:	watch/observe/witness+I [verb]

 INPUT STRING:	بالامس
     IS_TRANS:	bAlAms
        INDEX:	P2W3
      OFFSETS:	11-17
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amos_1]
   UNSPLITVOC:	(biAl>amos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+>amos
        GLOSS:	with/by+the+yesterday

 INPUT STRING:	لقطات
     IS_TRANS:	lqTAt
        INDEX:	P2W4
      OFFSETS:	18-23
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laqoTap_1]
   UNSPLITVOC:	(laqaTAtK)
          POS:	NOUN+NSUFF_FEM_PL+CASE_INDEF_ACC
          VOC:	laqaT+At+K
        GLOSS:	pictures/snapshots/film footage/video+[fem.pl.]+[indef.acc.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W5
      OFFSETS:	24-26
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	برنامج
     IS_TRANS:	brnAmj
        INDEX:	P2W6
      OFFSETS:	27-33
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(bironAmij)
          POS:	NOUN
          VOC:	bironAmij
        GLOSS:	program

 INPUT STRING:	الحقيقة
     IS_TRANS:	AlHqyqp
        INDEX:	P2W7
      OFFSETS:	34-41
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqiyqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Haqiyq+ap
        GLOSS:	the+truth/reality/truth/facts+[fem.sg.]

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P2W8
      OFFSETS:	42-46
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	يقدمة
     IS_TRANS:	yqdmp
        INDEX:	P2W9
      OFFSETS:	47-52
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qad~am_1]
   UNSPLITVOC:	(yuqad~imuhu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I+IVSUFF_DO:3MS
          VOC:	yu+qad~im+u+hu
        GLOSS:	he/it+offer/present/introduce+[ind.]+it/him

 INPUT STRING:	وائل
     IS_TRANS:	wA}l
        INDEX:	P2W10
      OFFSETS:	53-57
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA}il_1]
   UNSPLITVOC:	(wA}il)
          POS:	NOUN_PROP
          VOC:	wA}il
        GLOSS:	Wael/Wa'il

 INPUT STRING:	الابراشى
     IS_TRANS:	AlAbrA$Y
        INDEX:	P2W11
      OFFSETS:	58-66
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iborA$iy_1]
   UNSPLITVOC:	(Al<iborA$iy)
          POS:	DET+NOUN_PROP
          VOC:	Al+<iborA$iy
        GLOSS:	the+Alabrashi

 INPUT STRING:	وكانت
     IS_TRANS:	wkAnt
        INDEX:	P2W12
      OFFSETS:	67-72
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn-u_1]
   UNSPLITVOC:	(wakAnat)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wa+kAn+at
        GLOSS:	and+be/was/were+it/they/she [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W13
      OFFSETS:	73-75
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المحكمةالتى
     IS_TRANS:	AlmHkmpAltY
        INDEX:	P2W14
      OFFSETS:	76-87
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlmHkmpAltY)
          POS:	TYPO
          VOC:	AlmHkmpAltY
        GLOSS:	nogloss

 INPUT STRING:	أصدرت
     IS_TRANS:	>Sdrt
        INDEX:	P2W15
      OFFSETS:	88-93
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSodar_1]
   UNSPLITVOC:	(>aSodarat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>aSodar+at
        GLOSS:	issue/publish+it/they/she [verb]

 INPUT STRING:	الاحكام
     IS_TRANS:	AlAHkAm
        INDEX:	P2W16
      OFFSETS:	94-101
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Al>aHokAm)
          POS:	DET+NOUN
          VOC:	Al+>aHokAm
        GLOSS:	the+judgments/decisions//verdicts

 INPUT STRING:	المهلبية
     IS_TRANS:	Almhlbyp
        INDEX:	P2W17
      OFFSETS:	102-110
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhal~abiy~ap_1]
   UNSPLITVOC:	(Almuhal~abiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muhal~abiy~+ap
        GLOSS:	the+mahallabiya (rice pudding topped with pistachios)+[fem.sg.]

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P2W18
      OFFSETS:	111-113
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amo_1]
   UNSPLITVOC:	(>amo)
          POS:	CONJ
          VOC:	>amo
        GLOSS:	or

 INPUT STRING:	تقليةعلى
     IS_TRANS:	tqlypElY
        INDEX:	P2W19
      OFFSETS:	114-122
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tqlypElY)
          POS:	TYPO
          VOC:	tqlypElY
        GLOSS:	nogloss

 INPUT STRING:	عصابة
     IS_TRANS:	ESAbp
        INDEX:	P2W20
      OFFSETS:	123-128
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiSAbap_1]
   UNSPLITVOC:	(EiSAbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EiSAb+ap
        GLOSS:	gang/group/band/gangs/groups/bands+[fem.sg.]

 INPUT STRING:	ممدوح
     IS_TRANS:	mmdwH
        INDEX:	P2W21
      OFFSETS:	129-134
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamoduwH_1]
   UNSPLITVOC:	(mamoduwH)
          POS:	NOUN_PROP
          VOC:	mamoduwH
        GLOSS:	MamduH

 INPUT STRING:	اسماعيل
     IS_TRANS:	AsmAEyl
        INDEX:	P2W22
      OFFSETS:	135-142
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisomAEiyl_1]
   UNSPLITVOC:	(AisomAEiyl)
          POS:	NOUN_PROP
          VOC:	AisomAEiyl
        GLOSS:	Ismail

 INPUT STRING:	ليمتد
     IS_TRANS:	lymtd
        INDEX:	P2W23
      OFFSETS:	143-148
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lymtd)
          POS:	FOREIGN
          VOC:	lymtd
        GLOSS:	nogloss

 INPUT STRING:	وشركاة
     IS_TRANS:	w$rkAp
        INDEX:	P2W24
      OFFSETS:	149-155
       TOKENS:	P2W27-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ariyk_1]
   UNSPLITVOC:	(wi$urakAh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+$urakA+uh
        GLOSS:	and+partners+his/its

 INPUT STRING:	ولكم
     IS_TRANS:	wlkm
        INDEX:	P3W1
      OFFSETS:	1-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wlkm)
          POS:	NO_FUNC
          VOC:	wlkm
        GLOSS:	nogloss

 INPUT STRING:	اثارتنى
     IS_TRANS:	AvArtnY
        INDEX:	P3W2
      OFFSETS:	6-13
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>avAr_1]
   UNSPLITVOC:	(>avAratoniy)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:1S
          VOC:	>avAr+at+niy
        GLOSS:	raise/provoke/agitate+it/they/she [verb]+me

 INPUT STRING:	وأبكتنى
     IS_TRANS:	w>bktnY
        INDEX:	P3W3
      OFFSETS:	14-21
       TOKENS:	P3W4-P3W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>abokaY_1]
   UNSPLITVOC:	(wa>abokatoniy)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:1S
          VOC:	wa+>abok+at+niy
        GLOSS:	and+make cry+it/they/she [verb]+me

 INPUT STRING:	الفرحة
     IS_TRANS:	AlfrHp
        INDEX:	P3W4
      OFFSETS:	22-28
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHap_1]
   UNSPLITVOC:	(AlfaroHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+faroH+ap
        GLOSS:	the+joy+[fem.sg.]

 INPUT STRING:	الغامرة
     IS_TRANS:	AlgAmrp
        INDEX:	P3W5
      OFFSETS:	29-36
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAmir_1]
   UNSPLITVOC:	(AlgAmirap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+gAmir+ap
        GLOSS:	the+overflowing/plentiful+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P3W6
      OFFSETS:	37-41
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	اصابت
     IS_TRANS:	ASAbt
        INDEX:	P3W7
      OFFSETS:	42-47
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSAb_1]
   UNSPLITVOC:	(>aSAbat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>aSAb+at
        GLOSS:	strike/afflict+it/they/she [verb]

 INPUT STRING:	اهل
     IS_TRANS:	Ahl
        INDEX:	P3W8
      OFFSETS:	48-51
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people

 INPUT STRING:	الضحايا
     IS_TRANS:	AlDHAyA
        INDEX:	P3W9
      OFFSETS:	52-59
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(AlDaHAyA)
          POS:	DET+NOUN
          VOC:	Al+DaHAyA
        GLOSS:	the+victims

 INPUT STRING:	بالحكم
     IS_TRANS:	bAlHkm
        INDEX:	P3W10
      OFFSETS:	60-66
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(biAlHukom)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Hukom
        GLOSS:	with/by+the+judgment/decision/verdict

 INPUT STRING:	العبيط
     IS_TRANS:	AlEbyT
        INDEX:	P3W11
      OFFSETS:	67-73
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EabiyT_1]
   UNSPLITVOC:	(AlEabiyT)
          POS:	DET+ADJ
          VOC:	Al+EabiyT
        GLOSS:	the+fool

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P3W12
      OFFSETS:	74-78
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	اصدرتة
     IS_TRANS:	ASdrtp
        INDEX:	P3W13
      OFFSETS:	79-85
       TOKENS:	P3W17-P3W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSodar_1]
   UNSPLITVOC:	(>aSodaratohu)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3MS
          VOC:	>aSodar+at+hu
        GLOSS:	issue/publish+it/they/she [verb]+it/him

 INPUT STRING:	المحكمة
     IS_TRANS:	AlmHkmp
        INDEX:	P3W14
      OFFSETS:	86-93
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHokamap_1]
   UNSPLITVOC:	(AlmaHokamap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maHokam+ap
        GLOSS:	the+court/tribunal+[fem.sg.]

 INPUT STRING:	ورايت
     IS_TRANS:	wrAyt
        INDEX:	P4W1
      OFFSETS:	1-6
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>ay_1]
   UNSPLITVOC:	(wira<iyt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+ra>aY+t
        GLOSS:	and+see+I[verb]

 INPUT STRING:	كم
     IS_TRANS:	km
        INDEX:	P4W2
      OFFSETS:	7-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kamo_2]
   UNSPLITVOC:	(kamo)
          POS:	REL_PRON
          VOC:	kamo
        GLOSS:	how many/much

 INPUT STRING:	هللوا
     IS_TRANS:	hllwA
        INDEX:	P4W3
      OFFSETS:	10-15
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hal~al_1]
   UNSPLITVOC:	(hal~aluwA)
          POS:	PV+PVSUFF_SUBJ:3MP
          VOC:	hal~al+uwA
        GLOSS:	rejoice/applaud+they [verb]

 INPUT STRING:	ورقصوا
     IS_TRANS:	wrqSwA
        INDEX:	P4W4
      OFFSETS:	16-22
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raqaS-u_1]
   UNSPLITVOC:	(waraqaSuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MP
          VOC:	wa+raqaS+uwA
        GLOSS:	and+dance+they [verb]

 INPUT STRING:	وغنوا
     IS_TRANS:	wgnwA
        INDEX:	P4W5
      OFFSETS:	23-28
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gan~aY_1]
   UNSPLITVOC:	(wagan~awoA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MP
          VOC:	wa+gan~+awoA
        GLOSS:	and+sing+they [verb]

 INPUT STRING:	وهتفوا
     IS_TRANS:	whtfwA
        INDEX:	P4W6
      OFFSETS:	29-35
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hataf-i_1]
   UNSPLITVOC:	(wahatafuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MP
          VOC:	wa+hataf+uwA
        GLOSS:	and+call/shout/cheer+they [verb]

 INPUT STRING:	يحيا
     IS_TRANS:	yHyA
        INDEX:	P4W7
      OFFSETS:	36-40
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hay~-a_1]
   UNSPLITVOC:	(yaHoyA)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+HoyA+(null)
        GLOSS:	he/it+live/experience/witness+[ind.]

 INPUT STRING:	العدل
     IS_TRANS:	AlEdl
        INDEX:	P4W8
      OFFSETS:	41-46
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadol_1]
   UNSPLITVOC:	(AlEadol)
          POS:	DET+NOUN
          VOC:	Al+Eadol
        GLOSS:	the+justice/fairness

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W9
      OFFSETS:	47-48
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وقتها
     IS_TRANS:	wqthA
        INDEX:	P5W1
      OFFSETS:	1-6
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqotahA)
          POS:	NOUN+CASE_DEF_ACC+POSS_PRON_3FS
          VOC:	waqot+a+hA
        GLOSS:	time/moment/period of time+[def.acc.]+its/their/her

 INPUT STRING:	ادركت
     IS_TRANS:	Adrkt
        INDEX:	P5W2
      OFFSETS:	7-12
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>adorak_1]
   UNSPLITVOC:	(>adorakotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	>adorak+tu
        GLOSS:	comprehend/realize+I [verb]

 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P5W3
      OFFSETS:	13-18
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_2]
   UNSPLITVOC:	(limA*A)
          POS:	REL_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	يحدث
     IS_TRANS:	yHdv
        INDEX:	P5W4
      OFFSETS:	19-23
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hadav-u_1]
   UNSPLITVOC:	(yaHoduvu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+Hoduv+u
        GLOSS:	he/it+happen/take place+[ind.]

 INPUT STRING:	فينا
     IS_TRANS:	fynA
        INDEX:	P5W5
      OFFSETS:	24-28
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiynA)
          POS:	PREP+PRON_1P
          VOC:	fiy+nA
        GLOSS:	in+us

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W6
      OFFSETS:	29-31
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W7
      OFFSETS:	32-34
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mA)
          POS:	NO_FUNC
          VOC:	mA
        GLOSS:	nogloss

 INPUT STRING:	يحدث
     IS_TRANS:	yHdv
        INDEX:	P5W8
      OFFSETS:	35-39
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hadav-u_1]
   UNSPLITVOC:	(yaHoduvu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
