 INPUT STRING:	حبيب
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P1W16
      OFFSETS:	76-80
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	good

 INPUT STRING:	ويصلح
     IS_TRANS:	wySlH
        INDEX:	P1W17
      OFFSETS:	81-86
       TOKENS:	P1W23-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SalaH_1]
   UNSPLITVOC:	(wiyiSoliH)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+SoliH
        GLOSS:	and+he+be suitable

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P1W18
      OFFSETS:	87-89
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	حول
     IS_TRANS:	Hwl
        INDEX:	P1W19
      OFFSETS:	90-93
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hawol_1]
   UNSPLITVOC:	(Hawol)
          POS:	NOUN
          VOC:	Hawol
        GLOSS:	ability

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P1W20
      OFFSETS:	94-97
       TOKENS:	P1W27-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+CONJ
          VOC:	wa+lA
        GLOSS:	and+nor, neither

 INPUT STRING:	قوة
     IS_TRANS:	qwp
        INDEX:	P1W21
      OFFSETS:	98-101
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quw~+ap
        GLOSS:	power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P1W22
      OFFSETS:	102-105
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P1W23
      OFFSETS:	106-111
       TOKENS:	P1W31-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	دالو
     IS_TRANS:	dAlw
        INDEX:	P1W24
      OFFSETS:	112-116
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(dAlw)
          POS:	NO_FUNC
          VOC:	dAlw
        GLOSS:	nogloss

 INPUT STRING:	هوه
     IS_TRANS:	hwh
        INDEX:	P1W25
      OFFSETS:	117-120
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	DEM_PRON_MS
          VOC:	huw~a
        GLOSS:	this

 INPUT STRING:	الوحيد
     IS_TRANS:	AlwHyd
        INDEX:	P1W26
      OFFSETS:	121-127
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHiyd_1]
   UNSPLITVOC:	(AlwaHiyd)
          POS:	DET+ADJ
          VOC:	Al+waHiyd
        GLOSS:	the+exclusive/alone/sole/only

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P1W27
      OFFSETS:	128-132
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	يرشح
     IS_TRANS:	yr$H
        INDEX:	P1W28
      OFFSETS:	133-137
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra$~aH_1]
   UNSPLITVOC:	(yira$~aH)
          POS:	IV3MS+IV
          VOC:	yi+ra$~aH
        GLOSS:	he+be nominated/be appointed as candidate

 INPUT STRING:	نفسةمش
     IS_TRANS:	nfspm$
        INDEX:	P1W29
      OFFSETS:	138-144
       TOKENS:	P1W38-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuhmi$~)
          POS:	NOUN+POSS_PRON_3MS+NEG_PART
          VOC:	nafos+uh+mi$~
        GLOSS:	sameself+his+not

 INPUT STRING:	هنتخبةبردو
     IS_TRANS:	hntxbpbrdw
        INDEX:	P1W30
      OFFSETS:	145-155
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(hntxbpbrdw)
          POS:	NO_FUNC
          VOC:	hntxbpbrdw
        GLOSS:	nogloss

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	حريه
     IS_TRANS:	Hryh
        INDEX:	P2W2
      OFFSETS:	3-7
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(Hur~iy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hur~iy~+ap
        GLOSS:	freedom+[fem.sg.]

 INPUT STRING:	شخصيه
     IS_TRANS:	$xSyh
        INDEX:	P2W3
      OFFSETS:	8-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$axoSiy~_1]
   UNSPLITVOC:	($axoSiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$axoSiy~+ap
        GLOSS:	private/personal+[fem.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P3W3
      OFFSETS:	8-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	بتروح
     IS_TRANS:	btrwH
        INDEX:	P3W4
      OFFSETS:	12-17
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAH_2]
   UNSPLITVOC:	(bitoruwH)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+to+ruwH
        GLOSS:	[present-tense]+it/they/she+go

 INPUT STRING:	انترفيو
     IS_TRANS:	Antrfyw
        INDEX:	P3W5
      OFFSETS:	18-25
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Antrfyw)
          POS:	FOREIGN
          VOC:	Antrfyw
        GLOSS:	nogloss

 INPUT STRING:	بتعملى
     IS_TRANS:	btEmlY
        INDEX:	P3W6
      OFFSETS:	26-32
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomiliy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+Eomil+iy
        GLOSS:	[present-tense]+you+do+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P3W7
      OFFSETS:	33-36
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_2]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W8
      OFFSETS:	36-37
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	قالك
     IS_TRANS:	qAlk
        INDEX:	P4W2
      OFFSETS:	3-7
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlik)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2FS
          VOC:	qAl+(null)+ik
        GLOSS:	said/say/be said/say/(for example)+he/it+you

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P4W3
      OFFSETS:	8-12
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيسالك
     IS_TRANS:	bysAlk
        INDEX:	P4W4
      OFFSETS:	13-19
       TOKENS:	P4W5-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(biyiso>alak)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:2MS
          VOC:	bi+yi+so>al+ak
        GLOSS:	[present-tense]+he/it+ask/inquire/request/be asked+you

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P4W5
      OFFSETS:	20-24
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	عاوزه
     IS_TRANS:	EAwzh
        INDEX:	P4W6
      OFFSETS:	25-30
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	الوظيفه
     IS_TRANS:	AlwZyfh
        INDEX:	P4W7
      OFFSETS:	31-38
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waZiyfap_1]
   UNSPLITVOC:	(AlwaZiyfap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+waZiyf+ap
        GLOSS:	the+job/position/function+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P4W8
      OFFSETS:	39-41
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P4W9
      OFFSETS:	42-45
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	REL_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	ماهو
     IS_TRANS:	mAhw
        INDEX:	P4W10
      OFFSETS:	46-50
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAhw)
          POS:	NO_FUNC
          VOC:	mAhw
        GLOSS:	nogloss

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P4W11
      OFFSETS:	51-54
       TOKENS:	P4W14-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P4W12
      OFFSETS:	55-58
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	تانيه
     IS_TRANS:	tAnyh
        INDEX:	P4W13
      OFFSETS:	59-64
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	other+[fem.sg.]

 INPUT STRING:	كويسه
     IS_TRANS:	kwysh
        INDEX:	P4W14
      OFFSETS:	65-70
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	good+[fem.sg.]

 INPUT STRING:	تفتكرى
     IS_TRANS:	tftkrY
        INDEX:	P4W15
      OFFSETS:	71-77
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aifotakar_1]
   UNSPLITVOC:	(tifotikoriy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+fotikor+iy
        GLOSS:	you+think+you

 INPUT STRING:	حتردى
     IS_TRANS:	HtrdY
        INDEX:	P4W16
      OFFSETS:	78-83
       TOKENS:	P4W20-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(Hatirud~iy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+rud~+iy
        GLOSS:	will+you+answer+you

 INPUT STRING:	تقولى
     IS_TRANS:	tqwlY
        INDEX:	P4W17
      OFFSETS:	84-89
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+quwl+iy
        GLOSS:	you+said/say/be said/say/(for example)+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P4W18
      OFFSETS:	90-93
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_2]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W19
      OFFSETS:	93-94
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P5W1
      OFFSETS:	0-7
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+NOUN
          VOC:	Al+maforuwD
        GLOSS:	the+obligation/duty

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W2
      OFFSETS:	8-10
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اداب
     IS_TRANS:	AdAb
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adab_1]
   UNSPLITVOC:	(AdAb)
          POS:	NOUN
          VOC:	AdAb
        GLOSS:	good manners/etiquette

 INPUT STRING:	المقابلات
     IS_TRANS:	AlmqAblAt
        INDEX:	P5W4
      OFFSETS:	16-25
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqAbolap_1]
   UNSPLITVOC:	(AlmuqAbolAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muqAbol+At
        GLOSS:	the+encounter/meeting/interview+[fem.pl.]

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P5W5
      OFFSETS:	26-29
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
