 INPUT STRING:	موضوع
     IS_TRANS:	zft
        INDEX:	P1W9
      OFFSETS:	45-48
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zifot_1]
   UNSPLITVOC:	(zifot)
          POS:	NOUN
          VOC:	zifot
        GLOSS:	asphalt/pitch

 INPUT STRING:	ديفيد
     IS_TRANS:	dyfyd
        INDEX:	P1W10
      OFFSETS:	49-54
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyfiyd_1]
   UNSPLITVOC:	(diyfiyd)
          POS:	NOUN_PROP
          VOC:	diyfiyd
        GLOSS:	David

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+who/whose/which

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P2W2
      OFFSETS:	6-10
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	يلغيها
     IS_TRANS:	ylgyhA
        INDEX:	P2W3
      OFFSETS:	11-17
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lagaY_1]
   UNSPLITVOC:	(yilogiyhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+logiy+hA
        GLOSS:	he/it+cancel+it/them/her

 INPUT STRING:	يلغى
     IS_TRANS:	ylgY
        INDEX:	P2W4
      OFFSETS:	18-22
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lagaY_1]
   UNSPLITVOC:	(yilogiy)
          POS:	IV3MS+IV
          VOC:	yi+logiy
        GLOSS:	he/it+cancel

 INPUT STRING:	المعاهدة
     IS_TRANS:	AlmEAhdp
        INDEX:	P2W5
      OFFSETS:	23-31
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAhodap_1]
   UNSPLITVOC:	(AlmuEAhodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muEAhod+ap
        GLOSS:	the+treaty/accord/pact+[fem.sg.]

 INPUT STRING:	الاول
     IS_TRANS:	AlAwl
        INDEX:	P2W6
      OFFSETS:	32-37
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(Al>aw~al)
          POS:	DET+ADJ_NUM
          VOC:	Al+>aw~al
        GLOSS:	the+first

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W2
      OFFSETS:	4-6
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المعاهدة
     IS_TRANS:	AlmEAhdp
        INDEX:	P3W3
      OFFSETS:	7-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAhodap_1]
   UNSPLITVOC:	(AlmuEAhodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muEAhod+ap
        GLOSS:	the+treaty/accord/pact+[fem.sg.]

 INPUT STRING:	قصاد
     IS_TRANS:	qSAd
        INDEX:	P3W4
      OFFSETS:	16-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quSAd_1]
   UNSPLITVOC:	(quSAd)
          POS:	NOUN
          VOC:	quSAd
        GLOSS:	in front of/opposite

 INPUT STRING:	معونتنا
     IS_TRANS:	mEwntnA
        INDEX:	P3W5
      OFFSETS:	21-28
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(maEuwnatnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	maEuwn+ap+nA
        GLOSS:	aid/assistance/support+[fem.sg.]+our

 INPUT STRING:	معونة
     IS_TRANS:	mEwnp
        INDEX:	P3W6
      OFFSETS:	29-34
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(maEuwnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maEuwn+ap
        GLOSS:	aid/assistance/support+[fem.sg.]

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P3W7
      OFFSETS:	35-42
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	والمعونتين
     IS_TRANS:	wAlmEwntyn
        INDEX:	P3W8
      OFFSETS:	43-53
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(waAlmaEuwntiyn)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wa+Al+maEuwn+tiyn
        GLOSS:	and+the+aid/assistance/support+[fem.pl.]

 INPUT STRING:	بيروحوا
     IS_TRANS:	byrwHwA
        INDEX:	P3W9
      OFFSETS:	54-61
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(byrwHwA)
          POS:	NO_FUNC
          VOC:	byrwHwA
        GLOSS:	nogloss

 INPUT STRING:	لتسليح
     IS_TRANS:	ltslyH
        INDEX:	P3W10
      OFFSETS:	62-68
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasoliyH_1]
   UNSPLITVOC:	(litasoliyH)
          POS:	PREP+NOUN
          VOC:	li+tasoliyH
        GLOSS:	for/to+arming/armament/armoring

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P3W11
      OFFSETS:	69-74
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P4W2
      OFFSETS:	3-7
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P4W3
      OFFSETS:	8-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	ياكل
     IS_TRANS:	yAkl
        INDEX:	P4W4
      OFFSETS:	14-18
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakal_1]
   UNSPLITVOC:	(yAkul)
          POS:	IV3MS+IV
          VOC:	y+Akul
        GLOSS:	he/it+eat

 INPUT STRING:	ويشرب
     IS_TRANS:	wy$rb
        INDEX:	P4W5
      OFFSETS:	19-24
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$irib_1]
   UNSPLITVOC:	(wiyi$orab)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+$orab
        GLOSS:	and+he/it+drink

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P4W6
      OFFSETS:	25-29
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/she

 INPUT STRING:	فدى
     IS_TRANS:	fdY
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(fadiy)
          POS:	CONJ+DEM_PRON_FS
          VOC:	fa+diy
        GLOSS:	so/and+this

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P5W2
      OFFSETS:	4-8
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	ودى
     IS_TRANS:	wdY
        INDEX:	P5W3
      OFFSETS:	9-12
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(widiy)
          POS:	SUB_CONJ+DEM_PRON_FS
          VOC:	wi+diy
        GLOSS:	while+this

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P5W4
      OFFSETS:	13-17
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	وومش
     IS_TRANS:	wwm$
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wiwimi$)
          POS:	CONJ+CONJ+NEG_PART
          VOC:	wi+wi+mi$
        GLOSS:	and+and+not

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P6W2
      OFFSETS:	5-7
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P6W3
      OFFSETS:	8-12
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	معدى
     IS_TRANS:	mEdY
        INDEX:	P6W4
      OFFSETS:	13-17
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miEad~iy_1]
   UNSPLITVOC:	(miEad~iy)
          POS:	ADJ
          VOC:	miEad~iy
        GLOSS:	passing

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W5
      OFFSETS:	18-20
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P6W6
      OFFSETS:	21-27
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets

 INPUT STRING:	هيقول
     IS_TRANS:	hyqwl
        INDEX:	P6W7
      OFFSETS:	28-33
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Hayiquwl)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+quwl
        GLOSS:	will+he/it+said/say/be said/say/(for example)

 INPUT STRING:	نلغى
     IS_TRANS:	nlgY
        INDEX:	P6W8
      OFFSETS:	34-38
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lagaY_1]
   UNSPLITVOC:	(nilogiy)
          POS:	IV1P+IV
          VOC:	ni+logiy
        GLOSS:	we+cancel

 INPUT STRING:	المعونة
     IS_TRANS:	AlmEwnp
        INDEX:	P6W9
      OFFSETS:	39-46
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(AlmaEuwnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEuwn+ap
        GLOSS:	the+aid/assistance/support+[fem.sg.]

 INPUT STRING:	هتقول
     IS_TRANS:	htqwl
        INDEX:	P6W10
      OFFSETS:	47-52
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Hatoquwl)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+to+quwl
        GLOSS:	will+it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P6W11
      OFFSETS:	53-59
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	عنيا
     IS_TRANS:	EnyA
        INDEX:	P6W12
      OFFSETS:	60-64
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(EnyA)
          POS:	TYPO
          VOC:	EnyA
        GLOSS:	nogloss

 INPUT STRING:	هلغيها
     IS_TRANS:	hlgyhA
        INDEX:	P6W13
      OFFSETS:	65-71
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(hlgyhA)
          POS:	NO_FUNC
          VOC:	hlgyhA
        GLOSS:	nogloss

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P7W1
      OFFSETS:	0-7
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P7W2
      OFFSETS:	8-12
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	بكتير
     IS_TRANS:	bktyr
        INDEX:	P7W3
      OFFSETS:	13-18
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(bikitiyr)
          POS:	PREP+ADJ
          VOC:	bi+kitiyr
        GLOSS:	with/by+much/more

 INPUT STRING:	وفعلا
     IS_TRANS:	wfElA
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(wifiEolAF)
          POS:	CONJ+NOUN
          VOC:	wi+fiEolA
        GLOSS:	and+actually/in effect

 INPUT STRING:	معروف
     IS_TRANS:	mErwf
        INDEX:	P8W2
      OFFSETS:	6-11
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(maEoruwf)
          POS:	ADJ
          VOC:	maEoruwf
        GLOSS:	known/well-known

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W3
      OFFSETS:	12-14
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P8W4
      OFFSETS:	15-19
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W5
      OFFSETS:	20-22
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الجنزورى
     IS_TRANS:	AljnzwrY
        INDEX:	P8W6
      OFFSETS:	23-31
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janozuwriy_1]
   UNSPLITVOC:	(Aljanozuwriy)
          POS:	DET+NOUN_PROP
          VOC:	Al+janozuwriy
        GLOSS:	the+Janzouri

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P8W7
      OFFSETS:	32-34
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W8
      OFFSETS:	35-39
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	باع
     IS_TRANS:	bAE
        INDEX:	P8W9
      OFFSETS:	40-43
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAE_1]
   UNSPLITVOC:	(bAE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	bAE+(null)
        GLOSS:	sell+he/it [verb]

 INPUT STRING:	القطاع
     IS_TRANS:	AlqTAE
        INDEX:	P8W10
      OFFSETS:	44-50
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiTAE_1]
   UNSPLITVOC:	(AlqiTAE)
          POS:	DET+NOUN
          VOC:	Al+qiTAE
        GLOSS:	the+sector/section

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P8W11
      OFFSETS:	51-56
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

