 INPUT STRING:	جميعنا
        GLOSS:	the+life/lives

 INPUT STRING:	يستخدمون
     IS_TRANS:	ystxdmwn
        INDEX:	P1W6
      OFFSETS:	27-35
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aisotaxodim_1]
   UNSPLITVOC:	(yasotaxodimuwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ya+sotaxodim+uwn
        GLOSS:	they+use/utilize/employ/operate+[pl.]

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P1W7
      OFFSETS:	36-39
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	قناع
     IS_TRANS:	qnAE
        INDEX:	P1W8
      OFFSETS:	40-44
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qinAE_1]
   UNSPLITVOC:	(qinAE)
          POS:	NOUN
          VOC:	qinAE
        GLOSS:	weapons/armor/mask/masks/veils

 INPUT STRING:	وقناع
     IS_TRANS:	wqnAE
        INDEX:	P1W9
      OFFSETS:	45-50
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qinAE_1]
   UNSPLITVOC:	(wiqinAE)
          POS:	CONJ+NOUN
          VOC:	wi+qinAE
        GLOSS:	and+weapons/armor/mask/masks/veils

 INPUT STRING:	برأي
     IS_TRANS:	br>y
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(bira>oy)
          POS:	PREP+NOUN
          VOC:	bi+ra>oy
        GLOSS:	with/by+opinion/view/idea/opinions/views/ideas

 INPUT STRING:	المتواضع
     IS_TRANS:	AlmtwADE
        INDEX:	P2W2
      OFFSETS:	5-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawADiE_1]
   UNSPLITVOC:	(AlmutawADiE)
          POS:	DET+ADJ
          VOC:	Al+mutawADiE
        GLOSS:	the+humble/modest

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W3
      OFFSETS:	14-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	شخص
     IS_TRANS:	$xS
        INDEX:	P2W4
      OFFSETS:	17-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	($axoS)
          POS:	NOUN
          VOC:	$axoS
        GLOSS:	individual/person/individuals/persons

 INPUT STRING:	سوي
     IS_TRANS:	swy
        INDEX:	P2W5
      OFFSETS:	21-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawiy~_1]
   UNSPLITVOC:	(sawiy~)
          POS:	ADJ
          VOC:	sawiy~
        GLOSS:	straight/correct/together/jointly/in common

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P2W6
      OFFSETS:	25-28
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+be necessary/be incumbent

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P2W7
      OFFSETS:	29-32
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>al~A_1]
   UNSPLITVOC:	(>al~A)
          POS:	SUB_CONJ+NEG_PART
          VOC:	>an+lA
        GLOSS:	that/to+not

 INPUT STRING:	يستخدم
     IS_TRANS:	ystxdm
        INDEX:	P2W8
      OFFSETS:	33-39
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotaxodim_1]
   UNSPLITVOC:	(yusotaxodam)
          POS:	IV3MS+IV
          VOC:	yu+sotaxodam
        GLOSS:	he/it+employ/utilize/use

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P2W9
      OFFSETS:	40-43
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	قناع
     IS_TRANS:	qnAE
        INDEX:	P2W10
      OFFSETS:	44-48
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qinAE_1]
   UNSPLITVOC:	(qinAE)
          POS:	NOUN
          VOC:	qinAE
        GLOSS:	weapons/armor/mask/masks/veils

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P2W11
      OFFSETS:	49-53
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P2W12
      OFFSETS:	53-54
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P2W13
      OFFSETS:	55-59
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ear~af_1]
   UNSPLITVOC:	(tiEar~af)
          POS:	IV3FS+IV
          VOC:	ti+Ear~af
        GLOSS:	it/they/she+acquaint/be known/be identified

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P2W14
      OFFSETS:	60-64
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayk)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ak
        GLOSS:	on/above+you

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P2W15
      OFFSETS:	65-67
       TOKENS:	P2W18-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+it/him

 INPUT STRING:	الآخرين
     IS_TRANS:	Al|xryn
        INDEX:	P2W16
      OFFSETS:	68-75
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(Al|xariyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+|xar+iyn
        GLOSS:	the+another/other+[masc.pl.]

 INPUT STRING:	وسيبقون
     IS_TRANS:	wsybqwn
        INDEX:	P2W17
      OFFSETS:	76-83
       TOKENS:	P2W21-P2W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aboqaY_1]
   UNSPLITVOC:	(wasayuboquwna)
          POS:	CONJ+FUT_PART+IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	wa+sa+yu+boq+uwna
        GLOSS:	and+will+they (people)+maintain/preserve+[masc.pl.]

 INPUT STRING:	طوال
     IS_TRANS:	TwAl
        INDEX:	P2W18
      OFFSETS:	84-88
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TawAl_1]
   UNSPLITVOC:	(TawAl)
          POS:	NOUN
          VOC:	TawAl
        GLOSS:	during

 INPUT STRING:	العمر
     IS_TRANS:	AlEmr
        INDEX:	P2W19
      OFFSETS:	89-94
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(AlEumor)
          POS:	DET+NOUN
          VOC:	Al+Eumor
        GLOSS:	the+age/life/ages/age groups

 INPUT STRING:	يتذكرونك
     IS_TRANS:	yt*krwnk
        INDEX:	P2W20
      OFFSETS:	95-103
       TOKENS:	P2W26-P2W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta*ak~ar_1]
   UNSPLITVOC:	(yata*ak~aruwnaka)
          POS:	IV3MP+IV+IVSUFF_SUBJ:3MP_MOOD:I+IVSUFF_DO:2MS
          VOC:	ya+ta*ak~ar+uwna+ka
        GLOSS:	they (people)+remember+[masc.pl.]+you [masc.sg.]

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P2W21
      OFFSETS:	104-106
       TOKENS:	P2W28-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+it/him

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W22
      OFFSETS:	106-107
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	سيعطرون
     IS_TRANS:	syETrwn
        INDEX:	P3W1
      OFFSETS:	0-7
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EaT~ar_1]
   UNSPLITVOC:	(sayuEaT~iruwna)
          POS:	FUT_PART+IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	sa+yu+EaT~ir+uwna
        GLOSS:	will+they (people)+apply perfume to+[masc.pl.]

 INPUT STRING:	محياك
     IS_TRANS:	mHyAk
        INDEX:	P3W2
      OFFSETS:	8-13
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maHyA_1]
   UNSPLITVOC:	(maHyAk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	maHyA+ak
        GLOSS:	life/living time+your

 INPUT STRING:	بما
     IS_TRANS:	bmA
        INDEX:	P3W3
      OFFSETS:	14-17
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(bimA)
          POS:	PREP+REL_PRON
          VOC:	bi+mA
        GLOSS:	with/by+what/which

 INPUT STRING:	تستحقه
     IS_TRANS:	tstHqh
        INDEX:	P3W4
      OFFSETS:	18-24
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistaHaq_1]
   UNSPLITVOC:	(tistaHiquh)
          POS:	IV2MS+IV+IVSUFF_DO:3MS
          VOC:	ti+staHiq+uh
        GLOSS:	you+merit/deserve/need+it/him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W5
      OFFSETS:	25-27
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كلمات
     IS_TRANS:	klmAt
        INDEX:	P3W6
      OFFSETS:	28-33
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kalimAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	kalim+At
        GLOSS:	talk/remark/speech/saying+[fem.pl.]

 INPUT STRING:	المدح
     IS_TRANS:	AlmdH
        INDEX:	P3W7
      OFFSETS:	34-39
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madoH_1]
   UNSPLITVOC:	(AlmadoH)
          POS:	DET+NOUN
          VOC:	Al+madoH
        GLOSS:	the+praise/commendation/acclaim

 INPUT STRING:	والأطراء
     IS_TRANS:	wAl>TrA'
        INDEX:	P4W1
      OFFSETS:	0-8
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iTrA'_2]
   UNSPLITVOC:	(waAl>TrA')
          POS:	PREP+DET+NOUN
          VOC:	wa+Al+<iTrA'
        GLOSS:	and+the+falttery/praise

 INPUT STRING:	كونك
     IS_TRANS:	kwnk
        INDEX:	P4W2
      OFFSETS:	9-13
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwn_1]
   UNSPLITVOC:	(kuwnak)
          POS:	NOUN.VN+POSS_PRON_2MS
          VOC:	kuwn+ak
        GLOSS:	existence/universe/being+your

 INPUT STRING:	تتحلى
     IS_TRANS:	ttHlY
        INDEX:	P4W3
      OFFSETS:	14-19
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHal~aY_1]
   UNSPLITVOC:	(tataHal~aY)
          POS:	IV2MS+IV+IVSUFF_MOOD:I
          VOC:	ta+taHal~aY+(null)
        GLOSS:	you [masc.sg.]+be adorned/be furnished/remaining (patient, confident)+[ind.]

 INPUT STRING:	بخلقٍ
     IS_TRANS:	bxlqK
        INDEX:	P4W4
      OFFSETS:	20-25
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuloq_1]
   UNSPLITVOC:	(bixuloq)
          POS:	PREP+NOUN
          VOC:	bi+xuloq
        GLOSS:	with/by+character/morality

 INPUT STRING:	حميد
     IS_TRANS:	Hmyd
        INDEX:	P4W5
      OFFSETS:	26-30
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hamiyd_1]
   UNSPLITVOC:	(Hamiyd)
          POS:	ADJ
          VOC:	Hamiyd
        GLOSS:	positive/good

 INPUT STRING:	قل
     IS_TRANS:	ql
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qal~_1]
   UNSPLITVOC:	(qal~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qal~+(null)
        GLOSS:	be less/decrease/diminish/decreased+he/it

 INPUT STRING:	واصبح
     IS_TRANS:	wASbH
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(wi>aSobaH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aSobaH+(null)
        GLOSS:	and+become/begin/start+he/it

 INPUT STRING:	نادراً
     IS_TRANS:	nAdrAF
        INDEX:	P5W3
      OFFSETS:	9-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAdir_1]
   UNSPLITVOC:	(nAdirAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	nAdir+AF
        GLOSS:	rare/infrequent+[acc.indef.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W4
      OFFSETS:	16-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	تجدهـ
     IS_TRANS:	tjdh_
        INDEX:	P5W5
      OFFSETS:	19-24
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(tajiduh)
          POS:	IV2MS+IV+IVSUFF_DO:3MS
          VOC:	ta+jid+uh
        GLOSS:	you+find+it/him

 INPUT STRING:	بهذا
     IS_TRANS:	bh*A
        INDEX:	P5W6
      OFFSETS:	25-29
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(bih`*A)
          POS:	PREP+DEM_PRON_MS
          VOC:	bi+h`*A
        GLOSS:	with/by+this [masc.sg.]

 INPUT STRING:	الزمن
     IS_TRANS:	Alzmn
        INDEX:	P5W7
      OFFSETS:	30-35
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaman_1]
   UNSPLITVOC:	(Alz~aman)
          POS:	DET+NOUN
          VOC:	Al+zaman
        GLOSS:	the+time/period/duration/for some time/for a while/periods

 INPUT STRING:	الكئيب
     IS_TRANS:	Alk}yb
        INDEX:	P5W8
      OFFSETS:	36-42
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka}iyb_1]
   UNSPLITVOC:	(Alka}iyb)
          POS:	DET+ADJ
          VOC:	Al+ka}iyb
        GLOSS:	the+depressed

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W9
      OFFSETS:	42-43
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	يذكر
     IS_TRANS:	y*kr
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*akar_1]
   UNSPLITVOC:	(ya*okur)
          POS:	IV3MS+IV
          VOC:	ya+*okur
        GLOSS:	he+mention

 INPUT STRING:	البعض
     IS_TRANS:	AlbED
        INDEX:	P6W2
      OFFSETS:	5-10
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(AlbaEoD)
          POS:	DET+NOUN_QUANT
          VOC:	Al+baEoD
        GLOSS:	the+some/a few/little/part

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P6W3
      OFFSETS:	11-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P6W4
      OFFSETS:	14-18
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN_QUANT
          VOC:	Al+kul~
        GLOSS:	the+all/entire/every/whole

 INPUT STRING:	يستخدم
     IS_TRANS:	ystxdm
        INDEX:	P6W5
      OFFSETS:	19-25
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotaxodim_1]
   UNSPLITVOC:	(yusotaxodam)
          POS:	IV3MS+IV
          VOC:	yu+sotaxodam
        GLOSS:	he/it+employ/utilize/use

 INPUT STRING:	ألف
     IS_TRANS:	>lf
        INDEX:	P6W6
      OFFSETS:	26-29
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	قناع
     IS_TRANS:	qnAE
        INDEX:	P6W7
      OFFSETS:	30-34
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qinAE_1]
   UNSPLITVOC:	(qinAE)
          POS:	NOUN
          VOC:	qinAE
        GLOSS:	weapons/armor/mask/masks/veils

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W8
      OFFSETS:	35-37
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P6W9
      OFFSETS:	38-43
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+ever/period/day/today/some day

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P7W1
      OFFSETS:	0-6
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN
          VOC:	Al+wAHid
        GLOSS:	the+one/individual/person

 INPUT STRING:	ليتعايش
     IS_TRANS:	lytEAy$
        INDEX:	P7W2
      OFFSETS:	7-14
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lytEAy$)
          POS:	NO_FUNC
          VOC:	lytEAy$
        GLOSS:	nogloss

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P7W3
      OFFSETS:	15-17
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
