 INPUT STRING:	دة
        GLOSS:	friend+[fem.sg.]+my

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P1W6
      OFFSETS:	24-28
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	SUB_CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	while+I

 INPUT STRING:	بتناقش
     IS_TRANS:	btnAq$
        INDEX:	P1W7
      OFFSETS:	29-35
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitnAqi$_1]
   UNSPLITVOC:	(bAatnAqi$)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+tnAqi$
        GLOSS:	[present-tense]+I+discuss/debate each other/argue with each other

 INPUT STRING:	معاها
     IS_TRANS:	mEAhA
        INDEX:	P1W8
      OFFSETS:	36-41
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEa+hA
        GLOSS:	something with/at/with+its/their/her

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W9
      OFFSETS:	42-44
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P1W10
      OFFSETS:	45-50
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue/subjects/themes/issues

 INPUT STRING:	طلاقها
     IS_TRANS:	TlAqhA
        INDEX:	P1W11
      OFFSETS:	51-57
       TOKENS:	P1W15-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TalAq_1]
   UNSPLITVOC:	(TalAqhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	TalAq+hA
        GLOSS:	divorce+its/their/her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W12
      OFFSETS:	58-60
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جوزها
     IS_TRANS:	jwzhA
        INDEX:	P1W13
      OFFSETS:	61-66
       TOKENS:	P1W18-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[juwz_1]
   UNSPLITVOC:	(juwzhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	juwz+hA
        GLOSS:	husband/spouse+its/their/her

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P1W14
      OFFSETS:	67-70
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	سنين
     IS_TRANS:	snyn
        INDEX:	P1W15
      OFFSETS:	71-75
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(siniyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	sin+iyn
        GLOSS:	year/years+[pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W16
      OFFSETS:	76-78
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	العذاب
     IS_TRANS:	AlE*Ab
        INDEX:	P1W17
      OFFSETS:	79-85
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea*Ab_1]
   UNSPLITVOC:	(AlEa*Ab)
          POS:	DET+NOUN
          VOC:	Al+Ea*Ab
        GLOSS:	the+pain/punishment

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W18
      OFFSETS:	85-86
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الاتنين
     IS_TRANS:	AlAtnyn
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aivonayn_1]
   UNSPLITVOC:	(AlAitonayn)
          POS:	DET+NOUN_NUM
          VOC:	Al+Aivonayn
        GLOSS:	the+two

 INPUT STRING:	اتجوزوا
     IS_TRANS:	AtjwzwA
        INDEX:	P2W2
      OFFSETS:	8-15
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojaw~iz_1]
   UNSPLITVOC:	(Aitojaw~izuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Aitojaw~iz+uwA
        GLOSS:	marry/get married+they

 INPUT STRING:	جواز
     IS_TRANS:	jwAz
        INDEX:	P2W3
      OFFSETS:	16-20
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jawAz_1]
   UNSPLITVOC:	(jawAz)
          POS:	NOUN
          VOC:	jawAz
        GLOSS:	marriage/wedding

 INPUT STRING:	صالونات
     IS_TRANS:	SAlwnAt
        INDEX:	P2W4
      OFFSETS:	21-28
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SAluwn_1]
   UNSPLITVOC:	(SAluwnAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	SAluwn+At
        GLOSS:	salon/parlor+[fem.pl.]

 INPUT STRING:	مبنى
     IS_TRANS:	mbnY
        INDEX:	P2W5
      OFFSETS:	29-33
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboniy_1]
   UNSPLITVOC:	(maboniy)
          POS:	ADJ.VN
          VOC:	maboniy
        GLOSS:	based/built

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W6
      OFFSETS:	34-37
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الحسب
     IS_TRANS:	AlHsb
        INDEX:	P2W7
      OFFSETS:	38-43
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(AlHasab)
          POS:	DET+NOUN
          VOC:	Al+Hasab
        GLOSS:	the+according to/in accordance with

 INPUT STRING:	والنسب
     IS_TRANS:	wAlnsb
        INDEX:	P2W8
      OFFSETS:	44-50
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nasab_1]
   UNSPLITVOC:	(waAlnasab)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+nasab
        GLOSS:	and+the+lineage/kinship

 INPUT STRING:	والثروة
     IS_TRANS:	wAlvrwp
        INDEX:	P2W9
      OFFSETS:	51-58
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[varowap_1]
   UNSPLITVOC:	(wiAlvarowap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+varow+ap
        GLOSS:	and+the+wealth/abundance/riches+[fem.sg.]

 INPUT STRING:	والجمال
     IS_TRANS:	wAljmAl
        INDEX:	P2W10
      OFFSETS:	59-66
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(wiAljamAl)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+jamAl
        GLOSS:	and+the+beauty

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P2W11
      OFFSETS:	67-71
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	استكمال
     IS_TRANS:	AstkmAl
        INDEX:	P2W12
      OFFSETS:	72-79
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotikomAl_1]
   UNSPLITVOC:	(AisotikomAl)
          POS:	NOUN
          VOC:	AisotikomAl
        GLOSS:	termination/conclusion

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W13
      OFFSETS:	80-82
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	الاجراءات
     IS_TRANS:	AlAjrA'At
        INDEX:	P2W14
      OFFSETS:	83-92
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijorA'_1]
   UNSPLITVOC:	(Al<ijorA'At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<ijorA'+At
        GLOSS:	the+conducting/undertaking/carrying out/process/measure/measures/steps+[fem.pl.]

 INPUT STRING:	الكنسية
     IS_TRANS:	Alknsyp
        INDEX:	P2W15
      OFFSETS:	93-100
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alkanasiy_1]
   UNSPLITVOC:	(Alkanasiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+kanasiy~+ap
        GLOSS:	the+church+[fem.sg.]

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P2W16
      OFFSETS:	101-103
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	الزواج
     IS_TRANS:	AlzwAj
        INDEX:	P2W17
      OFFSETS:	104-110
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(Alz~awAj)
          POS:	DET+NOUN
          VOC:	Al+zawAj
        GLOSS:	the+marriage/wedding

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W18
      OFFSETS:	110-111
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وكالعادة
     IS_TRANS:	wkAlEAdp
        INDEX:	P3W1
      OFFSETS:	0-8
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(wikaAlEAdap)
          POS:	CONJ+PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+ka+Al+EAd+ap
        GLOSS:	and+like/such+the+habit/custom/practice/customs/practices/habits/usually/typically+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W2
      OFFSETS:	9-11
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصرنا
     IS_TRANS:	mSrnA
        INDEX:	P3W3
      OFFSETS:	12-17
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSornA)
          POS:	NOUN_PROP+POSS_PRON_1P
          VOC:	miSor+nA
        GLOSS:	Egypt+our

 INPUT STRING:	المحروسة
     IS_TRANS:	AlmHrwsp
        INDEX:	P3W4
      OFFSETS:	18-26
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHoruws_1]
   UNSPLITVOC:	(AlmaHoruwsap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maHoruws+ap
        GLOSS:	the+guarded/protected+[fem.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P3W5
      OFFSETS:	27-29
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	شيئ
     IS_TRANS:	$y}
        INDEX:	P3W6
      OFFSETS:	30-33
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iy}_1]
   UNSPLITVOC:	($iy})
          POS:	NOUN
          VOC:	$iy}
        GLOSS:	thing/something

 INPUT STRING:	بينكشف
     IS_TRANS:	bynk$f
        INDEX:	P3W7
      OFFSETS:	34-40
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainoka$af_1]
   UNSPLITVOC:	(biyinoki$if)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+noki$if
        GLOSS:	[present-tense]+he/it+be revealed

 INPUT STRING:	ويبان
     IS_TRANS:	wybAn
        INDEX:	P3W8
      OFFSETS:	41-46
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAn_1]
   UNSPLITVOC:	(wiyibAn)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+bAn
        GLOSS:	and+he/it+appear/be evident

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P3W9
      OFFSETS:	47-50
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	الجواز
     IS_TRANS:	AljwAz
        INDEX:	P3W10
      OFFSETS:	51-57
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jawAz_1]
   UNSPLITVOC:	(AljawAz)
          POS:	DET+NOUN
          VOC:	Al+jawAz
        GLOSS:	the+wedding/marriage

 INPUT STRING:	وانتهاء
     IS_TRANS:	wAnthA'
        INDEX:	P3W11
      OFFSETS:	58-65
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotihA'_1]
   UNSPLITVOC:	(wiAinotihA')
          POS:	CONJ+NOUN
          VOC:	wi+AinotihA'
        GLOSS:	and+finishing/completion/conclusion

 INPUT STRING:	جلسات
     IS_TRANS:	jlsAt
        INDEX:	P3W12
      OFFSETS:	66-71
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jalosap_1]
   UNSPLITVOC:	(jalasAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	jalas+At
        GLOSS:	session/meeting/sessions/meetings+[fem.pl.]

 INPUT STRING:	الابتسامات
     IS_TRANS:	AlAbtsAmAt
        INDEX:	P3W13
      OFFSETS:	72-82
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotisAmap_1]
   UNSPLITVOC:	(AlAibotisAmAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AibotisAm+At
        GLOSS:	the+smile+[fem.pl.]

 INPUT STRING:	والمجاملات
     IS_TRANS:	wAlmjAmlAt
        INDEX:	P3W14
      OFFSETS:	83-93
       TOKENS:	P3W20-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujAmolap_1]
   UNSPLITVOC:	(wiAlmujAmolAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+mujAmol+At
        GLOSS:	and+the+courtesy/flattery+[fem.pl.]

 INPUT STRING:	والشياكة
     IS_TRANS:	wAl$yAkp
        INDEX:	P3W15
      OFFSETS:	94-102
       TOKENS:	P3W22-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iyAkap_1]
   UNSPLITVOC:	(wiAl$iyAkap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+$iyAk+ap
        GLOSS:	and+the+elegance+[fem.sg.]

 INPUT STRING:	والاتيكيت
     IS_TRANS:	wAlAtykyt
        INDEX:	P3W16
      OFFSETS:	103-112
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wAlAtykyt)
          POS:	FOREIGN
          VOC:	wAlAtykyt
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W17
      OFFSETS:	112-113
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	شخصيتين
     IS_TRANS:	$xSytyn
        INDEX:	P4W1
      OFFSETS:	0-7
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$axSiy~ap_1]
   UNSPLITVOC:	($axSiy~tiyn)
          POS:	NOUN+NSUFF_FEM_DU
          VOC:	$axSiy~+tiyn
        GLOSS:	identity/person/personality/individual+two

 INPUT STRING:	مختلفتين
     IS_TRANS:	mxtlftyn
        INDEX:	P4W2
      OFFSETS:	8-16
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mxtlftyn)
          POS:	NO_FUNC
          VOC:	mxtlftyn
        GLOSS:	nogloss

 INPUT STRING:	تماما
     IS_TRANS:	tmAmA
        INDEX:	P4W3
      OFFSETS:	17-22
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAmAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	tamAm+AF
        GLOSS:	exact/complete/exactly/completely+[acc.indef.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W4
      OFFSETS:	23-25
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W5
      OFFSETS:	26-28
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	شيئ
     IS_TRANS:	$y}
        INDEX:	P4W6
      OFFSETS:	29-32
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iy}_1]
   UNSPLITVOC:	($iy})
          POS:	NOUN
          VOC:	$iy}
        GLOSS:	thing/something

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W7
      OFFSETS:	33-35
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الطباع
     IS_TRANS:	AlTbAE
        INDEX:	P4W8
      OFFSETS:	36-42
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(AlT~ibAE)
          POS:	DET+NOUN
          VOC:	Al+TibAE
        GLOSS:	the+temperament/naturally/of course/printing

 INPUT STRING:	والاهتمامات
     IS_TRANS:	wAlAhtmAmAt
        INDEX:	P4W9
      OFFSETS:	43-54
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AihotimAm_1]
   UNSPLITVOC:	(wiAlAihotimAmAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+AihotimAm+At
        GLOSS:	and+the+interest/concern/care/attention+[fem.pl.]

 INPUT STRING:	وطرق
     IS_TRANS:	wTrq
        INDEX:	P4W10
      OFFSETS:	55-59
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
