 INPUT STRING:	مارأيك
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bidAyap_1]
   UNSPLITVOC:	(bidAyapF)
          POS:	NOUN+NSUFF_FEM_SG+CASE_INDEF_ACC
          VOC:	bidAy+ap+F
        GLOSS:	beginning/start+[fem.sg.]+[indef.acc.]

 INPUT STRING:	أظن
     IS_TRANS:	>Zn
        INDEX:	P2W5
      OFFSETS:	21-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zan~_1]
   UNSPLITVOC:	(AaZun~)
          POS:	IV1S+IV
          VOC:	Aa+Zun~
        GLOSS:	I+think/believe

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P2W6
      OFFSETS:	25-27
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	المخابرات
     IS_TRANS:	AlmxAbrAt
        INDEX:	P2W7
      OFFSETS:	28-37
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxAbarAt_1]
   UNSPLITVOC:	(AlmuxAbarAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muxAbar+At
        GLOSS:	the+intelligence service/secret service+[fem.pl.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P2W8
      OFFSETS:	38-41
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	تشوف
     IS_TRANS:	t$wf
        INDEX:	P2W9
      OFFSETS:	42-46
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ti$uwf)
          POS:	IV3FS+IV
          VOC:	ti+$uwf
        GLOSS:	it/they/she+look

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P2W10
      OFFSETS:	47-54
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P2W11
      OFFSETS:	55-57
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	هتحسم
     IS_TRANS:	htHsm
        INDEX:	P2W12
      OFFSETS:	58-63
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasam_1]
   UNSPLITVOC:	(HatiHsm)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+Hsm
        GLOSS:	will+it/they/she+cut off/finish/discount

 INPUT STRING:	مستقبلى
     IS_TRANS:	mstqblY
        INDEX:	P2W13
      OFFSETS:	64-71
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqobal_1]
   UNSPLITVOC:	(musotaqobaliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	musotaqobal+iy
        GLOSS:	future+my

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P2W14
      OFFSETS:	72-74
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	if

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P2W15
      OFFSETS:	75-78
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W16
      OFFSETS:	79-83
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	نخش
     IS_TRANS:	nx$
        INDEX:	P3W1
      OFFSETS:	1-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xa$~_1]
   UNSPLITVOC:	(nixu$~)
          POS:	IV1P+IV
          VOC:	ni+xu$~
        GLOSS:	we+enter/go in

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W2
      OFFSETS:	5-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P3W3
      OFFSETS:	8-15
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W4
      OFFSETS:	15-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W5
      OFFSETS:	16-17
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W6
      OFFSETS:	17-18
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P3W7
      OFFSETS:	18-21
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	رأيك
     IS_TRANS:	r>yk
        INDEX:	P3W8
      OFFSETS:	22-26
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	ra>oy+ak
        GLOSS:	opinion/view/idea+your

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W9
      OFFSETS:	27-29
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P3W10
      OFFSETS:	30-32
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P3W11
      OFFSETS:	33-41
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdEiy_1]
   UNSPLITVOC:	(AlbarAdEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdEiy
        GLOSS:	the+Baradi

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P3W12
      OFFSETS:	42-46
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P3W13
      OFFSETS:	47-53
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	القادم
     IS_TRANS:	AlqAdm
        INDEX:	P3W14
      OFFSETS:	54-60
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdim_1]
   UNSPLITVOC:	(AlqAdim)
          POS:	DET+ADJ
          VOC:	Al+qAdim
        GLOSS:	the+arriving/coming/proceeding

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P3W15
      OFFSETS:	61-65
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(limiSor)
          POS:	PREP+NOUN_PROP
          VOC:	li+miSor
        GLOSS:	for/to+Egypt

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W16
      OFFSETS:	65-66
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W1
      OFFSETS:	1-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	INTERROG_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	رأيك
     IS_TRANS:	r>yk
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyak)
          POS:	NOUN.VN+POSS_PRON_2MS
          VOC:	ra>oy+ak
        GLOSS:	opinion/view/idea+your

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W3
      OFFSETS:	9-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an_1]
   UNSPLITVOC:	(>an)
          POS:	SUB_CONJ
          VOC:	>an
        GLOSS:	that

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P4W4
      OFFSETS:	12-16
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P4W5
      OFFSETS:	17-21
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W6
      OFFSETS:	22-25
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	رجلا
     IS_TRANS:	rjlA
        INDEX:	P4W7
      OFFSETS:	26-30
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(rajulAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	rajul+AF
        GLOSS:	man+[acc.indef.]

 INPUT STRING:	عالما
     IS_TRANS:	EAlmA
        INDEX:	P4W8
      OFFSETS:	31-36
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAlim_1]
   UNSPLITVOC:	(EAlimAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	EAlim+AF
        GLOSS:	scientist/scholar+[acc.indef.]

 INPUT STRING:	يقدر
     IS_TRANS:	yqdr
        INDEX:	P4W9
      OFFSETS:	37-41
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~ar_1]
   UNSPLITVOC:	(yaqad~ar)
          POS:	IV3MS+IV
          VOC:	ya+qad~ar
        GLOSS:	he/it+estimate/appreciate/appraise/value/be estimated/be valued/be appraised

 INPUT STRING:	العلم
     IS_TRANS:	AlElm
        INDEX:	P4W10
      OFFSETS:	42-47
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilom_1]
   UNSPLITVOC:	(AlEilom)
          POS:	DET+NOUN
          VOC:	Al+Eilom
        GLOSS:	the+science/study of/sciences

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P4W11
      OFFSETS:	48-51
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamA_1]
   UNSPLITVOC:	(kamA)
          POS:	CONJ
          VOC:	kamA
        GLOSS:	and/as/also

 INPUT STRING:	ينبغى
     IS_TRANS:	ynbgY
        INDEX:	P4W12
      OFFSETS:	52-57
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yanbagy_1]
   UNSPLITVOC:	(yanbagy)
          POS:	VERB
          VOC:	yanbagy
        GLOSS:	must

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W13
      OFFSETS:	58-59
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يسعى
     IS_TRANS:	ysEY
        INDEX:	P4W14
      OFFSETS:	60-64
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEaY_1]
   UNSPLITVOC:	(yisoEaY)
          POS:	IV3MS+IV
          VOC:	yi+soEaY
        GLOSS:	he/it+strive/pursue

 INPUT STRING:	لتعديل
     IS_TRANS:	ltEdyl
        INDEX:	P4W15
      OFFSETS:	65-71
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEodiyl_1]
   UNSPLITVOC:	(litaEodiyl)
          POS:	PREP+NOUN
          VOC:	li+taEodiyl
        GLOSS:	for/to+adjustment/change/modification/amendment

 INPUT STRING:	أحوالنا
     IS_TRANS:	>HwAlnA
        INDEX:	P4W16
      OFFSETS:	72-79
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(AHowAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	AHowAl+nA
        GLOSS:	situation/condition/case/situations/conditions/cases+our

 INPUT STRING:	رجل
     IS_TRANS:	rjl
        INDEX:	P4W17
      OFFSETS:	80-83
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(rajul)
          POS:	NOUN
          VOC:	rajul
        GLOSS:	man

 INPUT STRING:	سيجعل
     IS_TRANS:	syjEl
        INDEX:	P4W18
      OFFSETS:	84-89
       TOKENS:	P4W21-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaEal_1]
   UNSPLITVOC:	(sayajEal)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+ya+jEal
        GLOSS:	will+he/it+make/bring about/appoint

 INPUT STRING:	العلم
     IS_TRANS:	AlElm
        INDEX:	P4W19
      OFFSETS:	90-95
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilom_1]
   UNSPLITVOC:	(AlEilom)
          POS:	DET+NOUN
          VOC:	Al+Eilom
        GLOSS:	the+science/study of/sciences

 INPUT STRING:	سببا
     IS_TRANS:	sbbA
        INDEX:	P4W20
      OFFSETS:	96-100
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sababAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	sabab+AF
        GLOSS:	reason/cause+[acc.indef.]

 INPUT STRING:	لحل
     IS_TRANS:	lHl
        INDEX:	P4W21
      OFFSETS:	101-104
       TOKENS:	P4W25-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(liHal~)
          POS:	PREP+NOUN
          VOC:	li+Hal~
        GLOSS:	for/to+solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	المشاكل
     IS_TRANS:	Alm$Akl
        INDEX:	P4W22
      OFFSETS:	105-112
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$Akil_1]
   UNSPLITVOC:	(Almi$Akil)
          POS:	DET+NOUN
          VOC:	Al+mi$Akil
        GLOSS:	the+problems/inconveniences/issues

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W23
      OFFSETS:	113-114
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P4W24
      OFFSETS:	115-118
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	layos+a
        GLOSS:	not be+he/it [verb]

 INPUT STRING:	محل
     IS_TRANS:	mHl
        INDEX:	P4W25
      OFFSETS:	119-122
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHal~_1]
   UNSPLITVOC:	(maHal~)
          POS:	NOUN
          VOC:	maHal~
        GLOSS:	place/location

 INPUT STRING:	نظر
     IS_TRANS:	nZr
        INDEX:	P4W26
      OFFSETS:	123-126
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZar)
          POS:	NOUN
          VOC:	naZar
        GLOSS:	view/look/seeing/eye-sight/glances/looking

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P4W27
      OFFSETS:	127-130
       TOKENS:	P4W32-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	حل
     IS_TRANS:	Hl
        INDEX:	P4W28
      OFFSETS:	131-133
       TOKENS:	P4W33-P4W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(Hal~)
          POS:	NOUN
          VOC:	Hal~
        GLOSS:	solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	المشاكل
     IS_TRANS:	Alm$Akl
        INDEX:	P4W29
      OFFSETS:	134-141
       TOKENS:	P4W34-P4W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
