 INPUT STRING:	تحـــذيـــر
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	احذروا
     IS_TRANS:	AH*rwA
        INDEX:	P2W7
      OFFSETS:	20-26
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ha*ir_1]
   UNSPLITVOC:	(<iHo*aruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	<iHo*ar+uwA
        GLOSS:	be cautious/beware+you

 INPUT STRING:	التسجيل
     IS_TRANS:	Altsjyl
        INDEX:	P2W8
      OFFSETS:	27-34
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasojiyl_1]
   UNSPLITVOC:	(Alt~asojiyl)
          POS:	DET+NOUN
          VOC:	Al+tasojiyl
        GLOSS:	the+registration/recording/documentation

 INPUT STRING:	التليفزيوني
     IS_TRANS:	Altlyfzywny
        INDEX:	P2W9
      OFFSETS:	35-46
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Altiliyfizyuwniy~_1]
   UNSPLITVOC:	(Altiliyfizyuwniy)
          POS:	DET+ADJ
          VOC:	Al+tiliyfizyuwniy~
        GLOSS:	the+television

 INPUT STRING:	الوهمي
     IS_TRANS:	Alwhmy
        INDEX:	P2W10
      OFFSETS:	47-53
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alwahmiy~_1]
   UNSPLITVOC:	(Alwahmiy)
          POS:	DET+ADJ
          VOC:	Al+wahmiy
        GLOSS:	the+imagined/imaginary/fake

 INPUT STRING:	المذيع
     IS_TRANS:	Alm*yE
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*iyE_1]
   UNSPLITVOC:	(Almu*iyE)
          POS:	DET+NOUN
          VOC:	Al+mu*iyE
        GLOSS:	the+broadcaster/transmitter/announcer

 INPUT STRING:	النصاب
     IS_TRANS:	AlnSAb
        INDEX:	P3W2
      OFFSETS:	8-14
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlnaS~Ab_2]
   UNSPLITVOC:	(AlnaS~Ab)
          POS:	DET+ADJ
          VOC:	Al+naS~Ab
        GLOSS:	the+deceitful/fraudulent

 INPUT STRING:	يقدم
     IS_TRANS:	yqdm
        INDEX:	P3W3
      OFFSETS:	16-20
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(yiqad~im)
          POS:	IV3MS+IV
          VOC:	yi+qad~im
        GLOSS:	he/it+offer

 INPUT STRING:	هدايا
     IS_TRANS:	hdAyA
        INDEX:	P3W4
      OFFSETS:	21-26
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hidiy~ap_1]
   UNSPLITVOC:	(hadAyA)
          POS:	NOUN
          VOC:	hadAyA
        GLOSS:	gifts/presents

 INPUT STRING:	مالية
     IS_TRANS:	mAlyp
        INDEX:	P3W5
      OFFSETS:	27-32
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAliy_1]
   UNSPLITVOC:	(mAliy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mAliy~+ap
        GLOSS:	financial/monetary+[fem.sg.]

 INPUT STRING:	للضحايا
     IS_TRANS:	llDHAyA
        INDEX:	P3W6
      OFFSETS:	33-40
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(lilD~aHAyA)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+DaHAyA
        GLOSS:	for/to+the+victim/victims

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W7
      OFFSETS:	40-41
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W8
      OFFSETS:	41-42
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ويستدرجهم
     IS_TRANS:	wystdrjhm
        INDEX:	P3W9
      OFFSETS:	43-52
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wystdrjhm)
          POS:	NO_FUNC
          VOC:	wystdrjhm
        GLOSS:	nogloss

 INPUT STRING:	لسرقة
     IS_TRANS:	lsrqp
        INDEX:	P3W10
      OFFSETS:	53-58
       TOKENS:	P3W11-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siroqap_1]
   UNSPLITVOC:	(lisiroqap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+siroq+ap
        GLOSS:	for/to+stealing/theft/heist+[fem.sg.]

 INPUT STRING:	الأعضاء
     IS_TRANS:	Al>EDA'
        INDEX:	P3W11
      OFFSETS:	59-66
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(AlAEoDA')
          POS:	DET+NOUN
          VOC:	Al+AEoDA'
        GLOSS:	the+organ/organs

 INPUT STRING:	علمت
     IS_TRANS:	Elmt
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ealim_1]
   UNSPLITVOC:	(Ealimat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Ealim+at
        GLOSS:	be known/be found out+it/they/she [verb]

 INPUT STRING:	المساء
     IS_TRANS:	AlmsA'
        INDEX:	P4W2
      OFFSETS:	6-12
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[misA'_1]
   UNSPLITVOC:	(AlmisA')
          POS:	DET+NOUN_PROP
          VOC:	Al+misA'
        GLOSS:	the+Misaa

 INPUT STRING:	الأسبوعي
     IS_TRANS:	Al>sbwEy
        INDEX:	P4W3
      OFFSETS:	13-21
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>usobuwEiy~_1]
   UNSPLITVOC:	(Al>usobuwEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+>usobuwEiy~
        GLOSS:	the+AlusbuEi

 INPUT STRING:	بأن
     IS_TRANS:	b>n
        INDEX:	P4W4
      OFFSETS:	23-26
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(bi>an~)
          POS:	PREP+SUB_CONJ
          VOC:	bi+>an~
        GLOSS:	with+that

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P4W5
      OFFSETS:	27-31
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	نحو
     IS_TRANS:	nHw
        INDEX:	P4W6
      OFFSETS:	32-35
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHow_1]
   UNSPLITVOC:	(naHow)
          POS:	NOUN
          VOC:	naHow
        GLOSS:	towards/approximately

 INPUT STRING:	خمسة
     IS_TRANS:	xmsp
        INDEX:	P4W7
      OFFSETS:	36-40
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xamosap_1]
   UNSPLITVOC:	(xamosap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	xamos+ap
        GLOSS:	five+[fem.sg.]

 INPUT STRING:	قتلي
     IS_TRANS:	qtly
        INDEX:	P4W8
      OFFSETS:	41-45
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatiyl_1]
   UNSPLITVOC:	(qatolaY)
          POS:	NOUN
          VOC:	qatolaY
        GLOSS:	dead/killed/casualties

 INPUT STRING:	استخدمهم
     IS_TRANS:	Astxdmhm
        INDEX:	P4W9
      OFFSETS:	46-54
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isotaxodim_1]
   UNSPLITVOC:	(<isotaxodimhum)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MP
          VOC:	<isotaxodim+(null)+hum
        GLOSS:	use/utilize/employ/operate+he/it [verb]+them

 INPUT STRING:	تجار
     IS_TRANS:	tjAr
        INDEX:	P4W10
      OFFSETS:	55-59
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAjir_1]
   UNSPLITVOC:	(tuj~Ar)
          POS:	NOUN
          VOC:	tuj~Ar
        GLOSS:	merchants/businessmen

 INPUT STRING:	الاعضاء
     IS_TRANS:	AlAEDA'
        INDEX:	P4W11
      OFFSETS:	60-67
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(Al>aEoDA')
          POS:	DET+NOUN
          VOC:	Al+>aEoDA'
        GLOSS:	the+members

 INPUT STRING:	البشرية
     IS_TRANS:	Alb$ryp
        INDEX:	P4W12
      OFFSETS:	68-75
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ba$ariy_1]
   UNSPLITVOC:	(Alba$ariy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ba$ariy~+ap
        GLOSS:	the+human+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W13
      OFFSETS:	76-78
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المجرمين
     IS_TRANS:	Almjrmyn
        INDEX:	P4W14
      OFFSETS:	79-87
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujorim_1]
   UNSPLITVOC:	(Almujorimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mujorim+iyn
        GLOSS:	the+criminal+[masc.pl.]

 INPUT STRING:	والخارجين
     IS_TRANS:	wAlxArjyn
        INDEX:	P4W15
      OFFSETS:	88-97
       TOKENS:	P4W17-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(wiAlxArojiyn)
          POS:	CONJ+DET+NOUN+NSUFF_MASC_PL
          VOC:	wi+Al+xAroj+iyn
        GLOSS:	and+the+outside/outer part/overseas/exterior+[masc.pl.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W16
      OFFSETS:	98-100
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	القانون
     IS_TRANS:	AlqAnwn
        INDEX:	P4W17
      OFFSETS:	101-108
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAnuwn)
          POS:	DET+NOUN
          VOC:	Al+qAnuwn
        GLOSS:	the+law/statutes/regulations

 INPUT STRING:	وذلك
     IS_TRANS:	w*lk
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lik_1]
   UNSPLITVOC:	(wa*`lik)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+*`lik
        GLOSS:	and+that

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P5W2
      OFFSETS:	5-8
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	نصب
     IS_TRANS:	nSb
        INDEX:	P5W3
      OFFSETS:	9-12
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSob_1]
   UNSPLITVOC:	(naSob)
          POS:	NOUN
          VOC:	naSob
        GLOSS:	setting up/installing/appointing

 INPUT STRING:	فخ
     IS_TRANS:	fx
        INDEX:	P5W4
      OFFSETS:	13-15
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fax~_1]
   UNSPLITVOC:	(fax~)
          POS:	NOUN
          VOC:	fax~
        GLOSS:	trap/snare

 INPUT STRING:	التسجيل
     IS_TRANS:	Altsjyl
        INDEX:	P5W5
      OFFSETS:	16-23
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasojiyl_1]
   UNSPLITVOC:	(Alt~asojiyl)
          POS:	DET+NOUN
          VOC:	Al+tasojiyl
        GLOSS:	the+registration/recording/documentation

 INPUT STRING:	التليفزيوني
     IS_TRANS:	Altlyfzywny
        INDEX:	P5W6
      OFFSETS:	24-35
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Altiliyfizyuwniy~_1]
   UNSPLITVOC:	(Altiliyfizyuwniy)
          POS:	DET+ADJ
          VOC:	Al+tiliyfizyuwniy~
        GLOSS:	the+television

 INPUT STRING:	الوهمي
     IS_TRANS:	Alwhmy
        INDEX:	P5W7
      OFFSETS:	36-42
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alwahmiy~_1]
   UNSPLITVOC:	(Alwahmiy)
          POS:	DET+ADJ
          VOC:	Al+wahmiy
        GLOSS:	the+imagined/imaginary/fake

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W8
      OFFSETS:	43-45
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشوارع
     IS_TRANS:	Al$wArE
        INDEX:	P5W9
      OFFSETS:	46-53
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~awAriE)
          POS:	DET+NOUN
          VOC:	Al+$awAriE
        GLOSS:	the+street/streets

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P5W10
      OFFSETS:	54-56
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	with

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P5W11
      OFFSETS:	57-63
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ab~_1]
   UNSPLITVOC:	(Al$abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+youth/youths

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W12
      OFFSETS:	64-66
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	طريق
     IS_TRANS:	Tryq
        INDEX:	P5W13
      OFFSETS:	67-71
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/roads/ways/means/methods

 INPUT STRING:	استخدام
     IS_TRANS:	AstxdAm
        INDEX:	P5W14
      OFFSETS:	72-79
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotixodAm_1]
   UNSPLITVOC:	(<isotixodAm)
          POS:	NOUN
          VOC:	<isotixodAm
        GLOSS:	usage/using/utilization

 INPUT STRING:	سيارة
     IS_TRANS:	syArp
        INDEX:	P5W15
      OFFSETS:	80-85
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~Arap_1]
   UNSPLITVOC:	(say~Arap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	say~Ar+ap
        GLOSS:	car/automobile/vehicle/cars/automobiles/vehicles+[fem.sg.]

 INPUT STRING:	ميكروباص
     IS_TRANS:	mykrwbAS
        INDEX:	P5W16
      OFFSETS:	86-94
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miykruwbAS_1]
   UNSPLITVOC:	(miykruwbAS)
          POS:	NOUN
          VOC:	miykruwbAS
        GLOSS:	microbus

 INPUT STRING:	ووضع
     IS_TRANS:	wwDE
        INDEX:	P5W17
      OFFSETS:	95-99
       TOKENS:	P5W18-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(wiwaDoE)
          POS:	CONJ+NOUN
          VOC:	wi+waDoE
        GLOSS:	and+laying down/putting/placing

 INPUT STRING:	شعار
     IS_TRANS:	$EAr
        INDEX:	P5W18
      OFFSETS:	100-104
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iEAr_1]
   UNSPLITVOC:	($iEAr)
          POS:	NOUN
          VOC:	$iEAr
        GLOSS:	slogan/motto

 INPUT STRING:	قناة
     IS_TRANS:	qnAp
        INDEX:	P5W19
      OFFSETS:	105-109
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qanA+ap
        GLOSS:	canal/channel+[fem.sg.]

 INPUT STRING:	تليفزيونية
     IS_TRANS:	tlyfzywnyp
        INDEX:	P5W20
      OFFSETS:	110-120
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tilofizoyuwniy_1]
   UNSPLITVOC:	(tiliyfizoyuwniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tiliyfizoyuwniy~+ap
        GLOSS:	television+[fem.sg.]

 INPUT STRING:	وهمية
     IS_TRANS:	whmyp
        INDEX:	P5W21
