 INPUT STRING:	ياجماعة
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akol_1]
   UNSPLITVOC:	(>akol)
          POS:	NOUN
          VOC:	>akol
        GLOSS:	eating/consumption

 INPUT STRING:	ولاحافظين
     IS_TRANS:	wlAHAfZyn
        INDEX:	P2W32
      OFFSETS:	124-133
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wlAHAfZyn)
          POS:	NO_FUNC
          VOC:	wlAHAfZyn
        GLOSS:	nogloss

 INPUT STRING:	سورة
     IS_TRANS:	swrp
        INDEX:	P2W33
      OFFSETS:	134-138
       TOKENS:	P2W36-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suwarap_1]
   UNSPLITVOC:	(suwarap)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	suwar+ap
        GLOSS:	Surahs/Quranic chapters+its/his

 INPUT STRING:	الفاتحة
     IS_TRANS:	AlfAtHp
        INDEX:	P2W34
      OFFSETS:	139-146
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAtiH_1]
   UNSPLITVOC:	(AlfAtoHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fAtoH+ap
        GLOSS:	the+opening/preface+[fem.sg.]

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P2W35
      OFFSETS:	147-150
       TOKENS:	P2W39-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	والكارثة
     IS_TRANS:	wAlkArvp
        INDEX:	P2W36
      OFFSETS:	151-159
       TOKENS:	P2W40-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kArovap_1]
   UNSPLITVOC:	(wiAlkArovap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+kArov+ap
        GLOSS:	and+the+catastrophe/tragedy+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W37
      OFFSETS:	160-162
       TOKENS:	P2W42-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P2W38
      OFFSETS:	163-169
       TOKENS:	P2W43-P2W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+two

 INPUT STRING:	نبينا
     IS_TRANS:	nbynA
        INDEX:	P2W39
      OFFSETS:	170-175
       TOKENS:	P2W44-P2W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nabiy_1]
   UNSPLITVOC:	(nabiynA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	nabiy+nA
        GLOSS:	PROPHET+our

 INPUT STRING:	اسمه
     IS_TRANS:	Asmh
        INDEX:	P2W40
      OFFSETS:	176-180
       TOKENS:	P2W46-P2W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isom_1]
   UNSPLITVOC:	({isomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	{isom+uh
        GLOSS:	name+its/his

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P2W41
      OFFSETS:	181-184
       TOKENS:	P2W48-P2W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W42
      OFFSETS:	185-186
       TOKENS:	P2W49-P2W49
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W43
      OFFSETS:	186-187
       TOKENS:	P2W50-P2W50
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W44
      OFFSETS:	187-188
       TOKENS:	P2W51-P2W51
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W45
      OFFSETS:	188-189
       TOKENS:	P2W52-P2W52
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W46
      OFFSETS:	189-190
       TOKENS:	P2W53-P2W53
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W47
      OFFSETS:	190-191
       TOKENS:	P2W54-P2W54
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W48
      OFFSETS:	191-192
       TOKENS:	P2W55-P2W55
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W49
      OFFSETS:	192-193
       TOKENS:	P2W56-P2W56
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W50
      OFFSETS:	193-194
       TOKENS:	P2W57-P2W57
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W51
      OFFSETS:	194-195
       TOKENS:	P2W58-P2W58
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W52
      OFFSETS:	195-196
       TOKENS:	P2W59-P2W59
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W53
      OFFSETS:	196-197
       TOKENS:	P2W60-P2W60
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W54
      OFFSETS:	197-198
       TOKENS:	P2W61-P2W61
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W55
      OFFSETS:	198-199
       TOKENS:	P2W62-P2W62
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W56
      OFFSETS:	199-200
       TOKENS:	P2W63-P2W63
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W57
      OFFSETS:	200-201
       TOKENS:	P2W64-P2W64
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W58
      OFFSETS:	201-202
       TOKENS:	P2W65-P2W65
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W59
      OFFSETS:	202-203
       TOKENS:	P2W66-P2W66
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W60
      OFFSETS:	203-204
       TOKENS:	P2W67-P2W67
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W61
      OFFSETS:	204-205
       TOKENS:	P2W68-P2W68
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	حسبى
     IS_TRANS:	HsbY
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasob_1]
   UNSPLITVOC:	(Hasobiy)
          POS:	NOUN.VN+POSS_PRON_1S
          VOC:	Hasob+iy
        GLOSS:	enough+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W3-P3W3
