 INPUT STRING:	عايزين
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	فاكرين
     IS_TRANS:	fAkryn
        INDEX:	P1W12
      OFFSETS:	54-60
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAkir_1]
   UNSPLITVOC:	(fAkoriyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	fAkor+iyn
        GLOSS:	thinking+two

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P1W13
      OFFSETS:	61-64
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawiy~_1]
   UNSPLITVOC:	(qawiy~)
          POS:	ADJ
          VOC:	qawiy~
        GLOSS:	strong

 INPUT STRING:	اللـى
     IS_TRANS:	All_Y
        INDEX:	P1W14
      OFFSETS:	65-70
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P1W15
      OFFSETS:	71-74
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	occur/happen/take place+he/it

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P1W16
      OFFSETS:	75-78
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	28
     IS_TRANS:	28
        INDEX:	P1W17
      OFFSETS:	79-81
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(28)
          POS:	NOUN_NUM
          VOC:	28
        GLOSS:	28

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P1W18
      OFFSETS:	81-82
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P1W19
      OFFSETS:	82-83
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P1W20
      OFFSETS:	83-84
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	2011
     IS_TRANS:	2011
        INDEX:	P1W21
      OFFSETS:	84-88
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2011)
          POS:	NOUN_NUM
          VOC:	2011
        GLOSS:	2011

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P1W22
      OFFSETS:	89-92
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W23
      OFFSETS:	93-95
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	قطعوا
     IS_TRANS:	qTEwA
        INDEX:	P1W24
      OFFSETS:	96-101
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTaE_1]
   UNSPLITVOC:	(qaTaEuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qaTaE+uwA
        GLOSS:	cut apart+they

 INPUT STRING:	الشبكات
     IS_TRANS:	Al$bkAt
        INDEX:	P1W25
      OFFSETS:	102-109
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abakap_1]
   UNSPLITVOC:	(Al$~abakAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+$abak+At
        GLOSS:	the+networks/systems+[fem.pl.]

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P1W26
      OFFSETS:	110-114
       TOKENS:	P1W28-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~hA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all+its/their/her

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	عـايـزيـن
     IS_TRANS:	E_Ay_zy_n
        INDEX:	P2W2
      OFFSETS:	2-11
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting+[masc.pl.]

 INPUT STRING:	نـقـولــهــم
     IS_TRANS:	n_q_wl__h__m
        INDEX:	P2W3
      OFFSETS:	12-24
       TOKENS:	P2W3-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(niquwlluhum)
          POS:	IV1P+IV+PREP+PRON_3P
          VOC:	ni+quwl+lu+hum
        GLOSS:	we+say+to+they

 INPUT STRING:	انــنــا
     IS_TRANS:	An__n__A
        INDEX:	P2W4
      OFFSETS:	25-33
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	يـومـ
     IS_TRANS:	y_wm_
        INDEX:	P2W5
      OFFSETS:	34-39
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	day

 INPUT STRING:	28
     IS_TRANS:	28
        INDEX:	P2W6
      OFFSETS:	40-42
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(28)
          POS:	NOUN_NUM
          VOC:	28
        GLOSS:	28

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P2W7
      OFFSETS:	42-43
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P2W8
      OFFSETS:	43-44
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P2W9
      OFFSETS:	44-45
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	2012
     IS_TRANS:	2012
        INDEX:	P2W10
      OFFSETS:	45-49
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2012)
          POS:	NOUN_NUM
          VOC:	2012
        GLOSS:	2012

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P2W11
      OFFSETS:	50-54
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P2W12
      OFFSETS:	55-58
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P2W13
      OFFSETS:	59-63
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	هنقطع
     IS_TRANS:	hnqTE
        INDEX:	P2W14
      OFFSETS:	64-69
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTaE_1]
   UNSPLITVOC:	(HaniqoTaE)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+qoTaE
        GLOSS:	will+we+cut apart

 INPUT STRING:	الشبكات
     IS_TRANS:	Al$bkAt
        INDEX:	P2W15
      OFFSETS:	70-77
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abakap_1]
   UNSPLITVOC:	(Al$~abakAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+$abak+At
        GLOSS:	the+networks/systems+[fem.pl.]

 INPUT STRING:	بنفسنا
     IS_TRANS:	bnfsnA
        INDEX:	P2W16
      OFFSETS:	78-84
       TOKENS:	P2W20-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(binafosinA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+nafos+nA
        GLOSS:	with/by+same/self/selves+our

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W17
      OFFSETS:	85-86
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	هنقفل
     IS_TRANS:	hnqfl
        INDEX:	P2W18
      OFFSETS:	87-92
       TOKENS:	P2W24-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(Haniqofil)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+qofil
        GLOSS:	will+we+lock

 INPUT STRING:	موبايلاتنا
     IS_TRANS:	mwbAylAtnA
        INDEX:	P2W19
      OFFSETS:	93-103
       TOKENS:	P2W26-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwbAyil_1]
   UNSPLITVOC:	(muwbAyolAtnA)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	muwbAyol+At+nA
        GLOSS:	mobile+[fem.pl.]+our

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P2W20
      OFFSETS:	104-108
       TOKENS:	P2W28-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P2W21
      OFFSETS:	109-114
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P2W22
      OFFSETS:	115-117
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يخسروا
     IS_TRANS:	yxsrwA
        INDEX:	P2W23
      OFFSETS:	118-124
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xisir_1]
   UNSPLITVOC:	(yixosaruwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+xosar+uwA
        GLOSS:	they+lose+we

 INPUT STRING:	مـبــالــغ
     IS_TRANS:	m_b__Al__g
        INDEX:	P2W24
      OFFSETS:	125-135
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabolag_1]
   UNSPLITVOC:	(mabAlig)
          POS:	NOUN
          VOC:	mabAlig
        GLOSS:	sums of money

 INPUT STRING:	ضــخــمـــه
     IS_TRANS:	D__x__m___h
        INDEX:	P2W25
      OFFSETS:	136-147
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daxom_1]
   UNSPLITVOC:	(Daxomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Daxom+ap
        GLOSS:	huge+[fem.sg.]

 INPUT STRING:	جـــدااااا
     IS_TRANS:	j___dAAAAA
        INDEX:	P2W26
      OFFSETS:	148-158
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jid~A_1]
   UNSPLITVOC:	(jid~A)
          POS:	ADJ
          VOC:	jid~A
        GLOSS:	much

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W27
      OFFSETS:	159-160
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يــدفــعـوا
     IS_TRANS:	y__df__E_wA
        INDEX:	P2W28
      OFFSETS:	161-172
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(yidofaEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+dofaE+uwA
        GLOSS:	they+pay+they [verb]

 INPUT STRING:	حــق
     IS_TRANS:	H__q
        INDEX:	P2W29
      OFFSETS:	173-177
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W30
      OFFSETS:	178-180
       TOKENS:	P2W39-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	شهيد
     IS_TRANS:	$hyd
        INDEX:	P2W31
      OFFSETS:	181-185
       TOKENS:	P2W40-P2W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	($ahiyd)
          POS:	NOUN
          VOC:	$ahiyd
        GLOSS:	martyr/martyrs

 INPUT STRING:	مقدرش
     IS_TRANS:	mqdr$
        INDEX:	P2W32
      OFFSETS:	186-191
       TOKENS:	P2W41-P2W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(mA_qodir$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+qodir+(null)+$
        GLOSS:	not+be able+he/it+not

 INPUT STRING:	يتصل
     IS_TRANS:	ytSl
        INDEX:	P2W33
      OFFSETS:	192-196
       TOKENS:	P2W44-P2W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aSal_1]
   UNSPLITVOC:	(yit~iSil)
          POS:	IV3MS+IV
          VOC:	yi+t~iSil
        GLOSS:	he/it+connect

 INPUT STRING:	بأهله
     IS_TRANS:	b>hlh
        INDEX:	P2W34
      OFFSETS:	197-202
       TOKENS:	P2W45-P2W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(bi>aholuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+>ahol+uh
        GLOSS:	with/by+family/people/people/families/folk/families/indigenous people+his/its

 INPUT STRING:	يودعهم
     IS_TRANS:	ywdEhm
        INDEX:	P2W35
      OFFSETS:	203-209
       TOKENS:	P2W48-P2W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wad~aE_1]
   UNSPLITVOC:	(yiwad~aEhum)
          POS:	IV3MS+IV+IVSUFF_DO:3P
          VOC:	yi+wad~aE+hum
        GLOSS:	he/it+bid farewelll+them

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W36
      OFFSETS:	210-211
       TOKENS:	P2W50-P2W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	كـل
     IS_TRANS:	k_l
        INDEX:	P2W37
      OFFSETS:	212-215
       TOKENS:	P2W51-P2W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	آب
     IS_TRANS:	|b
        INDEX:	P2W38
      OFFSETS:	216-218
       TOKENS:	P2W52-P2W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ab_1]
   UNSPLITVOC:	(>ab)
          POS:	NOUN
          VOC:	>ab
        GLOSS:	father

 INPUT STRING:	مــقـدرش
     IS_TRANS:	m__q_dr$
        INDEX:	P2W39
      OFFSETS:	219-227
       TOKENS:	P2W53-P2W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(maqdir$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	ma+qdir+(null)+$
        GLOSS:	not+be able+he/it [verb]+not

 INPUT STRING:	يـتـصـل
     IS_TRANS:	y_t_S_l
        INDEX:	P2W40
      OFFSETS:	228-235
       TOKENS:	P2W56-P2W56
