 INPUT STRING:	أكد
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dayn_1]
   UNSPLITVOC:	(Ald~uyuwn)
          POS:	DET+NOUN
          VOC:	Al+duyuwn
        GLOSS:	the+debts

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P1W29
      OFFSETS:	160-167
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	طالما
     IS_TRANS:	TAlmA
        INDEX:	P1W30
      OFFSETS:	168-173
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlamA_1]
   UNSPLITVOC:	(TAlamA)
          POS:	SUB_CONJ
          VOC:	TAlamA
        GLOSS:	as long as

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P1W31
      OFFSETS:	174-177
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P1W32
      OFFSETS:	178-185
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Al<ixowAn)
          POS:	DET+NOUN
          VOC:	Al+<ixowAn
        GLOSS:	the+brothers

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P1W33
      OFFSETS:	186-194
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+musolim+iyn
        GLOSS:	the+Muslim+[masc.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W34
      OFFSETS:	195-197
       TOKENS:	P1W38-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P1W35
      OFFSETS:	198-205
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P1W36
      OFFSETS:	206-213
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	وقد
     IS_TRANS:	wqd
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(waqado)
          POS:	CONJ+VERB_PART
          VOC:	wa+qado
        GLOSS:	and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	أكد
     IS_TRANS:	>kd
        INDEX:	P2W2
      OFFSETS:	4-7
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~id_1]
   UNSPLITVOC:	(>ak~id)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>ak~id+(null)
        GLOSS:	ensure+he/it

 INPUT STRING:	النواب
     IS_TRANS:	AlnwAb
        INDEX:	P2W3
      OFFSETS:	8-14
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~uw~Ab)
          POS:	DET+NOUN
          VOC:	Al+nuw~Ab
        GLOSS:	the+deputies/delegates

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P2W4
      OFFSETS:	15-18
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W5
      OFFSETS:	19-21
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المرجح
     IS_TRANS:	AlmrjH
        INDEX:	P2W6
      OFFSETS:	22-28
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muraj~aH_1]
   UNSPLITVOC:	(Almuraj~aH)
          POS:	DET+ADJ
          VOC:	Al+muraj~aH
        GLOSS:	the+probable/likely

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P2W7
      OFFSETS:	29-33
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN.VN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P2W8
      OFFSETS:	34-41
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Al<ixowAn)
          POS:	DET+NOUN
          VOC:	Al+<ixowAn
        GLOSS:	the+brothers

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P2W9
      OFFSETS:	42-50
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+musolim+iyn
        GLOSS:	the+Muslim+[masc.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W10
      OFFSETS:	51-53
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P2W11
      OFFSETS:	54-61
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P2W12
      OFFSETS:	62-69
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	وأنهم
     IS_TRANS:	w>nhm
        INDEX:	P2W13
      OFFSETS:	70-75
       TOKENS:	P2W15-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~uhum)
          POS:	CONJ+SUB_CONJ+PRON_3P
          VOC:	wi+<in~+hum
        GLOSS:	and+that+they

 INPUT STRING:	سوف
     IS_TRANS:	swf
        INDEX:	P2W14
      OFFSETS:	76-79
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawofa_1]
   UNSPLITVOC:	(sawofa)
          POS:	FUT_PART
          VOC:	sawofa
        GLOSS:	will/shall

 INPUT STRING:	يمثلون
     IS_TRANS:	ymvlwn
        INDEX:	P2W15
      OFFSETS:	80-86
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mav~al_1]
   UNSPLITVOC:	(yumav~iluwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+mav~il+uwn
        GLOSS:	they+represent+they

 INPUT STRING:	الغالبية
     IS_TRANS:	AlgAlbyp
        INDEX:	P2W16
      OFFSETS:	87-95
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAlibiy~ap_1]
   UNSPLITVOC:	(AlgAlibiy~ap)
          POS:	DET+NOUN_QUANT+NSUFF_FEM_SG
          VOC:	Al+gAlibiy~+ap
        GLOSS:	the+majority, greater part of portion+[fem.sg.]

 INPUT STRING:	العظمى
     IS_TRANS:	AlEZmY
        INDEX:	P2W17
      OFFSETS:	96-102
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZomiy_1]
   UNSPLITVOC:	(AlEaZomiy)
          POS:	DET+ADJ
          VOC:	Al+EaZomiy
        GLOSS:	the+greater/greatest/major/supreme

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W18
      OFFSETS:	103-105
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P2W19
      OFFSETS:	106-110
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P2W20
      OFFSETS:	111-116
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	وذلك
     IS_TRANS:	w*lk
        INDEX:	P2W21
      OFFSETS:	117-121
       TOKENS:	P2W25-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(wi*alik)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+*alik
        GLOSS:	and+that

 INPUT STRING:	نظرا
     IS_TRANS:	nZrA
        INDEX:	P2W22
      OFFSETS:	122-126
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZarAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	naZar+AF
        GLOSS:	in view (of)+[acc.indef.]

 INPUT STRING:	لتنظيمهم
     IS_TRANS:	ltnZymhm
        INDEX:	P2W23
      OFFSETS:	127-135
       TOKENS:	P2W28-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tanZiym_1]
   UNSPLITVOC:	(litanoZiymhim)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	li+tanoZiym+him
        GLOSS:	for/to+organization/network+their

 INPUT STRING:	الكبير
     IS_TRANS:	Alkbyr
        INDEX:	P2W24
      OFFSETS:	136-142
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kabiyr_1]
   UNSPLITVOC:	(Alkabiyr)
          POS:	DET+ADJ
          VOC:	Al+kabiyr
        GLOSS:	the+large/great/important/major/senior/senior/important

 INPUT STRING:	ولضيق
     IS_TRANS:	wlDyq
        INDEX:	P2W25
      OFFSETS:	143-148
       TOKENS:	P2W32-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Diyq_1]
   UNSPLITVOC:	(waliDiyq)
          POS:	CONJ+PREP+NOUN
          VOC:	wa+li+Diyq
        GLOSS:	and+for/to+narrowness/anxiety/shortage

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P2W26
      OFFSETS:	149-154
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time

 INPUT STRING:	أمام
     IS_TRANS:	>mAm
        INDEX:	P2W27
      OFFSETS:	155-159
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	الأحزاب
     IS_TRANS:	Al>HzAb
        INDEX:	P2W28
      OFFSETS:	160-167
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
