 INPUT STRING:	ازيكو
          VOC:	AxobAr+kuw
        GLOSS:	news/report+your

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هاطول
     IS_TRANS:	hATwl
        INDEX:	P2W2
      OFFSETS:	3-8
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taw~il_1]
   UNSPLITVOC:	(HaAaTaw~il)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+Taw~il
        GLOSS:	will+I+lengthen

 INPUT STRING:	عليكو
     IS_TRANS:	Elykw
        INDEX:	P2W3
      OFFSETS:	9-14
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykuw)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kuw
        GLOSS:	on/above+you

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P2W4
      OFFSETS:	15-16
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المقدمات
     IS_TRANS:	AlmqdmAt
        INDEX:	P2W5
      OFFSETS:	17-25
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqad~im_1]
   UNSPLITVOC:	(Almuqad~imAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muqad~im+At
        GLOSS:	the+presenter/submitter+[fem.pl.]

 INPUT STRING:	حبيت
     IS_TRANS:	Hbyt
        INDEX:	P2W6
      OFFSETS:	26-30
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(Hab~ayt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Hab~+ayt
        GLOSS:	want+I

 INPUT STRING:	اقولكو
     IS_TRANS:	Aqwlkw
        INDEX:	P2W7
      OFFSETS:	31-37
       TOKENS:	P2W9-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwllukuw)
          POS:	IV1S+IV+PREP+PRON_2P
          VOC:	Aa+quwl+lu+kuw
        GLOSS:	I+say+to+you

 INPUT STRING:	كلمتين
     IS_TRANS:	klmtyn
        INDEX:	P2W8
      OFFSETS:	38-44
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(klmtyn)
          POS:	NO_FUNC
          VOC:	klmtyn
        GLOSS:	nogloss

 INPUT STRING:	يابنات
     IS_TRANS:	yAbnAt
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(yAbanAt)
          POS:	VOC_PART+NOUN
          VOC:	yaA+banAt
        GLOSS:	oh+daughter/girl/daughters/girls

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P3W2
      OFFSETS:	7-11
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	هايحاسبنا
     IS_TRANS:	hAyHAsbnA
        INDEX:	P3W3
      OFFSETS:	12-21
       TOKENS:	P3W5-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsib_1]
   UNSPLITVOC:	(HayiHAsibnA)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:1P
          VOC:	Ha+yi+HAsib+nA
        GLOSS:	will+he/it+hold responsible+us

 INPUT STRING:	اذا
     IS_TRANS:	A*A
        INDEX:	P3W4
      OFFSETS:	22-25
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	if

 INPUT STRING:	ظلمنا
     IS_TRANS:	ZlmnA
        INDEX:	P3W5
      OFFSETS:	26-31
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zalam_1]
   UNSPLITVOC:	(ZalamnA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	Zalam+(null)+nA
        GLOSS:	oppress/be oppressive/be oppressed+he/it+us

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P3W6
      OFFSETS:	32-34
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P3W7
      OFFSETS:	35-37
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	افترينا
     IS_TRANS:	AftrynA
        INDEX:	P3W8
      OFFSETS:	38-45
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aifotaray_1]
   UNSPLITVOC:	(AifotariynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Aifotariy+nA
        GLOSS:	be dishonest+we

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P3W9
      OFFSETS:	46-47
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P3W10
      OFFSETS:	48-50
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P3W11
      OFFSETS:	51-56
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	and+we

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P3W12
      OFFSETS:	57-62
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eanod+nA
        GLOSS:	with+our

 INPUT STRING:	اولاد
     IS_TRANS:	AwlAd
        INDEX:	P3W13
      OFFSETS:	63-68
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(AwolAd)
          POS:	NOUN
          VOC:	AwolAd
        GLOSS:	child/son

 INPUT STRING:	وعائلات
     IS_TRANS:	wEA}lAt
        INDEX:	P3W14
      OFFSETS:	69-76
       TOKENS:	P3W21-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA}ilap_1]
   UNSPLITVOC:	(wiEA}ilAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+EA}il+At
        GLOSS:	and+family/household/families/households+[fem.pl.]

 INPUT STRING:	وفية
     IS_TRANS:	wfyp
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiyh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+fiy+h
        GLOSS:	and+in+he/it

 INPUT STRING:	اطفال
     IS_TRANS:	ATfAl
        INDEX:	P4W2
      OFFSETS:	5-10
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(ATofAl)
          POS:	NOUN
          VOC:	ATofAl
        GLOSS:	child/boy/child/girl/children/infants

 INPUT STRING:	بيموتو
     IS_TRANS:	bymwtw
        INDEX:	P4W3
      OFFSETS:	11-17
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(biyimuwtuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+muwt+uwA
        GLOSS:	[present-tense]+they+die/pass away+they

 INPUT STRING:	وشباب
     IS_TRANS:	w$bAb
        INDEX:	P4W4
      OFFSETS:	18-23
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(wi$abAb)
          POS:	CONJ+NOUN
          VOC:	wi+$abAb
        GLOSS:	and+young man/young men

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P4W5
      OFFSETS:	24-26
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	الورد
     IS_TRANS:	Alwrd
        INDEX:	P4W6
      OFFSETS:	27-32
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warodap_1]
   UNSPLITVOC:	(Alwarod)
          POS:	DET+NOUN
          VOC:	Al+warod
        GLOSS:	the+flower

 INPUT STRING:	اخرهم
     IS_TRANS:	Axrhm
        INDEX:	P4W7
      OFFSETS:	33-38
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axir_1]
   UNSPLITVOC:	(Axirhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Axir+hum
        GLOSS:	last+their

 INPUT STRING:	مهندس
     IS_TRANS:	mhnds
        INDEX:	P4W8
      OFFSETS:	39-44
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhanodis_1]
   UNSPLITVOC:	(muhanodis)
          POS:	NOUN
          VOC:	muhanodis
        GLOSS:	engineer/technician

 INPUT STRING:	بترول
     IS_TRANS:	btrwl
        INDEX:	P4W9
      OFFSETS:	45-50
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitorawl_1]
   UNSPLITVOC:	(bitorawl)
          POS:	NOUN
          VOC:	bitorawl
        GLOSS:	petroleum

 INPUT STRING:	امس
     IS_TRANS:	Ams
        INDEX:	P4W10
      OFFSETS:	51-54
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amos_1]
   UNSPLITVOC:	(>amos)
          POS:	NOUN
          VOC:	>amos
        GLOSS:	yesterday

 INPUT STRING:	بالاسكندرية
     IS_TRANS:	bAlAskndryp
        INDEX:	P4W11
      OFFSETS:	55-66
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisokinodiriy~ap_1]
   UNSPLITVOC:	(biAlAisokinodiriy~ap)
          POS:	PREP+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	bi+Al+Aisokinodiriy~+ap
        GLOSS:	with/by+the+Alexandria+[fem.sg.]

 INPUT STRING:	ودكتورة
     IS_TRANS:	wdktwrp
        INDEX:	P4W12
      OFFSETS:	67-74
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawrap_1]
   UNSPLITVOC:	(widukotawrap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+dukotawr+ap
        GLOSS:	and+doctor/Doctor/Dr.+[fem.sg.]

 INPUT STRING:	بالتحرير
     IS_TRANS:	bAltHryr
        INDEX:	P4W13
      OFFSETS:	75-83
       TOKENS:	P4W20-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(biAlt~aHoriyr)
          POS:	PREP+DET+NOUN_PROP
          VOC:	bi+Al+taHoriyr
        GLOSS:	with/by+the+Tahrir

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W2
      OFFSETS:	4-6
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هاقول
     IS_TRANS:	hAqwl
        INDEX:	P5W3
      OFFSETS:	7-12
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HaAaquwl)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+quwl
        GLOSS:	will+I+said/say/be said/say/(for example)

 INPUT STRING:	واعمم
     IS_TRANS:	wAEmm
        INDEX:	P5W4
      OFFSETS:	13-18
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~im_1]
   UNSPLITVOC:	(wiAaEam~im)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+Eam~im
        GLOSS:	and+I+generalize

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W5
      OFFSETS:	19-22
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P5W6
      OFFSETS:	23-25
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P5W7
      OFFSETS:	26-28
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iy}_1]
   UNSPLITVOC:	($iy})
          POS:	NOUN
          VOC:	$iy}
        GLOSS:	thing

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بطلب
     IS_TRANS:	bTlb
        INDEX:	P6W2
      OFFSETS:	4-8
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(bAaTolub)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Tolub
        GLOSS:	[present-tense]+I+ask

 INPUT STRING:	منكو
     IS_TRANS:	mnkw
        INDEX:	P6W3
      OFFSETS:	9-13
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minkuw)
          POS:	PREP+PRON_2P
          VOC:	min+kuw
        GLOSS:	from+you

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W4
      OFFSETS:	14-16
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	ماحدش
     IS_TRANS:	mAHd$
        INDEX:	P6W5
      OFFSETS:	17-22
       TOKENS:	P6W7-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(mA_Had~i$)
          POS:	NEG_PART+NOUN+NEG_PART
          VOC:	mA+Had~+$
        GLOSS:	not+someone+not

 INPUT STRING:	يحكم
     IS_TRANS:	yHkm
        INDEX:	P6W6
      OFFSETS:	23-27
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hakam_1]
   UNSPLITVOC:	(yiHokum)
          POS:	IV3MS+IV
          VOC:	yi+Hokum
        GLOSS:	he/it+make judgements

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W7
      OFFSETS:	28-31
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P6W8
      OFFSETS:	32-34
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P6W9
      OFFSETS:	35-39
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P6W10
      OFFSETS:	40-46
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	بان
     IS_TRANS:	bAn
        INDEX:	P6W11
      OFFSETS:	47-50
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(bi<in~)
          POS:	PREP+SUB_CONJ
          VOC:	bi+<in~
        GLOSS:	with+that

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W12
      OFFSETS:	51-55
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	نزلو
     IS_TRANS:	nzlw
        INDEX:	P6W13
      OFFSETS:	56-60
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(nizoluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	nizol+uwA
        GLOSS:	descend+they

 INPUT STRING:	بلطجية
     IS_TRANS:	blTjyp
        INDEX:	P6W14
      OFFSETS:	61-67
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	gangster/ruffian+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P6W15
      OFFSETS:	68-70
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W16
      OFFSETS:	71-75
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	فالبيت
     IS_TRANS:	fAlbyt
        INDEX:	P6W17
      OFFSETS:	76-82
       TOKENS:	P6W22-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(fiAlbayt)
          POS:	PREP+DET+NOUN
          VOC:	fi+Al+bayt
        GLOSS:	in+the+house/houses

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P6W18
      OFFSETS:	83-86
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
