 INPUT STRING:	هل
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W9
      OFFSETS:	42-44
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	موقعها
     IS_TRANS:	mwqEhA
        INDEX:	P4W10
      OFFSETS:	45-51
       TOKENS:	P4W14-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(mwqEhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	mawqiE+hA
        GLOSS:	site+its/their/her

 INPUT STRING:	والذي
     IS_TRANS:	wAl*y
        INDEX:	P4W11
      OFFSETS:	52-57
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(wiAl~a*iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Al~a*iy
        GLOSS:	and+that

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P4W12
      OFFSETS:	58-61
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	كالتالي
     IS_TRANS:	kAltAly
        INDEX:	P4W13
      OFFSETS:	62-69
       TOKENS:	P4W19-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAliy_1]
   UNSPLITVOC:	(kaAlt~Aliy)
          POS:	PREP+DET+NOUN
          VOC:	ka+Al+tAliy
        GLOSS:	like/such+the+therefore/consequently

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P4W14
      OFFSETS:	70-71
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W15
      OFFSETS:	71-72
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	أفادت
     IS_TRANS:	>fAdt
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>afAd_1]
   UNSPLITVOC:	(>fAdit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>afAd+it
        GLOSS:	add/inform+it/they/she

 INPUT STRING:	أنباء
     IS_TRANS:	>nbA'
        INDEX:	P5W2
      OFFSETS:	6-11
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naba>_1]
   UNSPLITVOC:	(>anobA')
          POS:	NOUN
          VOC:	>anobA'
        GLOSS:	news

 INPUT STRING:	بوقوع
     IS_TRANS:	bwqwE
        INDEX:	P5W3
      OFFSETS:	12-17
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuquwE_1]
   UNSPLITVOC:	(biwuquwE)
          POS:	PREP+NOUN
          VOC:	bi+wuquwE
        GLOSS:	with/by+occurrence/happening

 INPUT STRING:	انفجار
     IS_TRANS:	AnfjAr
        INDEX:	P5W4
      OFFSETS:	18-24
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofijAr_1]
   UNSPLITVOC:	(AinofijAr)
          POS:	NOUN
          VOC:	AinofijAr
        GLOSS:	explosion

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W5
      OFFSETS:	25-27
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أحد
     IS_TRANS:	>Hd
        INDEX:	P5W6
      OFFSETS:	28-31
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one

 INPUT STRING:	مستودعات
     IS_TRANS:	mstwdEAt
        INDEX:	P5W7
      OFFSETS:	32-40
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotawdaE_1]
   UNSPLITVOC:	(musotawdaEAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	musotawdaE+At
        GLOSS:	repository/storehouse+[fem.pl.]

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P5W8
      OFFSETS:	41-46
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P5W9
      OFFSETS:	47-53
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	قرب
     IS_TRANS:	qrb
        INDEX:	P5W10
      OFFSETS:	54-57
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qurob_1]
   UNSPLITVOC:	(qurob)
          POS:	NOUN
          VOC:	qurob
        GLOSS:	near/proximity/nearness

 INPUT STRING:	مدينة
     IS_TRANS:	mdynp
        INDEX:	P5W11
      OFFSETS:	58-63
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(madiynap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	madiyn+ap
        GLOSS:	city+[fem.sg.]

 INPUT STRING:	الاسماعيلية
     IS_TRANS:	AlAsmAEylyp
        INDEX:	P5W12
      OFFSETS:	64-75
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisomAEiyliy~ap_1]
   UNSPLITVOC:	(AlAisomAEiyliy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+AisomAEiyliy~+ap
        GLOSS:	the+ismAEilia+[fem.sg.]

 INPUT STRING:	الواقعة
     IS_TRANS:	AlwAqEp
        INDEX:	P5W13
      OFFSETS:	76-83
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqiE_1]
   UNSPLITVOC:	(AlwAqoEap)
          POS:	DET+ADJ.VN+NSUFF_FEM_SG
          VOC:	Al+wAqiE+ap
        GLOSS:	the+occuring+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W14
      OFFSETS:	84-87
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P5W15
      OFFSETS:	88-91
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buEod_1]
   UNSPLITVOC:	(buEod)
          POS:	NOUN
          VOC:	buEod
        GLOSS:	dimension/distance/dimensions/distances

 INPUT STRING:	120
     IS_TRANS:	120
        INDEX:	P5W16
      OFFSETS:	92-95
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(120)
          POS:	NOUN_NUM
          VOC:	120
        GLOSS:	120

 INPUT STRING:	كيلومترا
     IS_TRANS:	kylwmtrA
        INDEX:	P5W17
      OFFSETS:	96-104
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kiyluwmitr_1]
   UNSPLITVOC:	(kiyluwmitrAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	kiyluwmitr+AF
        GLOSS:	kilometer(s)+[acc.indef.]

 INPUT STRING:	شمال
     IS_TRANS:	$mAl
        INDEX:	P5W18
      OFFSETS:	105-109
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$imAl_1]
   UNSPLITVOC:	($imAl)
          POS:	NOUN
          VOC:	$imAl
        GLOSS:	north/North

 INPUT STRING:	شرقي
     IS_TRANS:	$rqy
        INDEX:	P5W19
      OFFSETS:	110-114
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroqiy_1]
   UNSPLITVOC:	($aroqiy)
          POS:	ADJ
          VOC:	$aroqiy
        GLOSS:	Eastern/Oriental

 INPUT STRING:	العاصمة
     IS_TRANS:	AlEASmp
        INDEX:	P5W20
      OFFSETS:	115-122
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EASimap_1]
   UNSPLITVOC:	(AlEASimap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EASim+ap
        GLOSS:	the+capital city+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P5W21
      OFFSETS:	123-130
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	القاهرة
     IS_TRANS:	AlqAhrp
        INDEX:	P5W22
      OFFSETS:	131-138
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W23
      OFFSETS:	138-139
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/say/(for example)+he/it

 INPUT STRING:	مراسل
     IS_TRANS:	mrAsl
        INDEX:	P6W2
      OFFSETS:	5-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murAsil_1]
   UNSPLITVOC:	(murAsil)
          POS:	NOUN
          VOC:	murAsil
        GLOSS:	correspondent

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P6W3
      OFFSETS:	11-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(by)
          POS:	FOREIGN
          VOC:	by
        GLOSS:	nogloss

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P6W4
      OFFSETS:	14-16
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(by)
          POS:	FOREIGN
          VOC:	by
        GLOSS:	nogloss

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P6W5
      OFFSETS:	17-19
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sy)
          POS:	FOREIGN
          VOC:	sy
        GLOSS:	nogloss

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P6W6
      OFFSETS:	20-22
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	سلسلة
     IS_TRANS:	slslp
        INDEX:	P6W7
      OFFSETS:	23-28
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salosalap_1]
   UNSPLITVOC:	(salosalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	salosal+ap
        GLOSS:	chain/series+[fem.sg.]

 INPUT STRING:	انفجارات
     IS_TRANS:	AnfjArAt
        INDEX:	P6W8
      OFFSETS:	29-37
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofijAr_1]
   UNSPLITVOC:	(AinofijArAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	AinofijAr+At
        GLOSS:	explosions/detonations+[fem.pl.]

 INPUT STRING:	وقعت
     IS_TRANS:	wqEt
        INDEX:	P6W9
      OFFSETS:	38-42
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaE_1]
   UNSPLITVOC:	(waqaEit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	waqaE+it
        GLOSS:	take place/fall+it/they/she

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W10
      OFFSETS:	43-45
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أكبر
     IS_TRANS:	>kbr
        INDEX:	P6W11
      OFFSETS:	46-50
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	مخزن
     IS_TRANS:	mxzn
        INDEX:	P6W12
      OFFSETS:	51-55
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxozan_1]
   UNSPLITVOC:	(maxozan)
          POS:	NOUN
          VOC:	maxozan
        GLOSS:	storehouse/depot/shop

 INPUT STRING:	ذخيرة
     IS_TRANS:	*xyrp
        INDEX:	P6W13
      OFFSETS:	56-61
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*axiyrap_1]
   UNSPLITVOC:	(*axiyrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	*axiyr+ap
        GLOSS:	ammunition/treasure/provisions+[fem.sg.]

 INPUT STRING:	للجيش
     IS_TRANS:	lljy$
        INDEX:	P6W14
      OFFSETS:	62-67
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(liljay$)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+jay$
        GLOSS:	for/to+the+army/troops

 INPUT STRING:	الثاني
     IS_TRANS:	AlvAny
        INDEX:	P6W15
      OFFSETS:	68-74
