 INPUT STRING:	صوره
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	group+[fem.sing]

 INPUT STRING:	عمرى
     IS_TRANS:	EmrY
        INDEX:	P2W4
      OFFSETS:	14-18
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eumor+iy
        GLOSS:	age+my

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W5
      OFFSETS:	19-21
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P2W6
      OFFSETS:	22-25
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	was+I

 INPUT STRING:	سياسى
     IS_TRANS:	syAsY
        INDEX:	P2W7
      OFFSETS:	26-31
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(siyAsiy)
          POS:	ADJ
          VOC:	siyAsiy
        GLOSS:	politician

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W8
      OFFSETS:	32-35
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	ليا
     IS_TRANS:	lyA
        INDEX:	P2W9
      OFFSETS:	36-39
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~aA)
          POS:	PREP+PRON_1S
          VOC:	li+y~aA
        GLOSS:	for+me

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W10
      OFFSETS:	40-42
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P2W11
      OFFSETS:	43-45
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حركه
     IS_TRANS:	Hrkh
        INDEX:	P2W12
      OFFSETS:	46-50
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Harak+ap
        GLOSS:	movement/activity/organization+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P2W13
      OFFSETS:	51-53
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P2W14
      OFFSETS:	54-56
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	ازدياد
     IS_TRANS:	AzdyAd
        INDEX:	P2W15
      OFFSETS:	57-63
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AizodiyAd_1]
   UNSPLITVOC:	(AizodiyAd)
          POS:	NOUN
          VOC:	AizodiyAd
        GLOSS:	increase/intensification

 INPUT STRING:	الظلم
     IS_TRANS:	AlZlm
        INDEX:	P2W16
      OFFSETS:	64-69
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zulom_1]
   UNSPLITVOC:	(AlZ~ulom)
          POS:	DET+NOUN
          VOC:	Al+Zulom
        GLOSS:	the+injustice

 INPUT STRING:	والقهر
     IS_TRANS:	wAlqhr
        INDEX:	P2W17
      OFFSETS:	70-76
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qahr_1]
   UNSPLITVOC:	(wiAlqahr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+qahr
        GLOSS:	and+the+subjugation/coercionbjugation

 INPUT STRING:	والسرقه
     IS_TRANS:	wAlsrqh
        INDEX:	P2W18
      OFFSETS:	77-84
       TOKENS:	P2W22-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siroqap_1]
   UNSPLITVOC:	(wiAlsiroqap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+siroq+ap
        GLOSS:	and+the+stealing+[fem.sg]

 INPUT STRING:	والنصب
     IS_TRANS:	wAlnSb
        INDEX:	P2W19
      OFFSETS:	85-91
       TOKENS:	P2W24-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naSb_1]
   UNSPLITVOC:	(wiAlnaSb)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+naSb
        GLOSS:	and+the+stealing

 INPUT STRING:	بقيت
     IS_TRANS:	bqyt
        INDEX:	P2W20
      OFFSETS:	92-96
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	baqiy+t
        GLOSS:	became+I

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P2W21
      OFFSETS:	97-100
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	when

 INPUT STRING:	اتفرج
     IS_TRANS:	Atfrj
        INDEX:	P2W22
      OFFSETS:	101-106
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(Aatofar~aj)
          POS:	IV1S+IV
          VOC:	Aa+tofar~aj
        GLOSS:	I+observe/watch

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W23
      OFFSETS:	107-110
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P2W24
      OFFSETS:	111-113
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	برنامج
     IS_TRANS:	brnAmj
        INDEX:	P2W25
      OFFSETS:	114-120
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baronAmij_1]
   UNSPLITVOC:	(baronAmij)
          POS:	NOUN
          VOC:	baronAmij
        GLOSS:	program

 INPUT STRING:	تليفزيونى
     IS_TRANS:	tlyfzywnY
        INDEX:	P2W26
      OFFSETS:	121-130
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilofizyuwniy~]
   UNSPLITVOC:	(tilofizyuwniy~)
          POS:	ADJ
          VOC:	tilofizyuwniy~
        GLOSS:	television

 INPUT STRING:	ويظهر
     IS_TRANS:	wyZhr
        INDEX:	P2W27
      OFFSETS:	131-136
       TOKENS:	P2W33-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(wiyiZohar)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+Zohar
        GLOSS:	and+he+appear

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P2W28
      OFFSETS:	137-140
       TOKENS:	P2W35-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	احد
     IS_TRANS:	AHd
        INDEX:	P2W29
      OFFSETS:	141-144
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AHd)
          POS:	NO_FUNC
          VOC:	AHd
        GLOSS:	nogloss

 INPUT STRING:	اعضاء
     IS_TRANS:	AEDA'
        INDEX:	P2W30
      OFFSETS:	145-150
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(>aEoDA')
          POS:	NOUN
          VOC:	>aEoDA'
        GLOSS:	members

 INPUT STRING:	الحكومه
     IS_TRANS:	AlHkwmh
        INDEX:	P2W31
      OFFSETS:	151-158
       TOKENS:	P2W39-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	ويقعد
     IS_TRANS:	wyqEd
        INDEX:	P2W32
      OFFSETS:	159-164
       TOKENS:	P2W40-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(wiyuqEud)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yu+qEud
        GLOSS:	and+he+sit down

 INPUT STRING:	يسجد
     IS_TRANS:	ysjd
        INDEX:	P2W33
      OFFSETS:	165-169
       TOKENS:	P2W42-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sajad_1]
   UNSPLITVOC:	(yisojud)
          POS:	IV3MS+IV
          VOC:	yi+sojud
        GLOSS:	he+bow

 INPUT STRING:	فينا
     IS_TRANS:	fynA
        INDEX:	P2W34
      OFFSETS:	170-174
       TOKENS:	P2W43-P2W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiynA)
          POS:	PREP+PRON_1P
          VOC:	fiy+nA
        GLOSS:	in+us

 INPUT STRING:	ويقول
     IS_TRANS:	wyqwl
        INDEX:	P2W35
      OFFSETS:	175-180
       TOKENS:	P2W45-P2W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiyiquwl)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+quwl
        GLOSS:	and+he/it+said/say/be said/say/(for example)

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P2W36
      OFFSETS:	181-185
       TOKENS:	P2W47-P2W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	احسن
     IS_TRANS:	AHsn
        INDEX:	P2W37
      OFFSETS:	186-190
       TOKENS:	P2W49-P2W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	بلد
     IS_TRANS:	bld
        INDEX:	P2W38
      OFFSETS:	191-194
       TOKENS:	P2W50-P2W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(balad)
          POS:	NOUN
          VOC:	balad
        GLOSS:	country

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W39
      OFFSETS:	195-197
       TOKENS:	P2W51-P2W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P2W40
      OFFSETS:	198-204
       TOKENS:	P2W52-P2W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dunoyA_1]
   UNSPLITVOC:	(Ald~unoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+life/world

 INPUT STRING:	ويقعد
     IS_TRANS:	wyqEd
        INDEX:	P2W41
      OFFSETS:	205-210
       TOKENS:	P2W53-P2W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(wiyuqEud)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yu+qEud
        GLOSS:	and+he+sit down

 INPUT STRING:	يشتغلنا
     IS_TRANS:	y$tglnA
        INDEX:	P2W42
      OFFSETS:	211-218
       TOKENS:	P2W55-P2W55
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(y$tglnA)
          POS:	NO_FUNC
          VOC:	y$tglnA
        GLOSS:	nogloss

 INPUT STRING:	بقيت
     IS_TRANS:	bqyt
        INDEX:	P2W43
      OFFSETS:	219-223
       TOKENS:	P2W56-P2W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	baqiy+t
        GLOSS:	became+i

 INPUT STRING:	بشوفه
     IS_TRANS:	b$wfh
        INDEX:	P2W44
      OFFSETS:	224-229
       TOKENS:	P2W57-P2W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(biAa$uwfuh)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	bi+Aa+$uwf+uh
        GLOSS:	[present-tense]+I+look/see+it/him

 INPUT STRING:	بيتطلعله
     IS_TRANS:	bytTlElh
        INDEX:	P2W45
      OFFSETS:	230-238
       TOKENS:	P2W60-P2W60
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bytTlElh)
          POS:	TYPO
          VOC:	bytTlElh
        GLOSS:	nogloss

 INPUT STRING:	قرنين
     IS_TRANS:	qrnyn
        INDEX:	P2W46
      OFFSETS:	239-244
       TOKENS:	P2W61-P2W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaron_2]
   UNSPLITVOC:	(qaroniyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	qaron+iyn
        GLOSS:	horn+two

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P2W47
      OFFSETS:	245-248
       TOKENS:	P2W62-P2W62
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(whw)
          POS:	NO_FUNC
          VOC:	whw
        GLOSS:	nogloss

 INPUT STRING:	بيتكلم
     IS_TRANS:	bytklm
        INDEX:	P2W48
      OFFSETS:	249-255
       TOKENS:	P2W63-P2W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(biyitokal~im)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+tokal~im
        GLOSS:	[present-tense]+he/it+talking

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P3W1
      OFFSETS:	1-6
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+important

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P3W2
      OFFSETS:	7-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	some thing with

 INPUT STRING:	ازدياد
     IS_TRANS:	AzdyAd
        INDEX:	P3W3
      OFFSETS:	10-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AizodiyAd_1]
   UNSPLITVOC:	(AizodiyAd)
          POS:	NOUN
          VOC:	AizodiyAd
        GLOSS:	increase/intensification

 INPUT STRING:	احتقانى
     IS_TRANS:	AHtqAnY
        INDEX:	P3W4
      OFFSETS:	17-24
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotiqAn_1]
   UNSPLITVOC:	(AiHotiqAniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	AiHotiqAn+iy
        GLOSS:	congestion/flush+I

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W5
      OFFSETS:	25-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الرهيييييييييب
     IS_TRANS:	Alrhyyyyyyyyyb
        INDEX:	P3W6
      OFFSETS:	53-67
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rahiyb_1]
   UNSPLITVOC:	(Alrahiyb)
          POS:	DET+ADJ
          VOC:	Al+rahiyb
        GLOSS:	the+horrible

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P3W7
      OFFSETS:	68-72
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P3W8
      OFFSETS:	73-77
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~nA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all, entire, every,+our

 INPUT STRING:	عايشينه
     IS_TRANS:	EAy$ynh
        INDEX:	P3W9
      OFFSETS:	78-85
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EAy$ynh)
          POS:	NO_FUNC
          VOC:	EAy$ynh
        GLOSS:	nogloss

 INPUT STRING:	ومع
     IS_TRANS:	wmE
        INDEX:	P3W10
      OFFSETS:	86-89
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(wimaE)
          POS:	CONJ+NOUN
          VOC:	wi+maEa
        GLOSS:	and+something with

 INPUT STRING:	ازدياد
     IS_TRANS:	AzdyAd
        INDEX:	P3W11
      OFFSETS:	90-96
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AizodiyAd_1]
