 INPUT STRING:	فعلا
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P3W10
      OFFSETS:	46-50
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more/most

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W11
      OFFSETS:	51-53
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاولاد
     IS_TRANS:	AlAwlAd
        INDEX:	P3W12
      OFFSETS:	54-61
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(Al>awolAd)
          POS:	DET+NOUN
          VOC:	Al+>awolAd
        GLOSS:	the+child/son

 INPUT STRING:	نفسهم
     IS_TRANS:	nfshm
        INDEX:	P3W13
      OFFSETS:	62-67
       TOKENS:	P3W17-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	nafos+hum
        GLOSS:	same/self/selves+their

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P3W14
      OFFSETS:	68-70
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W15
      OFFSETS:	71-75
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بيدرسوا
     IS_TRANS:	bydrswA
        INDEX:	P3W16
      OFFSETS:	76-83
       TOKENS:	P3W21-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daras_1]
   UNSPLITVOC:	(biyidorisuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+doris+uwA
        GLOSS:	[present-tense]+they+study/learn/be studied/be learned+we

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W17
      OFFSETS:	84-85
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P3W18
      OFFSETS:	86-89
       TOKENS:	P3W24-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	and+they

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W19
      OFFSETS:	90-94
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بيصحوا
     IS_TRANS:	bySHwA
        INDEX:	P3W20
      OFFSETS:	95-101
       TOKENS:	P3W27-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siHiy_1]
   UNSPLITVOC:	(biyiSHuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+SH+uwA
        GLOSS:	[present-tense]+they+wake up/be roused/be alert+we

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P3W21
      OFFSETS:	102-107
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlS~uboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings/daybreak

 INPUT STRING:	بدري
     IS_TRANS:	bdry
        INDEX:	P3W22
      OFFSETS:	108-112
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badoriy_1]
   UNSPLITVOC:	(badoriy)
          POS:	ADJ
          VOC:	badoriy
        GLOSS:	early

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W23
      OFFSETS:	113-114
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P3W24
      OFFSETS:	115-118
       TOKENS:	P3W32-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	and+they

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W25
      OFFSETS:	119-123
       TOKENS:	P3W34-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	بيتابعوا
     IS_TRANS:	bytAbEwA
        INDEX:	P3W26
      OFFSETS:	124-132
       TOKENS:	P3W35-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAbiE_1]
   UNSPLITVOC:	(biyitAboEuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+tAboE+uwA
        GLOSS:	[present-tense]+they+continue/follow/monitor+we

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P3W27
      OFFSETS:	133-135
       TOKENS:	P3W37-P3W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	شيء
     IS_TRANS:	$y'
        INDEX:	P3W28
      OFFSETS:	136-139
       TOKENS:	P3W38-P3W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing/things

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W1
      OFFSETS:	1-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	عادش
     IS_TRANS:	EAd$
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAd_1]
   UNSPLITVOC:	(EAd$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	EAd+(null)+$
        GLOSS:	return/go back/no longer+he/it+not

 INPUT STRING:	شيء
     IS_TRANS:	$y'
        INDEX:	P4W3
      OFFSETS:	9-12
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing/things

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P4W4
      OFFSETS:	13-15
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	الأول
     IS_TRANS:	Al>wl
        INDEX:	P4W5
      OFFSETS:	16-21
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il_2]
   UNSPLITVOC:	(Al>aw~il)
          POS:	DET+ADJ_NUM
          VOC:	Al+>aw~il
        GLOSS:	the+first

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P5W1
      OFFSETS:	1-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wimA)
          POS:	CONJ+NEG_PART
          VOC:	wi+mA
        GLOSS:	and+not

 INPUT STRING:	عادش
     IS_TRANS:	EAd$
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAd_1]
   UNSPLITVOC:	(EAd$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	EAd+(null)+$
        GLOSS:	return/go back/no longer+he/it+not

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W3
      OFFSETS:	10-12
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اعتماد
     IS_TRANS:	AEtmAd
        INDEX:	P5W4
      OFFSETS:	13-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotimAd_1]
   UNSPLITVOC:	(AiEotimAd)
          POS:	NOUN.VN
          VOC:	AiEotimAd
        GLOSS:	reliance/dependence/recognition

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W5
      OFFSETS:	20-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	النفس
     IS_TRANS:	Alnfs
        INDEX:	P5W6
      OFFSETS:	24-29
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(Aln~afos)
          POS:	DET+NOUN
          VOC:	Al+nafos
        GLOSS:	the+same/self/selves

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W7
      OFFSETS:	30-31
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P5W8
      OFFSETS:	32-34
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	الاهل
     IS_TRANS:	AlAhl
        INDEX:	P5W9
      OFFSETS:	35-40
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(Al>ahol)
          POS:	DET+NOUN
          VOC:	Al+>ahol
        GLOSS:	the+family/people/people/families/folk/families/indigenous people

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W10
      OFFSETS:	41-43
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ورا
     IS_TRANS:	wrA
        INDEX:	P5W11
      OFFSETS:	44-47
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warA)
          POS:	NOUN
          VOC:	warA
        GLOSS:	behind/rear/back

 INPUT STRING:	الاولاد
     IS_TRANS:	AlAwlAd
        INDEX:	P5W12
      OFFSETS:	48-55
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(AlAwolAd)
          POS:	DET+NOUN
          VOC:	Al+AwolAd
        GLOSS:	the+child/son

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W13
      OFFSETS:	56-58
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حيدرسوا
     IS_TRANS:	HydrswA
        INDEX:	P5W14
      OFFSETS:	59-66
       TOKENS:	P5W16-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daras_1]
   UNSPLITVOC:	(HayidorisuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+doris+uwA
        GLOSS:	will+they+study/learn/be studied/be learned+we

 INPUT STRING:	ودة
     IS_TRANS:	wdp
        INDEX:	P6W1
      OFFSETS:	1-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+this

 INPUT STRING:	شيء
     IS_TRANS:	$y'
        INDEX:	P6W2
      OFFSETS:	5-8
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing/things

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P6W3
      OFFSETS:	9-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	متعب
     IS_TRANS:	mtEb
        INDEX:	P6W4
      OFFSETS:	14-18
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutoEib_1]
   UNSPLITVOC:	(mutoEib)
          POS:	ADJ
          VOC:	mutoEib
        GLOSS:	tiring

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P7W1
      OFFSETS:	1-5
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
