 INPUT STRING:	ايوه
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P3W9
      OFFSETS:	40-44
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	($iway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$iway~+ap
        GLOSS:	few/some/a little/afew/little+[fem.sg.]

 INPUT STRING:	جبولنا
     IS_TRANS:	jbwlnA
        INDEX:	P3W10
      OFFSETS:	45-51
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(jbwlnA)
          POS:	TYPO
          VOC:	jbwlnA
        GLOSS:	nogloss

 INPUT STRING:	اخبار
     IS_TRANS:	AxbAr
        INDEX:	P3W11
      OFFSETS:	52-57
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AxobAr)
          POS:	NOUN
          VOC:	AxobAr
        GLOSS:	news/report/reports

 INPUT STRING:	تحرق
     IS_TRANS:	tHrq
        INDEX:	P3W12
      OFFSETS:	58-62
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haraq_1]
   UNSPLITVOC:	(tiHoraq)
          POS:	IV3FS+IV
          VOC:	ti+Horaq
        GLOSS:	it/they/she+burn/hurt/rub/grind

 INPUT STRING:	الدم
     IS_TRANS:	Aldm
        INDEX:	P3W13
      OFFSETS:	63-67
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dam_1]
   UNSPLITVOC:	(Aldam)
          POS:	DET+NOUN
          VOC:	Al+dam
        GLOSS:	the+blood

 INPUT STRING:	ارجوكمممممممممم
     IS_TRANS:	Arjwkmmmmmmmmmm
        INDEX:	P4W1
      OFFSETS:	0-15
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(Aarojuwkum)
          POS:	IV1S+IV+IVSUFF_DO:2P
          VOC:	Aa+rojuw+kum
        GLOSS:	I+ask/wish+you

 INPUT STRING:	كفايه
     IS_TRANS:	kfAyh
        INDEX:	P4W2
      OFFSETS:	16-21
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(kifAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kifAy+ap
        GLOSS:	sufficiency/competence+[fem.sg.]

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P4W3
      OFFSETS:	22-26
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P4W4
      OFFSETS:	27-32
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kum
        GLOSS:	on/above+you

 INPUT STRING:	بقه
     IS_TRANS:	bqh
        INDEX:	P4W5
      OFFSETS:	33-36
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then/so

 INPUT STRING:	ادونا
     IS_TRANS:	AdwnA
        INDEX:	P4W6
      OFFSETS:	37-42
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(<id~uwnA)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:1P
          VOC:	<id~+uwA+nA
        GLOSS:	condemn/borrow/bring/gie/take/give+you+us

 INPUT STRING:	رست
     IS_TRANS:	rst
        INDEX:	P4W7
      OFFSETS:	43-46
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(rst)
          POS:	FOREIGN
          VOC:	rst
        GLOSS:	nogloss

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P4W8
      OFFSETS:	47-51
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	($iway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$iway~+ap
        GLOSS:	few/some/a little/afew/little+[fem.sg.]

 INPUT STRING:	كفايه
     IS_TRANS:	kfAyh
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(kifAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kifAy+ap
        GLOSS:	sufficiency/competence+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P5W2
      OFFSETS:	6-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ayoh_1]
   UNSPLITVOC:	(<ayoh)
          POS:	INTERROG_PRON
          VOC:	<ayoh
        GLOSS:	what

 INPUT STRING:	يابنتى
     IS_TRANS:	yAbntY
        INDEX:	P5W3
      OFFSETS:	10-16
       TOKENS:	P5W3-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(yAbinotiy)
          POS:	VOC_PART+NOUN+POSS_PRON_1S
          VOC:	yA+binot+iy
        GLOSS:	O/oh+daughter/girl/daughters/girls+my

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P5W4
      OFFSETS:	17-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	لعب
     IS_TRANS:	lEb
        INDEX:	P5W5
      OFFSETS:	20-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEob_1]
   UNSPLITVOC:	(liEob)
          POS:	NOUN
          VOC:	liEob
        GLOSS:	playing

 INPUT STRING:	عيال
     IS_TRANS:	EyAl
        INDEX:	P5W6
      OFFSETS:	24-28
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(EiyAl)
          POS:	NOUN
          VOC:	EiyAl
        GLOSS:	family/household/kids

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P5W7
      OFFSETS:	29-31
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W8
      OFFSETS:	32-35
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بتضييييييع
     IS_TRANS:	btDyyyyyyE
        INDEX:	P5W9
      OFFSETS:	36-46
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DAE_1]
   UNSPLITVOC:	(bitoDiyE)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+DiyE
        GLOSS:	[present-tense]+it/they/she+lose

 INPUT STRING:	اودام
     IS_TRANS:	AwdAm
        INDEX:	P5W10
      OFFSETS:	47-52
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Auwd~Am_1]
   UNSPLITVOC:	(Auwd~Am)
          POS:	NOUN
          VOC:	Auwd~Am
        GLOSS:	in front of

 INPUT STRING:	عنينا
     IS_TRANS:	EnynA
        INDEX:	P5W11
      OFFSETS:	53-58
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyn_1]
   UNSPLITVOC:	(EiniynA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Einiy+nA
        GLOSS:	eye/eyes/water springs/water spring/notables/Aain+our

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الاقل
     IS_TRANS:	AlAql
        INDEX:	P6W2
      OFFSETS:	4-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(Al>aqal)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aqal
        GLOSS:	the+smallest/least/minimum

 INPUT STRING:	نتكلم
     IS_TRANS:	ntklm
        INDEX:	P6W3
      OFFSETS:	10-15
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(nitokal~im)
          POS:	IV1P+IV
          VOC:	ni+tokal~im
        GLOSS:	we+talk/speak

 INPUT STRING:	وندعى
     IS_TRANS:	wndEY
        INDEX:	P6W4
      OFFSETS:	16-21
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(winidoEiy)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+doEiy
        GLOSS:	and+we+call/invite/be called/be invited

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P6W5
      OFFSETS:	22-26
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab_1]
   UNSPLITVOC:	(rabinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab+nA
        GLOSS:	master/lord/God+our

 INPUT STRING:	يسترها
     IS_TRANS:	ystrhA
        INDEX:	P6W6
      OFFSETS:	27-33
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yisoturhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+sotur+hA
        GLOSS:	he/it+cover/hide+it/them/her

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P6W7
      OFFSETS:	34-36
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with/together

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P6W8
      OFFSETS:	37-40
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	والشباب
     IS_TRANS:	wAl$bAb
        INDEX:	P6W9
      OFFSETS:	41-48
       TOKENS:	P6W12-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$Ab_1]
   UNSPLITVOC:	(wiAl$abAb)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+$abAb
        GLOSS:	and+the+young man/young men

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W10
      OFFSETS:	49-53
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/what/whose/which

 INPUT STRING:	بيموت
     IS_TRANS:	bymwt
        INDEX:	P6W11
      OFFSETS:	54-59
       TOKENS:	P6W15-P6W16
