 INPUT STRING:	بصراحة
   UNSPLITVOC:	(AinohAruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	AinohAr+uwA
        GLOSS:	be demolished/collapse+they [verb]

 INPUT STRING:	واعترفوا
     IS_TRANS:	wAEtrfwA
        INDEX:	P2W10
      OFFSETS:	44-52
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaraf_1]
   UNSPLITVOC:	(wiAiEotarafuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+AiEotaraf+uwA
        GLOSS:	and+confess+they

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P2W11
      OFFSETS:	52-53
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	وده
     IS_TRANS:	wdh
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+this

 INPUT STRING:	بيان
     IS_TRANS:	byAn
        INDEX:	P3W2
      OFFSETS:	4-8
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayAn_1]
   UNSPLITVOC:	(bayAn)
          POS:	NOUN
          VOC:	bayAn
        GLOSS:	statement

 INPUT STRING:	باعترافاتهم
     IS_TRANS:	bAEtrAfAthm
        INDEX:	P3W3
      OFFSETS:	9-20
       TOKENS:	P3W4-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEotirAf_1]
   UNSPLITVOC:	(biAiEotirAfAthum)
          POS:	PREP+NOUN+NSUFF_FEM_PL+POSS_PRON_3P
          VOC:	bi+AiEotirAf+At+hum
        GLOSS:	with/by+acknowledgment/recognition/admission/confession+[fem.pl.]+their

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W4
      OFFSETS:	21-23
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحقيق
     IS_TRANS:	AltHqyq
        INDEX:	P3W5
      OFFSETS:	24-31
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(Alt~aHoqiyq)
          POS:	DET+NOUN
          VOC:	Al+taHoqiyq
        GLOSS:	the+investigation/verification/interrogation

 INPUT STRING:	عزيزي
     IS_TRANS:	Ezyzy
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaziyz_1]
   UNSPLITVOC:	(Eaziyziy)
          POS:	ADJ+POSS_PRON_1S
          VOC:	Eaziyz+iy
        GLOSS:	dear+my

 INPUT STRING:	عضو
     IS_TRANS:	EDw
        INDEX:	P4W2
      OFFSETS:	6-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDow)
          POS:	NOUN
          VOC:	EuDow
        GLOSS:	member/members

 INPUT STRING:	اللجنة
     IS_TRANS:	Alljnp
        INDEX:	P4W3
      OFFSETS:	10-16
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(All~ajonap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lajon+ap
        GLOSS:	the+council/committee/commission/councils/committees/commissions+[fem.sg.]

 INPUT STRING:	الالكترونية
     IS_TRANS:	AlAlktrwnyp
        INDEX:	P4W4
      OFFSETS:	17-28
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al<iliktruwniy_1]
   UNSPLITVOC:	(Al<iliktruwniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<iliktruwniy~+ap
        GLOSS:	the+electronic+[fem.sg.]

 INPUT STRING:	أبناء
     IS_TRANS:	>bnA'
        INDEX:	P4W5
      OFFSETS:	30-35
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ibon_1]
   UNSPLITVOC:	(>abonA')
          POS:	NOUN
          VOC:	>abonA'
        GLOSS:	sons/children

 INPUT STRING:	المخلوع
     IS_TRANS:	AlmxlwE
        INDEX:	P4W6
      OFFSETS:	36-43
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoluwE_1]
   UNSPLITVOC:	(AlmaxoluwE)
          POS:	DET+ADJ
          VOC:	Al+maxoluwE
        GLOSS:	the+deposed/toppled/removed (from office)/unrestrained/irresponsible

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W7
      OFFSETS:	44-45
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	محبي
     IS_TRANS:	mHby
        INDEX:	P4W8
      OFFSETS:	46-50
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mHby)
          POS:	NO_FUNC
          VOC:	mHby
        GLOSS:	nogloss

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P4W9
      OFFSETS:	51-57
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P4W10
      OFFSETS:	58-65
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W11
      OFFSETS:	66-67
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	متظاهرين
     IS_TRANS:	mtZAhryn
        INDEX:	P4W12
      OFFSETS:	68-76
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaZAhir_1]
   UNSPLITVOC:	(mutaZAhiriyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	mutaZAhir+iyn
        GLOSS:	demonstrator+[masc.pl.]

 INPUT STRING:	مصطفى
     IS_TRANS:	mSTfY
        INDEX:	P4W13
      OFFSETS:	77-82
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[muSoTafaY_2]
   UNSPLITVOC:	(muSoTafaY)
          POS:	NOUN_PROP
          VOC:	muSoTafaY
        GLOSS:	Mustafa/Moustapha

 INPUT STRING:	محمود
     IS_TRANS:	mHmwd
        INDEX:	P4W14
      OFFSETS:	83-88
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W15
      OFFSETS:	88-89
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W16
      OFFSETS:	89-90
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	روكسي
     IS_TRANS:	rwksy
        INDEX:	P4W17
      OFFSETS:	91-96
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ruwksy_1]
   UNSPLITVOC:	(ruwksy)
          POS:	NOUN_PROP
          VOC:	ruwksy
        GLOSS:	Roxy

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W18
      OFFSETS:	97-98
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	عباسية
     IS_TRANS:	EbAsyp
        INDEX:	P4W19
      OFFSETS:	99-105
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EabAsiy~ap_1]
   UNSPLITVOC:	(EabAsiy~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	EabAsiy~+ap
        GLOSS:	Abbaseya+[masc.sg.]

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	هنقصر
     IS_TRANS:	hnqSr
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaS~ar_1]
   UNSPLITVOC:	(HaniqaS~ar)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+qaS~ar
        GLOSS:	will+we+shorten/curtail

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P5W3
      OFFSETS:	11-16
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kum
        GLOSS:	on/above+you [masc.pl.]

 INPUT STRING:	المسافات
     IS_TRANS:	AlmsAfAt
        INDEX:	P5W4
      OFFSETS:	17-25
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masAfap_1]
   UNSPLITVOC:	(AlmasAfAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+masAf+At
        GLOSS:	the+distances/intervals+[fem.pl.]

 INPUT STRING:	وهنعترف
     IS_TRANS:	whnEtrf
        INDEX:	P5W5
      OFFSETS:	26-33
       TOKENS:	P5W7-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaraf_1]
   UNSPLITVOC:	(wiHaniEotirif)
          POS:	CONJ+FUT_PART+IV1P+IV
          VOC:	wi+Ha+ni+Eotirif
        GLOSS:	and+will+we+confess

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W6
      OFFSETS:	34-37
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	نفسنا
     IS_TRANS:	nfsnA
        INDEX:	P5W7
      OFFSETS:	38-43
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	nafos+nA
        GLOSS:	same/self/selves+our

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W8
      OFFSETS:	43-44
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W9
      OFFSETS:	44-45
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ايوه
     IS_TRANS:	Aywh
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P6W2
      OFFSETS:	5-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	سيدي
     IS_TRANS:	sydy
        INDEX:	P6W3
      OFFSETS:	8-12
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(siydiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	siyd+iy
        GLOSS:	sir/mister+my

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P6W4
      OFFSETS:	13-17
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P6W5
      OFFSETS:	18-23
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W6
      OFFSETS:	24-26
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W7
      OFFSETS:	27-29
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all/entire

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P6W8
      OFFSETS:	30-34
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P6W9
      OFFSETS:	35-36
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P7W2
      OFFSETS:	5-9
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	خربنا
     IS_TRANS:	xrbnA
        INDEX:	P7W3
      OFFSETS:	10-15
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarab_1]
   UNSPLITVOC:	(xarabnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	xarab+nA
        GLOSS:	destroy+we[verb]

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P7W4
      OFFSETS:	16-21
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	ودمرناها
     IS_TRANS:	wdmrnAhA
        INDEX:	P7W5
      OFFSETS:	22-30
       TOKENS:	P7W5-P7W7
