 INPUT STRING:	من
 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W11
      OFFSETS:	48-50
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شخص
     IS_TRANS:	$xS
        INDEX:	P1W12
      OFFSETS:	51-54
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	($axoS)
          POS:	NOUN
          VOC:	$axoS
        GLOSS:	individual/person/individuals/persons

 INPUT STRING:	مهنتة
     IS_TRANS:	mhntp
        INDEX:	P1W13
      OFFSETS:	55-60
       TOKENS:	P1W16-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mihonap_1]
   UNSPLITVOC:	(mihonatuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	mihon+at+uh
        GLOSS:	vocation/profession/occupation+[fem.sg.]+his/its

 INPUT STRING:	القانون
     IS_TRANS:	AlqAnwn
        INDEX:	P1W14
      OFFSETS:	61-68
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAnuwn)
          POS:	DET+NOUN
          VOC:	Al+qAnuwn
        GLOSS:	the+law/statutes/regulations/laws/rules

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W15
      OFFSETS:	69-70
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بيدافع
     IS_TRANS:	bydAfE
        INDEX:	P1W16
      OFFSETS:	71-77
       TOKENS:	P1W20-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(biyidAfiE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+dAfiE
        GLOSS:	[present-tense]+he/it+defend

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W17
      OFFSETS:	78-80
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	مزور
     IS_TRANS:	mzwr
        INDEX:	P1W18
      OFFSETS:	81-85
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muzaw~ir_1]
   UNSPLITVOC:	(muzaw~ir)
          POS:	NOUN
          VOC:	muzaw~ir
        GLOSS:	forger

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyp)
          POS:	INTERROG_PRON
          VOC:	<iyp
        GLOSS:	what

 INPUT STRING:	رايك
     IS_TRANS:	rAyk
        INDEX:	P2W2
      OFFSETS:	4-8
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	ra>oy+ak
        GLOSS:	opinion/view/idea/opinions/views/ideas+your

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W3
      OFFSETS:	9-11
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شخص
     IS_TRANS:	$xS
        INDEX:	P2W4
      OFFSETS:	12-15
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	($axoS)
          POS:	NOUN
          VOC:	$axoS
        GLOSS:	individual/person/individuals/persons

 INPUT STRING:	مهنتة
     IS_TRANS:	mhntp
        INDEX:	P2W5
      OFFSETS:	16-21
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mihonap_1]
   UNSPLITVOC:	(mihonatuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	mihon+at+uh
        GLOSS:	vocation/profession/occupation+[fem.sg.]+his/its

 INPUT STRING:	القانون
     IS_TRANS:	AlqAnwn
        INDEX:	P2W6
      OFFSETS:	22-29
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAnuwn)
          POS:	DET+NOUN
          VOC:	Al+qAnuwn
        GLOSS:	the+law/statutes/regulations/laws/rules

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W7
      OFFSETS:	30-31
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بيشكك
     IS_TRANS:	by$kk
        INDEX:	P2W8
      OFFSETS:	32-37
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ak~ik_1]
   UNSPLITVOC:	(biyi$ak~ik)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+$ak~ik
        GLOSS:	[present-tense]+he/it+give suspicions/take doubt

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W9
      OFFSETS:	38-40
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P2W10
      OFFSETS:	41-47
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary/extermination/annihilation/spending (time)/district/province/districts

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P2W11
      OFFSETS:	48-51
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyh_1]
   UNSPLITVOC:	(>iyp)
          POS:	INTERROG_PRON
          VOC:	>iyp
        GLOSS:	what

 INPUT STRING:	راءيك
     IS_TRANS:	rA'yk
        INDEX:	P2W12
      OFFSETS:	52-57
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rA'yk)
          POS:	TYPO
          VOC:	rA'yk
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W13
      OFFSETS:	58-60
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	داعية
     IS_TRANS:	dAEyp
        INDEX:	P2W14
      OFFSETS:	61-66
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAEiyap_1]
   UNSPLITVOC:	(dAEiyap)
          POS:	NOUN
          VOC:	dAEiyap
        GLOSS:	missionary

 INPUT STRING:	اسلامي
     IS_TRANS:	AslAmy
        INDEX:	P2W15
      OFFSETS:	67-73
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<islAmiy_1]
   UNSPLITVOC:	(<islAmiy)
          POS:	ADJ
          VOC:	<islAmiy
        GLOSS:	Islamic/Muslim/Islamist

 INPUT STRING:	بيدافع
     IS_TRANS:	bydAfE
        INDEX:	P2W16
      OFFSETS:	74-80
       TOKENS:	P2W19-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(biyidAfiE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+dAfiE
        GLOSS:	[present-tense]+he/it+defend

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W17
      OFFSETS:	81-83
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	فتاه
     IS_TRANS:	ftAh
        INDEX:	P2W18
      OFFSETS:	84-88
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatAh_1]
   UNSPLITVOC:	(fatAh)
          POS:	NOUN
          VOC:	fatAh
        GLOSS:	girl

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P2W19
      OFFSETS:	89-93
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN
          VOC:	Al+kul~
        GLOSS:	the+all/every/whole

 INPUT STRING:	يعلم
     IS_TRANS:	yElm
        INDEX:	P2W20
      OFFSETS:	94-98
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilim_1]
   UNSPLITVOC:	(yiEolam)
          POS:	IV3MS+IV
          VOC:	yi+Eolam
        GLOSS:	he/it+know/find out

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P2W21
      OFFSETS:	99-103
       TOKENS:	P2W25-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	if+it/they/she

 INPUT STRING:	خائنة
     IS_TRANS:	xA}np
        INDEX:	P2W22
      OFFSETS:	104-109
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xA}in_1]
   UNSPLITVOC:	(xA}inap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xA}in+ap
        GLOSS:	traitor/treacherous+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W23
      OFFSETS:	110-111
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	عميلة
     IS_TRANS:	Emylp
        INDEX:	P2W24
      OFFSETS:	112-117
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamiyl_1]
   UNSPLITVOC:	(Eamiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Eamiyl+ap
        GLOSS:	agent/agents+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W25
      OFFSETS:	118-119
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تدربت
     IS_TRANS:	tdrbt
        INDEX:	P2W26
      OFFSETS:	120-125
       TOKENS:	P2W31-P2W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[darib-a_1]
   UNSPLITVOC:	(tadaribat)
          POS:	PREP+PV+PVSUFF_SUBJ:3FS
          VOC:	ta+darib+at
        GLOSS:	by+be accustomed/be trained+it/they/she [verb]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W27
      OFFSETS:	126-128
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	صربيا
     IS_TRANS:	SrbyA
        INDEX:	P2W28
      OFFSETS:	129-134
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sirobiy~A_1]
   UNSPLITVOC:	(Sirobiy~A)
          POS:	NOUN_PROP
          VOC:	Sirobiy~A
        GLOSS:	Serbia

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P2W29
      OFFSETS:	135-138
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اسقاط
     IS_TRANS:	AsqAT
        INDEX:	P2W30
      OFFSETS:	139-144
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isoqAT_1]
   UNSPLITVOC:	(<isoqAT)
          POS:	NOUN
          VOC:	<isoqAT
        GLOSS:	overthrow/shooting down

 INPUT STRING:	بلدها
     IS_TRANS:	bldhA
        INDEX:	P2W31
      OFFSETS:	145-150
       TOKENS:	P2W37-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	balad+hA
        GLOSS:	country/countries+its/their/her

 INPUT STRING:	صربيا
     IS_TRANS:	SrbyA
        INDEX:	P2W32
      OFFSETS:	151-156
       TOKENS:	P2W39-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sirobiy~A_1]
   UNSPLITVOC:	(Sirobiy~A)
          POS:	NOUN_PROP
          VOC:	Sirobiy~A
        GLOSS:	Serbia

 INPUT STRING:	هذة
     IS_TRANS:	h*p
        INDEX:	P2W33
      OFFSETS:	157-160
       TOKENS:	P2W40-P2W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_FS
          VOC:	ha*ihi
        GLOSS:	these/this

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P2W34
      OFFSETS:	161-163
       TOKENS:	P2W41-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P2W35
      OFFSETS:	164-169
       TOKENS:	P2W42-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/countries

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P2W36
      OFFSETS:	170-174
       TOKENS:	P2W43-P2W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	who/which [fem.sg.]/whom/whom [fem.sg.]/which

 INPUT STRING:	ذبحبت
     IS_TRANS:	*bHbt
        INDEX:	P2W37
      OFFSETS:	175-180
       TOKENS:	P2W44-P2W44
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(*bHbt)
          POS:	TYPO
          VOC:	*bHbt
        GLOSS:	nogloss

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P2W38
      OFFSETS:	181-189
       TOKENS:	P2W45-P2W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+musolim+iyn
        GLOSS:	the+Muslim+pl

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W39
      OFFSETS:	190-191
       TOKENS:	P2W46-P2W46
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	فعلت
     IS_TRANS:	fElt
        INDEX:	P2W40
      OFFSETS:	192-196
       TOKENS:	P2W47-P2W47
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faEal-a_1]
   UNSPLITVOC:	(faEalat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	faEal+at
        GLOSS:	do/act+it/they/she [verb]

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P2W41
      OFFSETS:	197-201
       TOKENS:	P2W48-P2W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+them [masc.pl.]

 INPUT STRING:	الافاعيل
     IS_TRANS:	AlAfAEyl
        INDEX:	P2W42
      OFFSETS:	202-210
       TOKENS:	P2W50-P2W50
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(Al>afAEiyl)
          POS:	DET+NOUN
          VOC:	Al+>afAEiyl
        GLOSS:	the+exploits

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	INTERROG_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	رائيك
     IS_TRANS:	rA}yk
        INDEX:	P3W2
      OFFSETS:	3-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rA}yk)
          POS:	TYPO
          VOC:	rA}yk
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W3
      OFFSETS:	9-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	داعية
     IS_TRANS:	dAEyp
        INDEX:	P3W4
      OFFSETS:	12-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAEiyap_1]
   UNSPLITVOC:	(dAEiyap)
          POS:	NOUN
          VOC:	dAEiyap
        GLOSS:	missionary

 INPUT STRING:	اسلامي
     IS_TRANS:	AslAmy
        INDEX:	P3W5
      OFFSETS:	18-24
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy)
          POS:	ADJ
          VOC:	<isolAmiy
        GLOSS:	Islamic/Muslim/Islamist

 INPUT STRING:	يتبع
     IS_TRANS:	ytbE
        INDEX:	P3W6
      OFFSETS:	25-29
       TOKENS:	P3W6-P3W6
