 INPUT STRING:	في
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Aiqora>+(null)
        GLOSS:	read+you

 INPUT STRING:	عناوين
     IS_TRANS:	EnAwyn
        INDEX:	P1W9
      OFFSETS:	25-31
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EinowAn_1]
   UNSPLITVOC:	(EanAwiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	EanAw+iyn
        GLOSS:	titles/headlines+two

 INPUT STRING:	الأخبار
     IS_TRANS:	Al>xbAr
        INDEX:	P1W10
      OFFSETS:	32-39
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AlAxobAr)
          POS:	DET+NOUN
          VOC:	Al+AxobAr
        GLOSS:	the+news/report

 INPUT STRING:	لتعرف
     IS_TRANS:	ltErf
        INDEX:	P1W11
      OFFSETS:	40-45
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ltErf)
          POS:	NO_FUNC
          VOC:	ltErf
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W12
      OFFSETS:	46-48
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W13
      OFFSETS:	49-51
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	عميل
     IS_TRANS:	Emyl
        INDEX:	P1W14
      OFFSETS:	53-57
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamiyl_1]
   UNSPLITVOC:	(Eamiyl)
          POS:	NOUN
          VOC:	Eamiyl
        GLOSS:	agent/agents

 INPUT STRING:	الأمريكان
     IS_TRANS:	Al>mrykAn
        INDEX:	P1W15
      OFFSETS:	58-67
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykAn)
          POS:	DET+NOUN
          VOC:	Al+>amoriykAn
        GLOSS:	the+Americans

 INPUT STRING:	وفى
     IS_TRANS:	wfY
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	الاخر
     IS_TRANS:	AlAxr
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axir_1]
   UNSPLITVOC:	(Al|axir)
          POS:	DET+NOUN
          VOC:	Al+|axir
        GLOSS:	the+last

 INPUT STRING:	بيتهموا
     IS_TRANS:	bythmwA
        INDEX:	P2W3
      OFFSETS:	10-17
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aham_1]
   UNSPLITVOC:	(biyit~ahamuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+t~aham+uwA
        GLOSS:	[present-tense]+they+accuse+they

 INPUT STRING:	شباب
     IS_TRANS:	$bAb
        INDEX:	P2W4
      OFFSETS:	18-22
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	($abAb)
          POS:	NOUN
          VOC:	$abAb
        GLOSS:	young man/young men

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P2W5
      OFFSETS:	23-29
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	بالعمالة
     IS_TRANS:	bAlEmAlp
        INDEX:	P2W6
      OFFSETS:	30-38
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EimAlap_1]
   UNSPLITVOC:	(biAlEimAlap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+EimAl+ap
        GLOSS:	with/by+the+labor force/employment+[fem.sg.]

 INPUT STRING:	اصلهم
     IS_TRANS:	ASlhm
        INDEX:	P2W7
      OFFSETS:	39-44
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSoluhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	>aSol+hum
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital+their

 INPUT STRING:	فاكرين
     IS_TRANS:	fAkryn
        INDEX:	P2W8
      OFFSETS:	45-51
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAkir_1]
   UNSPLITVOC:	(fAkoriyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	fAkor+iyn
        GLOSS:	thinking+two

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W9
      OFFSETS:	52-54
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P2W10
      OFFSETS:	55-60
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	زيهم
     IS_TRANS:	zyhm
        INDEX:	P2W11
      OFFSETS:	61-65
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~uhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	zay~+hum
        GLOSS:	like+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W12
      OFFSETS:	65-66
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P3W1
      OFFSETS:	0-1
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P3W2
      OFFSETS:	1-2
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P3W3
      OFFSETS:	3-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	يلتقي
     IS_TRANS:	yltqy
        INDEX:	P3W4
      OFFSETS:	10-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiltaqaY_1]
   UNSPLITVOC:	(yiltaqiy)
          POS:	IV3MS+IV
          VOC:	yi+ltaqiy
        GLOSS:	he/it+meet

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P3W5
      OFFSETS:	16-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	هيئة
     IS_TRANS:	hy}p
        INDEX:	P3W6
      OFFSETS:	21-25
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hay}ap_1]
   UNSPLITVOC:	(hay}ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	hay}+ap
        GLOSS:	organization/agency+[fem.sg.]

 INPUT STRING:	الأركان
     IS_TRANS:	Al>rkAn
        INDEX:	P3W7
      OFFSETS:	26-33
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rukon_1]
   UNSPLITVOC:	(Al>arokAn)
          POS:	DET+NOUN
          VOC:	Al+>arokAn
        GLOSS:	the+general staff

 INPUT STRING:	الأمريكية
     IS_TRANS:	Al>mrykyp
        INDEX:	P3W8
      OFFSETS:	34-43
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>amoriykiy~+ap
        GLOSS:	the+American+[fem.sg.]

 INPUT STRING:	للتباحث
     IS_TRANS:	lltbAHv
        INDEX:	P3W9
      OFFSETS:	44-51
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabAHuv_1]
   UNSPLITVOC:	(lilt~abAHuv)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tabAHuv
        GLOSS:	to/for+the+conferring/discussing

 INPUT STRING:	بشان
     IS_TRANS:	b$An
        INDEX:	P3W10
      OFFSETS:	52-56
       TOKENS:	P3W11-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(bi$a>on)
          POS:	PREP+NOUN
          VOC:	bi+$a>on
        GLOSS:	with/by+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	قضية
     IS_TRANS:	qDyp
        INDEX:	P3W11
      OFFSETS:	57-61
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	المنظمات
     IS_TRANS:	AlmnZmAt
        INDEX:	P3W12
      OFFSETS:	62-70
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(AlmunaZ~amAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+munaZ~am+At
        GLOSS:	the+organizations+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W13
      OFFSETS:	70-71
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W1
      OFFSETS:	0-1
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W2
      OFFSETS:	1-2
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	حوار
     IS_TRANS:	HwAr
        INDEX:	P4W3
      OFFSETS:	3-7
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(HiwAr)
          POS:	NOUN
          VOC:	HiwAr
        GLOSS:	conversation/dialogue/discussion/dialogue/discussions/talks

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P4W4
      OFFSETS:	8-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(bayon)
          POS:	NOUN
          VOC:	bayon
        GLOSS:	between/among

 INPUT STRING:	واشنطن
     IS_TRANS:	wA$nTn
        INDEX:	P4W5
      OFFSETS:	12-18
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA$inoTun_1]
   UNSPLITVOC:	(wA$inoTun)
          POS:	NOUN_PROP
          VOC:	wA$inoTun
        GLOSS:	Washington

 INPUT STRING:	والقاهرة
     IS_TRANS:	wAlqAhrp
        INDEX:	P4W6
      OFFSETS:	19-27
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(wiAlqAhirap)
          POS:	CONJ+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+Al+qAhir+ap
        GLOSS:	and+the+Cairo+[fem.sg.]

 INPUT STRING:	لتسوية
     IS_TRANS:	ltswyp
        INDEX:	P4W7
      OFFSETS:	28-34
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasowiyap_1]
   UNSPLITVOC:	(litasowiyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+tasowiy+ap
        GLOSS:	for/to+settlement/solution+[fem.sg.]

 INPUT STRING:	قضية
     IS_TRANS:	qDyp
        INDEX:	P4W8
      OFFSETS:	35-39
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	المنظمات
     IS_TRANS:	AlmnZmAt
        INDEX:	P4W9
      OFFSETS:	40-48
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(AlmunaZ~amAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+munaZ~am+At
        GLOSS:	the+organizations+[fem.pl.]

 INPUT STRING:	الأهلية
     IS_TRANS:	Al>hlyp
        INDEX:	P4W10
      OFFSETS:	49-56
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aholiy_1]
   UNSPLITVOC:	(Al>aholiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>aholiy~+ap
        GLOSS:	the+civil/domestic/family+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W11
      OFFSETS:	57-59
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أسرع
     IS_TRANS:	>srE
        INDEX:	P4W12
      OFFSETS:	60-64
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asoraE_1]
   UNSPLITVOC:	(>asoraE)
          POS:	ADJ_COMP
          VOC:	>asoraE
        GLOSS:	most rapid

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P4W13
      OFFSETS:	65-68
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W14
      OFFSETS:	68-69
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P5W1
      OFFSETS:	0-1
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P5W2
      OFFSETS:	1-2
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	كلينتون
     IS_TRANS:	klyntwn
        INDEX:	P5W3
      OFFSETS:	3-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kliynotuwn_1]
   UNSPLITVOC:	(kliynotuwn)
          POS:	NOUN_PROP
          VOC:	kliynotuwn
        GLOSS:	Clinton

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P5W4
      OFFSETS:	10-11
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	نأمل
     IS_TRANS:	n>ml
        INDEX:	P5W5
      OFFSETS:	12-16
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(ni>omal)
          POS:	IV1P+IV
          VOC:	ni+>omal
        GLOSS:	we+hope

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W6
      OFFSETS:	17-19
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	نرى
     IS_TRANS:	nrY
        INDEX:	P5W7
      OFFSETS:	20-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY_1]
   UNSPLITVOC:	(naraY)
          POS:	IV1P+IV
          VOC:	na+raY
        GLOSS:	we+see

 INPUT STRING:	حلا
     IS_TRANS:	HlA
        INDEX:	P5W8
      OFFSETS:	24-27
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HalA_1]
   UNSPLITVOC:	(HalA)
          POS:	NOUN
          VOC:	HalA
        GLOSS:	sweetness/pleasantness

 INPUT STRING:	قريبا
     IS_TRANS:	qrybA
        INDEX:	P5W9
      OFFSETS:	28-33
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qariyb_1]
   UNSPLITVOC:	(qariybAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	qariyb+AF
        GLOSS:	near/close+[acc.indef.]

 INPUT STRING:	للخلاف
     IS_TRANS:	llxlAf
        INDEX:	P5W10
      OFFSETS:	34-40
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAf_1]
   UNSPLITVOC:	(lilxilAf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+xilAf
        GLOSS:	for/to+the+dispute/controversy/conflict

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P5W11
      OFFSETS:	41-43
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	مصر
     IS_TRANS:	mSr
