 INPUT STRING:	قالوا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الصفوف
     IS_TRANS:	AlSfwf
        INDEX:	P4W3
      OFFSETS:	9-15
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saf~_1]
   UNSPLITVOC:	(AlS~ufuwf)
          POS:	DET+NOUN
          VOC:	Al+Sufuwf
        GLOSS:	the+ranks/lines/rows/classes

 INPUT STRING:	الأمامية
     IS_TRANS:	Al>mAmyp
        INDEX:	P4W4
      OFFSETS:	16-24
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAmiy_1]
   UNSPLITVOC:	(Al>amAmiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>amAmiy~+ap
        GLOSS:	the+front/forward+[fem.sg.]

 INPUT STRING:	جنبا
     IS_TRANS:	jnbA
        INDEX:	P4W5
      OFFSETS:	25-29
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janobap_1]
   UNSPLITVOC:	(janobaA)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	janob+ap
        GLOSS:	side/sides+[fem.sg.]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P4W6
      OFFSETS:	30-33
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	جنب
     IS_TRANS:	jnb
        INDEX:	P4W7
      OFFSETS:	34-37
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janob_1]
   UNSPLITVOC:	(janob)
          POS:	NOUN
          VOC:	janob
        GLOSS:	to

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P4W8
      OFFSETS:	38-40
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	الرجل
     IS_TRANS:	Alrjl
        INDEX:	P4W9
      OFFSETS:	41-46
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(Alr~ijol)
          POS:	DET+NOUN
          VOC:	Al+rijol
        GLOSS:	the+man

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W10
      OFFSETS:	46-47
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P5W2
      OFFSETS:	4-7
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W3
      OFFSETS:	8-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سقوط
     IS_TRANS:	sqwT
        INDEX:	P5W4
      OFFSETS:	11-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suquwT_1]
   UNSPLITVOC:	(suquwT)
          POS:	NOUN
          VOC:	suquwT
        GLOSS:	fall/collapse/crash

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P5W5
      OFFSETS:	16-21
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	تشعر
     IS_TRANS:	t$Er
        INDEX:	P5W6
      OFFSETS:	22-26
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEar_1]
   UNSPLITVOC:	(ti$oEur)
          POS:	IV3FS+IV
          VOC:	ti+$oEur
        GLOSS:	they+feel/be aware

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P5W7
      OFFSETS:	27-33
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	المصريات
     IS_TRANS:	AlmSryAt
        INDEX:	P5W8
      OFFSETS:	34-42
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~At)
          POS:	DET+ADJ+NSUFF_FEM_PL
          VOC:	Al+maSoriy~+At
        GLOSS:	the+egyptian+[fem.pl.]

 INPUT STRING:	ببدء
     IS_TRANS:	bbd'
        INDEX:	P5W9
      OFFSETS:	43-47
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bad'_1]
   UNSPLITVOC:	(bibad')
          POS:	PREP+NOUN
          VOC:	bi+bad'
        GLOSS:	with/by+start/beginning/starting/beginning

 INPUT STRING:	انحسار
     IS_TRANS:	AnHsAr
        INDEX:	P5W10
      OFFSETS:	48-54
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inoHisAr_1]
   UNSPLITVOC:	(AinoHisAr)
          POS:	NOUN
          VOC:	<inoHisAr
        GLOSS:	disappearance/mitigation

 INPUT STRING:	دورهن
     IS_TRANS:	dwrhn
        INDEX:	P5W11
      OFFSETS:	55-60
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawr_1]
   UNSPLITVOC:	(dawrhun)
          POS:	NOUN+POSS_PRON_3P
          VOC:	dawr+hun
        GLOSS:	role+their

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W12
      OFFSETS:	61-63
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المشهد
     IS_TRANS:	Alm$hd
        INDEX:	P5W13
      OFFSETS:	64-70
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$ohad_1]
   UNSPLITVOC:	(Alma$ohad)
          POS:	DET+NOUN
          VOC:	Al+ma$ohad
        GLOSS:	the+scene

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W14
      OFFSETS:	70-71
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ديسمبر
     IS_TRANS:	dysmbr
        INDEX:	P6W2
      OFFSETS:	3-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diysamobir_1]
   UNSPLITVOC:	(diysimobir)
          POS:	NOUN
          VOC:	diysimobir
        GLOSS:	December

 INPUT STRING:	نشرت
     IS_TRANS:	n$rt
        INDEX:	P6W3
      OFFSETS:	10-14
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[na$ar_1]
   UNSPLITVOC:	(nu$irat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	nu$ir+at
        GLOSS:	be published/be announced/be spread+it/they/she [verb]

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P6W4
      OFFSETS:	15-19
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwaruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Suwar+uh
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+his/its

 INPUT STRING:	لفتاة
     IS_TRANS:	lftAp
        INDEX:	P6W5
      OFFSETS:	20-25
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatAh_1]
   UNSPLITVOC:	(lifatAh)
          POS:	PREP+NOUN
          VOC:	li+fatAh
        GLOSS:	for/to+girl

 INPUT STRING:	تعرضت
     IS_TRANS:	tErDt
        INDEX:	P6W6
      OFFSETS:	26-31
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ear~aD_1]
   UNSPLITVOC:	(taEar~aDat)
          POS:	PREP+PV+PVSUFF_SUBJ:3FS
          VOC:	ta+Ear~aD+at
        GLOSS:	by+expose+it/they/she [verb]

 INPUT STRING:	للضرب
     IS_TRANS:	llDrb
        INDEX:	P6W7
      OFFSETS:	32-37
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(lilD~arob)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Darob
        GLOSS:	to/for+the+beating/hitting/striking

 INPUT STRING:	ومزقت
     IS_TRANS:	wmzqt
        INDEX:	P6W8
      OFFSETS:	38-43
       TOKENS:	P6W12-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maz~aq_1]
   UNSPLITVOC:	(wamuz~aqit)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	wa+muz~aq+it
        GLOSS:	and+be torne apart/be ripped apart+it/they/she [verb]

 INPUT STRING:	ملابسها
     IS_TRANS:	mlAbshA
        INDEX:	P6W9
      OFFSETS:	44-51
       TOKENS:	P6W14-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[malabis_1]
   UNSPLITVOC:	(malAbisahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	malAbis+hA
        GLOSS:	cloth+its/their/her

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W10
      OFFSETS:	52-55
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	يد
     IS_TRANS:	yd
        INDEX:	P6W11
      OFFSETS:	56-58
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(yad)
          POS:	NOUN
          VOC:	yad
        GLOSS:	hand

 INPUT STRING:	جنود
     IS_TRANS:	jnwd
        INDEX:	P6W12
      OFFSETS:	59-63
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[junodiy_1]
   UNSPLITVOC:	(junuwd)
          POS:	NOUN
          VOC:	junuwd
        GLOSS:	soldiers

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W13
      OFFSETS:	64-66
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P6W14
      OFFSETS:	67-72
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	أثناء
     IS_TRANS:	>vnA'
        INDEX:	P6W15
      OFFSETS:	73-78
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AvonA'_1]
   UNSPLITVOC:	(AvonA')
          POS:	NOUN
          VOC:	AvonA'
        GLOSS:	while

 INPUT STRING:	تفريق
     IS_TRANS:	tfryq
        INDEX:	P6W16
      OFFSETS:	79-84
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taforiyq_1]
   UNSPLITVOC:	(taforiyq)
          POS:	NOUN
          VOC:	taforiyq
        GLOSS:	separation/division

 INPUT STRING:	الاحتجاجات
     IS_TRANS:	AlAHtjAjAt
        INDEX:	P6W17
      OFFSETS:	85-95
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotijAj_1]
   UNSPLITVOC:	(AlAiHotijAjAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AiHotijAj+At
        GLOSS:	the+protest+[fem.pl.]

 INPUT STRING:	المطالبة
     IS_TRANS:	AlmTAlbp
        INDEX:	P6W18
      OFFSETS:	96-104
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muTAlib_1]
   UNSPLITVOC:	(AlmuTAlibap)
          POS:	DET+ADJ.VN+NSUFF_FEM_SG
          VOC:	Al+muTAlib+ap
        GLOSS:	the+demanding+[fem.sg.]

 INPUT STRING:	برحيل
     IS_TRANS:	brHyl
        INDEX:	P6W19
      OFFSETS:	105-110
       TOKENS:	P6W25-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHiyl_1]
   UNSPLITVOC:	(biraHiyl)
          POS:	PREP+NOUN
          VOC:	bi+raHiyl
        GLOSS:	with/by+departure/demise

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P6W20
      OFFSETS:	111-117
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P6W21
      OFFSETS:	118-125
       TOKENS:	P6W28-P6W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	وتسليم
     IS_TRANS:	wtslym
        INDEX:	P6W22
      OFFSETS:	126-132
       TOKENS:	P6W29-P6W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasoliym_1]
