 INPUT STRING:	قناة
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(AixowAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	AixowA+nA
        GLOSS:	brothers+our

 INPUT STRING:	وأخواتنا
     IS_TRANS:	w>xwAtnA
        INDEX:	P2W7
      OFFSETS:	36-44
       TOKENS:	P2W13-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(wi<ixowAtnA)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	wi+<ixow+At+nA
        GLOSS:	and+Gloss:TBA+[fem.pl.]+our

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P2W8
      OFFSETS:	45-48
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hunA_1]
   UNSPLITVOC:	(hunA)
          POS:	ADV
          VOC:	hunA
        GLOSS:	here

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W9
      OFFSETS:	49-51
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P2W10
      OFFSETS:	52-55
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	القناة
     IS_TRANS:	AlqnAp
        INDEX:	P2W11
      OFFSETS:	56-62
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAap_1]
   UNSPLITVOC:	(AlqanAap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qanA+ap
        GLOSS:	the+channel+[fem.sg.]

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P2W12
      OFFSETS:	63-66
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wamA)
          POS:	CONJ+REL_PRON
          VOC:	wa+mA
        GLOSS:	and+what/which

 INPUT STRING:	تبثه
     IS_TRANS:	tbvh
        INDEX:	P2W13
      OFFSETS:	67-71
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tbvh)
          POS:	NO_FUNC
          VOC:	tbvh
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W14
      OFFSETS:	72-74
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تشويش
     IS_TRANS:	t$wy$
        INDEX:	P2W15
      OFFSETS:	75-80
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$owiy$_1]
   UNSPLITVOC:	(ta$owiy$)
          POS:	NOUN
          VOC:	ta$owiy$
        GLOSS:	disturbance/distortion

 INPUT STRING:	وتزوير
     IS_TRANS:	wtzwyr
        INDEX:	P2W16
      OFFSETS:	81-87
       TOKENS:	P2W25-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tazowiyr_1]
   UNSPLITVOC:	(witazowiyr)
          POS:	CONJ+NOUN
          VOC:	wi+tazowiyr
        GLOSS:	and+forgery/falsification

 INPUT STRING:	الواقع
     IS_TRANS:	AlwAqE
        INDEX:	P2W17
      OFFSETS:	88-94
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqiE_1]
   UNSPLITVOC:	(AlwAqiE)
          POS:	DET+NOUN
          VOC:	Al+wAqiE
        GLOSS:	the+fact/reality/actual

 INPUT STRING:	ولوي
     IS_TRANS:	wlwy
        INDEX:	P2W18
      OFFSETS:	95-99
       TOKENS:	P2W28-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lawy_1]
   UNSPLITVOC:	(wilawy)
          POS:	CONJ+NOUN
          VOC:	wi+lawy
        GLOSS:	and+twist

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P2W19
      OFFSETS:	100-104
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(AlHaq~)
          POS:	DET+NOUN
          VOC:	Al+Haq~
        GLOSS:	the+truth/right/against/towards/rights/law

 INPUT STRING:	حسب
     IS_TRANS:	Hsb
        INDEX:	P2W20
      OFFSETS:	105-108
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(Hasab)
          POS:	NOUN
          VOC:	Hasab
        GLOSS:	according to/in accordance with

 INPUT STRING:	أهواء
     IS_TRANS:	>hwA'
        INDEX:	P2W21
      OFFSETS:	109-114
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ahwA'_1]
   UNSPLITVOC:	(>ahwA')
          POS:	NOUN
          VOC:	>ahwA'
        GLOSS:	wishes

 INPUT STRING:	القائمين
     IS_TRANS:	AlqA}myn
        INDEX:	P2W22
      OFFSETS:	115-123
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qA}im_1]
   UNSPLITVOC:	(AlqA}imiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+qA}im+iyn
        GLOSS:	the+responsible+[masc.pl.]

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P2W23
      OFFSETS:	124-129
       TOKENS:	P2W34-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+she/it

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W24
      OFFSETS:	129-130
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W25
      OFFSETS:	130-131
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P3W1
      OFFSETS:	1-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	القناة
     IS_TRANS:	AlqnAp
        INDEX:	P3W2
      OFFSETS:	5-11
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAap_1]
   UNSPLITVOC:	(AlqanAap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qanA+ap
        GLOSS:	the+channel+[fem.sg.]

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P3W3
      OFFSETS:	12-15
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	layos+a
        GLOSS:	not be+he/it [verb]

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P3W4
      OFFSETS:	16-19
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to+she/it

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P3W5
      OFFSETS:	20-22
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	مصداقية
     IS_TRANS:	mSdAqyp
        INDEX:	P3W6
      OFFSETS:	23-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSodAqiy~ap_1]
   UNSPLITVOC:	(miSodAqiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	miSodAqiy~+ap
        GLOSS:	truth+[fem.sg.]

 INPUT STRING:	فلا
     IS_TRANS:	flA
        INDEX:	P3W7
      OFFSETS:	31-34
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(falA)
          POS:	CONJ+NEG_PART
          VOC:	fa+lA
        GLOSS:	so/and+no/not

 INPUT STRING:	تأخذوها
     IS_TRANS:	t>x*whA
        INDEX:	P3W8
      OFFSETS:	35-42
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xa*_1]
   UNSPLITVOC:	(ta>xu*uwhA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	ta+>xu*+uw+hA
        GLOSS:	you+take+[pl.]+it/them/her

 INPUT STRING:	مأخذ
     IS_TRANS:	m>x*
        INDEX:	P3W9
      OFFSETS:	43-47
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma>oxa*_1]
   UNSPLITVOC:	(ma>oxa*)
          POS:	NOUN
          VOC:	ma>oxa*
        GLOSS:	consideration

 INPUT STRING:	الجد
     IS_TRANS:	Aljd
        INDEX:	P3W10
      OFFSETS:	48-52
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(Aljid~)
          POS:	DET+NOUN
          VOC:	Al+jid~
        GLOSS:	the+very/much

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P3W11
      OFFSETS:	53-57
       TOKENS:	P3W14-P3W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(fiymA)
          POS:	PREP+REL_PRON
          VOC:	fiy+mA
        GLOSS:	in, by+what/which

 INPUT STRING:	تبث
     IS_TRANS:	tbv
        INDEX:	P3W12
      OFFSETS:	58-61
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bav~_1]
   UNSPLITVOC:	(tabuv~)
          POS:	IV3FS+IV
          VOC:	ta+buv~
        GLOSS:	she/it+broadcast

 INPUT STRING:	والسلام
     IS_TRANS:	wAlslAm
        INDEX:	P4W1
      OFFSETS:	1-8
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(wiAlsalAm)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+salAm
        GLOSS:	and+the+greeting/salute/salutation

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P5W1
      OFFSETS:	1-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	definitely

 INPUT STRING:	وطبعا
     IS_TRANS:	wTbEA
        INDEX:	P6W1
      OFFSETS:	1-6
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(wiTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+TaboE+AF
        GLOSS:	and+temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P6W2
      OFFSETS:	7-11
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+afflict/be afflicted

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P6W3
      OFFSETS:	12-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P6W4
      OFFSETS:	15-17
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	المتوقع
     IS_TRANS:	AlmtwqE
        INDEX:	P6W5
      OFFSETS:	18-25
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawaq~aE_1]
   UNSPLITVOC:	(Almutawaq~aE)
          POS:	DET+ADJ
          VOC:	Al+mutawaq~aE
        GLOSS:	the+expected/anticipated

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W6
      OFFSETS:	26-28
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قناه
     IS_TRANS:	qnAh
        INDEX:	P6W7
      OFFSETS:	29-33
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAap_1]
   UNSPLITVOC:	(qanAap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qanA+ap
        GLOSS:	channel+[fem.sg.]

 INPUT STRING:	وقفت
     IS_TRANS:	wqft
        INDEX:	P6W8
      OFFSETS:	34-38
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiqif_1]
   UNSPLITVOC:	(wiqofit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	wiqof+it
        GLOSS:	stand+it/they/she

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P6W9
      OFFSETS:	39-41
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	اهلنا
     IS_TRANS:	AhlnA
        INDEX:	P6W10
      OFFSETS:	42-47
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>ahol+nA
        GLOSS:	family/people/people/families/folk/families/indigenous people+our

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W11
      OFFSETS:	48-50
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	فلسطين
     IS_TRANS:	flsTyn
        INDEX:	P6W12
      OFFSETS:	51-57
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[falasoTiyn_1]
   UNSPLITVOC:	(falasoTiyn)
          POS:	NOUN_PROP
