 INPUT STRING:	بالضبط
 INPUT STRING:	مازالت
     IS_TRANS:	mAzAlt
        INDEX:	P1W14
      OFFSETS:	83-89
       TOKENS:	P1W17-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAl_1]
   UNSPLITVOC:	(mA_zAlit)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3FS
          VOC:	mA+zAl+it
        GLOSS:	not+cease/stop being/stop doing+it/they/she [verb]

 INPUT STRING:	مسلوبه
     IS_TRANS:	mslwbh
        INDEX:	P1W15
      OFFSETS:	90-96
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masoluwb_1]
   UNSPLITVOC:	(masoluwbap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	masoluwb+ap
        GLOSS:	taken+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W16
      OFFSETS:	97-98
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	منهوبه
     IS_TRANS:	mnhwbh
        INDEX:	P1W17
      OFFSETS:	99-105
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manohuwb_1]
   UNSPLITVOC:	(manohuwbap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	manohuwb+ap
        GLOSS:	stolen+[fem.sg.]

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P1W18
      OFFSETS:	106-108
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	ترد
     IS_TRANS:	trd
        INDEX:	P1W19
      OFFSETS:	109-112
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(tirud~)
          POS:	IV3FS+IV
          VOC:	ti+rud~
        GLOSS:	it/they/she+answer

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P1W20
      OFFSETS:	113-117
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	اصحابها
     IS_TRANS:	ASHAbhA
        INDEX:	P1W21
      OFFSETS:	118-125
       TOKENS:	P1W25-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(ASoHAbhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	ASoHAb+hA
        GLOSS:	friend+its/their/her

 INPUT STRING:	اقرئوا
     IS_TRANS:	Aqr}wA
        INDEX:	P1W22
      OFFSETS:	126-132
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qara>_1]
   UNSPLITVOC:	(Aiqora}uwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Aiqora}+uwA
        GLOSS:	read+you [pl] [verb]

 INPUT STRING:	المواضيع
     IS_TRANS:	AlmwADyE
        INDEX:	P1W23
      OFFSETS:	133-141
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawADiyE)
          POS:	DET+NOUN
          VOC:	Al+mawADiyE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	القديمه
     IS_TRANS:	Alqdymh
        INDEX:	P1W24
      OFFSETS:	142-149
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadiym_1]
   UNSPLITVOC:	(Alqadiymap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qadiym+ap
        GLOSS:	the+old/ancient/old/ancients+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W25
      OFFSETS:	150-151
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	تذكروا
     IS_TRANS:	t*krwA
        INDEX:	P1W26
      OFFSETS:	152-158
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta*ak~ar_1]
   UNSPLITVOC:	(ta*ak~aruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	ta*ak~ar+uwA
        GLOSS:	remember+you [pl] [verb]

 INPUT STRING:	الظلم
     IS_TRANS:	AlZlm
        INDEX:	P1W27
      OFFSETS:	159-164
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zulom_1]
   UNSPLITVOC:	(AlZ~ulom)
          POS:	DET+NOUN
          VOC:	Al+Zulom
        GLOSS:	the+injustice

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W28
      OFFSETS:	165-166
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	القهر
     IS_TRANS:	Alqhr
        INDEX:	P1W29
      OFFSETS:	167-172
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qahor_1]
   UNSPLITVOC:	(Alqahor)
          POS:	DET+NOUN
          VOC:	Al+qahor
        GLOSS:	the+subjugation/coercion/forcibly/by force

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W30
      OFFSETS:	173-174
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الحسره
     IS_TRANS:	AlHsrh
        INDEX:	P1W31
      OFFSETS:	175-181
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasorap_1]
   UNSPLITVOC:	(AlHasorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hasor+ap
        GLOSS:	the+grief/sorrow+[fem.sg.]

 INPUT STRING:	تذكروا
     IS_TRANS:	t*krwA
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta*ak~ar_1]
   UNSPLITVOC:	(ta*ak~aruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	ta*ak~ar+uwA
        GLOSS:	remember+you [pl] [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W2
      OFFSETS:	7-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	مزالوا
     IS_TRANS:	mzAlwA
        INDEX:	P2W3
      OFFSETS:	10-16
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAl_1]
   UNSPLITVOC:	(mA_zAluwA)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3P
          VOC:	mA+zAl+uwA
        GLOSS:	not+still+they

 INPUT STRING:	يبكون
     IS_TRANS:	ybkwn
        INDEX:	P2W4
      OFFSETS:	17-22
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bakaY-i_1]
   UNSPLITVOC:	(yabokuwna)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	ya+bok+uwna
        GLOSS:	they (people)+cry/weep+[masc.pl.]

 INPUT STRING:	الدموع
     IS_TRANS:	AldmwE
        INDEX:	P2W5
      OFFSETS:	23-29
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[damoE_1]
   UNSPLITVOC:	(Ald~umuwE)
          POS:	DET+NOUN
          VOC:	Al+dumuwE
        GLOSS:	the+tears

 INPUT STRING:	دمال
     IS_TRANS:	dmAl
        INDEX:	P2W6
      OFFSETS:	30-34
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dim~Al_1]
   UNSPLITVOC:	(dim~Al)
          POS:	NOUN
          VOC:	dim~Al
        GLOSS:	hurts

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P2W7
      OFFSETS:	35-38
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ابنائهم
     IS_TRANS:	AbnA}hm
        INDEX:	P2W8
      OFFSETS:	39-46
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ibn_1]
   UNSPLITVOC:	(AbnA}hum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	AbnA}+hum
        GLOSS:	sons+their

 INPUT STRING:	المعتقلين
     IS_TRANS:	AlmEtqlyn
        INDEX:	P2W9
      OFFSETS:	47-56
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotaqal_1]
   UNSPLITVOC:	(AlmuEotaqaliyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+muEotaqal+iyn
        GLOSS:	the+arrested+two

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W10
      OFFSETS:	57-58
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	المصابين
     IS_TRANS:	AlmSAbyn
        INDEX:	P2W11
      OFFSETS:	59-67
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSAb_1]
   UNSPLITVOC:	(AlmuSAbiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+muSAb+iyn
        GLOSS:	the+hit+[masc.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W12
      OFFSETS:	68-69
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الشهداء
     IS_TRANS:	Al$hdA'
        INDEX:	P2W13
      OFFSETS:	70-77
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(Al$~uhadA')
          POS:	DET+NOUN
          VOC:	Al+$uhadA'
        GLOSS:	the+martyrs

 INPUT STRING:	تذكروا
     IS_TRANS:	t*krwA
        INDEX:	P2W14
      OFFSETS:	78-84
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta*ak~ar_1]
   UNSPLITVOC:	(ta*ak~aruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	ta*ak~ar+uwA
        GLOSS:	remember+you [pl] [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W15
      OFFSETS:	85-87
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	طاغ
     IS_TRANS:	TAg
        INDEX:	P2W16
      OFFSETS:	88-91
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAg_1]
   UNSPLITVOC:	(TAg)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	TAg+(null)
        GLOSS:	be a terrorist+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W17
      OFFSETS:	92-94
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الارض
     IS_TRANS:	AlArD
        INDEX:	P2W18
      OFFSETS:	95-100
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(Al>aroD)
          POS:	DET+NOUN
          VOC:	Al+>aroD
        GLOSS:	the+earth/territory/land/territories/land/earth/lands/territories

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W19
      OFFSETS:	101-102
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	عاث
     IS_TRANS:	EAv
        INDEX:	P2W20
      OFFSETS:	103-106
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAv_1]
   UNSPLITVOC:	(EAva)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	EAv+a
        GLOSS:	cause havoc/ravage/wreak+he/it [verb]

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P2W21
      OFFSETS:	107-111
       TOKENS:	P2W23-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	فسادا
     IS_TRANS:	fsAdA
        INDEX:	P2W22
      OFFSETS:	112-117
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fasAdAF_1]
   UNSPLITVOC:	(fasAdAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fasAd+AF
        GLOSS:	corruption+[acc.indef.]

 INPUT STRING:	تذكروا
     IS_TRANS:	t*krwA
        INDEX:	P2W23
      OFFSETS:	118-124
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta*ak~ar_1]
   UNSPLITVOC:	(ta*ak~aruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	ta*ak~ar+uwA
        GLOSS:	remember+you [pl] [verb]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W24
      OFFSETS:	125-127
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	اشبه
     IS_TRANS:	A$bh
        INDEX:	P2W25
      OFFSETS:	128-132
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$obah_1]
   UNSPLITVOC:	(>a$obah)
          POS:	ADJ_COMP
          VOC:	>a$obah
        GLOSS:	be similar

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P2W26
      OFFSETS:	133-138
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	بالبارحه
     IS_TRANS:	bAlbArHh
        INDEX:	P2W27
      OFFSETS:	139-147
       TOKENS:	P2W30-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAriHap_1]
   UNSPLITVOC:	(biAlbAriHap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+bAriH+ap
        GLOSS:	with/by+the+yesterday/yesteryear+[fem.sg.]

 INPUT STRING:	تذكروا
     IS_TRANS:	t*krwA
        INDEX:	P2W28
      OFFSETS:	148-154
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta*ak~ar_1]
   UNSPLITVOC:	(ta*ak~aruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	ta*ak~ar+uwA
        GLOSS:	remember+you [pl] [verb]

 INPUT STRING:	تذكروا
     IS_TRANS:	t*krwA
        INDEX:	P2W29
      OFFSETS:	155-161
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta*ak~ar_1]
   UNSPLITVOC:	(ta*ak~aruwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	ta*ak~ar+uwA
        GLOSS:	remember+you [pl] [verb]

 INPUT STRING:	يااالهى
     IS_TRANS:	yAAAlhY
        INDEX:	P3W1
      OFFSETS:	0-7
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AilAh_1]
   UNSPLITVOC:	(yAAilAhiy)
          POS:	VOC_PART+NOUN+POSS_PRON_1S
          VOC:	yA+AilAh+iy
        GLOSS:	oh+God+my

 INPUT STRING:	لييييييه
     IS_TRANS:	lyyyyyyh
        INDEX:	P3W2
      OFFSETS:	8-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	التسخين
     IS_TRANS:	Altsxyn
        INDEX:	P3W3
      OFFSETS:	17-24
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasoxiyn_1]
   UNSPLITVOC:	(Alt~asoxiyn)
          POS:	DET+NOUN
          VOC:	Al+tasoxiyn
        GLOSS:	the+heating

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P3W4
