 INPUT STRING:	الأستاذ
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	تموت
     IS_TRANS:	tmwt
        INDEX:	P2W20
      OFFSETS:	100-104
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(timuwt)
          POS:	IV3FS+IV
          VOC:	ti+muwt
        GLOSS:	it/they/she+die/pass away

 INPUT STRING:	وانت
     IS_TRANS:	wAnt
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(waAinota)
          POS:	CONJ+PRON_2MS
          VOC:	wa+Ainota
        GLOSS:	and+you

 INPUT STRING:	شايف
     IS_TRANS:	$Ayf
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayif)
          POS:	ADJ
          VOC:	$Ayif
        GLOSS:	see

 INPUT STRING:	بقالنا
     IS_TRANS:	bqAlnA
        INDEX:	P3W3
      OFFSETS:	10-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bqAlnA)
          POS:	NO_FUNC
          VOC:	bqAlnA
        GLOSS:	nogloss

 INPUT STRING:	شهور
     IS_TRANS:	$hwr
        INDEX:	P3W4
      OFFSETS:	17-21
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($uhuwr)
          POS:	NOUN
          VOC:	$uhuwr
        GLOSS:	month/months

 INPUT STRING:	بنحاول
     IS_TRANS:	bnHAwl
        INDEX:	P3W5
      OFFSETS:	22-28
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(biniHAwil)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+HAwil
        GLOSS:	[present-tense]+we+try

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P3W6
      OFFSETS:	29-33
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+do

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P3W7
      OFFSETS:	34-39
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	with+their

 INPUT STRING:	ورقة
     IS_TRANS:	wrqp
        INDEX:	P3W8
      OFFSETS:	40-44
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waraqap_1]
   UNSPLITVOC:	(waraqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	waraq+ap
        GLOSS:	paper+[fem.sg.]

 INPUT STRING:	المصالحة
     IS_TRANS:	AlmSAlHp
        INDEX:	P3W9
      OFFSETS:	45-53
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muSAlaHap_1]
   UNSPLITVOC:	(AlmuSAlaHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muSAlaH+ap
        GLOSS:	the+conciliation/compromise+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P3W10
      OFFSETS:	54-58
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	for+because

 INPUT STRING:	الحدود
     IS_TRANS:	AlHdwd
        INDEX:	P3W11
      OFFSETS:	59-65
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(AlHuduwd)
          POS:	DET+NOUN
          VOC:	Al+Huduwd
        GLOSS:	the+extent/limit/level/border/frontier/limits

 INPUT STRING:	تتفتح
     IS_TRANS:	ttftH
        INDEX:	P3W12
      OFFSETS:	66-71
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(titofitiH)
          POS:	IV3FS+IV_PASS
          VOC:	ti+tofitiH
        GLOSS:	it/they/she+be opened

 INPUT STRING:	ومفيش
     IS_TRANS:	wmfy$
        INDEX:	P3W13
      OFFSETS:	72-77
       TOKENS:	P3W17-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wimafiyh$)
          POS:	CONJ+NEG_PART+PREP+PRON_3MS+NEG_PART
          VOC:	wi+ma+fiy+h+$
        GLOSS:	and+not+in+he/it+not

 INPUT STRING:	فايدة
     IS_TRANS:	fAydp
        INDEX:	P3W14
      OFFSETS:	78-83
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAyodap_1]
   UNSPLITVOC:	(fAyodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fAyod+ap
        GLOSS:	Usefulness+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P3W15
      OFFSETS:	84-88
       TOKENS:	P3W23-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	for+because

 INPUT STRING:	نفك
     IS_TRANS:	nfk
        INDEX:	P3W16
      OFFSETS:	89-92
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~_1]
   UNSPLITVOC:	(nifuk~)
          POS:	IV1P+IV
          VOC:	ni+fuk~
        GLOSS:	we+detach

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W17
      OFFSETS:	93-96
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اهل
     IS_TRANS:	Ahl
        INDEX:	P3W18
      OFFSETS:	97-100
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people/people/families/folk/families/indigenous people

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P3W19
      OFFSETS:	101-104
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W20
      OFFSETS:	105-109
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P3W21
      OFFSETS:	110-113
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P3W22
      OFFSETS:	114-117
       TOKENS:	P3W31-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P4W2
      OFFSETS:	3-6
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	حطوا
     IS_TRANS:	HTwA
        INDEX:	P4W3
      OFFSETS:	7-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(HaT~uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	HaT~+uwA
        GLOSS:	put+they

 INPUT STRING:	المصالح
     IS_TRANS:	AlmSAlH
        INDEX:	P4W4
      OFFSETS:	12-19
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(AlmaSAliH)
          POS:	DET+NOUN
          VOC:	Al+maSAliH
        GLOSS:	the+interest/advantage/favor

 INPUT STRING:	الشخصية
     IS_TRANS:	Al$xSyp
        INDEX:	P4W5
      OFFSETS:	20-27
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy_1]
   UNSPLITVOC:	(Al$~axoSiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+$axoSiy~+ap
        GLOSS:	the+private/personal+[fem.sg.]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P4W6
      OFFSETS:	28-31
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	مصلحة
     IS_TRANS:	mSlHp
        INDEX:	P4W7
      OFFSETS:	32-37
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maSolaH+ap
        GLOSS:	interest/advantage/favor+[fem.sg.]

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P4W8
      OFFSETS:	38-43
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	فكان
     IS_TRANS:	fkAn
        INDEX:	P4W9
      OFFSETS:	44-48
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(fakAn)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	fa+kAn+(null)
        GLOSS:	so/and+be+he/it

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P4W10
      OFFSETS:	49-53
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تتقفل
     IS_TRANS:	ttqfl
        INDEX:	P4W11
      OFFSETS:	54-59
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(titoqifil)
          POS:	IV3FS+IV_PASS
          VOC:	ti+toqifil
        GLOSS:	it/they/she+be closed

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P4W12
      OFFSETS:	60-65
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	الحدود
     IS_TRANS:	AlHdwd
        INDEX:	P4W13
      OFFSETS:	66-72
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
