 INPUT STRING:	بصى
   UNSPLITVOC:	(Hur~)
          POS:	ADJ
          VOC:	Hur~
        GLOSS:	free/independent

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W12
      OFFSETS:	49-50
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P1W13
      OFFSETS:	51-55
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	عاوز
     IS_TRANS:	EAwz
        INDEX:	P1W14
      OFFSETS:	56-60
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwiz)
          POS:	ADJ.VN
          VOC:	EAwiz
        GLOSS:	wanting/needing

 INPUT STRING:	يعبد
     IS_TRANS:	yEbd
        INDEX:	P1W15
      OFFSETS:	61-65
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eabad_1]
   UNSPLITVOC:	(yuEobud)
          POS:	IV3MS+IV
          VOC:	yu+Eobud
        GLOSS:	he/it+worship

 INPUT STRING:	الاصنام
     IS_TRANS:	AlASnAm
        INDEX:	P1W16
      OFFSETS:	66-73
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sanam_1]
   UNSPLITVOC:	(Al>aSonAm)
          POS:	DET+NOUN
          VOC:	Al+>aSonAm
        GLOSS:	the+idol/image

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W17
      OFFSETS:	74-76
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P1W18
      OFFSETS:	77-79
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(Hur~)
          POS:	ADJ
          VOC:	Hur~
        GLOSS:	free/independent

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1W19
      OFFSETS:	80-82
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بالقتل
     IS_TRANS:	bAlqtl
        INDEX:	P1W20
      OFFSETS:	83-89
       TOKENS:	P1W21-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(biAlqatol)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+qatol
        GLOSS:	with/by+the+murder/killing

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W21
      OFFSETS:	90-91
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الارهاب
     IS_TRANS:	AlArhAb
        INDEX:	P1W22
      OFFSETS:	92-99
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<irohAb_1]
   UNSPLITVOC:	(Al<irohAb)
          POS:	DET+NOUN
          VOC:	Al+<irohAb
        GLOSS:	the+terrorism/terrorizing

 INPUT STRING:	هنحبب
     IS_TRANS:	hnHbb
        INDEX:	P1W23
      OFFSETS:	100-105
       TOKENS:	P1W25-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hab~ib_1]
   UNSPLITVOC:	(hanHab~ib)
          POS:	FUT_PART+IV1P+IV
          VOC:	ha+n+Hab~ib
        GLOSS:	will+we+love/like

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P1W24
      OFFSETS:	106-111
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W25
      OFFSETS:	112-114
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P1W26
      OFFSETS:	115-119
       TOKENS:	P1W29-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	owner/proprietor+our

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W27
      OFFSETS:	119-120
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	مينفعش
     IS_TRANS:	mynfE$
        INDEX:	P2W2
      OFFSETS:	2-8
       TOKENS:	P2W2-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaE_1]
   UNSPLITVOC:	(mA_yinofaE$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+nofaE+$
        GLOSS:	not+he/it+utilize+not

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P2W3
      OFFSETS:	9-11
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	any person

 INPUT STRING:	يكمل
     IS_TRANS:	ykml
        INDEX:	P2W4
      OFFSETS:	12-16
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(yikam~il)
          POS:	IV3MS+IV
          VOC:	yi+kam~il
        GLOSS:	he/it+complete

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W5
      OFFSETS:	17-19
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دين
     IS_TRANS:	dyn
        INDEX:	P2W6
      OFFSETS:	20-23
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diyn)
          POS:	NOUN
          VOC:	diyn
        GLOSS:	religion

 INPUT STRING:	بالاجبار
     IS_TRANS:	bAlAjbAr
        INDEX:	P2W7
      OFFSETS:	24-32
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijobAr_1]
   UNSPLITVOC:	(biAl<ijobAr)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+<ijobAr
        GLOSS:	with/by+the+compulsion/coercion

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W8
      OFFSETS:	33-34
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الاكراه
     IS_TRANS:	AlAkrAh
        INDEX:	P2W9
      OFFSETS:	35-42
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ikorAh_1]
   UNSPLITVOC:	(Al<ikorAh)
          POS:	DET+NOUN
          VOC:	Al+<ikorAh
        GLOSS:	the+coercion/force

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W10
      OFFSETS:	43-44
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	التهديد
     IS_TRANS:	Althdyd
        INDEX:	P2W11
      OFFSETS:	45-52
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahodiyd_1]
   UNSPLITVOC:	(Alt~ahodiyd)
          POS:	DET+NOUN
          VOC:	Al+tahodiyd
        GLOSS:	the+threatening/menacing

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W12
      OFFSETS:	52-53
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بيتهيالي
     IS_TRANS:	bythyAly
        INDEX:	P3W2
      OFFSETS:	4-12
       TOKENS:	P3W2-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aithay~a>_1]
   UNSPLITVOC:	(biyithay~a>liy)
          POS:	PROG_PART+IV3MS+IV+PREP+PRON_1S
          VOC:	bi+yi+thay~a>+l+iy
        GLOSS:	[present-tense]+he/it+in my opinion+to/for+I

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W3
      OFFSETS:	13-15
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P3W4
      OFFSETS:	16-18
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	الرده
     IS_TRANS:	Alrdh
        INDEX:	P3W5
      OFFSETS:	19-24
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rid~ap_1]
   UNSPLITVOC:	(Alr~id~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+rid~+ap
        GLOSS:	the+reveberation+[fem.sg.]

 INPUT STRING:	بيكون
     IS_TRANS:	bykwn
        INDEX:	P3W6
      OFFSETS:	25-30
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(biyikuwn)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+kuwn
        GLOSS:	[present-tense]+he/it+be

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P3W7
      OFFSETS:	31-34
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المسلم
     IS_TRANS:	Almslm
        INDEX:	P3W8
      OFFSETS:	35-41
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolim)
          POS:	DET+NOUN
          VOC:	Al+musolim
        GLOSS:	the+Muslim

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P3W9
      OFFSETS:	42-46
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيسيب
     IS_TRANS:	bysyb
        INDEX:	P3W10
      OFFSETS:	47-52
       TOKENS:	P3W14-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(biyisiyb)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+siyb
        GLOSS:	[present-tense]+he/it+leaves

 INPUT STRING:	دينه
     IS_TRANS:	dynh
        INDEX:	P3W11
      OFFSETS:	53-57
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diynuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	diyn+uh
        GLOSS:	religion+its/his

 INPUT STRING:	ويؤمن
     IS_TRANS:	wy&mn
        INDEX:	P3W12
      OFFSETS:	58-63
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|man_1]
   UNSPLITVOC:	(wayu&omin)
          POS:	CONJ+IV3MS+IV
          VOC:	wa+yu+&omin
        GLOSS:	and+he/it+believe

 INPUT STRING:	بدين
     IS_TRANS:	bdyn
        INDEX:	P3W13
      OFFSETS:	64-68
       TOKENS:	P3W20-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(bidiyn)
          POS:	PREP+NOUN
          VOC:	bi+diyn
        GLOSS:	with/by+religion

 INPUT STRING:	آخر
     IS_TRANS:	|xr
        INDEX:	P3W14
      OFFSETS:	69-72
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(|xar)
          POS:	ADJ
          VOC:	|xar
        GLOSS:	other/another

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P4W2
      OFFSETS:	4-7
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	them/thier

 INPUT STRING:	اساسا
     IS_TRANS:	AsAsA
        INDEX:	P4W3
      OFFSETS:	8-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AasAs_1]
   UNSPLITVOC:	(AsAsAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	AsAs+AF
        GLOSS:	foundation/basis+[acc.indef.]

 INPUT STRING:	ديانتهم
     IS_TRANS:	dyAnthm
        INDEX:	P4W4
      OFFSETS:	14-21
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diyAnap_1]
   UNSPLITVOC:	(diyAnathum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	diyAn+at+hum
        GLOSS:	religion/creed+[fem.sg.]+their

 INPUT STRING:	بهائيين
     IS_TRANS:	bhA}yyn
        INDEX:	P4W5
      OFFSETS:	22-29
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bahA}iy~iyn]
   UNSPLITVOC:	(bahA}iy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	bahA}iy~+iyn
        GLOSS:	Baha'i+[masc.pl.]

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P4W6
      OFFSETS:	30-34
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biqiy_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P4W7
      OFFSETS:	35-41
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting/needing+two

 INPUT STRING:	تطبقوا
     IS_TRANS:	tTbqwA
        INDEX:	P4W8
      OFFSETS:	42-48
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(tiTab~aquwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+Tab~aq+uwA
        GLOSS:	you [pl.]+apply/implement+you

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P4W9
      OFFSETS:	49-54
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+they

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P4W10
      OFFSETS:	55-57
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/border/frontier/limits

 INPUT STRING:	الرده
     IS_TRANS:	Alrdh
        INDEX:	P4W11
      OFFSETS:	58-63
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rid~ap_1]
   UNSPLITVOC:	(Alr~id~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+rid~+ap
        GLOSS:	the+reveberation+[fem.sg.]

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P4W12
      OFFSETS:	64-67
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_PRON
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W13
      OFFSETS:	67-68
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

