 INPUT STRING:	وصف
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to towards

 INPUT STRING:	ميدان
     IS_TRANS:	mydAn
        INDEX:	P1W18
      OFFSETS:	79-84
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(miydAn)
          POS:	NOUN
          VOC:	miydAn
        GLOSS:	field/domain/arena

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P1W19
      OFFSETS:	85-92
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+tahrir

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W20
      OFFSETS:	92-93
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وتم
     IS_TRANS:	wtm
        INDEX:	P1W21
      OFFSETS:	94-97
       TOKENS:	P1W23-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(witam~)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+tam~+(null)
        GLOSS:	and+conclude/take place+he/it [verb]

 INPUT STRING:	سحلهم
     IS_TRANS:	sHlhm
        INDEX:	P1W22
      OFFSETS:	98-103
       TOKENS:	P1W25-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saHol_1]
   UNSPLITVOC:	(saHoluhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	saHol+hum
        GLOSS:	scraping off/making smooth+their

 INPUT STRING:	والمشاركات
     IS_TRANS:	wAlm$ArkAt
        INDEX:	P1W23
      OFFSETS:	104-114
       TOKENS:	P1W27-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arik_1]
   UNSPLITVOC:	(wiAlmu$ArokAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+mu$Arok+At
        GLOSS:	and+the+participant/associate+[fem.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W24
      OFFSETS:	115-117
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مليونية
     IS_TRANS:	mlywnyp
        INDEX:	P1W25
      OFFSETS:	118-125
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miloyuwniy~ap_1]
   UNSPLITVOC:	(miloyuwniy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	miloyuwniy~+ap
        GLOSS:	a demonstration of million+[fem.sg.]

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P1W26
      OFFSETS:	127-129
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	NOUN
          VOC:	rad~
        GLOSS:	reply/response

 INPUT STRING:	الشرف
     IS_TRANS:	Al$rf
        INDEX:	P1W27
      OFFSETS:	130-135
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$araf_1]
   UNSPLITVOC:	(Al$~araf)
          POS:	DET+NOUN
          VOC:	Al+$araf
        GLOSS:	the+honor/distinction

 INPUT STRING:	بالكاسيات
     IS_TRANS:	bAlkAsyAt
        INDEX:	P1W28
      OFFSETS:	137-146
       TOKENS:	P1W33-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlkAsiy_1]
   UNSPLITVOC:	(biAlkAsiyAt)
          POS:	PREP+DET+ADJ+NSUFF_FEM_PL
          VOC:	bi+Al+kAsiy+At
        GLOSS:	with/by+the+clothed+[fem.pl.]

 INPUT STRING:	العاريات
     IS_TRANS:	AlEAryAt
        INDEX:	P1W29
      OFFSETS:	147-155
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlEAriy_1]
   UNSPLITVOC:	(AlEAriyAt)
          POS:	DET+ADJ+NSUFF_FEM_PL
          VOC:	Al+EAriy+At
        GLOSS:	the+naked/bare+[fem.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W30
      OFFSETS:	155-156
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	مضيفاً
     IS_TRANS:	mDyfAF
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muDiyf_1]
   UNSPLITVOC:	(muDiyfAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	muDiyf+AF
        GLOSS:	adding+[acc.indef]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P2W2
      OFFSETS:	7-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W3
      OFFSETS:	10-12
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W4
      OFFSETS:	13-15
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_2]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يوجد
     IS_TRANS:	ywjd
        INDEX:	P2W5
      OFFSETS:	16-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(yuwjad)
          POS:	IV3MS+IV_PASS
          VOC:	yu+wjad
        GLOSS:	he/it+be found/exist

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W6
      OFFSETS:	21-23
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الميدان
     IS_TRANS:	AlmydAn
        INDEX:	P2W7
      OFFSETS:	24-31
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(AlmiydAn)
          POS:	DET+NOUN
          VOC:	Al+miydAn
        GLOSS:	the+field/domain/arena

 INPUT STRING:	يعملون
     IS_TRANS:	yEmlwn
        INDEX:	P2W8
      OFFSETS:	32-38
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yaEomaluwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ya+Eomal+uwn
        GLOSS:	they (people)+work/function/act+[pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W9
      OFFSETS:	39-42
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	إثارة
     IS_TRANS:	<vArp
        INDEX:	P2W10
      OFFSETS:	43-48
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ivArap_1]
   UNSPLITVOC:	(<ivArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<ivAr+ap
        GLOSS:	provocation/agitation+[fem.sg.]

 INPUT STRING:	الفتن
     IS_TRANS:	Alftn
        INDEX:	P2W11
      OFFSETS:	49-54
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faton_1]
   UNSPLITVOC:	(Alfaton)
          POS:	DET+NOUN
          VOC:	Al+faton
        GLOSS:	the+sedition/dissension/discord

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W12
      OFFSETS:	54-55
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وأضاف
     IS_TRANS:	w>DAf
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aDAf_1]
   UNSPLITVOC:	(wi>aDAf)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aDAf+(null)
        GLOSS:	and+add+he/it [verb]

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P3W2
      OFFSETS:	6-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain/Sheikhs/chieftains

 INPUT STRING:	عبد
     IS_TRANS:	Ebd
        INDEX:	P3W3
      OFFSETS:	12-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eabod_1]
   UNSPLITVOC:	(Eabod)
          POS:	NOUN_PROP
          VOC:	Eabod
        GLOSS:	Abd

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P3W4
      OFFSETS:	16-22
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHoman_1]
   UNSPLITVOC:	(Alr~aHoman)
          POS:	DET+NOUN_PROP
          VOC:	Al+raHoman
        GLOSS:	the+Rahman (i.e., God, one of the 99 Beautiful Names)

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P3W5
      OFFSETS:	23-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	حسن
     IS_TRANS:	Hsn
        INDEX:	P3W6
      OFFSETS:	28-31
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasan_1]
   UNSPLITVOC:	(Hasan)
          POS:	NOUN_PROP
          VOC:	Hasan
        GLOSS:	Hassan

 INPUT STRING:	خلال
     IS_TRANS:	xlAl
        INDEX:	P3W7
      OFFSETS:	32-36
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAl_1]
   UNSPLITVOC:	(xilAl)
          POS:	NOUN
          VOC:	xilAl
        GLOSS:	during/through/(by) means (of)/via/through

 INPUT STRING:	الخطبة
     IS_TRANS:	AlxTbp
        INDEX:	P3W8
      OFFSETS:	37-43
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuTobap_1]
   UNSPLITVOC:	(AlxuTobap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xuTob+ap
        GLOSS:	the+speech/sermon/speeches/sermons+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W9
      OFFSETS:	43-44
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P4W2
      OFFSETS:	4-7
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+be necessary/be incumbent

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W3
      OFFSETS:	8-10
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يتقى
     IS_TRANS:	ytqY
        INDEX:	P4W4
      OFFSETS:	11-15
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aqay_1]
   UNSPLITVOC:	(yit~iqiy)
          POS:	IV3MS+IV
          VOC:	yi+t~iqiy
        GLOSS:	he/it+beware/be on guard

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P4W5
      OFFSETS:	16-21
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P4W6
      OFFSETS:	22-26
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W7
      OFFSETS:	27-29
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W8
      OFFSETS:	30-33
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W9
      OFFSETS:	33-34
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiymA_1]
   UNSPLITVOC:	(fiymA)
          POS:	SUB_CONJ
          VOC:	fiymA
        GLOSS:	while/as/during

 INPUT STRING:	قام
     IS_TRANS:	qAm
        INDEX:	P5W2
      OFFSETS:	5-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAm)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAm+(null)
        GLOSS:	undertake/carry out+he/it [verb]

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P5W3
      OFFSETS:	9-12
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P5W4
      OFFSETS:	13-17
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyr)
          POS:	ADJ
          VOC:	kibiyr
        GLOSS:	large/great/important/major/senior

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W5
      OFFSETS:	18-20
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المعترضين
