 INPUT STRING:	نحن
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(Alkaviyr)
          POS:	DET+ADJ
          VOC:	Al+kaviyr
        GLOSS:	the+many/much/numerous

 INPUT STRING:	منا
     IS_TRANS:	mnA
        INDEX:	P1W7
      OFFSETS:	26-29
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~A)
          POS:	PREP+PRON_1P
          VOC:	min+nA
        GLOSS:	from+us

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P1W8
      OFFSETS:	30-33
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	العصا
     IS_TRANS:	AlESA
        INDEX:	P1W9
      OFFSETS:	34-39
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSA_1]
   UNSPLITVOC:	(AlEaSA)
          POS:	DET+NOUN
          VOC:	Al+EaSA
        GLOSS:	the+stick/rod

 INPUT STRING:	والكرباج
     IS_TRANS:	wAlkrbAj
        INDEX:	P1W10
      OFFSETS:	40-48
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurobAj_1]
   UNSPLITVOC:	(wiAlkurobAj)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+kurobAj
        GLOSS:	and+the+whip/lash/whips/lashes

 INPUT STRING:	ولذ
     IS_TRANS:	wl*
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wl*)
          POS:	TYPO
          VOC:	wl*
        GLOSS:	nogloss

 INPUT STRING:	فاننى
     IS_TRANS:	fAnnY
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(fa<inniy)
          POS:	SUB_CONJ+SUB_CONJ+PRON_1S
          VOC:	fa+<in+niy
        GLOSS:	because/therefore/as a result+that+i

 INPUT STRING:	اطالب
     IS_TRANS:	ATAlb
        INDEX:	P2W3
      OFFSETS:	10-15
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlab_1]
   UNSPLITVOC:	(AaTAlob)
          POS:	IV1S+IV
          VOC:	Aa+TAlob
        GLOSS:	I+demand/require

 INPUT STRING:	بعودة
     IS_TRANS:	bEwdp
        INDEX:	P2W4
      OFFSETS:	16-21
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eawdap_1]
   UNSPLITVOC:	(biEawdap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+Eawd+ap
        GLOSS:	with/by+return+[fem.sg.]

 INPUT STRING:	جهاز
     IS_TRANS:	jhAz
        INDEX:	P2W5
      OFFSETS:	22-26
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihAz_1]
   UNSPLITVOC:	(jihAz)
          POS:	NOUN
          VOC:	jihAz
        GLOSS:	agency/bureau/office/agencies/bureaus/offices

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P2W6
      OFFSETS:	27-33
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	وعودة
     IS_TRANS:	wEwdp
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eawdap_1]
   UNSPLITVOC:	(wiEawdap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+Eawd+ap
        GLOSS:	and+return+[fem.sg.]

 INPUT STRING:	امن
     IS_TRANS:	Amn
        INDEX:	P3W2
      OFFSETS:	6-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P3W3
      OFFSETS:	10-16
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	وعودة
     IS_TRANS:	wEwdp
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eawdap_1]
   UNSPLITVOC:	(wiEawdap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+Eawd+ap
        GLOSS:	and+return+[fem.sg.]

 INPUT STRING:	حبيب
     IS_TRANS:	Hbyb
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_2]
   UNSPLITVOC:	(Habiyb)
          POS:	NOUN_PROP
          VOC:	Habiyb
        GLOSS:	Habib/Habeeb

 INPUT STRING:	العادلى
     IS_TRANS:	AlEAdlY
        INDEX:	P4W3
      OFFSETS:	11-18
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAdliy_1]
   UNSPLITVOC:	(AlEAdliy)
          POS:	DET+NOUN_PROP
          VOC:	Al+EAdliy
        GLOSS:	the+Adli/Adly

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P4W4
      OFFSETS:	19-22
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(walaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+law
        GLOSS:	and+if

 INPUT STRING:	لشهر
     IS_TRANS:	l$hr
        INDEX:	P4W5
      OFFSETS:	23-27
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	(li$ahor)
          POS:	PREP+NOUN
          VOC:	li+$ahor
        GLOSS:	for/to+month/months

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P4W6
      OFFSETS:	28-32
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P4W7
      OFFSETS:	33-37
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P4W8
      OFFSETS:	38-41
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	that

 INPUT STRING:	اعدامه
     IS_TRANS:	AEdAmh
        INDEX:	P4W9
      OFFSETS:	42-48
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEodAm_1]
   UNSPLITVOC:	(<iEodAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	<iEodAm+uh
        GLOSS:	execution/capital punishment+its/his

 INPUT STRING:	فكل
     IS_TRANS:	fkl
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(fakul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	fa+kul~
        GLOSS:	so/and+all/whole/every

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P5W2
      OFFSETS:	4-7
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	day

 INPUT STRING:	اعتصامات
     IS_TRANS:	AEtSAmAt
        INDEX:	P5W3
      OFFSETS:	8-16
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEotiSAm_1]
   UNSPLITVOC:	(AiEotiSAmAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	<iEotiSAm+At
        GLOSS:	sit-in strike/occupation+[fem.pl.]

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P5W4
      OFFSETS:	17-20
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wakul~)
          POS:	PREP+NOUN_QUANT
          VOC:	wa+kul~
        GLOSS:	with+all/every/entire

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P5W5
      OFFSETS:	21-24
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	day

 INPUT STRING:	قطع
     IS_TRANS:	qTE
        INDEX:	P5W6
      OFFSETS:	25-28
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaToE_1]
   UNSPLITVOC:	(qaToE)
          POS:	NOUN
          VOC:	qaToE
        GLOSS:	breaking off/interruption

 INPUT STRING:	طريق
     IS_TRANS:	Tryq
        INDEX:	P5W7
      OFFSETS:	29-33
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/roads/ways/means/methods

 INPUT STRING:	سيارات
     IS_TRANS:	syArAt
        INDEX:	P5W8
      OFFSETS:	34-40
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~Arap_1]
   UNSPLITVOC:	(say~ArAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	say~Ar+At
        GLOSS:	car/automobile/vehicle/cars/automobiles/vehicles+[fem.pl.]

 INPUT STRING:	وقطارات
     IS_TRANS:	wqTArAt
        INDEX:	P5W9
      OFFSETS:	41-48
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiTAr_1]
   UNSPLITVOC:	(wiqiTArAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+qiTAr+At
        GLOSS:	and+trains+[fem.pl.]

 INPUT STRING:	واليوم
     IS_TRANS:	wAlywm
        INDEX:	P6W1
      OFFSETS:	0-6
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(wiAlyawm)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+yawm
        GLOSS:	and+the+today/some day/ever/days

 INPUT STRING:	سطو
     IS_TRANS:	sTw
        INDEX:	P6W2
      OFFSETS:	7-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saTow_1]
   UNSPLITVOC:	(saTow)
          POS:	NOUN
          VOC:	saTow
        GLOSS:	assault/burglary

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W3
      OFFSETS:	11-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	البنوك
     IS_TRANS:	Albnwk
        INDEX:	P6W4
      OFFSETS:	15-21
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banok_1]
   UNSPLITVOC:	(Albunuwk)
          POS:	DET+NOUN
          VOC:	Al+bunuwk
        GLOSS:	the+bank/banks

 INPUT STRING:	ماذابقى
     IS_TRANS:	mA*AbqY
        INDEX:	P7W1
      OFFSETS:	0-7
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mA*AbqY)
          POS:	NO_FUNC
          VOC:	mA*AbqY
        GLOSS:	nogloss

 INPUT STRING:	لكي
     IS_TRANS:	lky
        INDEX:	P7W2
      OFFSETS:	8-11
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kayo_1]
   UNSPLITVOC:	(likayo)
          POS:	PREP+SUB_CONJ
          VOC:	li+kayo
        GLOSS:	in order+that

 INPUT STRING:	يتم
     IS_TRANS:	ytm
        INDEX:	P7W3
      OFFSETS:	12-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tam~-i_1]
   UNSPLITVOC:	(yatim~a)
          POS:	IV3MS+IV+IVSUFF_MOOD:S
          VOC:	ya+tim~+a
        GLOSS:	he/it+conclude/take place+[sub.]

 INPUT STRING:	هدم
     IS_TRANS:	hdm
        INDEX:	P7W4
      OFFSETS:	16-19
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadom_1]
   UNSPLITVOC:	(hadom)
          POS:	NOUN
          VOC:	hadom
        GLOSS:	demolition/razing

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P7W5
      OFFSETS:	20-23
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	تصدق
     IS_TRANS:	tSdq
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(tiSad~aq)
          POS:	IV2MS+IV
          VOC:	ti+Sad~aq
        GLOSS:	you+believe/give credence to/confirm/be believed

 INPUT STRING:	فكره
     IS_TRANS:	fkrh
        INDEX:	P8W2
      OFFSETS:	5-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	ننتدبه
     IS_TRANS:	nntdbh
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inotadab_1]
   UNSPLITVOC:	(ninotidibuh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	ni+notidib+uh
        GLOSS:	we+appoint/commission+it/him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W2
      OFFSETS:	7-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	طره
     IS_TRANS:	Trh
        INDEX:	P9W3
      OFFSETS:	10-13
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Turap_1]
   UNSPLITVOC:	(Turap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	Tur+ap
        GLOSS:	Tora/Tura+[fem.sg.]

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P9W4
      OFFSETS:	14-17
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P9W5
      OFFSETS:	18-22
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	يظبط
     IS_TRANS:	yZbT
        INDEX:	P9W6
      OFFSETS:	23-27
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zab~aT_1]
   UNSPLITVOC:	(yiZab~aT)
          POS:	IV3MS+IV
          VOC:	yi+Zab~aT
        GLOSS:	he/it+fix/mend

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P9W7
      OFFSETS:	28-31
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+us (we have)

 INPUT STRING:	المايل
     IS_TRANS:	AlmAyl
        INDEX:	P9W8
      OFFSETS:	32-38
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAyil_1]
   UNSPLITVOC:	(AlmAyil)
          POS:	DET+ADJ
          VOC:	Al+mAyil
        GLOSS:	the+inclined

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P9W9
      OFFSETS:	39-45
       TOKENS:	P9W11-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+next/then/later

 INPUT STRING:	نعدمه
     IS_TRANS:	nEdmh
        INDEX:	P9W10
      OFFSETS:	46-51
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(niEdimuh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	ni+Edim+uh
        GLOSS:	we+execute+him/it

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بشرط
     IS_TRANS:	b$rT
        INDEX:	P10W2
      OFFSETS:	3-7
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroT_1]
   UNSPLITVOC:	(bi$aroT)
          POS:	PREP+NOUN
          VOC:	bi+$aroT
        GLOSS:	with/by+precondition/stipulation/preconditions/stipulations/on the condition/provided

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P10W3
      OFFSETS:	8-12
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	انتداب
     IS_TRANS:	AntdAb
        INDEX:	P10W4
      OFFSETS:	13-19
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotidAb_1]
   UNSPLITVOC:	(AinotidAb)
          POS:	NOUN
          VOC:	AinotidAb
        GLOSS:	appointing/commissioning/deputation/dedication

 INPUT STRING:	منتهى
     IS_TRANS:	mnthY
        INDEX:	P10W5
      OFFSETS:	20-25
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munotahiy_1]
   UNSPLITVOC:	(munotahiy)
          POS:	ADJ
          VOC:	munotahiy
        GLOSS:	finished/expired

 INPUT STRING:	أما
     IS_TRANS:	>mA
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	بالنسبة
     IS_TRANS:	bAlnsbp
        INDEX:	P11W2
      OFFSETS:	4-11
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
