 INPUT STRING:	عذرا
      OFFSETS:	6-10
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAmn)
          POS:	NO_FUNC
          VOC:	yAmn
        GLOSS:	nogloss

 INPUT STRING:	ساندتونا
     IS_TRANS:	sAndtwnA
        INDEX:	P2W3
      OFFSETS:	11-19
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAnad_1]
   UNSPLITVOC:	(sAnadtuwAnA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:1P
          VOC:	sAnad+uwA+nA
        GLOSS:	support/assist/give aid+they+us

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P2W4
      OFFSETS:	20-23
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W5
      OFFSETS:	24-26
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تحرير
     IS_TRANS:	tHryr
        INDEX:	P2W6
      OFFSETS:	27-32
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(taHoriyr)
          POS:	NOUN.VN
          VOC:	taHoriyr
        GLOSS:	liberation/liberating/editorship/editing

 INPUT STRING:	ارضنا
     IS_TRANS:	ArDnA
        INDEX:	P2W7
      OFFSETS:	33-38
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(>aroDinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>aroDi+nA
        GLOSS:	earth/territory/land+our

 INPUT STRING:	وانفسنا
     IS_TRANS:	wAnfsnA
        INDEX:	P2W8
      OFFSETS:	39-46
       TOKENS:	P2W11-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(wa>anofusnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wa+>anofus+nA
        GLOSS:	and+souls+our

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W9
      OFFSETS:	47-49
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عدونا
     IS_TRANS:	EdwnA
        INDEX:	P2W10
      OFFSETS:	50-55
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eaduw_1]
   UNSPLITVOC:	(Eaduw~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eaduw~+nA
        GLOSS:	enemy+our

 INPUT STRING:	وشاركتونا
     IS_TRANS:	w$ArktwnA
        INDEX:	P2W11
      OFFSETS:	56-65
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(w$ArktwnA)
          POS:	NO_FUNC
          VOC:	w$ArktwnA
        GLOSS:	nogloss

 INPUT STRING:	عبور
     IS_TRANS:	Ebwr
        INDEX:	P2W12
      OFFSETS:	66-70
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eubuwr_1]
   UNSPLITVOC:	(Eubuwr)
          POS:	NOUN
          VOC:	Eubuwr
        GLOSS:	crossing

 INPUT STRING:	قناه
     IS_TRANS:	qnAh
        INDEX:	P2W13
      OFFSETS:	71-75
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN
          VOC:	qanAp
        GLOSS:	canal/canals

 INPUT STRING:	السويس
     IS_TRANS:	Alswys
        INDEX:	P2W14
      OFFSETS:	76-82
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suwayos_1]
   UNSPLITVOC:	(Alsuwayos)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwayos
        GLOSS:	the+Suez

 INPUT STRING:	واغلب
     IS_TRANS:	wAglb
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>agolab_1]
   UNSPLITVOC:	(wa>agolab)
          POS:	PREP+ADJ_COMP
          VOC:	wa+>agolab
        GLOSS:	with+most of

 INPUT STRING:	الدول
     IS_TRANS:	Aldwl
        INDEX:	P3W2
      OFFSETS:	6-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~uwal)
          POS:	DET+NOUN
          VOC:	Al+duwal
        GLOSS:	the+state/country/states/countries

 INPUT STRING:	العربيه
     IS_TRANS:	AlErbyh
        INDEX:	P3W3
      OFFSETS:	12-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	جاء
     IS_TRANS:	jA'
        INDEX:	P3W4
      OFFSETS:	20-23
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA'a_1]
   UNSPLITVOC:	(jA'a)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA'a+(null)
        GLOSS:	come+he

 INPUT STRING:	الدور
     IS_TRANS:	Aldwr
        INDEX:	P3W5
      OFFSETS:	24-29
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(Alduwr)
          POS:	DET+NOUN
          VOC:	Al+duwr
        GLOSS:	the+turn

 INPUT STRING:	لكي
     IS_TRANS:	lky
        INDEX:	P3W6
      OFFSETS:	30-33
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(likayo)
          POS:	PREP+SUB_CONJ
          VOC:	li+kayo
        GLOSS:	in order+that

 INPUT STRING:	نقدم
     IS_TRANS:	nqdm
        INDEX:	P3W7
      OFFSETS:	34-38
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(niqad~im)
          POS:	IV1P+IV
          VOC:	ni+qad~im
        GLOSS:	we+present

 INPUT STRING:	العذر
     IS_TRANS:	AlE*r
        INDEX:	P3W8
      OFFSETS:	39-44
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eu*or_1]
   UNSPLITVOC:	(AlEu*or)
          POS:	DET+NOUN
          VOC:	Al+Eu*or
        GLOSS:	the+excuse/excuses

 INPUT STRING:	والاسف
     IS_TRANS:	wAlAsf
        INDEX:	P3W9
      OFFSETS:	45-51
       TOKENS:	P3W11-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(waAl>asaf)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+>asaf
        GLOSS:	and+the+regret/sorry

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W10
      OFFSETS:	52-54
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عبور
     IS_TRANS:	Ebwr
        INDEX:	P3W11
      OFFSETS:	55-59
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eubuwr_1]
   UNSPLITVOC:	(Eubuwr)
          POS:	NOUN
          VOC:	Eubuwr
        GLOSS:	crossing

 INPUT STRING:	مدمرتين
     IS_TRANS:	mdmrtyn
        INDEX:	P3W12
      OFFSETS:	60-67
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mudam~irap_1]
   UNSPLITVOC:	(mudam~iratayoni)
          POS:	NOUN+NSUFF_FEM_DU_ACC
          VOC:	mudam~ir+atayoni
        GLOSS:	destroyer (ship)+two [acc.]

 INPUT STRING:	ايرانيتين
     IS_TRANS:	AyrAnytyn
        INDEX:	P3W13
      OFFSETS:	68-77
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyrAniy~_1]
   UNSPLITVOC:	(<iyrAniy~atayoni)
          POS:	ADJ+NSUFF_FEM_DU_ACC
          VOC:	<iyrAniy~+atayoni
        GLOSS:	Iranian+two [acc.]

 INPUT STRING:	ذاهبه
     IS_TRANS:	*Ahbh
        INDEX:	P3W14
      OFFSETS:	78-83
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*Ahib_1]
   UNSPLITVOC:	(*Ahibap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	*Ahib+ap
        GLOSS:	going+[fem.sg.]

 INPUT STRING:	لدبحكم
     IS_TRANS:	ldbHkm
        INDEX:	P3W15
      OFFSETS:	84-90
       TOKENS:	P3W18-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*aboH_1]
   UNSPLITVOC:	(li*aboHakum)
          POS:	PREP+NOUN+POSS_PRON_2P
          VOC:	li+*aboHa+kum
        GLOSS:	for+slaughter/massacre/sacrifice+you

 INPUT STRING:	وقتلكم
     IS_TRANS:	wqtlkm
        INDEX:	P3W16
      OFFSETS:	91-97
       TOKENS:	P3W21-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(waqatolakum)
          POS:	CONJ+NOUN+POSS_PRON_2P
          VOC:	wa+qatol+kum
        GLOSS:	and+murder/killing+you[pl.]

 INPUT STRING:	واغتصاب
     IS_TRANS:	wAgtSAb
        INDEX:	P3W17
      OFFSETS:	98-105
       TOKENS:	P3W24-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AigotiSAb_1]
   UNSPLITVOC:	(wiAigotiSAb)
          POS:	CONJ+NOUN
          VOC:	wi+AigotiSAb
        GLOSS:	and+rape/usurpation

 INPUT STRING:	نسائكم
     IS_TRANS:	nsA}km
        INDEX:	P3W18
      OFFSETS:	106-112
       TOKENS:	P3W26-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nisA}_1]
   UNSPLITVOC:	(nisA}kum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	nisA}+kum
        GLOSS:	women+your [masc.pl.]

 INPUT STRING:	وتيتيم
     IS_TRANS:	wtytym
        INDEX:	P3W19
      OFFSETS:	113-119
       TOKENS:	P3W28-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taytiym_1]
   UNSPLITVOC:	(witaytiym)
          POS:	CONJ+NOUN
          VOC:	wi+taytiym
        GLOSS:	and+orphaning/being orphaned

 INPUT STRING:	اطفالكم
     IS_TRANS:	ATfAlkm
        INDEX:	P3W20
      OFFSETS:	120-127
       TOKENS:	P3W30-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(>aTofAlkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	>aTofAl+kum
        GLOSS:	children/infants+your [masc.pl.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W21
      OFFSETS:	128-130
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P3W22
      OFFSETS:	131-134
       TOKENS:	P3W33-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(baqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	become+he/it

 INPUT STRING:	اطفال
     IS_TRANS:	ATfAl
        INDEX:	P3W23
      OFFSETS:	135-140
       TOKENS:	P3W34-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(ATofAl)
          POS:	NOUN
          VOC:	ATofAl
        GLOSS:	child/boy/child/girl/children/infants

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P4W1
      OFFSETS:	0-1
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P4W2
      OFFSETS:	1-2
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P4W3
      OFFSETS:	2-3
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P4W4
      OFFSETS:	3-4
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W5
      OFFSETS:	4-5
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wa_2]
   UNSPLITVOC:	(wa)
          POS:	PART
          VOC:	wa
        GLOSS:	[part.]

 INPUT STRING:	فقد
     IS_TRANS:	fqd
        INDEX:	P4W6
      OFFSETS:	6-9
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(faqado)
          POS:	CONJ+VERB_PART
          VOC:	fa+qado
        GLOSS:	so/and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	سبقكم
     IS_TRANS:	sbqkm
        INDEX:	P4W7
      OFFSETS:	10-15
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sabaqa_1]
   UNSPLITVOC:	(sabaqakum)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2P
          VOC:	sabaq+a+kum
        GLOSS:	precede/antecede/anticipate+he/it [verb]+you

 INPUT STRING:	اهلنا
     IS_TRANS:	AhlnA
        INDEX:	P4W8
      OFFSETS:	16-21
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>ahol+nA
        GLOSS:	family/people/people/families/folk/families/indigenous people+our

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W9
      OFFSETS:	22-24
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العراق
     IS_TRANS:	AlErAq
        INDEX:	P4W10
      OFFSETS:	25-31
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EirAq_1]
   UNSPLITVOC:	(AlEirAq)
          POS:	DET+NOUN_PROP
          VOC:	Al+EirAq
        GLOSS:	the+Iraq

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P4W11
      OFFSETS:	32-37
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EndmA)
          POS:	NO_FUNC
          VOC:	EndmA
        GLOSS:	nogloss

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P4W12
      OFFSETS:	38-42
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	تمر
     IS_TRANS:	tmr
        INDEX:	P4W13
      OFFSETS:	43-46
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~_1]
   UNSPLITVOC:	(timur~)
          POS:	IV3FS+IV
          VOC:	ti+mur~
        GLOSS:	it/they/she+let pass

 INPUT STRING:	المدمرات
     IS_TRANS:	AlmdmrAt
        INDEX:	P4W14
      OFFSETS:	47-55
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mudam~irap_1]
   UNSPLITVOC:	(Almudam~irAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+mudam~ir+At
        GLOSS:	the+destroyer (ship)+[fem.pl.]

 INPUT STRING:	الحربيه
     IS_TRANS:	AlHrbyh
        INDEX:	P4W15
      OFFSETS:	56-63
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harobiy_1]
   UNSPLITVOC:	(AlHarobiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Harobiy~+ap
        GLOSS:	the+military+[fem.sg.]

 INPUT STRING:	الامريكه
     IS_TRANS:	AlAmrykh
        INDEX:	P4W16
      OFFSETS:	64-72
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>amoriyk+ap
        GLOSS:	the+american+[fem.sg.]

 INPUT STRING:	عبر
     IS_TRANS:	Ebr
        INDEX:	P4W17
      OFFSETS:	73-76
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiborap_1]
   UNSPLITVOC:	(Eibar)
          POS:	NOUN
          VOC:	Eibar
        GLOSS:	across/over/via/by means of/crossing

 INPUT STRING:	قناة
     IS_TRANS:	qnAp
        INDEX:	P4W18
      OFFSETS:	77-81
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN
          VOC:	qanAp
        GLOSS:	canal/canals

 INPUT STRING:	السويس
     IS_TRANS:	Alswys
        INDEX:	P4W19
      OFFSETS:	82-88
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suwayos_1]
   UNSPLITVOC:	(Alsuwayos)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwayos
        GLOSS:	the+Suez

 INPUT STRING:	ولم
     IS_TRANS:	wlm
