 INPUT STRING:	لا
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(wiEam~)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+Eam~+(null)
        GLOSS:	and+be universal/be prevalent+he/it

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P1W12
      OFFSETS:	51-57
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+deterioration/decomposition

 INPUT STRING:	رغما
     IS_TRANS:	rgmA
        INDEX:	P1W13
      OFFSETS:	58-62
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(ragomAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	ragom+AF
        GLOSS:	in spite of/despite+[acc.indef.]

 INPUT STRING:	عنك
     IS_TRANS:	Enk
        INDEX:	P1W14
      OFFSETS:	63-66
       TOKENS:	P1W16-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~ak)
          POS:	PREP+PRON_2MS
          VOC:	Ean~+ak
        GLOSS:	(away) from/off/about/on/over+gloss

 INPUT STRING:	عشنا
     IS_TRANS:	E$nA
        INDEX:	P1W15
      OFFSETS:	67-71
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(Ei$nA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Ei$+nA
        GLOSS:	live/experience+we [verb]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W16
      OFFSETS:	72-74
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	رخاء
     IS_TRANS:	rxA'
        INDEX:	P1W17
      OFFSETS:	75-79
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raxA'_1]
   UNSPLITVOC:	(raxA')
          POS:	NOUN
          VOC:	raxA'
        GLOSS:	comfort/luxury

 INPUT STRING:	الحب
     IS_TRANS:	AlHb
        INDEX:	P1W18
      OFFSETS:	80-84
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(AlHub~)
          POS:	DET+NOUN
          VOC:	Al+Hub~
        GLOSS:	the+love/affection/out of affection for/for love of

 INPUT STRING:	وضعف
     IS_TRANS:	wDEf
        INDEX:	P1W19
      OFFSETS:	85-89
       TOKENS:	P1W22-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaEof_1]
   UNSPLITVOC:	(wiDaEof)
          POS:	CONJ+NOUN
          VOC:	wi+DaEof
        GLOSS:	and+weakness/impotence

 INPUT STRING:	المال
     IS_TRANS:	AlmAl
        INDEX:	P1W20
      OFFSETS:	90-95
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(AlmAl)
          POS:	DET+NOUN
          VOC:	Al+mAl
        GLOSS:	the+moneyfunds/capital

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P1W21
      OFFSETS:	96-99
       TOKENS:	P1W25-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	خيروني
     IS_TRANS:	xyrwny
        INDEX:	P1W22
      OFFSETS:	100-106
       TOKENS:	P1W27-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xay~ar_1]
   UNSPLITVOC:	(xay~aruwniy)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:1S
          VOC:	xay~ar+uwA+niy
        GLOSS:	make/let choose (between)+they [verb]+me

 INPUT STRING:	لأختارك
     IS_TRANS:	l>xtArk
        INDEX:	P1W23
      OFFSETS:	107-114
       TOKENS:	P1W29-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotAr_1]
   UNSPLITVOC:	(laAaxotArak)
          POS:	EMPHATIC_PART+IV1S+IV+IVSUFF_DO:2MS
          VOC:	la+Aa+xotAr+ak
        GLOSS:	indeed/truly+I+choose/chose/pick/select+you

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P1W24
      OFFSETS:	115-118
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[layosa_2]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P1W25
      OFFSETS:	119-122
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	رئيسا
     IS_TRANS:	r}ysA
        INDEX:	P1W26
      OFFSETS:	123-128
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	للجمهورية
     IS_TRANS:	lljmhwryp
        INDEX:	P1W27
      OFFSETS:	129-138
       TOKENS:	P1W35-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwriy~ap_1]
   UNSPLITVOC:	(liljumohuwriy~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+jumohuwriy~+ap
        GLOSS:	to/for+the+republic+[fem.sg.]

 INPUT STRING:	انما
     IS_TRANS:	AnmA
        INDEX:	P1W28
      OFFSETS:	139-143
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~amA_1]
   UNSPLITVOC:	(<in~amA)
          POS:	PART
          VOC:	<in~amA
        GLOSS:	but

 INPUT STRING:	رئيسا
     IS_TRANS:	r}ysA
        INDEX:	P1W29
      OFFSETS:	144-149
       TOKENS:	P1W38-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	لانفاسي
     IS_TRANS:	lAnfAsy
        INDEX:	P1W30
      OFFSETS:	150-157
       TOKENS:	P1W39-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafas_1]
   UNSPLITVOC:	(liAnofAsiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+AnofAs+iy
        GLOSS:	for/to+breath/puff+my

 INPUT STRING:	فخذ
     IS_TRANS:	fx*
        INDEX:	P1W31
      OFFSETS:	158-161
       TOKENS:	P1W42-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(faxu*)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	fa+xu*+(null)
        GLOSS:	so/and+take+you [verb]

 INPUT STRING:	مني
     IS_TRANS:	mny
        INDEX:	P1W32
      OFFSETS:	162-165
       TOKENS:	P1W44-P1W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+me

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W33
      OFFSETS:	166-168
       TOKENS:	P1W46-P1W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	تشاء
     IS_TRANS:	t$A'
        INDEX:	P1W34
      OFFSETS:	169-173
       TOKENS:	P1W47-P1W47
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A'-a_1]
   UNSPLITVOC:	(ta$A'a)
          POS:	IV3FS+IV+IVSUFF_MOOD:S
          VOC:	ta+$A'+a
        GLOSS:	it/they/she+want/desire/wish+[sub.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W35
      OFFSETS:	174-177
       TOKENS:	P1W48-P1W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	طالب
     IS_TRANS:	TAlb
        INDEX:	P1W36
      OFFSETS:	178-182
       TOKENS:	P1W49-P1W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(TAlib)
          POS:	NOUN
          VOC:	TAlib
        GLOSS:	student

 INPUT STRING:	روحة
     IS_TRANS:	rwHp
        INDEX:	P1W37
      OFFSETS:	183-187
       TOKENS:	P1W50-P1W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ruwH_1]
   UNSPLITVOC:	(ruwHuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	ruwH+uh
        GLOSS:	soul/spirit+his/its

 INPUT STRING:	فداك
     IS_TRANS:	fdAk
        INDEX:	P1W38
      OFFSETS:	188-192
       TOKENS:	P1W52-P1W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fidaY_1]
   UNSPLITVOC:	(fidAk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	fidaY+ak
        GLOSS:	ransom/sacrifice+your [masc.sg.]

 INPUT STRING:	دمة
     IS_TRANS:	dmp
        INDEX:	P1W39
      OFFSETS:	193-196
       TOKENS:	P1W54-P1W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(dam~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	dam~+uh
        GLOSS:	blood+his/its

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W40
      OFFSETS:	197-199
       TOKENS:	P1W56-P1W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نمي
     IS_TRANS:	nmy
        INDEX:	P1W41
      OFFSETS:	200-203
       TOKENS:	P1W57-P1W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[namaY_1]
   UNSPLITVOC:	(namaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	namaY+(null)
        GLOSS:	be grown/be developed/be advanced+he/it [verb]

 INPUT STRING:	لولا
     IS_TRANS:	lwlA
        INDEX:	P1W42
      OFFSETS:	204-208
       TOKENS:	P1W58-P1W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lawolA_1]
   UNSPLITVOC:	(lawolA)
          POS:	SUB_CONJ
          VOC:	lawolA
        GLOSS:	except for, had it not been for, if not, unless

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P1W43
      OFFSETS:	209-213
       TOKENS:	P1W59-P1W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	ولولاك
     IS_TRANS:	wlwlAk
        INDEX:	P1W44
      OFFSETS:	214-220
       TOKENS:	P1W60-P1W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[luwlA_1]
   UNSPLITVOC:	(wiluwlAk)
          POS:	CONJ+SUB_CONJ+PRON_2MS
          VOC:	wi+luwlA+ak
        GLOSS:	and+except for, had it not been for, if not, unless+you [masc.sg.]

 INPUT STRING:	ياحبيبي
     IS_TRANS:	yAHbyby
        INDEX:	P1W45
      OFFSETS:	221-228
       TOKENS:	P1W63-P1W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(yA_Habiybiy)
          POS:	VOC_PART+ADJ+POSS_PRON_1S
          VOC:	yA+Habiyb+iy
        GLOSS:	oh+dear/beloved/sweetheart+my

 INPUT STRING:	ياريس
     IS_TRANS:	yArys
        INDEX:	P1W46
      OFFSETS:	229-234
       TOKENS:	P1W66-P1W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ray~is_1]
   UNSPLITVOC:	(yA_ray~is)
          POS:	VOC_PART+NOUN
          VOC:	yaA+ray~is
        GLOSS:	oh+captain/chief/boss

 INPUT STRING:	ياحبيبي
     IS_TRANS:	yAHbyby
        INDEX:	P1W47
      OFFSETS:	235-242
       TOKENS:	P1W68-P1W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(yA_Habiybiy)
          POS:	VOC_PART+ADJ+POSS_PRON_1S
          VOC:	yA+Habiyb+iy
        GLOSS:	oh+dear/beloved/sweetheart+my

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P1W48
      OFFSETS:	243-245
       TOKENS:	P1W71-P1W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تحزن
     IS_TRANS:	tHzn
        INDEX:	P1W49
      OFFSETS:	246-250
       TOKENS:	P1W72-P1W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizin_1]
   UNSPLITVOC:	(tiHozan)
          POS:	IV2MS+IV
          VOC:	ti+Hozan
        GLOSS:	you [masc.sg.]+sadden/grieve

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W2
      OFFSETS:	4-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P2W3
      OFFSETS:	7-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	بيطالب
     IS_TRANS:	byTAlb
        INDEX:	P2W4
      OFFSETS:	12-18
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(biyiTAlib)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+TAlib
        GLOSS:	[present-tense]+he/it+demand/ask for

 INPUT STRING:	بازاله
     IS_TRANS:	bAzAlh
        INDEX:	P2W5
      OFFSETS:	19-25
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AizAlap_1]
   UNSPLITVOC:	(biAizAlap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+AizAl+ap
        GLOSS:	with/by+removal/elimination+[fem.sg.]

 INPUT STRING:	اسم
     IS_TRANS:	Asm
        INDEX:	P2W6
      OFFSETS:	26-29
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisom)
          POS:	NOUN
          VOC:	Aisom
        GLOSS:	name

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P2W7
      OFFSETS:	30-35
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W8
      OFFSETS:	36-38
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	انجازته
     IS_TRANS:	AnjAzth
        INDEX:	P2W9
      OFFSETS:	39-46
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AnjAzth)
          POS:	TYPO
          VOC:	AnjAzth
        GLOSS:	nogloss

 INPUT STRING:	احب
     IS_TRANS:	AHb
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(AaHib~)
          POS:	IV1S+IV
          VOC:	Aa+Hib~
        GLOSS:	I+love/like

 INPUT STRING:	اقوله
     IS_TRANS:	Aqwlh
        INDEX:	P3W2
      OFFSETS:	4-9
       TOKENS:	P3W2-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl~uh)
          POS:	IV1S+IV+PREP+PRON_3MS
          VOC:	Aa+quwl+li+uh
        GLOSS:	I+say+for/to+him/it

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P3W3
      OFFSETS:	10-14
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing+[fem.sg.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P3W4
      OFFSETS:	15-17
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P3W5
      OFFSETS:	18-22
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Eanod+ak
        GLOSS:	with/at+your

 INPUT STRING:	كرامة
     IS_TRANS:	krAmp
        INDEX:	P3W6
      OFFSETS:	23-28
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(karAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	karAm+ap
        GLOSS:	dignity/generosity+[fem.sg.]

