 INPUT STRING:	اريد
     IS_TRANS:	AlmSryh
        INDEX:	P1W14
      OFFSETS:	70-77
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P1W15
      OFFSETS:	78-80
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayo_2]
   UNSPLITVOC:	(>ayo)
          POS:	PART
          VOC:	>ayo
        GLOSS:	that is to say

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W16
      OFFSETS:	81-83
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That/to/for

 INPUT STRING:	نعود
     IS_TRANS:	nEwd
        INDEX:	P1W17
      OFFSETS:	84-88
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAd_1]
   UNSPLITVOC:	(niEuwd)
          POS:	IV1P+IV
          VOC:	ni+Euwd
        GLOSS:	we+return/go back/no longer

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P1W18
      OFFSETS:	89-92
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	اللغه
     IS_TRANS:	Allgh
        INDEX:	P1W19
      OFFSETS:	93-98
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(All~ugap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lug+ap
        GLOSS:	the+language/languages+[fem.sg.]

 INPUT STRING:	القبطيه
     IS_TRANS:	AlqbTyh
        INDEX:	P1W20
      OFFSETS:	99-106
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(AlqiboTiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qiboTiy~+ap
        GLOSS:	the+Coptic+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P1W21
      OFFSETS:	107-109
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W22
      OFFSETS:	110-112
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That/to/for

 INPUT STRING:	نختص
     IS_TRANS:	nxtS
        INDEX:	P1W23
      OFFSETS:	113-117
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixtaS~_1]
   UNSPLITVOC:	(nixtaS~)
          POS:	IV1P+IV
          VOC:	ni+xtaS
        GLOSS:	we+dedicate/be distinguished

 INPUT STRING:	انفسنا
     IS_TRANS:	AnfsnA
        INDEX:	P1W24
      OFFSETS:	118-124
       TOKENS:	P1W26-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(>anfusnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>anfus+nA
        GLOSS:	same/self/selves/soul/souls+our

 INPUT STRING:	بلغه
     IS_TRANS:	blgh
        INDEX:	P1W25
      OFFSETS:	125-129
       TOKENS:	P1W28-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(bilugap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+lug+ap
        GLOSS:	with/by+language/languages+[fem.sg.]

 INPUT STRING:	مصريه
     IS_TRANS:	mSryh
        INDEX:	P1W26
      OFFSETS:	130-135
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maSoriy~+ap
        GLOSS:	egyptians/Egyptian+[fem.sg.]

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P1W27
      OFFSETS:	136-140
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be/was/were

 INPUT STRING:	معبرة
     IS_TRANS:	mEbrp
        INDEX:	P1W28
      OFFSETS:	141-146
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEab~ir_1]
   UNSPLITVOC:	(muEab~irap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	muEab~ir+ap
        GLOSS:	expressing+[fem.sg.]

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P1W29
      OFFSETS:	147-150
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W30
      OFFSETS:	151-153
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	مصريتنا
     IS_TRANS:	mSrytnA
        INDEX:	P1W31
      OFFSETS:	154-161
       TOKENS:	P1W35-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSriy~ap_1]
   UNSPLITVOC:	(maSriy~itnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	maSriy~+ap+nA
        GLOSS:	Egyptianity+[fem.sg.]+our

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P1W32
      OFFSETS:	162-165
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	نبتعد
     IS_TRANS:	nbtEd
        INDEX:	P1W33
      OFFSETS:	166-171
       TOKENS:	P1W38-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AibtaEad_1]
   UNSPLITVOC:	(nabtaEid)
          POS:	IV1P+IV
          VOC:	na+btaEid
        GLOSS:	we+move away/eschew/be far away (from)

 INPUT STRING:	نهائيا
     IS_TRANS:	nhA}yA
        INDEX:	P1W34
      OFFSETS:	172-178
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nihA}iy_1]
   UNSPLITVOC:	(nihA}iy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	nihA}iy~+AF
        GLOSS:	final/definitive/conclusive/finally/in the end+[acc.indef.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W35
      OFFSETS:	179-181
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	كابوس
     IS_TRANS:	kAbws
        INDEX:	P1W36
      OFFSETS:	182-187
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAbuws_1]
   UNSPLITVOC:	(kAbuws)
          POS:	NOUN
          VOC:	kAbuws
        GLOSS:	nightmare/nightmares

 INPUT STRING:	العروبه
     IS_TRANS:	AlErwbh
        INDEX:	P1W37
      OFFSETS:	188-195
       TOKENS:	P1W42-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euruwbap_1]
   UNSPLITVOC:	(AlEuruwbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Euruwb+ap
        GLOSS:	the+Arabism+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W38
      OFFSETS:	196-197
       TOKENS:	P1W43-P1W43
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	القوميه
     IS_TRANS:	Alqwmyh
        INDEX:	P1W39
      OFFSETS:	198-205
       TOKENS:	P1W44-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawmiy~ap_2]
   UNSPLITVOC:	(Alqawmiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qawmiy~+ap
        GLOSS:	the+nationalism+[fem.sg.]

 INPUT STRING:	العربيه
     IS_TRANS:	AlErbyh
        INDEX:	P1W40
      OFFSETS:	206-213
       TOKENS:	P1W45-P1W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arabic/Arab+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W41
      OFFSETS:	214-215
       TOKENS:	P1W46-P1W46
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	اخواننا
     IS_TRANS:	AxwAnnA
        INDEX:	P1W42
      OFFSETS:	216-223
       TOKENS:	P1W47-P1W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(<ixowAnnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	<ixowAn+nA
        GLOSS:	brothers/brother/sisters+our

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W43
      OFFSETS:	224-226
       TOKENS:	P1W49-P1W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	البدو
     IS_TRANS:	Albdw
        INDEX:	P1W44
      OFFSETS:	227-232
       TOKENS:	P1W50-P1W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badawiy_1]
   UNSPLITVOC:	(Albadow)
          POS:	DET+NOUN
          VOC:	Al+badow
        GLOSS:	the+Bedouin/Bedouins

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W45
      OFFSETS:	233-234
       TOKENS:	P1W51-P1W51
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P1W46
      OFFSETS:	235-238
       TOKENS:	P1W52-P1W52
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(tiloka)
          POS:	DEM_PRON_F
          VOC:	tiloka
        GLOSS:	that/those

 INPUT STRING:	السخافات
     IS_TRANS:	AlsxAfAt
        INDEX:	P1W47
      OFFSETS:	239-247
       TOKENS:	P1W53-P1W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saxAfap_1]
   UNSPLITVOC:	(AlsaxAfAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+saxAf+At
        GLOSS:	the+stupidity/folly+[fem.pl.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P1W48
      OFFSETS:	248-252
       TOKENS:	P1W54-P1W54
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	اوصلتنا
     IS_TRANS:	AwSltnA
        INDEX:	P1W49
      OFFSETS:	253-260
       TOKENS:	P1W55-P1W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awSal_1]
   UNSPLITVOC:	(>awSalitnA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:1P
          VOC:	>awSal+it+nA
        GLOSS:	connect/contact/be connected/be contacted+it/they/she+us

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P1W50
      OFFSETS:	261-264
       TOKENS:	P1W57-P1W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	حافه
     IS_TRANS:	HAfh
        INDEX:	P1W51
      OFFSETS:	265-269
       TOKENS:	P1W58-P1W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAf~ap_1]
   UNSPLITVOC:	(HAf~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAf~+ap
        GLOSS:	edge/shore+[fem.sg.]

 INPUT STRING:	الهاويه
     IS_TRANS:	AlhAwyh
        INDEX:	P1W52
      OFFSETS:	270-277
       TOKENS:	P1W59-P1W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAwiyap_1]
   UNSPLITVOC:	(AlhAwiyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+hAwiy+ap
        GLOSS:	the+crevasse/precipice+[fem.sg.]

 INPUT STRING:	ارجو
     IS_TRANS:	Arjw
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(Aarojuw)
          POS:	IV1S+IV
          VOC:	Aa+rojuw
        GLOSS:	I+request/hope for/plead to/be requested/be hoped for/be pleaded to

 INPUT STRING:	ابداء
     IS_TRANS:	AbdA'
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibodA'_1]
   UNSPLITVOC:	(AibodA')
          POS:	NOUN
          VOC:	AibodA'
        GLOSS:	expression/manifestation/expressions/manifestations

 INPUT STRING:	الاراء
     IS_TRANS:	AlArA'
        INDEX:	P2W3
      OFFSETS:	11-17
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(AlArA')
          POS:	DET+NOUN
          VOC:	Al+ArA'
        GLOSS:	the+opinion/view/idea/opinions/views/ideas

 INPUT STRING:	تغيير
     IS_TRANS:	tgyyr
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(tagoyiyr)
          POS:	NOUN
          VOC:	tagoyiyr
        GLOSS:	change/modification/replacement

 INPUT STRING:	اللغة
     IS_TRANS:	Allgp
        INDEX:	P3W2
      OFFSETS:	6-11
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(All~ugap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lug+ap
        GLOSS:	the+language/languages+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W3
      OFFSETS:	12-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قرار
     IS_TRANS:	qrAr
        INDEX:	P3W4
      OFFSETS:	15-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(qarAr)
          POS:	NOUN
          VOC:	qarAr
        GLOSS:	decision/resolution/decisions/resolutions

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P3W5
      OFFSETS:	19-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	اللهجة
     IS_TRANS:	Allhjp
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lahojap_1]
   UNSPLITVOC:	(All~ahojap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lahoj+ap
        GLOSS:	the+tone/dialect/dialects/tones+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P4W2
      OFFSETS:	7-14
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	جميلة
     IS_TRANS:	jmylp
        INDEX:	P4W3
      OFFSETS:	15-20
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jamiyl+ap
        GLOSS:	beautiful/nice/fine (arts)+[fem.sg.]

