 INPUT STRING:	يستمر
      OFFSETS:	60-64
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAH)
          POS:	NOUN
          VOC:	SabAH
        GLOSS:	morning

 INPUT STRING:	ومساء
     IS_TRANS:	wmsA'
        INDEX:	P1W15
      OFFSETS:	65-70
       TOKENS:	P1W16-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masA'_1]
   UNSPLITVOC:	(wimasA')
          POS:	CONJ+NOUN
          VOC:	wi+masA'
        GLOSS:	and+evening

 INPUT STRING:	نفاجأ
     IS_TRANS:	nfAj>
        INDEX:	P1W16
      OFFSETS:	71-76
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAja>_1]
   UNSPLITVOC:	(nifAjo>)
          POS:	IV1P+IV_PASS
          VOC:	ni+fAjo>
        GLOSS:	we+be surprised

 INPUT STRING:	بحادثة
     IS_TRANS:	bHAdvp
        INDEX:	P1W17
      OFFSETS:	77-83
       TOKENS:	P1W19-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdovap_1]
   UNSPLITVOC:	(biHAdovap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+HAdov+ap
        GLOSS:	with/by+accident+[fem.sg.]

 INPUT STRING:	جديدة
     IS_TRANS:	jdydp
        INDEX:	P1W18
      OFFSETS:	84-89
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jidiyd+ap
        GLOSS:	recent/new+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P1W19
      OFFSETS:	90-92
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aw_1]
   UNSPLITVOC:	(Aw)
          POS:	CONJ
          VOC:	Aw
        GLOSS:	or

 INPUT STRING:	بلطجة
     IS_TRANS:	blTjp
        INDEX:	P1W20
      OFFSETS:	93-98
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajap_1]
   UNSPLITVOC:	(baloTajap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baloTaj+ap
        GLOSS:	gangsterism+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P1W21
      OFFSETS:	99-101
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aw_1]
   UNSPLITVOC:	(Aw)
          POS:	CONJ
          VOC:	Aw
        GLOSS:	or

 INPUT STRING:	اعتداء
     IS_TRANS:	AEtdA'
        INDEX:	P1W22
      OFFSETS:	102-108
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotidA'_1]
   UNSPLITVOC:	(AiEotidA')
          POS:	NOUN
          VOC:	AiEotidA'
        GLOSS:	attack/assault

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P1W23
      OFFSETS:	109-112
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P1W24
      OFFSETS:	113-115
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aw_1]
   UNSPLITVOC:	(Aw)
          POS:	CONJ
          VOC:	Aw
        GLOSS:	or

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P1W25
      OFFSETS:	116-120
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	وحادثة
     IS_TRANS:	wHAdvp
        INDEX:	P1W26
      OFFSETS:	121-127
       TOKENS:	P1W29-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdovap_1]
   UNSPLITVOC:	(wiHAdovap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+HAdov+ap
        GLOSS:	and+accident+[fem.sg.]

 INPUT STRING:	الليله
     IS_TRANS:	Allylh
        INDEX:	P1W27
      OFFSETS:	128-134
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laylap_1]
   UNSPLITVOC:	(All~aylap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+layl+ap
        GLOSS:	the+night/evening/soire/tonight+[fem.sg.]

 INPUT STRING:	اقل
     IS_TRANS:	Aql
        INDEX:	P1W28
      OFFSETS:	135-138
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(>aqal~)
          POS:	ADJ_COMP
          VOC:	>aqal~
        GLOSS:	less

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W29
      OFFSETS:	139-141
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	توصف
     IS_TRANS:	twSf
        INDEX:	P1W30
      OFFSETS:	142-146
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waSaf_1]
   UNSPLITVOC:	(tuwSaf)
          POS:	IV3FS+IV_PASS
          VOC:	tu+wSaf
        GLOSS:	it/she/they+be described

 INPUT STRING:	بالمهزله
     IS_TRANS:	bAlmhzlh
        INDEX:	P1W31
      OFFSETS:	147-155
       TOKENS:	P1W35-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahozalap_1]
   UNSPLITVOC:	(biAlmahozalap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+mahozal+ap
        GLOSS:	with/by+the+comedy/farce+[fem.sg.]

 INPUT STRING:	ويجب
     IS_TRANS:	wyjb
        INDEX:	P1W32
      OFFSETS:	156-160
       TOKENS:	P1W37-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(wiyajib)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ya+jib
        GLOSS:	and+he/it+be necessary

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W33
      OFFSETS:	161-163
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	نقف
     IS_TRANS:	nqf
        INDEX:	P1W34
      OFFSETS:	164-167
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaf_1]
   UNSPLITVOC:	(nuqaf)
          POS:	IV1P+IV
          VOC:	nu+qaf
        GLOSS:	we+stop/cease/stand

 INPUT STRING:	امامها
     IS_TRANS:	AmAmhA
        INDEX:	P1W35
      OFFSETS:	168-174
       TOKENS:	P1W41-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAmhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>amAm+hA
        GLOSS:	front/forward+its/their/her

 INPUT STRING:	كثيرا
     IS_TRANS:	kvyrA
        INDEX:	P1W36
      OFFSETS:	175-180
       TOKENS:	P1W43-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kaviyr_1]
   UNSPLITVOC:	(kaviyr)
          POS:	ADJ
          VOC:	kaviyr
        GLOSS:	much/a lot/very

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P1W37
      OFFSETS:	181-184
       TOKENS:	P1W44-P1W45
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(wa>ano)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+>ano
        GLOSS:	and+That, to

 INPUT STRING:	يقف
     IS_TRANS:	yqf
        INDEX:	P1W38
      OFFSETS:	185-188
       TOKENS:	P1W46-P1W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaf_1]
   UNSPLITVOC:	(yuqaf)
          POS:	IV3MS+IV
          VOC:	yu+qaf
        GLOSS:	he/it+stop/cease/stand

 INPUT STRING:	ايضا
     IS_TRANS:	AyDA
        INDEX:	P1W39
      OFFSETS:	189-193
       TOKENS:	P1W47-P1W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoDAF_1]
   UNSPLITVOC:	(>ayoDAF)
          POS:	ADV
          VOC:	>ayoDAF
        GLOSS:	also, too, as well (as), along with, in addition (to)

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P1W40
      OFFSETS:	194-198
       TOKENS:	P1W48-P1W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P1W41
      OFFSETS:	199-204
       TOKENS:	P1W49-P1W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	لدراستها
     IS_TRANS:	ldrAsthA
        INDEX:	P1W42
      OFFSETS:	205-213
       TOKENS:	P1W50-P1W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dirAsap_1]
   UNSPLITVOC:	(lidirAsithA)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	li+dirAs+ap+hA
        GLOSS:	for/to+study/research+[fem.sg.]+its/their/her

 INPUT STRING:	حيث
     IS_TRANS:	Hyv
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hayovu_1]
   UNSPLITVOC:	(Hayovu)
          POS:	REL_ADV
          VOC:	Hayovu
        GLOSS:	where/whereby/since/given that

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P2W2
      OFFSETS:	4-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it [verb]

 INPUT STRING:	سرقة
     IS_TRANS:	srqp
        INDEX:	P2W3
      OFFSETS:	7-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siroqap_1]
   UNSPLITVOC:	(siroqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siroq+ap
        GLOSS:	stealing/theft+[fem.sg.]

 INPUT STRING:	سيارة
     IS_TRANS:	syArp
        INDEX:	P2W4
      OFFSETS:	12-17
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~Arap_1]
   UNSPLITVOC:	(say~Arap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	say~Ar+ap
        GLOSS:	car/automobile/vehicle+[fem.sg.]

 INPUT STRING:	محافظ
     IS_TRANS:	mHAfZ
        INDEX:	P2W5
      OFFSETS:	18-23
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfiZ_1]
   UNSPLITVOC:	(muHAfiZ)
          POS:	NOUN
          VOC:	muHAfiZ
        GLOSS:	governor

 INPUT STRING:	شمال
     IS_TRANS:	$mAl
        INDEX:	P2W6
      OFFSETS:	24-28
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$amAl_1]
   UNSPLITVOC:	($amAl)
          POS:	NOUN_PROP
          VOC:	$amAl
        GLOSS:	North of

 INPUT STRING:	سيناء
     IS_TRANS:	synA'
        INDEX:	P2W7
      OFFSETS:	29-34
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynA'_1]
   UNSPLITVOC:	(siynA')
          POS:	NOUN_PROP
          VOC:	siynA'
        GLOSS:	Sinai

 INPUT STRING:	اللواء
     IS_TRANS:	AllwA'
        INDEX:	P2W8
      OFFSETS:	35-41
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liwA'_2]
   UNSPLITVOC:	(AlliwA')
          POS:	DET+NOUN
          VOC:	Al+liwA'
        GLOSS:	the+major general

 INPUT STRING:	السيد
     IS_TRANS:	Alsyd
        INDEX:	P2W9
      OFFSETS:	42-47
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(Als~ay~id)
          POS:	DET+NOUN
          VOC:	Al+say~id
        GLOSS:	the+Sir/Mr./Mister/Sirs/Messrs./gentlement

 INPUT STRING:	عبد
     IS_TRANS:	Ebd
        INDEX:	P2W10
      OFFSETS:	48-51
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eabod_1]
   UNSPLITVOC:	(Eabod)
          POS:	NOUN_PROP
          VOC:	Eabod
        GLOSS:	Abd

 INPUT STRING:	الوهاب
     IS_TRANS:	AlwhAb
        INDEX:	P2W11
      OFFSETS:	52-58
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wah~Ab_1]
   UNSPLITVOC:	(Alwah~Ab)
          POS:	DET+NOUN_PROP
          VOC:	Al+wah~Ab
        GLOSS:	the+Wahhab

 INPUT STRING:	مبروك
     IS_TRANS:	mbrwk
        INDEX:	P2W12
      OFFSETS:	59-64
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboruwk_1]
   UNSPLITVOC:	(maboruwk)
          POS:	NOUN_PROP
          VOC:	maboruwk
        GLOSS:	Mabrouk

 INPUT STRING:	والذى
     IS_TRANS:	wAl*Y
        INDEX:	P2W13
      OFFSETS:	65-70
       TOKENS:	P2W13-P2W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(waAl~a*iy)
          POS:	PART+REL_PRON
          VOC:	wa+Al~a*iy
        GLOSS:	[part.]+which/who/whom [masc.sg.]

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P2W14
      OFFSETS:	71-73
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يتواجد
     IS_TRANS:	ytwAjd
        INDEX:	P2W15
      OFFSETS:	74-80
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[twAjid_1]
   UNSPLITVOC:	(yitwAjid)
          POS:	IV3MS+IV
          VOC:	yi+twAjid
        GLOSS:	he/it+exist/be present

 INPUT STRING:	بالسيارة
     IS_TRANS:	bAlsyArp
        INDEX:	P2W16
      OFFSETS:	81-89
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~Arap_1]
   UNSPLITVOC:	(biAls~ay~Arap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+say~Ar+ap
        GLOSS:	with/by+the+car/automobile/vehicle+[fem.sg.]

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P2W17
      OFFSETS:	90-95
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EndmA)
          POS:	NO_FUNC
          VOC:	EndmA
        GLOSS:	nogloss

 INPUT STRING:	اعترض
     IS_TRANS:	AEtrD
        INDEX:	P2W18
      OFFSETS:	96-101
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaraD_1]
   UNSPLITVOC:	(AiEotaraD)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AiEotaraD+(null)
        GLOSS:	object to+he/it [verb]

 INPUT STRING:	مسلحين
     IS_TRANS:	mslHyn
        INDEX:	P2W19
      OFFSETS:	102-108
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musal~aH_1]
   UNSPLITVOC:	(musal~aHiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	musal~aH+iyn
        GLOSS:	armored/reinforced+[masc.pl.]

 INPUT STRING:	مجهولين
     IS_TRANS:	mjhwlyn
        INDEX:	P2W20
      OFFSETS:	109-116
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majohuwl_1]
   UNSPLITVOC:	(majohuwliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	majohuwl+iyn
        GLOSS:	unknown/unidentified+[masc.pl]

 INPUT STRING:	طريق
     IS_TRANS:	Tryq
        INDEX:	P2W21
      OFFSETS:	117-121
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/means/method

 INPUT STRING:	سائقه
     IS_TRANS:	sA}qh
        INDEX:	P2W22
      OFFSETS:	122-127
       TOKENS:	P2W24-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sA}iq_1]
   UNSPLITVOC:	(sA}iquh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	sA}iq+uh
        GLOSS:	chauffeur/driver+its/his

 INPUT STRING:	وقاموا
     IS_TRANS:	wqAmwA
        INDEX:	P2W23
      OFFSETS:	128-134
       TOKENS:	P2W26-P2W27
