 INPUT STRING:	لماذا
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	يريد
     IS_TRANS:	yryd
        INDEX:	P1W13
      OFFSETS:	67-71
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(yuriyd)
          POS:	IV3MS+IV
          VOC:	yu+riyd
        GLOSS:	he/it+want

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P1W14
      OFFSETS:	72-77
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W15
      OFFSETS:	78-80
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تمشى
     IS_TRANS:	tm$Y
        INDEX:	P1W16
      OFFSETS:	81-85
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$aY_1]
   UNSPLITVOC:	(timo$iy)
          POS:	IV3FS+IV
          VOC:	ti+mo$iy
        GLOSS:	it/they/she+make walk/adjust/be made to walk

 INPUT STRING:	اسلاميا
     IS_TRANS:	AslAmyA
        INDEX:	P1W17
      OFFSETS:	86-93
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	<isolAmiy~+AF
        GLOSS:	Islamic+[acc.indef.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W18
      OFFSETS:	93-94
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اساس
     IS_TRANS:	AsAs
        INDEX:	P2W2
      OFFSETS:	4-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(>asAs)
          POS:	NOUN
          VOC:	>asAs
        GLOSS:	foundation/basis/foundations/bases/primarily/basically

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P2W3
      OFFSETS:	9-13
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	كفارا
     IS_TRANS:	kfArA
        INDEX:	P2W4
      OFFSETS:	14-19
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuf~Ar_1]
   UNSPLITVOC:	(kuf~ArAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	kuf~Ar+AF
        GLOSS:	infidel+[acc.indef.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W5
      OFFSETS:	20-23
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	نمشى
     IS_TRANS:	nm$Y
        INDEX:	P2W6
      OFFSETS:	24-28
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$aY_1]
   UNSPLITVOC:	(nimo$iy)
          POS:	IV1P+IV
          VOC:	ni+mo$iy
        GLOSS:	we+make walk/adjust/be made to walk

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W7
      OFFSETS:	29-32
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	نطبق
     IS_TRANS:	nTbq
        INDEX:	P2W8
      OFFSETS:	33-37
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(niTab~aq)
          POS:	IV1P+IV
          VOC:	ni+Tab~aq
        GLOSS:	we+apply/implement/be applied/be implemented

 INPUT STRING:	حدود
     IS_TRANS:	Hdwd
        INDEX:	P2W9
      OFFSETS:	38-42
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Huduwd)
          POS:	NOUN
          VOC:	Huduwd
        GLOSS:	extent/limit/level/border/frontier/limits

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W10
      OFFSETS:	43-47
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P2W11
      OFFSETS:	48-51
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation/peoples/nations

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W12
      OFFSETS:	52-55
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	طوال
     IS_TRANS:	TwAl
        INDEX:	P2W13
      OFFSETS:	56-60
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiwAl_1]
   UNSPLITVOC:	(TiwAl)
          POS:	NOUN
          VOC:	TiwAl
        GLOSS:	all along

 INPUT STRING:	حياته
     IS_TRANS:	HyAth
        INDEX:	P2W14
      OFFSETS:	61-66
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(HayAtuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	HayA+ap+uh
        GLOSS:	lifetime+[fem.sg.]+his/its

 INPUT STRING:	عباده
     IS_TRANS:	EbAdh
        INDEX:	P2W15
      OFFSETS:	67-72
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EibAdap_1]
   UNSPLITVOC:	(EibAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EibAd+ap
        GLOSS:	worship+[fem.sg.]

 INPUT STRING:	وايمان
     IS_TRANS:	wAymAn
        INDEX:	P2W16
      OFFSETS:	73-79
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iymAn_1]
   UNSPLITVOC:	(wa<iymAn)
          POS:	CONJ+NOUN
          VOC:	wa+<iymAn
        GLOSS:	and+belief/faith

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_2]
   UNSPLITVOC:	(mano)
          POS:	INTERROG_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	انتم
     IS_TRANS:	Antm
        INDEX:	P3W2
      OFFSETS:	3-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotum_1]
   UNSPLITVOC:	(Ainotum)
          POS:	PRON_2P
          VOC:	Ainotum
        GLOSS:	you

 INPUT STRING:	لكى
     IS_TRANS:	lkY
        INDEX:	P3W3
      OFFSETS:	8-11
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kayo_1]
   UNSPLITVOC:	(likayo)
          POS:	PREP+SUB_CONJ
          VOC:	li+kayo
        GLOSS:	in order+that

 INPUT STRING:	تفسدوا
     IS_TRANS:	tfsdwA
        INDEX:	P3W4
      OFFSETS:	12-18
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>afsad_1]
   UNSPLITVOC:	(tufsiduwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	tu+fsid+uwA
        GLOSS:	you+spoil+you

 INPUT STRING:	وتروعوالامنين
     IS_TRANS:	wtrwEwAlAmnyn
        INDEX:	P3W5
      OFFSETS:	19-32
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wtrwEwAlAmnyn)
          POS:	NO_FUNC
          VOC:	wtrwEwAlAmnyn
        GLOSS:	nogloss

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P3W6
      OFFSETS:	33-35
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	طريق
     IS_TRANS:	Tryq
        INDEX:	P3W7
      OFFSETS:	36-40
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/roads/ways/means/methods

 INPUT STRING:	الارهاب
     IS_TRANS:	AlArhAb
        INDEX:	P3W8
      OFFSETS:	41-48
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<irohAb_1]
   UNSPLITVOC:	(Al<irohAb)
          POS:	DET+NOUN
          VOC:	Al+<irohAb
        GLOSS:	the+terrorism/terrorizing

 INPUT STRING:	الفكرى
     IS_TRANS:	AlfkrY
        INDEX:	P3W9
      OFFSETS:	49-55
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikoriy_1]
   UNSPLITVOC:	(Alfikoriy)
          POS:	DET+ADJ
          VOC:	Al+fikoriy
        GLOSS:	the+intellectual/mental/spiritual

 INPUT STRING:	وتسطيح
     IS_TRANS:	wtsTyH
        INDEX:	P3W10
      OFFSETS:	56-62
       TOKENS:	P3W11-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasoTiyH_1]
   UNSPLITVOC:	(witasoTiyH)
          POS:	CONJ+NOUN
          VOC:	wi+tasoTiyH
        GLOSS:	and+leveling/grading

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P3W11
      OFFSETS:	63-68
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W12
      OFFSETS:	69-71
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نقاب
     IS_TRANS:	nqAb
        INDEX:	P3W13
      OFFSETS:	72-76
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niqAb_1]
   UNSPLITVOC:	(niqAb)
          POS:	NOUN
          VOC:	niqAb
        GLOSS:	veil

 INPUT STRING:	وحجاب
     IS_TRANS:	wHjAb
        INDEX:	P3W14
      OFFSETS:	77-82
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HijAb_1]
   UNSPLITVOC:	(wiHijAb)
          POS:	CONJ+NOUN
          VOC:	wi+HijAb
        GLOSS:	and+veil/veils

 INPUT STRING:	ولحيه
     IS_TRANS:	wlHyh
        INDEX:	P3W15
      OFFSETS:	83-88
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHoyap_1]
   UNSPLITVOC:	(wiliHoyap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+liHoy+ap
        GLOSS:	and+beard+[fem.sg.]

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	اشمل
     IS_TRANS:	A$ml
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$omal_1]
   UNSPLITVOC:	(>a$omal)
          POS:	ADJ_COMP
          VOC:	>a$omal
        GLOSS:	more/most comprehensive

 INPUT STRING:	واسمى
     IS_TRANS:	wAsmY
        INDEX:	P4W3
      OFFSETS:	11-16
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>asomaY_3]
   UNSPLITVOC:	(wa>asomaY)
          POS:	CONJ+ADJ
          VOC:	wa+>asomaY
        GLOSS:	and+higher/highest/loftier/loftiest

 INPUT STRING:	واعظم
     IS_TRANS:	wAEZm
        INDEX:	P4W4
      OFFSETS:	17-22
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEoZam_1]
   UNSPLITVOC:	(wi>aEoZam)
          POS:	CONJ+ADJ_COMP
          VOC:	wi+>aEoZam
        GLOSS:	and+greater/greatest/major

 INPUT STRING:	واكبر
     IS_TRANS:	wAkbr
        INDEX:	P4W5
      OFFSETS:	23-28
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(wi>akobar)
          POS:	CONJ+ADJ_COMP
          VOC:	wi+>akobar
        GLOSS:	and+larger/largest/greater/greatest

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W6
      OFFSETS:	29-31
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ذللك
     IS_TRANS:	*llk
        INDEX:	P4W7
      OFFSETS:	32-36
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*allik_1]
   UNSPLITVOC:	(*allik)
          POS:	DEM_PRON
          VOC:	*allik
        GLOSS:	that

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ستظل
     IS_TRANS:	stZl
        INDEX:	P5W2
      OFFSETS:	4-8
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zal~_1]
   UNSPLITVOC:	(sataZal~)
          POS:	FUT_PART+IV3FS+IV
          VOC:	sa+ta+Zal~
        GLOSS:	will+it/she+remain

 INPUT STRING:	دوله
     IS_TRANS:	dwlh
        INDEX:	P5W3
      OFFSETS:	9-13
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	مدنيه
     IS_TRANS:	mdnyh
        INDEX:	P5W4
      OFFSETS:	14-19
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaniy_1]
   UNSPLITVOC:	(madaniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	madaniy~+ap
        GLOSS:	civilian+[fem.sg.]

 INPUT STRING:	اسلاميه
     IS_TRANS:	AslAmyh
        INDEX:	P5W5
      OFFSETS:	20-27
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<isolAmiy~+ap
        GLOSS:	Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P5W6
      OFFSETS:	28-32
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	وستظل
     IS_TRANS:	wstZl
        INDEX:	P5W7
      OFFSETS:	33-38
       TOKENS:	P5W8-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zal~_1]
   UNSPLITVOC:	(wasataZal~)
          POS:	CONJ+FUT_PART+IV3FS+IV
          VOC:	wa+sa+ta+Zal~
        GLOSS:	and+will+she/it+remain

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P5W8
      OFFSETS:	39-41
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	تصبح
     IS_TRANS:	tSbH
        INDEX:	P5W9
      OFFSETS:	42-46
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
