 INPUT STRING:	عجبت
 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W18
      OFFSETS:	88-89
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وتدب
     IS_TRANS:	wtdb
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dab~_1]
   UNSPLITVOC:	(witodib~)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+dib~
        GLOSS:	and+it/she/they+spread/advance

 INPUT STRING:	رياح
     IS_TRANS:	ryAH
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~AH_1]
   UNSPLITVOC:	(ray~AH)
          POS:	NOUN
          VOC:	ray~AH
        GLOSS:	winds/odors

 INPUT STRING:	الخوف
     IS_TRANS:	Alxwf
        INDEX:	P3W3
      OFFSETS:	10-15
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xawf_1]
   UNSPLITVOC:	(Alxawf)
          POS:	DET+NOUN
          VOC:	Al+xawf
        GLOSS:	the+fear

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W4
      OFFSETS:	16-18
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قلبه
     IS_TRANS:	qlbh
        INDEX:	P3W5
      OFFSETS:	19-23
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	qalob+uh
        GLOSS:	heart/center/essence+his/its

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P3W6
      OFFSETS:	24-27
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W7
      OFFSETS:	28-30
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W8
      OFFSETS:	31-34
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it [verb]

 INPUT STRING:	بالأمس
     IS_TRANS:	bAl>ms
        INDEX:	P3W9
      OFFSETS:	35-41
       TOKENS:	P3W11-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amos_1]
   UNSPLITVOC:	(biAl>amos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+>amos
        GLOSS:	with/by+the+yesterday

 INPUT STRING:	القريب
     IS_TRANS:	Alqryb
        INDEX:	P3W10
      OFFSETS:	42-48
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quray~ib_1]
   UNSPLITVOC:	(Alquray~ib)
          POS:	DET+ADJ
          VOC:	Al+quray~ib
        GLOSS:	the+recent/soon

 INPUT STRING:	يضرب
     IS_TRANS:	yDrb
        INDEX:	P3W11
      OFFSETS:	49-53
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiD~arab_1]
   UNSPLITVOC:	(yiD~irib)
          POS:	IV3MS+IV_PASS
          VOC:	yi+toDirib
        GLOSS:	he/it+be hit

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P3W12
      OFFSETS:	54-56
       TOKENS:	P3W15-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+him/it

 INPUT STRING:	المثل
     IS_TRANS:	Almvl
        INDEX:	P3W13
      OFFSETS:	57-62
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(Almaval)
          POS:	DET+NOUN
          VOC:	Al+maval
        GLOSS:	the+example/proverb/for example

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W14
      OFFSETS:	63-65
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الوقوف
     IS_TRANS:	Alwqwf
        INDEX:	P3W15
      OFFSETS:	66-72
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuquwf_1]
   UNSPLITVOC:	(Alwuquwf)
          POS:	DET+NOUN
          VOC:	Al+wuquwf
        GLOSS:	the+standing/stopping/halting

 INPUT STRING:	حائط
     IS_TRANS:	HA}T
        INDEX:	P3W16
      OFFSETS:	73-77
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HA}iT_1]
   UNSPLITVOC:	(HA}iT)
          POS:	NOUN
          VOC:	HA}iT
        GLOSS:	wall

 INPUT STRING:	صد
     IS_TRANS:	Sd
        INDEX:	P3W17
      OFFSETS:	78-80
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~_1]
   UNSPLITVOC:	(Sad~)
          POS:	NOUN
          VOC:	Sad~
        GLOSS:	resistance/deterrence/rejection

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P3W18
      OFFSETS:	81-83
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	طغيان
     IS_TRANS:	TgyAn
        INDEX:	P3W19
      OFFSETS:	84-89
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TugoyAn_1]
   UNSPLITVOC:	(TugoyAn)
          POS:	NOUN
          VOC:	TugoyAn
        GLOSS:	oppression/tyranny

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P3W20
      OFFSETS:	90-95
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	وأعوانه
     IS_TRANS:	w>EwAnh
        INDEX:	P3W21
      OFFSETS:	96-103
       TOKENS:	P3W25-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euwn_1]
   UNSPLITVOC:	(wi>aEowAnuh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+>aEowAn+uh
        GLOSS:	and+assistants/aids+its/his

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W22
      OFFSETS:	103-104
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ولكننا
     IS_TRANS:	wlknnA
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakininA)
          POS:	CONJ+SUB_CONJ+PRON_1P
          VOC:	wi+lakin+nA
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand+we

 INPUT STRING:	رغم
     IS_TRANS:	rgm
        INDEX:	P4W2
      OFFSETS:	7-10
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(ragom)
          POS:	NOUN
          VOC:	ragom
        GLOSS:	in spite of/despite

 INPUT STRING:	تذكرنا
     IS_TRANS:	t*krnA
        INDEX:	P4W3
      OFFSETS:	11-17
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta*ak~ur_1]
   UNSPLITVOC:	(ta*ak~urnA)
          POS:	NOUN.VN+POSS_PRON_1P
          VOC:	ta*ak~ur+nA
        GLOSS:	remembrance/recollection+our

 INPUT STRING:	لهذه
     IS_TRANS:	lh*h
        INDEX:	P4W4
      OFFSETS:	18-22
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(liha*ihi)
          POS:	PREP+DEM_PRON_F
          VOC:	li+ha*ihi
        GLOSS:	for/to+this/these

 INPUT STRING:	المواقف
     IS_TRANS:	AlmwAqf
        INDEX:	P4W5
      OFFSETS:	23-30
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(AlmawAqif)
          POS:	DET+NOUN
          VOC:	Al+mawAqif
        GLOSS:	the+positions/situations

 INPUT STRING:	جيدا
     IS_TRANS:	jydA
        INDEX:	P4W6
      OFFSETS:	31-35
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jay~id_1]
   UNSPLITVOC:	(jay~idAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	jay~id+AF
        GLOSS:	well+[acc.indef.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W7
      OFFSETS:	36-38
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	دكتور
     IS_TRANS:	dktwr
        INDEX:	P4W8
      OFFSETS:	39-44
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(dukotawr)
          POS:	NOUN
          VOC:	dukotawr
        GLOSS:	doctor/Doctor/Dr.

 INPUT STRING:	بديع
     IS_TRANS:	bdyE
        INDEX:	P4W9
      OFFSETS:	45-49
       TOKENS:	P4W13-P4W13
