 INPUT STRING:	البحث
        GLOSS:	Italian

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W7
      OFFSETS:	35-37
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أصل
     IS_TRANS:	>Sl
        INDEX:	P2W8
      OFFSETS:	38-41
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P2W9
      OFFSETS:	42-46
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	باعتز
     IS_TRANS:	bAEtz
        INDEX:	P2W10
      OFFSETS:	47-52
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEotaz~_1]
   UNSPLITVOC:	(bAEtaz~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+Etaz~
        GLOSS:	[present-tense]+I+be proud

 INPUT STRING:	دائما
     IS_TRANS:	dA}mA
        INDEX:	P2W11
      OFFSETS:	53-58
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAyim_1]
   UNSPLITVOC:	(dAymAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	dAym+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	بمصريتي
     IS_TRANS:	bmSryty
        INDEX:	P2W12
      OFFSETS:	59-66
       TOKENS:	P2W13-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy~ap_1]
   UNSPLITVOC:	(bimaSoriy~atiy)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	bi+maSoriy~+ap+iy
        GLOSS:	with/by+Egyptian+[fem.sg.]+my

 INPUT STRING:	ولكنتي
     IS_TRANS:	wlknty
        INDEX:	P2W13
      OFFSETS:	67-73
       TOKENS:	P2W16-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakonap_1]
   UNSPLITVOC:	(wilakonatiy)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	wi+lakon+ap+iy
        GLOSS:	and+accent+[fem.sg.]+my

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P2W14
      OFFSETS:	74-81
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	والحضارة
     IS_TRANS:	wAlHDArp
        INDEX:	P2W15
      OFFSETS:	82-90
       TOKENS:	P2W20-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDArap_1]
   UNSPLITVOC:	(wiAlHaDArap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+HaDAr+ap
        GLOSS:	and+the+civilization/culture/civilizations/cultures+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P2W16
      OFFSETS:	91-98
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P2W17
      OFFSETS:	99-103
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P2W18
      OFFSETS:	104-107
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	ممثلها
     IS_TRANS:	mmvlhA
        INDEX:	P2W19
      OFFSETS:	108-114
       TOKENS:	P2W25-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumav~il_1]
   UNSPLITVOC:	(mumav~ilhA)
          POS:	ADJ+POSS_PRON_3FS
          VOC:	mumav~il+hA
        GLOSS:	representative/delegate+its/their/her

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W20
      OFFSETS:	115-117
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الخارج
     IS_TRANS:	AlxArj
        INDEX:	P2W21
      OFFSETS:	118-124
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(AlxArij)
          POS:	DET+NOUN
          VOC:	Al+xArij
        GLOSS:	the+outside/outer part/overseas/exterior

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W22
      OFFSETS:	125-126
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أكتبلكم
     IS_TRANS:	>ktblkm
        INDEX:	P3W1
      OFFSETS:	1-8
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(Aakotib_lukum)
          POS:	IV1S+IV+PREP+PRON_2P
          VOC:	Aa+kotib+li+kum
        GLOSS:	I+write/be written/be fated/be destined+to/for+you

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P3W2
      OFFSETS:	9-13
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	أقوللكم
     IS_TRANS:	>qwllkm
        INDEX:	P3W3
      OFFSETS:	14-21
       TOKENS:	P3W6-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl_lukum)
          POS:	IV1S+IV+PREP+PRON_2P
          VOC:	Aa+quwl+li+kum
        GLOSS:	I+said/say/be said/say/(for example)+to/for+you

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P3W4
      OFFSETS:	22-24
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الظروف
     IS_TRANS:	AlZrwf
        INDEX:	P3W5
      OFFSETS:	25-31
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zarof_1]
   UNSPLITVOC:	(AlZ~uruwf)
          POS:	DET+NOUN
          VOC:	Al+Zuruwf
        GLOSS:	the+circumstance/condition/situation/circumstances/condition/situation

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P3W6
      OFFSETS:	32-33
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أوربا
     IS_TRANS:	>wrbA
        INDEX:	P3W7
      OFFSETS:	34-39
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwruwb~A_1]
   UNSPLITVOC:	(>uwruwb~A)
          POS:	NOUN_PROP
          VOC:	>uwruwb~A
        GLOSS:	Europe

 INPUT STRING:	أصعب
     IS_TRANS:	>SEb
        INDEX:	P3W8
      OFFSETS:	40-44
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSEab_1]
   UNSPLITVOC:	(>aSEab)
          POS:	ADJ_COMP
          VOC:	>aSEab
        GLOSS:	more/most difficult/harder/hardest/more/most arduous

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W9
      OFFSETS:	45-47
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P3W10
      OFFSETS:	48-50
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P3W11
      OFFSETS:	51-54
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	مضى
     IS_TRANS:	mDY
        INDEX:	P3W12
      OFFSETS:	55-58
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maDaY_1]
   UNSPLITVOC:	(maDaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	maDaY+(null)
        GLOSS:	spend/be spent+he/it

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W13
      OFFSETS:	59-60
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P3W14
      OFFSETS:	61-65
       TOKENS:	P3W19-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P3W15
      OFFSETS:	66-69
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

 INPUT STRING:	قررت
     IS_TRANS:	qrrt
        INDEX:	P3W16
      OFFSETS:	70-74
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(qar~art)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qar~ar+t
        GLOSS:	decide/resolve+I

 INPUT STRING:	إنشاء
     IS_TRANS:	<n$A'
        INDEX:	P3W17
      OFFSETS:	75-80
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ino$A'_1]
   UNSPLITVOC:	(<ino$A')
          POS:	NOUN
          VOC:	<ino$A'
        GLOSS:	establishing/setting up/founding

 INPUT STRING:	موقع
     IS_TRANS:	mwqE
        INDEX:	P3W18
      OFFSETS:	81-85
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(mawqiE)
          POS:	NOUN
          VOC:	mawqiE
        GLOSS:	position/location/site

 INPUT STRING:	إنترنت
     IS_TRANS:	<ntrnt
        INDEX:	P3W19
      OFFSETS:	86-92
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotaronit_1]
   UNSPLITVOC:	(<inotaronit)
          POS:	NOUN_PROP
          VOC:	<inotaronit
        GLOSS:	Internet

 INPUT STRING:	مخصص
     IS_TRANS:	mxSS
        INDEX:	P3W20
      OFFSETS:	93-97
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxaS~aS_1]
   UNSPLITVOC:	(muxaS~aS)
          POS:	ADJ
          VOC:	muxaS~aS
        GLOSS:	designated/allocated

 INPUT STRING:	لأبناء
     IS_TRANS:	l>bnA'
        INDEX:	P3W21
      OFFSETS:	98-104
       TOKENS:	P3W27-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aibn_1]
   UNSPLITVOC:	(li>abnA')
          POS:	PREP+NOUN
          VOC:	li+>abnA'
        GLOSS:	for/to+sons/children

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P3W22
      OFFSETS:	105-108
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P3W23
      OFFSETS:	109-110
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الخارج
     IS_TRANS:	AlxArj
        INDEX:	P3W24
      OFFSETS:	111-117
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(AlxArij)
          POS:	DET+NOUN
          VOC:	Al+xArij
        GLOSS:	the+outside/outer part/overseas/exterior

 INPUT STRING:	وخصوصا
     IS_TRANS:	wxSwSA
        INDEX:	P3W25
      OFFSETS:	118-124
       TOKENS:	P3W32-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuSuwS_1]
   UNSPLITVOC:	(wixuSuwSAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+xuSuwS+AF
        GLOSS:	and+matter/issue/regard/respect/especially/in particular+[acc.indef.]

 INPUT STRING:	أبناء
     IS_TRANS:	>bnA'
        INDEX:	P3W26
      OFFSETS:	125-130
       TOKENS:	P3W34-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(>abonA')
          POS:	NOUN
          VOC:	>abonA'
        GLOSS:	sons/children

 INPUT STRING:	الزواجات
     IS_TRANS:	AlzwAjAt
        INDEX:	P3W27
      OFFSETS:	131-139
       TOKENS:	P3W35-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyjap_1]
   UNSPLITVOC:	(Alz~awAjAt)
          POS:	DET+ADJ+NSUFF_FEM_PL
          VOC:	Al+zawAj+At
        GLOSS:	the+marriages+[fem.pl.]

 INPUT STRING:	المختلطة
     IS_TRANS:	AlmxtlTp
        INDEX:	P3W28
      OFFSETS:	140-148
       TOKENS:	P3W36-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxotalaT_1]
   UNSPLITVOC:	(AlmuxotalaTap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muxotalaT+ap
        GLOSS:	the+mixed+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P3W29
      OFFSETS:	149-153
       TOKENS:	P3W37-P3W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	يتعارفو
     IS_TRANS:	ytEArfw
        INDEX:	P3W30
      OFFSETS:	154-161
       TOKENS:	P3W39-P3W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitEArif_1]
   UNSPLITVOC:	(yitEArfuw)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+tEArf+uw
        GLOSS:	they+get into contact/know each other+they

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P3W31
      OFFSETS:	162-165
       TOKENS:	P3W40-P3W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W32
      OFFSETS:	166-167
       TOKENS:	P3W41-P3W41
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P4W1
      OFFSETS:	1-6
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time

 INPUT STRING:	يداهمنا
     IS_TRANS:	ydAhmnA
        INDEX:	P4W2
      OFFSETS:	7-14
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAham_1]
   UNSPLITVOC:	(yidAhimnA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+dAhim+nA
        GLOSS:	he/it+raid/attack/storm/surprise+us

 INPUT STRING:	والصبر
     IS_TRANS:	wAlSbr
        INDEX:	P4W3
      OFFSETS:	15-21
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sabor_1]
   UNSPLITVOC:	(wiAlSabor)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Sabor
        GLOSS:	and+the+patience/endurance

 INPUT STRING:	يقل
     IS_TRANS:	yql
        INDEX:	P4W4
      OFFSETS:	22-25
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qal~_1]
   UNSPLITVOC:	(yiqil~)
          POS:	IV3MS+IV
          VOC:	yi+qil~
        GLOSS:	he/it+be less/decrease/diminish

