 INPUT STRING:	كلمة
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(AlEuDowAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+EuDow+At
        GLOSS:	the+members+[fem.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W7
      OFFSETS:	32-35
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المنتدى
     IS_TRANS:	AlmntdY
        INDEX:	P1W8
      OFFSETS:	36-43
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muntadaY_2]
   UNSPLITVOC:	(AlmuntadaY)
          POS:	DET+NOUN
          VOC:	Al+muntadaY
        GLOSS:	the+assembly room/gathering place

 INPUT STRING:	منذ
     IS_TRANS:	mn*
        INDEX:	P1W9
      OFFSETS:	44-47
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mun*_1]
   UNSPLITVOC:	(mun*)
          POS:	PREP
          VOC:	mun*
        GLOSS:	from

 INPUT STRING:	قرار
     IS_TRANS:	qrAr
        INDEX:	P1W10
      OFFSETS:	48-52
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(qarAr)
          POS:	NOUN
          VOC:	qarAr
        GLOSS:	decision/resolution

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P1W11
      OFFSETS:	53-57
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P1W12
      OFFSETS:	58-63
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	بعدم
     IS_TRANS:	bEdm
        INDEX:	P1W13
      OFFSETS:	64-68
       TOKENS:	P1W13-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(biEadam)
          POS:	PREP+NOUN
          VOC:	bi+Eadam
        GLOSS:	with/by+absence of/lack of/not/non-

 INPUT STRING:	إحالة
     IS_TRANS:	<HAlp
        INDEX:	P1W14
      OFFSETS:	69-74
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHAlap_1]
   UNSPLITVOC:	(<iHAlap)
          POS:	NOUN.VN+NSUFF_FEM_SG
          VOC:	<iHAl+ap
        GLOSS:	transfer/remittance+[fem.sg.]

 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P1W15
      OFFSETS:	75-81
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-

 INPUT STRING:	مصطفى
     IS_TRANS:	mSTfY
        INDEX:	P1W16
      OFFSETS:	82-87
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSoTafaY_1]
   UNSPLITVOC:	(muSoTafaY)
          POS:	NOUN_PROP
          VOC:	muSoTafaY
        GLOSS:	Moustafa

 INPUT STRING:	بكري
     IS_TRANS:	bkry
        INDEX:	P1W17
      OFFSETS:	88-92
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bakoriy_1]
   UNSPLITVOC:	(bakoriy)
          POS:	NOUN_PROP
          VOC:	bakoriy
        GLOSS:	Bakri

 INPUT STRING:	لهيئة
     IS_TRANS:	lhy}p
        INDEX:	P1W18
      OFFSETS:	93-98
       TOKENS:	P1W19-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hay}ap_1]
   UNSPLITVOC:	(lihay}ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+hay}+ap
        GLOSS:	for/to+organization/agency+[fem.sg.]

 INPUT STRING:	مكتب
     IS_TRANS:	mktb
        INDEX:	P1W19
      OFFSETS:	99-103
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makotab_1]
   UNSPLITVOC:	(makotab)
          POS:	NOUN
          VOC:	makotab
        GLOSS:	bureau/office/department

 INPUT STRING:	البرلمان
     IS_TRANS:	AlbrlmAn
        INDEX:	P1W20
      OFFSETS:	104-112
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAn_1]
   UNSPLITVOC:	(AlbarolamAn)
          POS:	DET+NOUN
          VOC:	Al+barolamAn
        GLOSS:	the+parliament

 INPUT STRING:	ومساواته
     IS_TRANS:	wmsAwAth
        INDEX:	P1W21
      OFFSETS:	113-121
       TOKENS:	P1W23-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musAwAp_1]
   UNSPLITVOC:	(wamusAwAapuh)
          POS:	PREP+NOUN.VN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	wa+musAwA+ap+uh
        GLOSS:	with+equality/equal rights+[fem.sg.]+his/its

 INPUT STRING:	بالعليمي
     IS_TRANS:	bAlElymy
        INDEX:	P1W22
      OFFSETS:	122-130
       TOKENS:	P1W26-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealiymiy_1]
   UNSPLITVOC:	(biAlEaliymiy)
          POS:	PREP+DET+NOUN_PROP
          VOC:	bi+Al+Ealiymiy
        GLOSS:	with/by+the+Alimiy

 INPUT STRING:	والسؤال
     IS_TRANS:	wAls&Al
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(wiAlsu&Al)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+su&Al
        GLOSS:	and+the+question/inquiry

 INPUT STRING:	كيف
     IS_TRANS:	kyf
        INDEX:	P2W2
      OFFSETS:	8-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(kayof)
          POS:	INTERROG_ADV
          VOC:	kayof
        GLOSS:	how

 INPUT STRING:	يتساوى
     IS_TRANS:	ytsAwY
        INDEX:	P2W3
      OFFSETS:	12-18
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAwaY_1]
   UNSPLITVOC:	(yitosAwaY)
          POS:	IV3MS+IV_PASS
          VOC:	yi+tosAwaY
        GLOSS:	he/it+be equivalent

 INPUT STRING:	بكري
     IS_TRANS:	bkry
        INDEX:	P2W4
      OFFSETS:	19-23
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bakoriy_1]
   UNSPLITVOC:	(bakoriy)
          POS:	NOUN_PROP
          VOC:	bakoriy
        GLOSS:	Bakri

 INPUT STRING:	والعليمي
     IS_TRANS:	wAlElymy
        INDEX:	P2W5
      OFFSETS:	24-32
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealiymiy_1]
   UNSPLITVOC:	(wiAlEaliymiy)
          POS:	CONJ+DET+NOUN_PROP
          VOC:	wi+Al+Ealiymiy
        GLOSS:	and+the+Alimiy

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W6
      OFFSETS:	33-34
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W7
      OFFSETS:	34-35
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W8
      OFFSETS:	35-36
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W9
      OFFSETS:	36-37
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W10
      OFFSETS:	37-38
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P2W11
      OFFSETS:	38-39
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	العليمي
     IS_TRANS:	AlElymy
        INDEX:	P3W1
      OFFSETS:	0-7
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ealiymiy_1]
   UNSPLITVOC:	(AlEaliymiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Ealiymiy
        GLOSS:	the+Alimiy

 INPUT STRING:	أخطأ
     IS_TRANS:	>xT>
        INDEX:	P3W2
      OFFSETS:	8-12
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axoTa>_1]
   UNSPLITVOC:	(>axoTa>)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>axoTa>+(null)
        GLOSS:	be wrong/do incorrectly/be done incorrectly+he/it

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P3W3
      OFFSETS:	13-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	with / at

 INPUT STRING:	سب
     IS_TRANS:	sb
        INDEX:	P3W4
      OFFSETS:	17-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sab~_1]
   UNSPLITVOC:	(sab~)
          POS:	NOUN
          VOC:	sab~
        GLOSS:	cursing/insulting

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P3W5
      OFFSETS:	20-26
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	بألفاظ
     IS_TRANS:	b>lfAZ
        INDEX:	P3W6
      OFFSETS:	27-33
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lafoZ_1]
   UNSPLITVOC:	(biAlofAZ)
          POS:	PREP+NOUN
          VOC:	bi+AlofAZ
        GLOSS:	with/by+word/term/expression/verbatim/literally/words/terms/expressions

 INPUT STRING:	واضحة
     IS_TRANS:	wADHp
        INDEX:	P3W7
      OFFSETS:	34-39
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wADoH+ap
        GLOSS:	clear/obvious/visible+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P3W8
      OFFSETS:	40-41
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	صريحة
     IS_TRANS:	SryHp
        INDEX:	P3W9
      OFFSETS:	42-47
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SariyH_1]
   UNSPLITVOC:	(SariyHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	SariyH+ap
        GLOSS:	candid/sincere+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P3W10
      OFFSETS:	48-50
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تقبل
     IS_TRANS:	tqbl
        INDEX:	P3W11
      OFFSETS:	51-55
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabal_1]
   UNSPLITVOC:	(tiqobal)
          POS:	IV3FS+IV
          VOC:	ti+qobal
        GLOSS:	it/they/she+accept

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W12
      OFFSETS:	56-58
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	that

 INPUT STRING:	تتحمل
     IS_TRANS:	ttHml
        INDEX:	P3W13
      OFFSETS:	59-64
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHam~al_1]
   UNSPLITVOC:	(titHam~il)
          POS:	IV3FS+IV
          VOC:	ti+tHam~il
        GLOSS:	you+assume/bear

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P3W14
      OFFSETS:	65-69
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W15
      OFFSETS:	70-72
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	معنى
     IS_TRANS:	mEnY
        INDEX:	P3W16
      OFFSETS:	73-77
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P3W17
      OFFSETS:	78-82
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(waha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+ha*A
        GLOSS:	and+this

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P3W18
      OFFSETS:	83-85
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يليق
     IS_TRANS:	ylyq
        INDEX:	P3W19
      OFFSETS:	86-90
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAq_1]
   UNSPLITVOC:	(yiliyq)
          POS:	IV3MS+IV
          VOC:	yi+liyq
        GLOSS:	he/it+be proper for/be suitable for

 INPUT STRING:	بنائب
     IS_TRANS:	bnA}b
        INDEX:	P3W20
      OFFSETS:	91-96
       TOKENS:	P3W22-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(binA}ib)
          POS:	PREP+NOUN
          VOC:	bi+nA}ib
        GLOSS:	with/by+deputy/delegate/vice-

 INPUT STRING:	محترم
     IS_TRANS:	mHtrm
        INDEX:	P3W21
      OFFSETS:	97-102
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaram)
          POS:	ADJ
          VOC:	muHotaram
        GLOSS:	respected

 INPUT STRING:	فلهو
     IS_TRANS:	flhw
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(falahuw)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	fa+li+huw
        GLOSS:	and+for/to+he/it

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W2
      OFFSETS:	5-7
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	that

 INPUT STRING:	يختلف
     IS_TRANS:	yxtlf
        INDEX:	P4W3
      OFFSETS:	8-13
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aixotalaf_1]
   UNSPLITVOC:	(yaxotalif)
          POS:	IV3MS+IV
          VOC:	ya+xotalif
        GLOSS:	he/it+differ

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P4W4
      OFFSETS:	14-16
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W5
      OFFSETS:	17-19
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يشاء
     IS_TRANS:	y$A'
        INDEX:	P4W6
      OFFSETS:	20-24
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	(ya$A')
          POS:	IV3MS+IV
          VOC:	ya+$A'
        GLOSS:	he/it+want

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P4W7
      OFFSETS:	25-28
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P4W8
      OFFSETS:	29-31
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	ألتزا
     IS_TRANS:	>ltzA
        INDEX:	P4W9
      OFFSETS:	32-37
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iltizAm_1]
   UNSPLITVOC:	(>iltizAm)
          POS:	NOUN
          VOC:	>iltizAm
        GLOSS:	commitment/obligation

 INPUT STRING:	م
     IS_TRANS:	m
        INDEX:	P4W10
      OFFSETS:	38-39
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(m)
          POS:	TYPO
          VOC:	m
        GLOSS:	nogloss

 INPUT STRING:	آداب
     IS_TRANS:	|dAb
        INDEX:	P4W11
      OFFSETS:	40-44
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|adAb_2]
   UNSPLITVOC:	(|adAb)
          POS:	NOUN
          VOC:	|adAb
        GLOSS:	good manners/etiquette

 INPUT STRING:	الحوار
     IS_TRANS:	AlHwAr
        INDEX:	P4W12
      OFFSETS:	45-51
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(AlHiwAr)
          POS:	DET+NOUN
          VOC:	Al+HiwAr
