 INPUT STRING:	تعرض
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+muEotaSim
        GLOSS:	and+the+seeking refuge/resorting to

 INPUT STRING:	حاليا
     IS_TRANS:	HAlyA
        INDEX:	P3W15
      OFFSETS:	86-91
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy~_1]
   UNSPLITVOC:	(HAliy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	HAliy~+AF
        GLOSS:	present/current+[acc.indef.]

 INPUT STRING:	أمام
     IS_TRANS:	>mAm
        INDEX:	P3W16
      OFFSETS:	92-96
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	مكتب
     IS_TRANS:	mktb
        INDEX:	P3W17
      OFFSETS:	97-101
       TOKENS:	P3W20-P3W20
