 INPUT STRING:	إقتباس
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without/beneath/underneath/inferior/poor

 INPUT STRING:	وضع
     IS_TRANS:	wDE
        INDEX:	P2W14
      OFFSETS:	78-81
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(waDoE)
          POS:	NOUN
          VOC:	waDoE
        GLOSS:	laying down/putting/placing

 INPUT STRING:	قبد
     IS_TRANS:	qbd
        INDEX:	P2W15
      OFFSETS:	82-85
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qbd)
          POS:	TYPO
          VOC:	qbd
        GLOSS:	nogloss

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P2W16
      OFFSETS:	86-88
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	رابط
     IS_TRANS:	rAbT
        INDEX:	P2W17
      OFFSETS:	89-93
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAbiT_1]
   UNSPLITVOC:	(rAbiT)
          POS:	NOUN
          VOC:	rAbiT
        GLOSS:	tie/connection

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W18
      OFFSETS:	94-97
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تحديد
     IS_TRANS:	tHdyd
        INDEX:	P2W19
      OFFSETS:	98-103
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHodiyd_1]
   UNSPLITVOC:	(taHodiyd)
          POS:	NOUN
          VOC:	taHodiyd
        GLOSS:	delimitation/specification/definition/specifically

 INPUT STRING:	المواصفات
     IS_TRANS:	AlmwASfAt
        INDEX:	P2W20
      OFFSETS:	104-113
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwASafAt_1]
   UNSPLITVOC:	(AlmuwASafAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muwASaf+At
        GLOSS:	the+properties/characteristics+[fem.pl.]

 INPUT STRING:	القباسيه
     IS_TRANS:	AlqbAsyh
        INDEX:	P2W21
      OFFSETS:	114-122
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlqbAsyh)
          POS:	TYPO
          VOC:	AlqbAsyh
        GLOSS:	nogloss

 INPUT STRING:	للمطب
     IS_TRANS:	llmTb
        INDEX:	P2W22
      OFFSETS:	123-128
       TOKENS:	P2W25-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTab~_1]
   UNSPLITVOC:	(lilmaTab~)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+maTab~
        GLOSS:	for/to+the+pothole/air pocket/wind shear

 INPUT STRING:	الصناعي
     IS_TRANS:	AlSnAEy
        INDEX:	P2W23
      OFFSETS:	129-136
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SinAEiy_1]
   UNSPLITVOC:	(AlS~inAEiy)
          POS:	DET+ADJ
          VOC:	Al+SinAEiy
        GLOSS:	the+industrial/artificial

 INPUT STRING:	لتأمين
     IS_TRANS:	lt>myn
        INDEX:	P2W24
      OFFSETS:	137-143
       TOKENS:	P2W28-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>omiyn_1]
   UNSPLITVOC:	(lita>omiyn)
          POS:	PREP+NOUN
          VOC:	li+ta>omiyn
        GLOSS:	for/to+insurance/guarantee

 INPUT STRING:	الطريق
     IS_TRANS:	AlTryq
        INDEX:	P2W25
      OFFSETS:	144-150
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(AlT~ariyq)
          POS:	DET+NOUN
          VOC:	Al+Tariyq
        GLOSS:	the+road/way/roads/ways/means/methods

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	يوجد
     IS_TRANS:	ywjd
        INDEX:	P3W2
      OFFSETS:	4-8
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(yuwjad)
          POS:	IV3MS+IV_PASS
          VOC:	yu+wjad
        GLOSS:	he/it+be found/exist

 INPUT STRING:	وعي
     IS_TRANS:	wEy
        INDEX:	P3W3
      OFFSETS:	9-12
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEoy_1]
   UNSPLITVOC:	(waEoy)
          POS:	NOUN
          VOC:	waEoy
        GLOSS:	consciousness/awareness/attention

 INPUT STRING:	لدى
     IS_TRANS:	ldY
        INDEX:	P3W4
      OFFSETS:	13-16
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladaY)
          POS:	NOUN
          VOC:	ladaY
        GLOSS:	with/by

 INPUT STRING:	الجماهير
     IS_TRANS:	AljmAhyr
        INDEX:	P3W5
      OFFSETS:	17-25
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwr_1]
   UNSPLITVOC:	(AljamAhiyr)
          POS:	DET+NOUN
          VOC:	Al+jamAhiyr
        GLOSS:	the+masses

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W6
      OFFSETS:	26-27
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فنرجوا
     IS_TRANS:	fnrjwA
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(fanirojuwA)
          POS:	CONJ+IV1P+IV
          VOC:	fa+ni+rojuwA
        GLOSS:	so/and+we+request/hope for/plead to

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W2
      OFFSETS:	7-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السيد
     IS_TRANS:	Alsyd
        INDEX:	P4W3
      OFFSETS:	10-15
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(Als~ay~id)
          POS:	DET+NOUN
          VOC:	Al+say~id
        GLOSS:	the+Sir/Mr./Mister

 INPUT STRING:	المحافظ
     IS_TRANS:	AlmHAfZ
        INDEX:	P4W4
      OFFSETS:	16-23
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfiZ_1]
   UNSPLITVOC:	(AlmuHAfiZ)
          POS:	DET+NOUN
          VOC:	Al+muHAfiZ
        GLOSS:	the+governor

 INPUT STRING:	الاهتمام
     IS_TRANS:	AlAhtmAm
        INDEX:	P4W5
      OFFSETS:	24-32
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ihotimAm_1]
   UNSPLITVOC:	(AlAihotimAm)
          POS:	DET+NOUN
          VOC:	Al+{ihotimAm
        GLOSS:	the+interest/concern/care/attention

 INPUT STRING:	بهذا
     IS_TRANS:	bh*A
        INDEX:	P4W6
      OFFSETS:	33-37
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(biha*A)
          POS:	PREP+DEM_PRON_MS
          VOC:	bi+ha*A
        GLOSS:	with/by+this [masc.sg.]

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P4W7
      OFFSETS:	38-45
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	لأنه
     IS_TRANS:	l>nh
        INDEX:	P4W8
      OFFSETS:	46-50
       TOKENS:	P4W10-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(li>an~ahu)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+>an~a+hu
        GLOSS:	for+that+it/he

 INPUT STRING:	مفقود
     IS_TRANS:	mfqwd
        INDEX:	P4W9
      OFFSETS:	51-56
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mafoquwd_1]
   UNSPLITVOC:	(mafoquwd)
          POS:	ADJ
          VOC:	mafoquwd
        GLOSS:	lost/missing/absent

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W10
      OFFSETS:	57-59
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بلادنا
     IS_TRANS:	blAdnA
        INDEX:	P4W11
      OFFSETS:	60-66
       TOKENS:	P4W15-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(bilAdnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bilAd+nA
        GLOSS:	country/countries+our

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W12
      OFFSETS:	66-67
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وكان
     IS_TRANS:	wkAn
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAn)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+kAn+(null)
        GLOSS:	and+be+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	بالعون
     IS_TRANS:	bAlEwn
        INDEX:	P5W3
      OFFSETS:	10-16
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eawn_1]
   UNSPLITVOC:	(biAlEawn)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eawn
        GLOSS:	with/by+the+assistance/aid/assistants/aids

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W4
      OFFSETS:	16-17
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكره
     IS_TRANS:	fkrh
        INDEX:	P6W2
      OFFSETS:	4-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P6W3
      OFFSETS:	9-11
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	كمال
     IS_TRANS:	kmAl
        INDEX:	P6W4
      OFFSETS:	12-16
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAl_1]
   UNSPLITVOC:	(kamAl)
          POS:	NOUN_PROP
          VOC:	kamAl
        GLOSS:	Kamal

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W5
      OFFSETS:	17-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P6W6
      OFFSETS:	21-25
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	شرقاويه
     IS_TRANS:	$rqAwyh
        INDEX:	P6W7
      OFFSETS:	26-33
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroqAwiy_1]
   UNSPLITVOC:	($aroqAwiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$aroqAwiy~+ap
        GLOSS:	Sharqawiya+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(tiEoraf)
          POS:	IV2MS+IV
          VOC:	ti+Eoraf
        GLOSS:	you+know

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W3
      OFFSETS:	8-10
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P7W4
      OFFSETS:	11-13
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P7W5
      OFFSETS:	14-18
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/whose/which/that

 INPUT STRING:	اعرفه
     IS_TRANS:	AErfh
        INDEX:	P7W6
      OFFSETS:	19-24
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(>aEorafuh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	>a+Eoraf+uh
        GLOSS:	I+know+it/him

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P7W7
      OFFSETS:	25-27
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	صان
     IS_TRANS:	SAn
        INDEX:	P7W8
      OFFSETS:	28-31
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAn_2]
   UNSPLITVOC:	(SAn)
          POS:	NOUN_PROP
          VOC:	SAn
        GLOSS:	San

 INPUT STRING:	الحجر
     IS_TRANS:	AlHjr
        INDEX:	P7W9
      OFFSETS:	32-37
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hajar_1]
   UNSPLITVOC:	(AlHajar)
          POS:	DET+NOUN_PROP
          VOC:	Al+Hajar
        GLOSS:	the+Hagar

 INPUT STRING:	مجرد
