 INPUT STRING:	عزة
        LEMMA:	[AlsAbiq_1]
   UNSPLITVOC:	(AlsAbiqap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+sAbiq+ap
        GLOSS:	the+former/previous/preceding+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W7
      OFFSETS:	35-36
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	تنطوي
     IS_TRANS:	tnTwy
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AinoTawaY_1]
   UNSPLITVOC:	(tanTawiy)
          POS:	IV3FS+IV
          VOC:	ta+nTawiy
        GLOSS:	it/they/she+contain/include/harbor

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W2
      OFFSETS:	6-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تمييز
     IS_TRANS:	tmyyz
        INDEX:	P5W3
      OFFSETS:	10-15
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamoyiyz_1]
   UNSPLITVOC:	(tamoyiyz)
          POS:	NOUN
          VOC:	tamoyiyz
        GLOSS:	distinction/differentiation/discrimination

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P5W4
      OFFSETS:	16-18
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P5W5
      OFFSETS:	19-25
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	بطريقة
     IS_TRANS:	bTryqp
        INDEX:	P5W6
      OFFSETS:	26-32
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(biTariyqap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+Tariyq+ap
        GLOSS:	with/by+method/procedure/methods/manners+[fem.sg.]

 INPUT STRING:	تتعارض
     IS_TRANS:	ttEArD
        INDEX:	P5W7
      OFFSETS:	33-39
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitEAriD_1]
   UNSPLITVOC:	(titEAriD)
          POS:	IV3FS+IV
          VOC:	ti+tEAriD
        GLOSS:	it/they/she+clash (with)/conflict (with)

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P5W8
      OFFSETS:	40-42
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	الشريعة
     IS_TRANS:	Al$ryEp
        INDEX:	P5W9
      OFFSETS:	43-50
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyEap_1]
   UNSPLITVOC:	(Al$~ariyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ariyE+ap
        GLOSS:	the+Sharia , Islamic law+[fem.sg.]

 INPUT STRING:	الإسلامية
     IS_TRANS:	Al<slAmyp
        INDEX:	P5W10
      OFFSETS:	51-60
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al<islAmiy_1]
   UNSPLITVOC:	(Al<islAmiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<islAmiy~+ap
        GLOSS:	the+Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W11
      OFFSETS:	60-61
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as/like/such as/the likes of

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P6W2
      OFFSETS:	4-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*alika_1]
   UNSPLITVOC:	(tiloka)
          POS:	DEM_PRON_F
          VOC:	tiloka
        GLOSS:	that/those

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P6W3
      OFFSETS:	8-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom

 INPUT STRING:	المتعلقة
     IS_TRANS:	AlmtElqp
        INDEX:	P6W4
      OFFSETS:	13-21
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmitEal~aq_1]
   UNSPLITVOC:	(AlmitEal~aqap)
          POS:	DET+ADJ.VN+NSUFF_FEM_SG
          VOC:	Al+mitEal~aq+ap
        GLOSS:	the+attached/connected/concerning+[fem.sg.]

 INPUT STRING:	بالحق
     IS_TRANS:	bAlHq
        INDEX:	P6W5
      OFFSETS:	22-27
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(biAlHaq~)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Haq~
        GLOSS:	with/by+the+right, prerogative, truth

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W6
      OFFSETS:	28-30
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الولاية
     IS_TRANS:	AlwlAyp
        INDEX:	P6W7
      OFFSETS:	31-38
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wilAyap_1]
   UNSPLITVOC:	(AlwilAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wilAy+ap
        GLOSS:	the+mandate/term of office+[fem.sg.]

 INPUT STRING:	والحضانة
     IS_TRANS:	wAlHDAnp
        INDEX:	P6W8
      OFFSETS:	39-47
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDAnap_1]
   UNSPLITVOC:	(wiAlHaDAnap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+HaDAn+ap
        GLOSS:	and+the+nurturing/nursery/incubation+[fem.sg.]

 INPUT STRING:	والإختلاف
     IS_TRANS:	wAl<xtlAf
        INDEX:	P6W9
      OFFSETS:	48-57
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotilAf_1]
   UNSPLITVOC:	(wiAlAixotilAf)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AixotilAf
        GLOSS:	and+the+difference/disagreement/variance

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W10
      OFFSETS:	58-61
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	سن
     IS_TRANS:	sn
        INDEX:	P6W11
      OFFSETS:	62-64
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~_1]
   UNSPLITVOC:	(sin~)
          POS:	NOUN
          VOC:	sin~
        GLOSS:	age

 INPUT STRING:	الحضانة
     IS_TRANS:	AlHDAnp
        INDEX:	P6W12
      OFFSETS:	65-72
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDAnap_1]
   UNSPLITVOC:	(AlHaDAnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HaDAn+ap
        GLOSS:	the+nurturing/nursery/incubation+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W13
      OFFSETS:	72-73
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	الكثير
     IS_TRANS:	Alkvyr
        INDEX:	P7W2
      OFFSETS:	5-11
       TOKENS:	P7W2-P7W2
