 INPUT STRING:	تداول
      COMMENT:	[]
        LEMMA:	[na$iyT_1]
   UNSPLITVOC:	(Aln~u$aTA')
          POS:	DET+ADJ
          VOC:	Al+nu$aTA'
        GLOSS:	the+active/energetic

 INPUT STRING:	نشروا
     IS_TRANS:	n$rwA
        INDEX:	P2W2
      OFFSETS:	8-13
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$~ar_1]
   UNSPLITVOC:	(na$~aruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	na$~ar+uwA
        GLOSS:	spread+they [verb]

 INPUT STRING:	الفيديو
     IS_TRANS:	Alfydyw
        INDEX:	P2W3
      OFFSETS:	14-21
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(Alfiydyuw)
          POS:	DET+NOUN
          VOC:	Al+fiydyuw
        GLOSS:	the+video

 INPUT STRING:	رداً
     IS_TRANS:	rdAF
        INDEX:	P2W4
      OFFSETS:	22-26
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	rad~+AF
        GLOSS:	in answer to / reply/response+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W5
      OFFSETS:	27-30
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/ above

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W6
      OFFSETS:	31-33
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يتساءلون
     IS_TRANS:	ytsA'lwn
        INDEX:	P2W7
      OFFSETS:	34-42
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tasA'al_1]
   UNSPLITVOC:	(yatasA'aluwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ya+tasA'al+uwn
        GLOSS:	they (people)+ask/wonder+[masc.pl.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P2W8
      OFFSETS:	42-43
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	وهيا
     IS_TRANS:	whyA
        INDEX:	P2W9
      OFFSETS:	45-49
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wahiy~a)
          POS:	CONJ+PRON_3FS
          VOC:	wa+hiy~a
        GLOSS:	and+she

 INPUT STRING:	راحت
     IS_TRANS:	rAHt
        INDEX:	P2W10
      OFFSETS:	50-54
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	rAH+it
        GLOSS:	begin/go+it/they/she

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P2W11
      OFFSETS:	55-58
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	ميدان
     IS_TRANS:	mydAn
        INDEX:	P2W12
      OFFSETS:	59-64
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(miydAn)
          POS:	NOUN
          VOC:	miydAn
        GLOSS:	square

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P2W13
      OFFSETS:	65-72
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+tahrir

 INPUT STRING:	والاعتصام
     IS_TRANS:	wAlAEtSAm
        INDEX:	P2W14
      OFFSETS:	73-82
       TOKENS:	P2W15-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiSAm_1]
   UNSPLITVOC:	(wiAlAiEotiSAm)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AiEotiSAm
        GLOSS:	and+the+refuge/preservation/adhering/preserving

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W15
      OFFSETS:	82-83
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W16
      OFFSETS:	84-85
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ويبين
     IS_TRANS:	wybyn
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bay~in_1]
   UNSPLITVOC:	(wiyibay~in)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+bay~in
        GLOSS:	and+he/it+declare/demonstrate

 INPUT STRING:	الفيديو
     IS_TRANS:	Alfydyw
        INDEX:	P3W2
      OFFSETS:	6-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(Alfiydyuw)
          POS:	DET+NOUN
          VOC:	Al+fiydyuw
        GLOSS:	the+video

 INPUT STRING:	والصورة
     IS_TRANS:	wAlSwrp
        INDEX:	P3W3
      OFFSETS:	14-21
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(wiAlSuwrap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+Suwr+ap
        GLOSS:	and+the+picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P3W4
      OFFSETS:	22-26
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	الفتاة
     IS_TRANS:	AlftAp
        INDEX:	P3W5
      OFFSETS:	27-33
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatAap_1]
   UNSPLITVOC:	(AlfatAap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fatA+ap
        GLOSS:	the+young girl+[fem.sg.]

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P3W6
      OFFSETS:	34-37
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyon_1]
   UNSPLITVOC:	(biyon)
          POS:	NOUN
          VOC:	biyon
        GLOSS:	between

 INPUT STRING:	المتظاهرين
     IS_TRANS:	AlmtZAhryn
        INDEX:	P3W7
      OFFSETS:	38-48
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaZAhir_1]
   UNSPLITVOC:	(AlmutaZAhiriyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mutaZAhir+iyn
        GLOSS:	the+demonstrator+[masc.pl.]

 INPUT STRING:	وهى
     IS_TRANS:	whY
        INDEX:	P3W8
      OFFSETS:	49-52
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wihiy~a)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	wi+hiy~a
        GLOSS:	while+it/they/she

 INPUT STRING:	تقدم
     IS_TRANS:	tqdm
        INDEX:	P3W9
      OFFSETS:	53-57
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(tiqad~im)
          POS:	IV3FS+IV
          VOC:	ti+qad~im
        GLOSS:	it/they/she+offer/present/introduce

 INPUT STRING:	الخل
     IS_TRANS:	Alxl
        INDEX:	P3W10
      OFFSETS:	58-62
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~_1]
   UNSPLITVOC:	(Alxal~)
          POS:	DET+NOUN
          VOC:	Al+xal~
        GLOSS:	the+vinegar

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P3W11
      OFFSETS:	63-66
       TOKENS:	P3W14-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/for+them [masc.pl.] (they have)

 INPUT STRING:	لحمايتهم
     IS_TRANS:	lHmAythm
        INDEX:	P3W12
      OFFSETS:	67-75
       TOKENS:	P3W16-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HimAyap_1]
   UNSPLITVOC:	(liHimAyathum)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	li+HimAy+at+hum
        GLOSS:	for/to+protection/protecting+[fem.sg.]+their

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W13
      OFFSETS:	76-78
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أضرار
     IS_TRANS:	>DrAr
        INDEX:	P3W14
      OFFSETS:	79-84
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darar_1]
   UNSPLITVOC:	(>aDorAr)
          POS:	NOUN
          VOC:	>aDorAr
        GLOSS:	damages/injuries/harm

 INPUT STRING:	الغاز
     IS_TRANS:	AlgAz
        INDEX:	P3W15
      OFFSETS:	85-90
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(AlgAz)
          POS:	DET+NOUN
          VOC:	Al+gAz
        GLOSS:	the+gas/gasses

 INPUT STRING:	المسيل
     IS_TRANS:	Almsyl
        INDEX:	P3W16
      OFFSETS:	91-97
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misay~il_1]
   UNSPLITVOC:	(Almisay~il)
          POS:	DET+ADJ
          VOC:	Al+misay~il
        GLOSS:	the+making flow (tear gas)

 INPUT STRING:	للدموع
     IS_TRANS:	lldmwE
        INDEX:	P3W17
      OFFSETS:	98-104
       TOKENS:	P3W23-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[damoE_1]
   UNSPLITVOC:	(lild~umuwE)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+dumuwE
        GLOSS:	to/for+the+tears

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W18
      OFFSETS:	104-105
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
