 INPUT STRING:	كانت
      OFFSETS:	21-22
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تحياتي
     IS_TRANS:	tHyAty
        INDEX:	P2W1
      OFFSETS:	1-7
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	taHiy~+At+iy
        GLOSS:	greeting/salute+[fem.pl.]+my

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P2W2
      OFFSETS:	8-11
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	اعضاء
     IS_TRANS:	AEDA'
        INDEX:	P2W3
      OFFSETS:	12-17
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EuDw_1]
   UNSPLITVOC:	(>aEoDA')
          POS:	NOUN
          VOC:	>aEoDA'
        GLOSS:	members

 INPUT STRING:	المنتدى
     IS_TRANS:	AlmntdY
        INDEX:	P2W4
      OFFSETS:	18-25
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[munotadaY_2]
   UNSPLITVOC:	(AlmunotadaY)
          POS:	DET+NOUN
          VOC:	Al+munotadaY
        GLOSS:	the+assembly room/gathering place

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W5
      OFFSETS:	26-28
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البدايه
     IS_TRANS:	AlbdAyh
        INDEX:	P2W6
      OFFSETS:	29-36
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bidAyap_1]
   UNSPLITVOC:	(AlbidAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+bidAy+ap
        GLOSS:	the+beginning/start+[fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W1
      OFFSETS:	1-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	مطش
     IS_TRANS:	mT$
        INDEX:	P3W2
      OFFSETS:	5-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTo$_1]
   UNSPLITVOC:	(maTo$)
          POS:	NOUN
          VOC:	maTo$
        GLOSS:	match, game

 INPUT STRING:	كورة
     IS_TRANS:	kwrp
        INDEX:	P3W3
      OFFSETS:	9-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawrap_1]
   UNSPLITVOC:	(kawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kawr+ap
        GLOSS:	ball+[fem.sg.]

 INPUT STRING:	مبارة
     IS_TRANS:	mbArp
        INDEX:	P3W4
      OFFSETS:	14-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArap_1]
   UNSPLITVOC:	(mubArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mubAr+ap
        GLOSS:	game, match+[fem.sg.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P3W5
      OFFSETS:	20-22
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P3W6
      OFFSETS:	23-25
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	مباره
     IS_TRANS:	mbArh
        INDEX:	P3W7
      OFFSETS:	26-31
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArap_1]
   UNSPLITVOC:	(mubArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mubAr+ap
        GLOSS:	game, match+[fem.sg.]

 INPUT STRING:	واتحول
     IS_TRANS:	wAtHwl
        INDEX:	P3W8
      OFFSETS:	32-38
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHaw~il_1]
   UNSPLITVOC:	(wiAitoHaw~il)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+AitoHaw~il+(null)
        GLOSS:	and+be changed/be transformed+he/it

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P3W9
      OFFSETS:	39-42
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	ضرب
     IS_TRANS:	Drb
        INDEX:	P3W10
      OFFSETS:	43-46
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(Darob)
          POS:	NOUN
          VOC:	Darob
        GLOSS:	beating/hitting/striking

 INPUT STRING:	وشتم
     IS_TRANS:	w$tm
        INDEX:	P3W11
      OFFSETS:	47-51
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$atom_1]
   UNSPLITVOC:	(wi$atom)
          POS:	CONJ+NOUN
          VOC:	wi+$atom
        GLOSS:	and+abuse/vilification

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P3W12
      OFFSETS:	52-58
       TOKENS:	P3W14-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+later/next

 INPUT STRING:	اتحول
     IS_TRANS:	AtHwl
        INDEX:	P3W13
      OFFSETS:	59-64
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHaw~il_1]
   UNSPLITVOC:	(AitoHaw~il)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AitoHaw~il+(null)
        GLOSS:	be changed/be transformed+he/it

 INPUT STRING:	لخصام
     IS_TRANS:	lxSAm
        INDEX:	P3W14
      OFFSETS:	65-70
       TOKENS:	P3W17-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiSAm_1]
   UNSPLITVOC:	(lixiSAm)
          POS:	PREP+NOUN
          VOC:	li+xiSAm
        GLOSS:	for/to+confrontation/dispute/lawsuit

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P3W15
      OFFSETS:	71-77
       TOKENS:	P3W19-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+later/next

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P3W16
      OFFSETS:	78-81
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	قناه
     IS_TRANS:	qnAh
        INDEX:	P3W17
      OFFSETS:	82-86
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN
          VOC:	qanAp
        GLOSS:	channel/channels

 INPUT STRING:	الجزيرة
     IS_TRANS:	Aljzyrp
        INDEX:	P3W18
      OFFSETS:	87-94
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jiziyrap_1]
   UNSPLITVOC:	(Aljiziyrap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+jiziyr+ap
        GLOSS:	the+Jazeera+[fem.sg.]

 INPUT STRING:	ومنها
     IS_TRANS:	wmnhA
        INDEX:	P3W19
      OFFSETS:	95-100
       TOKENS:	P3W24-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(waminhA)
          POS:	CONJ+PREP+PRON_3FS
          VOC:	wa+min+hA
        GLOSS:	and+from+it/them/her

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P3W20
      OFFSETS:	101-104
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	افواه
     IS_TRANS:	AfwAh
        INDEX:	P3W21
      OFFSETS:	105-110
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fuwh_1]
   UNSPLITVOC:	(>afowAh)
          POS:	NOUN
          VOC:	>afowAh
        GLOSS:	mouths

 INPUT STRING:	مواطني
     IS_TRANS:	mwATny
        INDEX:	P3W22
      OFFSETS:	111-117
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwATin_1]
   UNSPLITVOC:	(muwATiniy)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	muwATin+iy
        GLOSS:	citizen+[masc.pl.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P3W23
      OFFSETS:	118-121
       TOKENS:	P3W30-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	والجزائر
     IS_TRANS:	wAljzA}r
        INDEX:	P3W24
      OFFSETS:	122-130
       TOKENS:	P3W31-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jazA}ir_1]
   UNSPLITVOC:	(wiAljazA}ir)
          POS:	CONJ+DET+NOUN_PROP
          VOC:	wi+Al+jazA}ir
        GLOSS:	and+the+Algeria

 INPUT STRING:	ويزداد
     IS_TRANS:	wyzdAd
        INDEX:	P3W25
      OFFSETS:	132-138
       TOKENS:	P3W33-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AizodAd_1]
   UNSPLITVOC:	(wiyizodAd)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+zodAd
        GLOSS:	and+he/it+increase

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P3W26
      OFFSETS:	139-146
       TOKENS:	P3W35-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	تشويقا
     IS_TRANS:	t$wyqA
        INDEX:	P3W27
      OFFSETS:	147-153
       TOKENS:	P3W36-P3W36
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$owiyq_1]
   UNSPLITVOC:	(ta$owiyqAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	ta$owiyq+AF
        GLOSS:	excitation/suspense+[acc.indef.]

 INPUT STRING:	والسؤال
     IS_TRANS:	wAls&Al
        INDEX:	P4W1
      OFFSETS:	1-8
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(wiAlsu&Al)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+su&Al
        GLOSS:	and+the+question/inquiry

 INPUT STRING:	الاهم
     IS_TRANS:	AlAhm
        INDEX:	P4W2
      OFFSETS:	9-14
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~_1]
   UNSPLITVOC:	(Al>aham~)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aham~
        GLOSS:	the+more/most important

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P4W3
      OFFSETS:	15-19
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	يتقلب
     IS_TRANS:	ytqlb
        INDEX:	P4W4
      OFFSETS:	20-25
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoqalab_1]
   UNSPLITVOC:	(yitoqilib)
          POS:	IV3MS+IV
          VOC:	yi+toqilib
        GLOSS:	he/it+turn around/be reversed/be inverted

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P4W5
      OFFSETS:	26-29
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P4W6
      OFFSETS:	30-35
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	سياسي
     IS_TRANS:	syAsy
        INDEX:	P4W7
      OFFSETS:	36-41
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(siyAsiy)
          POS:	ADJ
          VOC:	siyAsiy
        GLOSS:	political

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P4W8
      OFFSETS:	42-45
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(bayn)
          POS:	NOUN
          VOC:	bayn
        GLOSS:	between

 INPUT STRING:	الدولتين
     IS_TRANS:	Aldwltyn
        INDEX:	P4W9
      OFFSETS:	46-54
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(Aldawolitiyn)
          POS:	DET+NOUN+NSUFF_FEM_DU
          VOC:	Al+dawol+itiyn
        GLOSS:	the+state/country+two

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W10
      OFFSETS:	55-56
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W11
      OFFSETS:	56-57
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W12
      OFFSETS:	57-58
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W13
      OFFSETS:	58-59
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ساعتها
     IS_TRANS:	sAEthA
        INDEX:	P5W1
      OFFSETS:	1-7
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	sAE+ap+hA
        GLOSS:	hour/time/hours+[fem.sg.]+its/their/her

 INPUT STRING:	تبقا
     IS_TRANS:	tbqA
        INDEX:	P5W2
      OFFSETS:	8-12
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(tibqaY)
          POS:	IV3FS+IV
          VOC:	ti+bqaY
        GLOSS:	she/it+become

 INPUT STRING:	مصيبه
     IS_TRANS:	mSybh
        INDEX:	P5W3
      OFFSETS:	13-18
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSiybap_1]
   UNSPLITVOC:	(muSiybap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muSiyb+ap
        GLOSS:	accident/misfortune+[fem.sg.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P5W4
      OFFSETS:	19-21
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	مطش
     IS_TRANS:	mT$
        INDEX:	P5W5
      OFFSETS:	22-25
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTo$_1]
   UNSPLITVOC:	(maTo$)
          POS:	NOUN
          VOC:	maTo$
        GLOSS:	game/match

 INPUT STRING:	كورة
     IS_TRANS:	kwrp
        INDEX:	P5W6
      OFFSETS:	26-30
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawrap_1]
   UNSPLITVOC:	(kawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kawr+ap
        GLOSS:	ball+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P5W7
      OFFSETS:	31-34
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	مبارة
     IS_TRANS:	mbArp
        INDEX:	P5W8
      OFFSETS:	35-40
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArap_1]
   UNSPLITVOC:	(mubArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mubAr+ap
        GLOSS:	game/match+[fem.sg.]

 INPUT STRING:	هتفرقنا
     IS_TRANS:	htfrqnA
        INDEX:	P5W9
      OFFSETS:	41-48
       TOKENS:	P5W10-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faraq_1]
   UNSPLITVOC:	(HatfariqnA)
          POS:	FUT_PART+IV3FS+IV+IVSUFF_DO:1P
          VOC:	Ha+t+fariq+nA
        GLOSS:	will+it/they/she+separate/divide+us

 INPUT STRING:	وتعمل
     IS_TRANS:	wtEml
        INDEX:	P5W10
      OFFSETS:	49-54
       TOKENS:	P5W13-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(witiEomil)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+Eomil
        GLOSS:	and+it/they/she+do/work

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P5W11
      OFFSETS:	55-58
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidap_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidap
        GLOSS:	in this way/ like this

 INPUT STRING:	امال
     IS_TRANS:	AmAl
        INDEX:	P5W12
      OFFSETS:	59-63
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	hence/then/so

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P5W13
      OFFSETS:	64-66
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
