 INPUT STRING:	دلوقت
        GLOSS:	wanting/needing

 INPUT STRING:	يوفر
     IS_TRANS:	ywfr
        INDEX:	P1W21
      OFFSETS:	95-99
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waf~ar_1]
   UNSPLITVOC:	(yiwaf~ar)
          POS:	IV3MS+IV
          VOC:	yi+waf~ar
        GLOSS:	he/it+provide/fulfill

 INPUT STRING:	فلوس
     IS_TRANS:	flws
        INDEX:	P1W22
      OFFSETS:	100-104
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(filuws)
          POS:	NOUN
          VOC:	filuws
        GLOSS:	fils (small coins)/money

 INPUT STRING:	المعونة
     IS_TRANS:	AlmEwnp
        INDEX:	P1W23
      OFFSETS:	105-112
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(AlmaEuwnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEuwn+ap
        GLOSS:	the+aid/assistance/support+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W24
      OFFSETS:	112-113
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	فهناك
     IS_TRANS:	fhnAk
        INDEX:	P1W25
      OFFSETS:	114-119
       TOKENS:	P1W27-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(fahnAk)
          POS:	RC_PART+ADV
          VOC:	fa+hnAk
        GLOSS:	so/then+there

 INPUT STRING:	طرق
     IS_TRANS:	Trq
        INDEX:	P1W26
      OFFSETS:	120-123
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(Turuq)
          POS:	NOUN
          VOC:	Turuq
        GLOSS:	method/procedure/methods/manners

 INPUT STRING:	عدة
     IS_TRANS:	Edp
        INDEX:	P1W27
      OFFSETS:	124-127
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eid~ap_1]
   UNSPLITVOC:	(Eid~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eid~+ap
        GLOSS:	promise+[fem.sg.]

 INPUT STRING:	لتوفير
     IS_TRANS:	ltwfyr
        INDEX:	P1W28
      OFFSETS:	128-134
       TOKENS:	P1W31-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyr_1]
   UNSPLITVOC:	(litawfiyr)
          POS:	PREP+NOUN
          VOC:	li+tawfiyr
        GLOSS:	for/to+provision/furnishing

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W29
      OFFSETS:	135-137
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	يسد
     IS_TRANS:	ysd
        INDEX:	P1W30
      OFFSETS:	138-141
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sad~_1]
   UNSPLITVOC:	(yisid~)
          POS:	IV3MS+IV
          VOC:	yi+sid~
        GLOSS:	he/it+defray/fulfill

 INPUT STRING:	المعونة
     IS_TRANS:	AlmEwnp
        INDEX:	P1W31
      OFFSETS:	142-149
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(AlmaEuwnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEuwn+ap
        GLOSS:	the+aid/assistance/support+[fem.sg.]

 INPUT STRING:	الأمريكية
     IS_TRANS:	Al>mrykyp
        INDEX:	P1W32
      OFFSETS:	150-159
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>amoriykiy~+ap
        GLOSS:	the+American+[fem.sg.]

 INPUT STRING:	ويفيض
     IS_TRANS:	wyfyD
        INDEX:	P1W33
      OFFSETS:	160-165
       TOKENS:	P1W37-P1W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAD_1]
   UNSPLITVOC:	(wiyfiyD)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+y+fiyD
        GLOSS:	and+he/it+overflow

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W34
      OFFSETS:	165-166
       TOKENS:	P1W39-P1W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W35
      OFFSETS:	167-170
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	سبيل
     IS_TRANS:	sbyl
        INDEX:	P1W36
      OFFSETS:	171-175
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabiyl_1]
   UNSPLITVOC:	(sabiyl)
          POS:	NOUN
          VOC:	sabiyl
        GLOSS:	way/road

 INPUT STRING:	المثال
     IS_TRANS:	AlmvAl
        INDEX:	P1W37
      OFFSETS:	176-182
       TOKENS:	P1W42-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivAl_1]
   UNSPLITVOC:	(AlmivAl)
          POS:	DET+NOUN
          VOC:	Al+mivAl
        GLOSS:	the+example/model

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P1W38
      OFFSETS:	183-185
       TOKENS:	P1W43-P1W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	الحصر
     IS_TRANS:	AlHSr
        INDEX:	P1W39
      OFFSETS:	186-191
       TOKENS:	P1W44-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSor_1]
   UNSPLITVOC:	(AlHaSor)
          POS:	DET+NOUN
          VOC:	Al+HaSor
        GLOSS:	the+encirclement/containment/bounds

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P1W40
      OFFSETS:	191-192
       TOKENS:	P1W45-P1W45
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P2W2
      OFFSETS:	1-2
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	إعادة
     IS_TRANS:	<EAdp
        INDEX:	P2W3
      OFFSETS:	3-8
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEAdap_1]
   UNSPLITVOC:	(<iEAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<iEAd+ap
        GLOSS:	return/repetition/re-(doing)+[fem.sg.]

 INPUT STRING:	النظر
     IS_TRANS:	AlnZr
        INDEX:	P2W4
      OFFSETS:	9-14
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(Aln~aZar)
          POS:	DET+NOUN
          VOC:	Al+naZar
        GLOSS:	the+view/look/seeing/eye-sight

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W5
      OFFSETS:	15-17
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W6
      OFFSETS:	18-20
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	عقود
     IS_TRANS:	Eqwd
        INDEX:	P2W7
      OFFSETS:	21-25
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqod_1]
   UNSPLITVOC:	(Euquwd)
          POS:	NOUN
          VOC:	Euquwd
        GLOSS:	contracts/agreements

 INPUT STRING:	واتفاقيات
     IS_TRANS:	wAtfAqyAt
        INDEX:	P2W8
      OFFSETS:	26-35
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ifAqiy~ap_1]
   UNSPLITVOC:	(wiAit~ifAqiy~At)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+Ait~ifAqiy~+At
        GLOSS:	and+treaties/accords+[fem.pl.]

 INPUT STRING:	تصدير
     IS_TRANS:	tSdyr
        INDEX:	P2W9
      OFFSETS:	36-41
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSodiyr_1]
   UNSPLITVOC:	(taSodiyr)
          POS:	NOUN
          VOC:	taSodiyr
        GLOSS:	export/exporting

 INPUT STRING:	البترول
     IS_TRANS:	Albtrwl
        INDEX:	P2W10
      OFFSETS:	42-49
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitorawl_1]
   UNSPLITVOC:	(Albitorawl)
          POS:	DET+NOUN
          VOC:	Al+bitorawl
        GLOSS:	the+petroleum

 INPUT STRING:	والغاز
     IS_TRANS:	wAlgAz
        INDEX:	P2W11
      OFFSETS:	50-56
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(wiAlgAz)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+gAz
        GLOSS:	and+the+gas

 INPUT STRING:	والمعادن
     IS_TRANS:	wAlmEAdn
        INDEX:	P2W12
      OFFSETS:	57-65
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEodan_1]
   UNSPLITVOC:	(wiAlmaEAdin)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+maEAdin
        GLOSS:	and+the+minerals

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P2W13
      OFFSETS:	66-70
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	وقعتها
     IS_TRANS:	wqEthA
        INDEX:	P2W14
      OFFSETS:	71-77
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waq~aE_1]
   UNSPLITVOC:	(waq~aEithA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3FS
          VOC:	waq~aE+it+hA
        GLOSS:	sign+it/they/she [verb]+it/them/her

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W15
      OFFSETS:	78-81
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W16
      OFFSETS:	81-82
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P3W1
      OFFSETS:	0-1
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P3W2
      OFFSETS:	1-2
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	إعادة
     IS_TRANS:	<EAdp
        INDEX:	P3W3
      OFFSETS:	3-8
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEAdap_1]
   UNSPLITVOC:	(<iEAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<iEAd+ap
        GLOSS:	return/repetition/re-(doing)+[fem.sg.]

 INPUT STRING:	النظر
     IS_TRANS:	AlnZr
        INDEX:	P3W4
      OFFSETS:	9-14
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(Aln~aZar)
          POS:	DET+NOUN
          VOC:	Al+naZar
        GLOSS:	the+view/look/seeing/eye-sight

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W5
      OFFSETS:	15-17
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P3W6
      OFFSETS:	18-20
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	التعاقدات
     IS_TRANS:	AltEAqdAt
        INDEX:	P3W7
      OFFSETS:	21-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAqud_1]
   UNSPLITVOC:	(Alt~aEAqudAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+taEAqud+At
        GLOSS:	the+contract/agreement+[fem.pl.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P3W8
      OFFSETS:	31-33
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	الشركات
     IS_TRANS:	Al$rkAt
        INDEX:	P3W9
      OFFSETS:	34-41
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arikap_1]
   UNSPLITVOC:	(Al$~arikAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+$arik+At
        GLOSS:	the+companies/corporations+[fem.pl.]

 INPUT STRING:	متعددة
     IS_TRANS:	mtEddp
        INDEX:	P3W10
      OFFSETS:	42-48
       TOKENS:	P3W10-P3W10
