 INPUT STRING:	الملاحظ
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	للحوار
     IS_TRANS:	llHwAr
        INDEX:	P2W2
      OFFSETS:	6-12
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(lilHiwAr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+HiwAr
        GLOSS:	for/to+the+conversation/dialogue/discussion/dialogue/discussions/talks

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN_QUANT
          VOC:	Al+kul~
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	يطرح
     IS_TRANS:	yTrH
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaraH_1]
   UNSPLITVOC:	(yiToraH)
          POS:	IV3MS+IV
          VOC:	yi+ToraH
        GLOSS:	he/it+submit/suggest/propose

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P3W3
      OFFSETS:	10-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	لعل
     IS_TRANS:	lEl
        INDEX:	P3W4
      OFFSETS:	15-18
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laEal~_1]
   UNSPLITVOC:	(laEal~)
          POS:	PSEUDO_VERB
          VOC:	laEal~
        GLOSS:	wish

 INPUT STRING:	وعسى
     IS_TRANS:	wEsY
        INDEX:	P3W5
      OFFSETS:	19-23
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EasaY_1]
   UNSPLITVOC:	(waEasaY)
          POS:	SUB_CONJ+PSEUDO_VERB
          VOC:	wa+EasaY
        GLOSS:	while+may be/perhaps

 INPUT STRING:	الحل
     IS_TRANS:	AlHl
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(AlHal~)
          POS:	DET+NOUN
          VOC:	Al+Hal~
        GLOSS:	the+solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	بسيط
     IS_TRANS:	bsyT
        INDEX:	P4W2
      OFFSETS:	5-9
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(basiyT)
          POS:	ADJ
          VOC:	basiyT
        GLOSS:	simple/plain/okay/no problem

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W3
      OFFSETS:	9-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W4
      OFFSETS:	10-11
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W5
      OFFSETS:	11-12
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W6
      OFFSETS:	12-13
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W7
      OFFSETS:	13-14
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W8
      OFFSETS:	14-15
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W2
      OFFSETS:	3-5
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	أب
     IS_TRANS:	>b
        INDEX:	P5W3
      OFFSETS:	6-8
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab~_1]
   UNSPLITVOC:	(>ab~)
          POS:	NOUN
          VOC:	>ab~
        GLOSS:	father

 INPUT STRING:	وأم
     IS_TRANS:	w>m
        INDEX:	P5W4
      OFFSETS:	9-12
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(wi>um~)
          POS:	CONJ+NOUN
          VOC:	wi+>um~
        GLOSS:	and+mother/maternal/mothers

 INPUT STRING:	طبق
     IS_TRANS:	Tbq
        INDEX:	P5W5
      OFFSETS:	13-16
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(Tab~aq)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Tab~aq+(null)
        GLOSS:	apply/implement/be applied/be implemented+he/it

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P5W6
      OFFSETS:	17-19
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	حديث
     IS_TRANS:	Hdyv
        INDEX:	P5W7
      OFFSETS:	20-24
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyv_1]
   UNSPLITVOC:	(Hadiyv)
          POS:	NOUN
          VOC:	Hadiyv
        GLOSS:	Hadith (Islamic tradition)

 INPUT STRING:	الرسول
     IS_TRANS:	Alrswl
        INDEX:	P5W8
      OFFSETS:	25-31
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(Alr~asuwl)
          POS:	DET+NOUN
          VOC:	Al+rasuwl
        GLOSS:	the+messenger (Muhammad)

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P6W1
      OFFSETS:	2-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	If, whether, when, whenever

 INPUT STRING:	جاءكم
     IS_TRANS:	jA'km
        INDEX:	P6W2
      OFFSETS:	6-11
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA'_1]
   UNSPLITVOC:	(jA'kum)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2P
          VOC:	jA'+(null)+kum
        GLOSS:	arrive/come/occur+he/it [verb]+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W3
      OFFSETS:	12-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[man_1]
   UNSPLITVOC:	(man)
          POS:	REL_PRON
          VOC:	man
        GLOSS:	who/whom

 INPUT STRING:	ترضون
     IS_TRANS:	trDwn
        INDEX:	P6W4
      OFFSETS:	15-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(trDwn)
          POS:	NO_FUNC
          VOC:	trDwn
        GLOSS:	nogloss

 INPUT STRING:	دينه
     IS_TRANS:	dynh
        INDEX:	P6W5
      OFFSETS:	21-25
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diynhu)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	diyn+hu
        GLOSS:	religion+its/his

 INPUT STRING:	وخلقه
     IS_TRANS:	wxlqh
        INDEX:	P6W6
      OFFSETS:	26-31
       TOKENS:	P6W8-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xuloq_1]
   UNSPLITVOC:	(waxuloqhu)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wa+xuloq+hu
        GLOSS:	and+character/morality+its/his

 INPUT STRING:	فزوجوه
     IS_TRANS:	fzwjwh
        INDEX:	P6W7
      OFFSETS:	32-38
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fzwjwh)
          POS:	NO_FUNC
          VOC:	fzwjwh
        GLOSS:	nogloss

 INPUT STRING:	صدق
     IS_TRANS:	Sdq
        INDEX:	P6W8
      OFFSETS:	41-44
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sadaq_1]
   UNSPLITVOC:	(Sadaqa)
          POS:	PV
          VOC:	Sadaqa
        GLOSS:	be sincere/tell the truth/be correct

 INPUT STRING:	رسول
     IS_TRANS:	rswl
        INDEX:	P6W9
      OFFSETS:	45-49
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(rasuwl)
          POS:	NOUN
          VOC:	rasuwl
        GLOSS:	messenger (Muhammad)

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P6W10
      OFFSETS:	50-54
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	بدل
     IS_TRANS:	bdl
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badal_1]
   UNSPLITVOC:	(badal)
          POS:	NOUN
          VOC:	badal
        GLOSS:	substitute/substitutes/instead of/in lieu of

 INPUT STRING:	الإجراءات
     IS_TRANS:	Al<jrA'At
        INDEX:	P7W2
      OFFSETS:	4-13
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijorA'_1]
   UNSPLITVOC:	(Al<ijorA'At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<ijorA'+At
        GLOSS:	the+measures/steps+[fem.pl.]

 INPUT STRING:	التعسفيه
     IS_TRANS:	AltEsfyh
        INDEX:	P7W3
      OFFSETS:	14-22
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEas~ufiy~_1]
   UNSPLITVOC:	(AltaEas~ufiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+taEas~ufiy~+ap
        GLOSS:	the+tyrannical/despotic/arbitrary+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P7W4
      OFFSETS:	23-27
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيعملوها
     IS_TRANS:	byEmlwhA
        INDEX:	P7W5
      OFFSETS:	28-36
       TOKENS:	P7W5-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biyiEomiluwhA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	bi+yi+Eomil+uwA+hA
        GLOSS:	[present-tense]+they+to do+they+it/them/her

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W2
      OFFSETS:	3-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيبيعوا
     IS_TRANS:	bybyEwA
        INDEX:	P8W3
      OFFSETS:	8-15
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAE_1]
   UNSPLITVOC:	(biyibiyEuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+biyE+uwA
        GLOSS:	[present-tense]+they+sell+we

 INPUT STRING:	بيعه
     IS_TRANS:	byEh
        INDEX:	P8W4
      OFFSETS:	16-20
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayEap_1]
   UNSPLITVOC:	(bayEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bayE+ap
        GLOSS:	sale/selling+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	عاوز
     IS_TRANS:	EAwz
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwiz)
          POS:	ADJ.VN
          VOC:	EAwiz
        GLOSS:	wanting/needing

 INPUT STRING:	يتجوز
     IS_TRANS:	ytjwz
        INDEX:	P9W3
      OFFSETS:	10-15
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojaw~iz_1]
   UNSPLITVOC:	(yitojaw~iz)
          POS:	IV3MS+IV
          VOC:	yi+tojaw~iz
        GLOSS:	he/it+marry

 INPUT STRING:	يدفع
     IS_TRANS:	ydfE
        INDEX:	P9W4
      OFFSETS:	16-20
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(yidofaE)
          POS:	IV3MS+IV
          VOC:	yi+dofaE
        GLOSS:	he/it+push/motivate/pay/be pushed/be motivated/be paid

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P10W2
      OFFSETS:	4-6
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W3
      OFFSETS:	7-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W4
      OFFSETS:	8-9
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W5
      OFFSETS:	9-10
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	أول
     IS_TRANS:	>wl
        INDEX:	P10W6
      OFFSETS:	11-14
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~al)
          POS:	ADJ_NUM
          VOC:	>aw~al
        GLOSS:	first

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P10W7
      OFFSETS:	15-18
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	once/one time/(several) times+[fem.sg.]

 INPUT STRING:	ألاقي
     IS_TRANS:	>lAqy
        INDEX:	P10W8
      OFFSETS:	19-24
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(AalAqiy)
          POS:	IV1S+IV
          VOC:	Aa+lAqiy
        GLOSS:	I+meet/encounter/be met/be encountered/found

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P10W9
      OFFSETS:	25-30
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	some one+[fem.sg.]

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P10W10
      OFFSETS:	31-35
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV3FS+IV
          VOC:	ti+quwl
        GLOSS:	it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	وتعترف
     IS_TRANS:	wtEtrf
        INDEX:	P10W11
      OFFSETS:	36-42
       TOKENS:	P10W11-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaraf_1]
   UNSPLITVOC:	(witiEotirif)
          POS:	PART+IV3FS+IV
          VOC:	wi+ti+Eotirif
        GLOSS:	so/and+it/they/she+confess/admit/recognize/acknowledge

 INPUT STRING:	بالأمر
     IS_TRANS:	bAl>mr
        INDEX:	P10W12
      OFFSETS:	43-49
       TOKENS:	P10W13-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(biAl>amor)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+>amor
