 INPUT STRING:	اليوم
        GLOSS:	and+said/say/be said/say/(for example)+it/they/she+to/for+I

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W6
      OFFSETS:	31-33
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	صديق
     IS_TRANS:	Sdyq
        INDEX:	P1W7
      OFFSETS:	34-38
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadiyq_1]
   UNSPLITVOC:	(Sadiyq)
          POS:	NOUN
          VOC:	Sadiyq
        GLOSS:	Friend

 INPUT STRING:	زوجها
     IS_TRANS:	zwjhA
        INDEX:	P1W8
      OFFSETS:	39-44
       TOKENS:	P1W13-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zawoj_1]
   UNSPLITVOC:	(zawojhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	zawoj+hA
        GLOSS:	spouse/husband+its/their/her

 INPUT STRING:	راح
     IS_TRANS:	rAH
        INDEX:	P1W9
      OFFSETS:	45-48
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rAH+(null)
        GLOSS:	go+he/it

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P1W10
      OFFSETS:	49-56
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	رجع
     IS_TRANS:	rjE
        INDEX:	P1W11
      OFFSETS:	57-60
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(rijiE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rijiE+(null)
        GLOSS:	come back+he/it

 INPUT STRING:	ب
     IS_TRANS:	b
        INDEX:	P1W12
      OFFSETS:	61-62
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bi)
          POS:	PREP
          VOC:	bi
        GLOSS:	with/by

 INPUT STRING:	300
     IS_TRANS:	300
        INDEX:	P1W13
      OFFSETS:	62-65
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(300)
          POS:	NOUN_NUM
          VOC:	300
        GLOSS:	300

 INPUT STRING:	جنية
     IS_TRANS:	jnyp
        INDEX:	P1W14
      OFFSETS:	66-70
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound (currency)

 INPUT STRING:	ازاى
     IS_TRANS:	AzAY
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P3W2
      OFFSETS:	5-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P3W3
      OFFSETS:	8-15
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	قالولة
     IS_TRANS:	qAlwlp
        INDEX:	P3W4
      OFFSETS:	16-22
       TOKENS:	P3W4-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA_luh)
          POS:	PV+PVSUFF_SUBJ:3P+PREP+PRON_3MS
          VOC:	qAl+uwA+li+uh
        GLOSS:	said/say/be said/say/(for example)+they+to/for+him

 INPUT STRING:	ماتمشيش
     IS_TRANS:	mAtm$y$
        INDEX:	P3W5
      OFFSETS:	23-30
       TOKENS:	P3W7-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$aY_1]
   UNSPLITVOC:	(mA_timo$iy$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+ti+mo$iy+$
        GLOSS:	not+you+make walk/adjust/be made to walk+not

 INPUT STRING:	وخليك
     IS_TRANS:	wxlyk
        INDEX:	P3W6
      OFFSETS:	31-36
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xal~A_1]
   UNSPLITVOC:	(wixal~iyk)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+xal~iyk+(null)
        GLOSS:	and+remain+you

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P3W7
      OFFSETS:	37-42
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	with+our

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P3W8
      OFFSETS:	43-46
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	NOUN_QUANT
          VOC:	kAm
        GLOSS:	some

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P3W9
      OFFSETS:	47-50
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	واعطوة
     IS_TRANS:	wAETwp
        INDEX:	P3W10
      OFFSETS:	51-57
       TOKENS:	P3W16-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AEtaY_1]
   UNSPLITVOC:	(wiAETuwh)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3MS
          VOC:	wi+AET+uwA+uh
        GLOSS:	and+give+they+it/him

 INPUT STRING:	المبلغ
     IS_TRANS:	Almblg
        INDEX:	P3W11
      OFFSETS:	58-64
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabolag_1]
   UNSPLITVOC:	(Almabolag)
          POS:	DET+NOUN
          VOC:	Al+mabolag
        GLOSS:	the+amount/sum

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P3W12
      OFFSETS:	65-67
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	رشوة
     IS_TRANS:	r$wp
        INDEX:	P3W13
      OFFSETS:	68-72
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra$owap_1]
   UNSPLITVOC:	(ra$owap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ra$ow+ap
        GLOSS:	bribe/bribes+[fem.sg.]

 INPUT STRING:	وعصير
     IS_TRANS:	wESyr
        INDEX:	P3W14
      OFFSETS:	73-78
       TOKENS:	P3W22-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSiyr_1]
   UNSPLITVOC:	(waEaSiyr)
          POS:	PREP+NOUN
          VOC:	wa+EaSiyr
        GLOSS:	with+juice/extract

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(waAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Alliy
        GLOSS:	and+which/who/whom

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	يتشبرق
     IS_TRANS:	yt$brq
        INDEX:	P4W3
      OFFSETS:	11-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait$abraq]
   UNSPLITVOC:	(yat$brq)
          POS:	IV3MS+IV
          VOC:	ya+t$brq
        GLOSS:	he/it+take risk

 INPUT STRING:	يروح
     IS_TRANS:	yrwH
        INDEX:	P4W4
      OFFSETS:	18-22
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(yiruwH)
          POS:	IV3MS+IV
          VOC:	yi+ruwH
        GLOSS:	he/it+go

 INPUT STRING:	يلاااااااااااااااااااااااااااااااااااااااااااااااا
     IS_TRANS:	ylAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
        INDEX:	P4W5
      OFFSETS:	23-73
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	INTERJ
          VOC:	yal~A
        GLOSS:	go on

 INPUT STRING:	اا
     IS_TRANS:	AA
        INDEX:	P4W6
      OFFSETS:	74-76
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AA)
          POS:	TYPO
          VOC:	AA
        GLOSS:	nogloss

 INPUT STRING:	وخبر
     IS_TRANS:	wxbr
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(wixabar)
          POS:	CONJ+NOUN
          VOC:	wi+xabar
        GLOSS:	and+news/report

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second

 INPUT STRING:	سمعتة
     IS_TRANS:	smEtp
        INDEX:	P5W3
      OFFSETS:	10-15
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(simiEtuh)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3MS
          VOC:	simiE+t+uh
        GLOSS:	hear/listen+I+it/him

 INPUT STRING:	انهاردة
     IS_TRANS:	AnhArdp
        INDEX:	P5W4
      OFFSETS:	16-23
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AnhArdp)
          POS:	NO_FUNC
          VOC:	AnhArdp
        GLOSS:	nogloss

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W5
      OFFSETS:	24-26
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	االشعب
     IS_TRANS:	AAl$Eb
        INDEX:	P5W6
      OFFSETS:	27-33
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEb_1]
   UNSPLITVOC:	(Al$aEb)
          POS:	DET+NOUN
          VOC:	Al+$aEb
        GLOSS:	the+people

 INPUT STRING:	الاسرائيلى
     IS_TRANS:	AlAsrA}ylY
        INDEX:	P5W7
      OFFSETS:	34-44
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy_1]
   UNSPLITVOC:	(Al<isorA}iyliy)
          POS:	DET+ADJ
          VOC:	Al+<isorA}iyliy
        GLOSS:	the+Israeli

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P5W8
      OFFSETS:	45-49
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	عصيان
     IS_TRANS:	ESyAn
        INDEX:	P5W9
      OFFSETS:	50-55
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiSoyAn_1]
   UNSPLITVOC:	(EiSoyAn)
          POS:	NOUN
          VOC:	EiSoyAn
        GLOSS:	mutiny/insubordination

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	يقلد
     IS_TRANS:	yqld
        INDEX:	P6W3
      OFFSETS:	10-14
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qal~id_1]
   UNSPLITVOC:	(yiqal~id)
          POS:	IV3MS+IV
          VOC:	yi+qal~id
        GLOSS:	he/it+imitate

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P6W4
      OFFSETS:	15-22
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	ىعمل
     IS_TRANS:	YEml
        INDEX:	P6W5
      OFFSETS:	23-27
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomil)
          POS:	IV3MS+IV
          VOC:	yi+Eomil
        GLOSS:	he/it+do/make

 INPUT STRING:	عصيان
     IS_TRANS:	ESyAn
        INDEX:	P6W6
      OFFSETS:	28-33
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiSoyAn_1]
   UNSPLITVOC:	(EiSoyAn)
          POS:	NOUN
          VOC:	EiSoyAn
        GLOSS:	mutiny/insubordination

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P6W7
      OFFSETS:	34-37
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	السبت
     IS_TRANS:	Alsbt
        INDEX:	P6W8
      OFFSETS:	38-43
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabot_1]
   UNSPLITVOC:	(Als~abot)
          POS:	DET+NOUN
          VOC:	Al+sabot
        GLOSS:	the+Saturday

 INPUT STRING:	ويخربهاااااااااااا
     IS_TRANS:	wyxrbhAAAAAAAAAAAA
        INDEX:	P7W1
      OFFSETS:	0-18
       TOKENS:	P7W1-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xarab_1]
   UNSPLITVOC:	(wiyixribhA)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	wi+yi+xrib+hA
        GLOSS:	and+he/it+destroy+it/them/her

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P7W2
      OFFSETS:	19-23
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more/most

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P7W3
      OFFSETS:	24-26
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	هية
     IS_TRANS:	hyp
        INDEX:	P7W4
      OFFSETS:	27-30
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	خربانة
     IS_TRANS:	xrbAnp
        INDEX:	P7W5
      OFFSETS:	31-37
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarobAn_1]
   UNSPLITVOC:	(xarobAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xarobAn+ap
        GLOSS:	destroyed+[fem.sg.]

 INPUT STRING:	والى
     IS_TRANS:	wAlY
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(wiAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Alliy
        GLOSS:	and+which/who/whom

 INPUT STRING:	يحب
     IS_TRANS:	yHb
        INDEX:	P8W2
      OFFSETS:	5-8
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(yiHib~)
          POS:	IV3MS+IV
          VOC:	yi+Hib~
        GLOSS:	he/it+like/love

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W3
      OFFSETS:	9-12
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ميخربش
     IS_TRANS:	myxrb$
        INDEX:	P8W4
      OFFSETS:	13-19
       TOKENS:	P8W5-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xarab_1]
   UNSPLITVOC:	(mAyixribi$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+y+xrib+$
        GLOSS:	not+he/it+destroy+not

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W5
      OFFSETS:	20-23
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	حسبى
     IS_TRANS:	HsbY
        INDEX:	P8W6
      OFFSETS:	24-28
       TOKENS:	P8W9-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasb_1]
   UNSPLITVOC:	(HasbiY)
          POS:	VERB+PRON_1S
          VOC:	Hasb+iY
        GLOSS:	enough+I

 INPUT STRING:	اللة
     IS_TRANS:	Allp
        INDEX:	P8W7
      OFFSETS:	29-33
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P8W8
      OFFSETS:	34-38
