 INPUT STRING:	الطرف
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ailtaham_1]
   UNSPLITVOC:	(yiltihim)
          POS:	IV3MS+IV
          VOC:	yi+ltihim
        GLOSS:	he/it+eat

 INPUT STRING:	80
     IS_TRANS:	80
        INDEX:	P2W4
      OFFSETS:	18-20
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[80]
   UNSPLITVOC:	(80)
          POS:	NOUN_NUM
          VOC:	80
        GLOSS:	80

 INPUT STRING:	فداناً
     IS_TRANS:	fdAnAF
        INDEX:	P2W5
      OFFSETS:	21-27
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fad~An_1]
   UNSPLITVOC:	(fad~AnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fad~An+AF
        GLOSS:	feddan (4.2 sq.m., Ar.Eg.Sud./ 5.7 sq.m Lev.)+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W6
      OFFSETS:	27-28
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W7
      OFFSETS:	28-29
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W8
      OFFSETS:	29-30
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W9
      OFFSETS:	30-31
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W10
      OFFSETS:	31-32
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W11
      OFFSETS:	32-33
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P2W12
      OFFSETS:	34-36
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P2W13
      OFFSETS:	37-40
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves

 INPUT STRING:	التوقيت
     IS_TRANS:	Altwqyt
        INDEX:	P2W14
      OFFSETS:	41-48
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawqiyt_1]
   UNSPLITVOC:	(Alt~awqiyt)
          POS:	DET+NOUN
          VOC:	Al+tawqiyt
        GLOSS:	the+time standard/timing

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P2W15
      OFFSETS:	49-53
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P2W16
      OFFSETS:	54-57
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	معد
     IS_TRANS:	mEd
        INDEX:	P2W17
      OFFSETS:	58-61
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEad~_1]
   UNSPLITVOC:	(muEad~)
          POS:	ADJ
          VOC:	muEad~
        GLOSS:	prepared/destined

 INPUT STRING:	لإحالة
     IS_TRANS:	l<HAlp
        INDEX:	P2W18
      OFFSETS:	62-68
       TOKENS:	P2W18-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHAlap_1]
   UNSPLITVOC:	(liAiHAlap)
          POS:	PREP+NOUN.VN+NSUFF_FEM_SG
          VOC:	li+AiHAl+ap
        GLOSS:	for/to+transfer/remittance+[fem.sg.]

 INPUT STRING:	44
     IS_TRANS:	44
        INDEX:	P2W19
      OFFSETS:	69-71
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[44]
   UNSPLITVOC:	(44)
          POS:	NOUN_NUM
          VOC:	44
        GLOSS:	44

 INPUT STRING:	ناشطا
     IS_TRANS:	nA$TA
        INDEX:	P2W20
      OFFSETS:	72-77
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nA$iT_1]
   UNSPLITVOC:	(nA$iTAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	nA$iT+AF
        GLOSS:	activist+[acc.indef.]

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P2W21
      OFFSETS:	78-82
       TOKENS:	P2W22-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	19
     IS_TRANS:	19
        INDEX:	P2W22
      OFFSETS:	83-85
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[19]
   UNSPLITVOC:	(19)
          POS:	NOUN_NUM
          VOC:	19
        GLOSS:	19

 INPUT STRING:	أمريكيا
     IS_TRANS:	>mrykyA
        INDEX:	P2W23
      OFFSETS:	86-93
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoriykiy~_1]
   UNSPLITVOC:	(>amoriykiy~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>amoriykiy~+AF
        GLOSS:	American+[acc.indef]

 INPUT STRING:	للمحاكمة
     IS_TRANS:	llmHAkmp
        INDEX:	P2W24
      OFFSETS:	94-102
       TOKENS:	P2W26-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAkomap_1]
   UNSPLITVOC:	(lilmuHAkomap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+muHAkom+ap
        GLOSS:	to/for+the+judicial proceeding/legal prosecution+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W25
      OFFSETS:	103-105
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قضية
     IS_TRANS:	qDyp
        INDEX:	P2W26
      OFFSETS:	106-110
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P2W27
      OFFSETS:	111-118
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
          VOC:	Al+tamowiyl
        GLOSS:	the+financing/funding/backing

 INPUT STRING:	الأجنبي
     IS_TRANS:	Al>jnby
        INDEX:	P2W28
      OFFSETS:	119-126
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajonabiy_1]
   UNSPLITVOC:	(Al>ajonabiy)
          POS:	DET+ADJ
          VOC:	Al+>ajonabiy
        GLOSS:	the+foriegn

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W29
      OFFSETS:	126-127
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W30
      OFFSETS:	127-128
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W31
      OFFSETS:	128-129
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ومصدر
     IS_TRANS:	wmSdr
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSodar_1]
   UNSPLITVOC:	(wimaSodar)
          POS:	CONJ+NOUN
          VOC:	wi+maSodar
        GLOSS:	and+source

 INPUT STRING:	يحاول
     IS_TRANS:	yHAwl
        INDEX:	P3W2
      OFFSETS:	6-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(yiHAwil)
          POS:	IV3MS+IV
          VOC:	yi+HAwil
        GLOSS:	he/it+try

 INPUT STRING:	تبرير
     IS_TRANS:	tbryr
        INDEX:	P3W3
      OFFSETS:	12-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taboriyr_1]
   UNSPLITVOC:	(taboriyr)
          POS:	NOUN
          VOC:	taboriyr
        GLOSS:	justification/pretext

 INPUT STRING:	الموقف
     IS_TRANS:	Almwqf
        INDEX:	P3W4
      OFFSETS:	18-24
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(Almawqif)
          POS:	DET+NOUN
          VOC:	Al+mawqif
        GLOSS:	the+position

 INPUT STRING:	بأن
     IS_TRANS:	b>n
        INDEX:	P3W5
      OFFSETS:	25-28
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(bi<in)
          POS:	PREP+SUB_CONJ
          VOC:	bi+<in
        GLOSS:	with/by+that

 INPUT STRING:	مهربو
     IS_TRANS:	mhrbw
        INDEX:	P3W6
      OFFSETS:	29-34
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muhar~ib_1]
   UNSPLITVOC:	(muhar~ibuw)
          POS:	NOUN+NSUFF_MASC_PL_NOM_POSS
          VOC:	muhar~ib+uw
        GLOSS:	smuggler/trafficker+[masc.pl.]

 INPUT STRING:	السلاح
     IS_TRANS:	AlslAH
        INDEX:	P3W7
      OFFSETS:	35-41
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(Als~ilAH)
          POS:	DET+NOUN
          VOC:	Al+silAH
        GLOSS:	the+weapon

 INPUT STRING:	والمخدرات
     IS_TRANS:	wAlmxdrAt
        INDEX:	P3W8
      OFFSETS:	42-51
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxad~ir_1]
   UNSPLITVOC:	(wiAlmuxad~arAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+muxad~ar+At
        GLOSS:	and+the+narcotics/drugs+[fem.pl.]

 INPUT STRING:	وراء
     IS_TRANS:	wrA'
        INDEX:	P3W9
      OFFSETS:	52-56
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA'_1]
   UNSPLITVOC:	(warA')
          POS:	NOUN
          VOC:	warA'
        GLOSS:	behind/past/beyond

 INPUT STRING:	الحادث
     IS_TRANS:	AlHAdv
        INDEX:	P3W10
      OFFSETS:	57-63
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdiv_1]
   UNSPLITVOC:	(AlHAdiv)
          POS:	DET+NOUN
          VOC:	Al+HAdiv
        GLOSS:	the+accident/mishap/accidents/mishaps

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W11
      OFFSETS:	63-64
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W12
      OFFSETS:	64-65
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لتحويل
     IS_TRANS:	ltHwyl
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHowiyl_1]
   UNSPLITVOC:	(litaHowiyl)
          POS:	PREP+NOUN.VN
          VOC:	li+taHowiyl
        GLOSS:	for/to+conversion/transfer

 INPUT STRING:	الأنظار
     IS_TRANS:	Al>nZAr
        INDEX:	P4W2
      OFFSETS:	7-14
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(Al>anZAr)
          POS:	DET+NOUN
          VOC:	Al+>anZAr
        GLOSS:	the+glances/looking

 INPUT STRING:	والرؤى
     IS_TRANS:	wAlr&Y
        INDEX:	P4W3
      OFFSETS:	15-21
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ru&yap_1]
   UNSPLITVOC:	(wiAlru&aY)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+ru&aY
        GLOSS:	and+the+glances/looking

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P4W4
      OFFSETS:	22-26
       TOKENS:	P4W6-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all/entire/whole+its/their/her

 INPUT STRING:	للحريق
     IS_TRANS:	llHryq
        INDEX:	P4W5
      OFFSETS:	27-33
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hariyq_1]
   UNSPLITVOC:	(lilHariyq)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Hariyq
        GLOSS:	for/to+the+fire/fires

 INPUT STRING:	الهائل
     IS_TRANS:	AlhA}l
        INDEX:	P4W6
      OFFSETS:	34-40
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlhA}il_1]
   UNSPLITVOC:	(AlhA}il)
          POS:	DET+ADJ
          VOC:	Al+hA}il
        GLOSS:	the+huge/formidable/appalling

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P4W7
      OFFSETS:	41-45
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	إلتهم
     IS_TRANS:	<lthm
        INDEX:	P4W8
      OFFSETS:	46-51
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iltaham_1]
   UNSPLITVOC:	(<iltaham)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	<iltaham+(null)
        GLOSS:	eat+he/it [verb]

 INPUT STRING:	أهم
     IS_TRANS:	>hm
        INDEX:	P4W9
      OFFSETS:	52-55
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~_1]
   UNSPLITVOC:	(>aham~)
          POS:	ADJ_COMP
          VOC:	>aham~
        GLOSS:	more/most important

 INPUT STRING:	حقول
     IS_TRANS:	Hqwl
        INDEX:	P4W10
      OFFSETS:	56-60
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haqol_1]
   UNSPLITVOC:	(Huquwl)
          POS:	NOUN
          VOC:	Huquwl
        GLOSS:	fields

 INPUT STRING:	الزيتون
     IS_TRANS:	Alzytwn
        INDEX:	P4W11
      OFFSETS:	61-68
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zayotuwn_1]
   UNSPLITVOC:	(Alzayotuwn)
          POS:	DET+NOUN
          VOC:	Al+zayotuwn
        GLOSS:	the+olives/olive tree

 INPUT STRING:	والنخيل
     IS_TRANS:	wAlnxyl
        INDEX:	P4W12
      OFFSETS:	69-76
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naxolap_1]
   UNSPLITVOC:	(wiAlnixiyl)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nixiyl
        GLOSS:	and+the+date palms

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W13
      OFFSETS:	77-79
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W14
      OFFSETS:	80-83
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P4W15
      OFFSETS:	84-87
       TOKENS:	P4W20-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+he

 INPUT STRING:	مصدر
     IS_TRANS:	mSdr
        INDEX:	P4W16
      OFFSETS:	88-92
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSodar_1]
   UNSPLITVOC:	(maSodar)
          POS:	NOUN
          VOC:	maSodar
        GLOSS:	source

 INPUT STRING:	قوى
     IS_TRANS:	qwY
        INDEX:	P4W17
      OFFSETS:	93-96
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quwaY)
          POS:	NOUN
          VOC:	quwaY
        GLOSS:	power/strength/force/violence

 INPUT STRING:	للثروة
     IS_TRANS:	llvrwp
        INDEX:	P4W18
      OFFSETS:	97-103
       TOKENS:	P4W24-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[varowap_1]
   UNSPLITVOC:	(lilv~arowap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+varow+ap
        GLOSS:	for/to+the+wealth/abundance/wealth/abundance/riches+[fem.sg.]

 INPUT STRING:	ا
     IS_TRANS:	A
        INDEX:	P4W19
      OFFSETS:	104-105
