 INPUT STRING:	ظهرت
        INDEX:	P1W27
      OFFSETS:	162-169
       TOKENS:	P1W33-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tay~Ar_1]
   UNSPLITVOC:	(wiAltay~Ar)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+tay~Ar
        GLOSS:	and+the+current/stream

 INPUT STRING:	السلفي
     IS_TRANS:	Alslfy
        INDEX:	P1W28
      OFFSETS:	170-176
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(Als~alafiy)
          POS:	DET+ADJ
          VOC:	Al+salafiy
        GLOSS:	the+Salafi/Salafist

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P1W29
      OFFSETS:	177-181
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which

 INPUT STRING:	آلت
     IS_TRANS:	|lt
        INDEX:	P1W30
      OFFSETS:	182-185
       TOKENS:	P1W37-P1W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|l_1]
   UNSPLITVOC:	(|lit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	|l+it
        GLOSS:	promise/take an oath+it/they/she [verb]

 INPUT STRING:	إليه
     IS_TRANS:	<lyh
        INDEX:	P1W31
      OFFSETS:	186-190
       TOKENS:	P1W38-P1W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<iliyh)
          POS:	PREP+PRON_3MS
          VOC:	<iliy+h
        GLOSS:	to/towards+it/him

 INPUT STRING:	رئاسة
     IS_TRANS:	r}Asp
        INDEX:	P1W32
      OFFSETS:	191-196
       TOKENS:	P1W40-P1W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(ri}Asap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ri}As+ap
        GLOSS:	presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	لجنة
     IS_TRANS:	ljnp
        INDEX:	P1W33
      OFFSETS:	197-201
       TOKENS:	P1W41-P1W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(lajonap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lajon+ap
        GLOSS:	council/committee/commission/councils/committees/commissions+[fem.sg.]

 INPUT STRING:	التعليم
     IS_TRANS:	AltElym
        INDEX:	P1W34
      OFFSETS:	202-209
       TOKENS:	P1W42-P1W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliym_1]
   UNSPLITVOC:	(Alt~aEoliym)
          POS:	DET+NOUN
          VOC:	Al+taEoliym
        GLOSS:	the+education/teaching/instructions/precepts

 INPUT STRING:	بمجلس
     IS_TRANS:	bmjls
        INDEX:	P1W35
      OFFSETS:	210-215
       TOKENS:	P1W43-P1W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(bimajolis)
          POS:	PREP+NOUN
          VOC:	bi+majolis
        GLOSS:	with/by+council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P1W36
      OFFSETS:	216-221
       TOKENS:	P1W45-P1W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W37
      OFFSETS:	222-223
       TOKENS:	P1W46-P1W46
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	حيث
     IS_TRANS:	Hyv
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hayov_1]
   UNSPLITVOC:	(Hayov)
          POS:	REL_ADV
          VOC:	Hayov
        GLOSS:	where

 INPUT STRING:	اكتفى
     IS_TRANS:	AktfY
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AikotafaY_1]
   UNSPLITVOC:	(AikotafaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AikotafaY+(null)
        GLOSS:	be satisfied with+he/it

 INPUT STRING:	الطلاب
     IS_TRANS:	AlTlAb
        INDEX:	P2W3
      OFFSETS:	10-16
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(AlT~ul~Ab)
          POS:	DET+NOUN
          VOC:	Al+Tul~Ab
        GLOSS:	the+student/students

 INPUT STRING:	بتلك
     IS_TRANS:	btlk
        INDEX:	P2W4
      OFFSETS:	17-21
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(bitiloka)
          POS:	PREP+DEM_PRON_F
          VOC:	bi+tiloka
        GLOSS:	with/by+that/those

 INPUT STRING:	المدارس
     IS_TRANS:	AlmdArs
        INDEX:	P2W5
      OFFSETS:	22-29
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(AlmadAris)
          POS:	DET+NOUN
          VOC:	Al+madAris
        GLOSS:	the+school

 INPUT STRING:	بترديد
     IS_TRANS:	btrdyd
        INDEX:	P2W6
      OFFSETS:	30-36
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarodiyd_1]
   UNSPLITVOC:	(bitarodiyd)
          POS:	PREP+NOUN
          VOC:	bi+tarodiyd
        GLOSS:	with/by+repetition/reiteration

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W7
      OFFSETS:	38-42
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	أكبر
     IS_TRANS:	>kbr
        INDEX:	P2W8
      OFFSETS:	43-47
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W9
      OFFSETS:	48-52
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	أكبر
     IS_TRANS:	>kbr
        INDEX:	P2W10
      OFFSETS:	53-57
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	ولله
     IS_TRANS:	wllh
        INDEX:	P2W11
      OFFSETS:	58-62
       TOKENS:	P2W13-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wilil~ah)
          POS:	CONJ+PREP+NOUN_PROP
          VOC:	wi+li+All~ah
        GLOSS:	and+to/for+Allah/God

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P2W12
      OFFSETS:	63-68
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P2W13
      OFFSETS:	70-73
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without/beneath/underneath/inferior/poor

 INPUT STRING:	مواصلة
     IS_TRANS:	mwASlp
        INDEX:	P2W14
      OFFSETS:	74-80
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwASolap_1]
   UNSPLITVOC:	(muwASolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muwASol+ap
        GLOSS:	continuation+[fem.sg.]

 INPUT STRING:	ترديد
     IS_TRANS:	trdyd
        INDEX:	P2W15
      OFFSETS:	81-86
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarodiyd_1]
   UNSPLITVOC:	(tarodiyd)
          POS:	NOUN
          VOC:	tarodiyd
        GLOSS:	repetition/reiteration

 INPUT STRING:	النشيد
     IS_TRANS:	Aln$yd
        INDEX:	P2W16
      OFFSETS:	87-93
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$iyd_1]
   UNSPLITVOC:	(Aln~a$iyd)
          POS:	DET+NOUN
          VOC:	Al+na$iyd
        GLOSS:	the+anthem/hymn/song

 INPUT STRING:	الوطني
     IS_TRANS:	AlwTny
        INDEX:	P2W17
      OFFSETS:	94-100
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTaniy_1]
   UNSPLITVOC:	(AlwaTaniy)
          POS:	DET+ADJ
          VOC:	Al+waTaniy
        GLOSS:	the+national

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W18
      OFFSETS:	100-101
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وكما
     IS_TRANS:	wkmA
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(wikamA)
          POS:	CONJ+PREP+REL_PRON
          VOC:	wi+ka+mA
        GLOSS:	and+like/such as+what/which

 INPUT STRING:	ذكرت
     IS_TRANS:	*krt
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*akar_1]
   UNSPLITVOC:	(*akarit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	*akar+it
        GLOSS:	remind+it/they/she

 INPUT STRING:	جريدة
     IS_TRANS:	jrydp
        INDEX:	P3W3
      OFFSETS:	10-15
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariydap_1]
   UNSPLITVOC:	(jariydap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jariyd+ap
        GLOSS:	newspaper/journal/newspapers/journals+[fem.sg.]

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P3W4
      OFFSETS:	16-23
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dusotuwr_2]
   UNSPLITVOC:	(Aldusotuwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+dusotuwr
        GLOSS:	the+Dustour

 INPUT STRING:	الصادرة
     IS_TRANS:	AlSAdrp
        INDEX:	P3W5
      OFFSETS:	24-31
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAdir_1]
   UNSPLITVOC:	(AlS~Adirap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+SAdir+ap
        GLOSS:	the+issued/published+[fem.sg.]

 INPUT STRING:	صباح
     IS_TRANS:	SbAH
        INDEX:	P3W6
      OFFSETS:	32-36
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAH)
          POS:	NOUN
          VOC:	SabAH
        GLOSS:	morning

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P3W7
      OFFSETS:	37-42
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W8
      OFFSETS:	43-45
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	لجان
     IS_TRANS:	ljAn
        INDEX:	P3W9
      OFFSETS:	46-50
       TOKENS:	P3W11-P3W11
