 INPUT STRING:	-
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	(Al$~ahor)
          POS:	DET+NOUN
          VOC:	Al+$ahor
        GLOSS:	the+month/months

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W12
      OFFSETS:	67-68
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W13
      OFFSETS:	68-69
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W14
      OFFSETS:	69-70
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W15
      OFFSETS:	70-71
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W16
      OFFSETS:	71-72
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W17
      OFFSETS:	72-73
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W18
      OFFSETS:	73-74
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W19
      OFFSETS:	74-75
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W20
      OFFSETS:	75-76
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W21
      OFFSETS:	76-77
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W22
      OFFSETS:	77-78
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W23
      OFFSETS:	78-79
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W24
      OFFSETS:	79-80
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W25
      OFFSETS:	80-81
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W26
      OFFSETS:	81-82
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W27
      OFFSETS:	82-83
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W28
      OFFSETS:	83-84
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W29
      OFFSETS:	84-85
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W30
      OFFSETS:	85-86
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W31
      OFFSETS:	86-87
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W32
      OFFSETS:	87-88
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P1W33
      OFFSETS:	89-93
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound

 INPUT STRING:	بالتبرع
     IS_TRANS:	bAltbrE
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabar~uE_1]
   UNSPLITVOC:	(biAlt~abar~uE)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+tabar~uE
        GLOSS:	with/by+the+donation/contribution

 INPUT STRING:	والتنازل
     IS_TRANS:	wAltnAzl
        INDEX:	P2W2
      OFFSETS:	8-16
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanAzul_1]
   UNSPLITVOC:	(wiAltanAzul)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+tanAzul
        GLOSS:	and+the+concession/waiver/yielding/concessions

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W3
      OFFSETS:	17-19
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	مرتباتهم
     IS_TRANS:	mrtbAthm
        INDEX:	P2W4
      OFFSETS:	20-28
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murat~ab_1]
   UNSPLITVOC:	(murat~abAthum)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3P
          VOC:	murat~ab+At+hum
        GLOSS:	salary/pay+[fem.pl.]+their

 INPUT STRING:	لمدة
     IS_TRANS:	lmdp
        INDEX:	P2W5
      OFFSETS:	29-33
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mud~ap_1]
   UNSPLITVOC:	(limud~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+mud~+ap
        GLOSS:	for/to+period of time/interval+[fem.sg.]

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P2W6
      OFFSETS:	34-37
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	فليكونوا
     IS_TRANS:	flykwnwA
        INDEX:	P2W7
      OFFSETS:	38-46
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(flykwnwA)
          POS:	NO_FUNC
          VOC:	flykwnwA
        GLOSS:	nogloss

 INPUT STRING:	قدوتنا
     IS_TRANS:	qdwtnA
        INDEX:	P2W8
      OFFSETS:	47-53
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qudowap_1]
   UNSPLITVOC:	(qudowitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	qudow+ap+nA
        GLOSS:	example/model+[fem.sg.]+our

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P2W9
      OFFSETS:	54-57
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi_2]
   UNSPLITVOC:	(wimA)
          POS:	PART+EXCLAM_PRON
          VOC:	wi+mA
        GLOSS:	[part.]+what

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P2W10
      OFFSETS:	58-61
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W11
      OFFSETS:	62-66
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P2W12
      OFFSETS:	67-72
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/ohGod/dearGod

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W13
      OFFSETS:	73-75
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	حسد
     IS_TRANS:	Hsd
        INDEX:	P2W14
      OFFSETS:	76-79
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasad_1]
   UNSPLITVOC:	(Hasad)
          POS:	NOUN
          VOC:	Hasad
        GLOSS:	envy

 INPUT STRING:	فلوسهم
     IS_TRANS:	flwshm
        INDEX:	P2W15
      OFFSETS:	80-86
       TOKENS:	P2W21-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(filuwsuhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	filuws+hum
        GLOSS:	money+their

 INPUT STRING:	رزم
     IS_TRANS:	rzm
        INDEX:	P2W16
      OFFSETS:	87-90
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruzam_1]
   UNSPLITVOC:	(ruzam)
          POS:	NOUN
          VOC:	ruzam
        GLOSS:	bundles/parcels

 INPUT STRING:	رزم
     IS_TRANS:	rzm
        INDEX:	P2W17
      OFFSETS:	91-94
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruzam_1]
   UNSPLITVOC:	(ruzam)
          POS:	NOUN
          VOC:	ruzam
        GLOSS:	bundles/parcels

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	اقولك
     IS_TRANS:	Aqwlk
        INDEX:	P3W2
      OFFSETS:	3-8
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwlak)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+quwl+ak
        GLOSS:	I+say+you

 INPUT STRING:	يتبرع
     IS_TRANS:	ytbrE
        INDEX:	P3W3
      OFFSETS:	9-14
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>itobar~aE_1]
   UNSPLITVOC:	(yitobar~aE)
          POS:	IV3MS+IV
          VOC:	yi+tobar~aE
        GLOSS:	he/it+donate

 INPUT STRING:	التليفزيون
     IS_TRANS:	Altlyfzywn
        INDEX:	P3W4
      OFFSETS:	15-25
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilofizyuwn_1]
   UNSPLITVOC:	(Altiliyfizyuwn)
          POS:	DET+NOUN
          VOC:	Al+tiliyfizyuwn
        GLOSS:	the+television

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P3W5
      OFFSETS:	26-32
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P3W6
      OFFSETS:	33-37
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	يقوم
     IS_TRANS:	yqwm
        INDEX:	P3W7
      OFFSETS:	38-42
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(yiquwm)
          POS:	IV3MS+IV
          VOC:	yi+quwm
        GLOSS:	it/he+undertake/carry out

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P3W8
      OFFSETS:	43-45
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P3W9
      OFFSETS:	46-49
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	رمضان
     IS_TRANS:	rmDAn
        INDEX:	P3W10
      OFFSETS:	50-55
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramaDAn_1]
   UNSPLITVOC:	(ramaDAn)
          POS:	NOUN_PROP
          VOC:	ramaDAn
        GLOSS:	Ramadan

 INPUT STRING:	بعمل
     IS_TRANS:	bEml
        INDEX:	P3W11
      OFFSETS:	56-60
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biEamal)
          POS:	PREP+NOUN
          VOC:	bi+Eamal
        GLOSS:	with/by+work/action

 INPUT STRING:	كم
     IS_TRANS:	km
        INDEX:	P3W12
      OFFSETS:	61-63
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kam~_1]
   UNSPLITVOC:	(kam~)
          POS:	NOUN
          VOC:	kam~
        GLOSS:	amount/quantity

 INPUT STRING:	هائل
     IS_TRANS:	hA}l
        INDEX:	P3W13
      OFFSETS:	64-68
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hA}il_1]
   UNSPLITVOC:	(hA}il)
          POS:	ADJ
          VOC:	hA}il
        GLOSS:	huge/formidable/appalling

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W14
      OFFSETS:	69-71
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المسلسلات
     IS_TRANS:	AlmslslAt
        INDEX:	P3W15
      OFFSETS:	72-81
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musalosal_1]
   UNSPLITVOC:	(AlmusalosalAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+musalosal+At
        GLOSS:	the+serial/sequence/soap+[fem.pl.]

 INPUT STRING:	بكام
     IS_TRANS:	bkAm
        INDEX:	P3W16
      OFFSETS:	82-86
       TOKENS:	P3W18-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(bikAm)
          POS:	PREP+INTERROG_PRON
          VOC:	bi+kAm
        GLOSS:	with+how much

 INPUT STRING:	مليووووووووووووون
     IS_TRANS:	mlywwwwwwwwwwwwwn
        INDEX:	P4W1
      OFFSETS:	0-17
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyuwn_1]
   UNSPLITVOC:	(miloyuwn)
          POS:	NOUN_NUM
          VOC:	miloyuwn
        GLOSS:	milion

 INPUT STRING:	اجر
     IS_TRANS:	Ajr
        INDEX:	P4W2
      OFFSETS:	18-21
       TOKENS:	P4W2-P4W2
