 INPUT STRING:	الســـــــــــلام
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	اول
     IS_TRANS:	Awl
        INDEX:	P4W3
      OFFSETS:	9-12
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il_1]
   UNSPLITVOC:	(>aw~il)
          POS:	ADJ_NUM
          VOC:	>aw~il
        GLOSS:	first

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P4W4
      OFFSETS:	13-16
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	المظاهرات
     IS_TRANS:	AlmZAhrAt
        INDEX:	P4W5
      OFFSETS:	17-26
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(AlmuZAharAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muZAhar+At
        GLOSS:	the+manifestation+[fem.pl.]

 INPUT STRING:	خلصت
     IS_TRANS:	xlSt
        INDEX:	P4W6
      OFFSETS:	27-31
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(xal~aSit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	xal~aS+it
        GLOSS:	finished+it/they/she [verb]

 INPUT STRING:	شغل
     IS_TRANS:	$gl
        INDEX:	P4W7
      OFFSETS:	32-35
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugol)
          POS:	NOUN.VN
          VOC:	$ugol
        GLOSS:	work/activity/occupation/work/labor/business

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P4W8
      OFFSETS:	36-39
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	for/to+us

 INPUT STRING:	الدوري
     IS_TRANS:	Aldwry
        INDEX:	P4W9
      OFFSETS:	40-46
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daworiy~_2]
   UNSPLITVOC:	(Aldaworiy~)
          POS:	DET+NOUN
          VOC:	Al+daworiy~
        GLOSS:	the+league (sports)

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P4W10
      OFFSETS:	47-52
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair

 INPUT STRING:	يفرغ
     IS_TRANS:	yfrg
        INDEX:	P4W11
      OFFSETS:	53-57
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[far~ag_1]
   UNSPLITVOC:	(yifar~ag)
          POS:	IV3MS+IV
          VOC:	yi+far~ag
        GLOSS:	he+empty/evacuate

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P4W12
      OFFSETS:	58-64
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W13
      OFFSETS:	65-67
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	محتواها
     IS_TRANS:	mHtwAhA
        INDEX:	P4W14
      OFFSETS:	68-75
       TOKENS:	P4W16-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaway_1]
   UNSPLITVOC:	(muHotawAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	muHotawA+hA
        GLOSS:	content+her

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P4W15
      OFFSETS:	76-77
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	وترجع
     IS_TRANS:	wtrjE
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[rajaE_1]
   UNSPLITVOC:	(witirojaE)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+rojaE
        GLOSS:	and+it/they/she+return back

 INPUT STRING:	ريما
     IS_TRANS:	rymA
        INDEX:	P5W2
      OFFSETS:	6-10
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[riymA_1]
   UNSPLITVOC:	(riymA)
          POS:	NOUN_PROP
          VOC:	riymA
        GLOSS:	RIMA

 INPUT STRING:	لعادتها
     IS_TRANS:	lEAdthA
        INDEX:	P5W3
      OFFSETS:	11-18
       TOKENS:	P5W4-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(liEAdhA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	li+EAdap+hA
        GLOSS:	for/to+habit/custom+her

 INPUT STRING:	القديمه
     IS_TRANS:	Alqdymh
        INDEX:	P5W4
      OFFSETS:	19-26
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadiym_1]
   UNSPLITVOC:	(Alqadiymap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qadiym+ap
        GLOSS:	the+old/ancient/old/ancients+[fem.sg.]

 INPUT STRING:	ونرجع
     IS_TRANS:	wnrjE
        INDEX:	P5W5
      OFFSETS:	27-32
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[rajaE_1]
   UNSPLITVOC:	(winirojaE)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+rojaE
        GLOSS:	and+we+return back

 INPUT STRING:	نتخانق
     IS_TRANS:	ntxAnq
        INDEX:	P5W6
      OFFSETS:	33-39
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoxAniq_1]
   UNSPLITVOC:	(nitoxAniq)
          POS:	IV1P+IV
          VOC:	ni+toxAniq
        GLOSS:	we+quarel

 INPUT STRING:	اهلي
     IS_TRANS:	Ahly
        INDEX:	P5W7
      OFFSETS:	40-44
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aholiy~_2]
   UNSPLITVOC:	(>aholiy~)
          POS:	NOUN_PROP
          VOC:	>aholiy~
        GLOSS:	Ahly/Ahli

 INPUT STRING:	وزمالِك
     IS_TRANS:	wzmAlik
        INDEX:	P5W8
      OFFSETS:	45-52
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizamAlik_1]
   UNSPLITVOC:	(wizamAlik)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+zamAlik
        GLOSS:	and+ZAMALIK

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W9
      OFFSETS:	52-53
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W10
      OFFSETS:	53-54
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W11
      OFFSETS:	54-55
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	والجديد
     IS_TRANS:	wAljdyd
        INDEX:	P5W12
      OFFSETS:	56-63
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[aljidiyd_1]
   UNSPLITVOC:	(wialjidiyd)
          POS:	CONJ+DET+ADJ
          VOC:	wi+al+jidiyd
        GLOSS:	and+the+new

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W13
      OFFSETS:	63-64
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W14
      OFFSETS:	64-65
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	نقتل
     IS_TRANS:	nqtl
        INDEX:	P5W15
      OFFSETS:	66-70
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(niqotil)
          POS:	IV1P+IV
          VOC:	ni+qotil
        GLOSS:	we+kill

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P5W16
      OFFSETS:	71-74
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	بدم
     IS_TRANS:	bdm
        INDEX:	P5W17
      OFFSETS:	75-78
       TOKENS:	P5W23-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(bidam~)
          POS:	PREP+NOUN
          VOC:	bi+dam~
        GLOSS:	with/by+blood

 INPUT STRING:	بارد
     IS_TRANS:	bArd
        INDEX:	P5W18
      OFFSETS:	79-83
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bArid_1]
   UNSPLITVOC:	(bArid)
          POS:	ADJ
          VOC:	bArid
        GLOSS:	cold/frigid

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W19
      OFFSETS:	84-86
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P5W20
      OFFSETS:	87-94
       TOKENS:	P5W27-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Port Said

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W21
      OFFSETS:	95-96
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W22
      OFFSETS:	96-97
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	فكروا
     IS_TRANS:	fkrwA
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fkrwA)
          POS:	NO_FUNC
          VOC:	fkrwA
        GLOSS:	nogloss

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P6W2
      OFFSETS:	6-11
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+me

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P6W3
      OFFSETS:	12-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	such as

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W4
      OFFSETS:	15-16
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W5
      OFFSETS:	16-17
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	شغلي
     IS_TRANS:	$gly
        INDEX:	P6W6
      OFFSETS:	18-22
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ag~al_1]
   UNSPLITVOC:	($ag~aliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	$ag~al+iy
        GLOSS:	employ/operate/be employed+you

 INPUT STRING:	مخك
     IS_TRANS:	mxk
        INDEX:	P6W7
      OFFSETS:	23-26
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mux~_1]
   UNSPLITVOC:	(mux~ik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	mux~+ik
        GLOSS:	brain+your

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W8
      OFFSETS:	27-30
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بفكر
     IS_TRANS:	bfkr
        INDEX:	P6W9
      OFFSETS:	31-35
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(ba>afak~ar)
          POS:	PROG_PART+IV1S+IV
          VOC:	ba+>a+fak~ar
        GLOSS:	[present-tense]+I+think/consider/ponder

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P6W10
      OFFSETS:	36-41
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	some thing with+your

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P6W11
      OFFSETS:	42-43
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
