 INPUT STRING:	مخطوفة
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musaj~al_1]
   UNSPLITVOC:	(musaj~al)
          POS:	ADJ
          VOC:	musaj~al
        GLOSS:	registered

 INPUT STRING:	خطر
     IS_TRANS:	xTr
        INDEX:	P5W2
      OFFSETS:	7-10
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTar_1]
   UNSPLITVOC:	(xaTar)
          POS:	ADJ
          VOC:	xaTar
        GLOSS:	serious/dangerous/critical

 INPUT STRING:	يخطف
     IS_TRANS:	yxTf
        INDEX:	P5W3
      OFFSETS:	11-15
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTaf_1]
   UNSPLITVOC:	(yixoTaf)
          POS:	IV3MS+IV
          VOC:	yi+xoTaf
        GLOSS:	he/it+abduct/catch/be abducted/be caught

 INPUT STRING:	سيدة
     IS_TRANS:	sydp
        INDEX:	P5W4
      OFFSETS:	16-20
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~idap_1]
   UNSPLITVOC:	(say~idap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	say~id+ap
        GLOSS:	lady+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W5
      OFFSETS:	21-23
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زوجها
     IS_TRANS:	zwjhA
        INDEX:	P5W6
      OFFSETS:	24-29
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zuwoj_1]
   UNSPLITVOC:	(zuwojhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	zuwoj+hA
        GLOSS:	spouse/husband+its/their/her

 INPUT STRING:	بالعياط
     IS_TRANS:	bAlEyAT
        INDEX:	P5W7
      OFFSETS:	30-37
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eay~AT_1]
   UNSPLITVOC:	(biAlEay~AT)
          POS:	PREP+DET+NOUN_PROP
          VOC:	bi+Al+Eay~AT
        GLOSS:	with/by+the+Ayyat city

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W8
      OFFSETS:	37-38
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اللجان
     IS_TRANS:	AlljAn
        INDEX:	P6W1
      OFFSETS:	2-8
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(AllijAn)
          POS:	DET+NOUN
          VOC:	Al+lijAn
        GLOSS:	the+councils/committees/commissions

 INPUT STRING:	الشعبية
     IS_TRANS:	Al$Ebyp
        INDEX:	P6W2
      OFFSETS:	9-16
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEobiy_1]
   UNSPLITVOC:	(Al$~aEobiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+$aEobiy~+ap
        GLOSS:	the+popular/national/people's+[fem.sg.]

 INPUT STRING:	بالسويس
     IS_TRANS:	bAlswys
        INDEX:	P6W3
      OFFSETS:	17-24
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siwiyos_1]
   UNSPLITVOC:	(biAlsiwiyos)
          POS:	PREP+DET+NOUN_PROP
          VOC:	bi+Al+siwiyos
        GLOSS:	with/by+the+Suez

 INPUT STRING:	تعيد
     IS_TRANS:	tEyd
        INDEX:	P6W4
      OFFSETS:	25-29
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAd_1]
   UNSPLITVOC:	(tiEiyd)
          POS:	IV3FS+IV
          VOC:	ti+Eiyd
        GLOSS:	it/she+return/give back

 INPUT STRING:	فتاة
     IS_TRANS:	ftAp
        INDEX:	P6W5
      OFFSETS:	30-34
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatAp_1]
   UNSPLITVOC:	(fatAp)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fatA+ap
        GLOSS:	young girl+[fem.sg.]

 INPUT STRING:	اختطفها
     IS_TRANS:	AxtTfhA
        INDEX:	P6W6
      OFFSETS:	35-42
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixotaTaf_1]
   UNSPLITVOC:	(AixotaTafhA)
          POS:	IV2MS+IV+IVSUFF_DO:3FS
          VOC:	Ai+xotaTaf+hA
        GLOSS:	he/it+kidnap+her/it

 INPUT STRING:	بلطجي
     IS_TRANS:	blTjy
        INDEX:	P6W7
      OFFSETS:	43-48
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy)
          POS:	ADJ
          VOC:	baloTajiy
        GLOSS:	gangster/ruffian

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W8
      OFFSETS:	48-49
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	إعادة
     IS_TRANS:	<EAdp
        INDEX:	P7W1
      OFFSETS:	2-7
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEAdap_1]
   UNSPLITVOC:	(<iEAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<iEAd+ap
        GLOSS:	return+[fem.sg.]

 INPUT STRING:	طالب
     IS_TRANS:	TAlb
        INDEX:	P7W2
      OFFSETS:	8-12
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(TAlib)
          POS:	NOUN
          VOC:	TAlib
        GLOSS:	student

 INPUT STRING:	اختطفته
     IS_TRANS:	AxtTfth
        INDEX:	P7W3
      OFFSETS:	13-20
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixotaTaf_1]
   UNSPLITVOC:	(AixotaTafituh)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3MS
          VOC:	AixotaTaf+it+uh
        GLOSS:	abduct/kidnap+it/they/she [verb]+it/him

 INPUT STRING:	سيدة
     IS_TRANS:	sydp
        INDEX:	P7W4
      OFFSETS:	21-25
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~idap_1]
   UNSPLITVOC:	(say~idap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	say~id+ap
        GLOSS:	lady+[fem.sg.]

 INPUT STRING:	وابنتها
     IS_TRANS:	wAbnthA
        INDEX:	P7W5
      OFFSETS:	26-33
       TOKENS:	P7W6-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(wiAibonathA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	wi+Aibon+at+hA
        GLOSS:	and+daughter+[fem.sg.]+its/their/her

 INPUT STRING:	لخلافات
     IS_TRANS:	lxlAfAt
        INDEX:	P7W6
      OFFSETS:	34-41
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAf_1]
   UNSPLITVOC:	(lixilAfAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	li+xilAf+At
        GLOSS:	for/to+dispute/controversy/conflict+[fem.pl.]

 INPUT STRING:	عاطفية
     IS_TRANS:	EATfyp
        INDEX:	P7W7
      OFFSETS:	42-48
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EATifiy_1]
   UNSPLITVOC:	(EATifiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EATifiy~+ap
        GLOSS:	emotional/affectionate+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W8
      OFFSETS:	48-49
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	القصص
     IS_TRANS:	AlqSS
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qiSaS_2]
   UNSPLITVOC:	(AlqiSaS)
          POS:	DET+NOUN
          VOC:	Al+qiSaS
        GLOSS:	the+narration/tale

 INPUT STRING:	الخمس
     IS_TRANS:	Alxms
        INDEX:	P8W2
      OFFSETS:	6-11
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xamas_1]
   UNSPLITVOC:	(Alxamas)
          POS:	DET+NOUN_NUM
          VOC:	Al+xamas
        GLOSS:	the+five

 INPUT STRING:	مختلفة
     IS_TRANS:	mxtlfp
        INDEX:	P8W3
      OFFSETS:	12-18
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxotalif_1]
   UNSPLITVOC:	(muxotalifap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muxotalif+ap
        GLOSS:	different/various+[fem.sg.]

 INPUT STRING:	التفاصيل
     IS_TRANS:	AltfASyl
        INDEX:	P8W4
      OFFSETS:	19-27
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafoSiyl_1]
   UNSPLITVOC:	(Alt~afASiyl)
          POS:	DET+NOUN
          VOC:	Al+tafASiyl
        GLOSS:	the+detailing/elaboration/giving details

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P8W5
      OFFSETS:	28-31
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	الجريمة
     IS_TRANS:	Aljrymp
        INDEX:	P8W6
      OFFSETS:	32-39
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariymap_1]
   UNSPLITVOC:	(Aljariymap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jariym+ap
        GLOSS:	the+crime/crimes+[fem.sg.]

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P8W7
      OFFSETS:	40-45
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W8
      OFFSETS:	45-46
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W9
      OFFSETS:	46-47
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

