 INPUT STRING:	بســـم
        LEMMA:	[AitEar~af_1]
   UNSPLITVOC:	(titEar~af)
          POS:	IV3FS+IV_PASS
          VOC:	ti+tEar~af
        GLOSS:	it/she+be introduced

 INPUT STRING:	عـلى
     IS_TRANS:	E_lY
        INDEX:	P3W6
      OFFSETS:	23-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شـاب
     IS_TRANS:	$_Ab
        INDEX:	P3W7
      OFFSETS:	28-32
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	($Ab~)
          POS:	NOUN
          VOC:	$Ab~
        GLOSS:	young man

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W8
      OFFSETS:	33-34
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	تكلمـه
     IS_TRANS:	tklm_h
        INDEX:	P3W9
      OFFSETS:	35-41
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(tikal~imuh)
          POS:	IV3FS+IV+IVSUFF_DO:3MS
          VOC:	ti+kal~im+uh
        GLOSS:	she/it+talk to/speak+him

 INPUT STRING:	يكلمهـا
     IS_TRANS:	yklmh_A
        INDEX:	P3W10
      OFFSETS:	42-49
       TOKENS:	P3W11-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(yikal~imhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+kal~im+hA
        GLOSS:	he/it+talk to/speak+her

 INPUT STRING:	تتآكـل
     IS_TRANS:	tt|k_l
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait|kil_1]
   UNSPLITVOC:	(tit|kil)
          POS:	IV3FS+IV
          VOC:	ti+t|kil
        GLOSS:	it/she/they+eat away at/corrode

 INPUT STRING:	الطرقـات
     IS_TRANS:	AlTrq_At
        INDEX:	P4W2
      OFFSETS:	7-15
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(AlT~uruqAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Turuq+At
        GLOSS:	the+roads/ways/means+[fem.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W3
      OFFSETS:	16-17
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	يضيع
     IS_TRANS:	yDyE
        INDEX:	P4W4
      OFFSETS:	18-22
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAE_1]
   UNSPLITVOC:	(yiDiyE)
          POS:	IV3MS+IV
          VOC:	yi+DiyE
        GLOSS:	he/it+emanate/be fragrant/disappear/vanish

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P4W5
      OFFSETS:	23-28
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time/moments/times

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W6
      OFFSETS:	29-30
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W7
      OFFSETS:	31-32
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P4W8
      OFFSETS:	33-35
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they [masc.pl]/they

 INPUT STRING:	عـلى
     IS_TRANS:	E_lY
        INDEX:	P4W9
      OFFSETS:	36-40
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P4W10
      OFFSETS:	41-44
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves/soul/souls

 INPUT STRING:	النهـج
     IS_TRANS:	Alnh_j
        INDEX:	P4W11
      OFFSETS:	45-51
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahoj_1]
   UNSPLITVOC:	(Aln~ahoj)
          POS:	DET+NOUN
          VOC:	Al+nahoj
        GLOSS:	the+way/method

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يعـلم
     IS_TRANS:	yE_lm
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Ealam_1]
   UNSPLITVOC:	(yaEolam)
          POS:	IV3MS+IV
          VOC:	ya+Eolam
        GLOSS:	he/it+know

 INPUT STRING:	مقصده
     IS_TRANS:	mqSdh
        INDEX:	P5W3
      OFFSETS:	9-14
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maqoSid_1]
   UNSPLITVOC:	(maqoSiduhu)
          POS:	NOUN+CASE_DEF_NOM+POSS_PRON_3MS
          VOC:	maqoSid+u+hu
        GLOSS:	purpose/intent+[def.nom]+its/his

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W4
      OFFSETS:	15-16
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W5
      OFFSETS:	17-18
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P5W6
      OFFSETS:	19-21
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P5W7
      OFFSETS:	22-26
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(tiEoraf)
          POS:	IV2MS+IV
          VOC:	ti+Eoraf
        GLOSS:	you+be known/know

 INPUT STRING:	غايتهـا
     IS_TRANS:	gAyth_A
        INDEX:	P5W8
      OFFSETS:	27-34
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(gAyithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	gAy+ap+hA
        GLOSS:	intention/goal+[fem.sg.]+it/she

 INPUT STRING:	دائمـا
     IS_TRANS:	dA}m_A
        INDEX:	P6W1
      OFFSETS:	0-6
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dA}im_1]
   UNSPLITVOC:	(dA}imAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	dA}im+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P6W2
      OFFSETS:	7-11
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be/was/were

 INPUT STRING:	الاعتقاد
     IS_TRANS:	AlAEtqAd
        INDEX:	P6W3
      OFFSETS:	12-20
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiqAd_1]
   UNSPLITVOC:	(AlAiEotiqAd)
          POS:	DET+NOUN
          VOC:	Al+AiEotiqAd
        GLOSS:	the+conviction/belief

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W4
      OFFSETS:	21-23
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	فساد
     IS_TRANS:	fsAd
        INDEX:	P6W5
      OFFSETS:	24-28
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(fasAd)
          POS:	NOUN
          VOC:	fasAd
        GLOSS:	corruption/deterioration/decomposition

 INPUT STRING:	الولـد
     IS_TRANS:	Alwl_d
        INDEX:	P6W6
      OFFSETS:	29-35
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(Alwalad)
          POS:	DET+NOUN
          VOC:	Al+walad
        GLOSS:	the+boy/kid

 INPUT STRING:	نتحدث
     IS_TRANS:	ntHdv
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHad~av_1]
   UNSPLITVOC:	(nitoHad~iv)
          POS:	IV1P+IV
          VOC:	ni+toHad~iv
        GLOSS:	we+speak/discuss

 INPUT STRING:	عنـه
     IS_TRANS:	En_h
        INDEX:	P7W2
      OFFSETS:	6-10
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean~_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	on/about+he/it

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P7W3
      OFFSETS:	11-12
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W4
      OFFSETS:	13-14
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	هـو
     IS_TRANS:	h_w
        INDEX:	P7W5
      OFFSETS:	15-18
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	المذنـب
     IS_TRANS:	Alm*n_b
        INDEX:	P7W6
      OFFSETS:	19-26
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Almu*nib_1]
   UNSPLITVOC:	(Almu*nib)
          POS:	DET+ADJ
          VOC:	Al+mu*nib
        GLOSS:	the+guilty

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P7W7
      OFFSETS:	27-29
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كلا
     IS_TRANS:	klA
        INDEX:	P7W8
      OFFSETS:	30-33
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kilA_1]
   UNSPLITVOC:	(kilA)
          POS:	NOUN_QUANT
          VOC:	kilA
        GLOSS:	both of

 INPUT STRING:	الشخصيـن
     IS_TRANS:	Al$xSy_n
        INDEX:	P7W9
      OFFSETS:	34-42
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$axS_1]
   UNSPLITVOC:	(Al$axSiyn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+$axS+iyn
        GLOSS:	the+person/indvidual+two

 INPUT STRING:	هـو
     IS_TRANS:	h_w
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P8W2
      OFFSETS:	4-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	يحاول
     IS_TRANS:	yHAwl
        INDEX:	P8W3
      OFFSETS:	9-14
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(yiHAwil)
          POS:	IV3MS+IV
          VOC:	yi+HAwil
        GLOSS:	he/it+try/attempt

 INPUT STRING:	المحايلة
     IS_TRANS:	AlmHAylp
        INDEX:	P8W4
      OFFSETS:	15-23
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHAyolap_1]
   UNSPLITVOC:	(AlmiHAyolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+miHAyol+ap
        GLOSS:	the+urging+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P8W5
      OFFSETS:	24-25
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W6
      OFFSETS:	26-27
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	استمـالة
     IS_TRANS:	Astm_Alp
        INDEX:	P8W7
      OFFSETS:	28-36
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimAlap_1]
   UNSPLITVOC:	(AisotimAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AisotimAl+ap
        GLOSS:	attracting+[fem.sg.]

 INPUT STRING:	عقلهـا
     IS_TRANS:	Eqlh_A
        INDEX:	P8W8
      OFFSETS:	37-43
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eaql_1]
   UNSPLITVOC:	(EaqlahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Eaql+hA
        GLOSS:	mind+her/its

 INPUT STRING:	لكـــــن
     IS_TRANS:	lk_____n
        INDEX:	P9W1
      OFFSETS:	0-8
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P9W2
      OFFSETS:	8-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W3
      OFFSETS:	9-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P9W4
      OFFSETS:	10-11
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	يـأتي
     IS_TRANS:	y_>ty
        INDEX:	P9W5
      OFFSETS:	12-17
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ataY_1]
   UNSPLITVOC:	(ya>tiy)
          POS:	IV3MS+IV
          VOC:	ya+>tiy
        GLOSS:	he/it+come/reach/arrive

 INPUT STRING:	محـور
     IS_TRANS:	mH_wr
        INDEX:	P9W6
      OFFSETS:	18-23
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
