 INPUT STRING:	اولا
          POS:	ADJ_NUM+NSUFF_FEM_SG+CASE_INDEF_ACC
          VOC:	vAniy+ap+AF
        GLOSS:	second+[fem.sg.]+[acc.indef.]

 INPUT STRING:	لزم
     IS_TRANS:	lzm
        INDEX:	P2W2
      OFFSETS:	6-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lazim)
          POS:	ADJ
          VOC:	lazim
        GLOSS:	necessary/required

 INPUT STRING:	نفكر
     IS_TRANS:	nfkr
        INDEX:	P2W3
      OFFSETS:	10-14
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(nifak~ar)
          POS:	IV1P+IV
          VOC:	ni+fak~ar
        GLOSS:	we+think/consider/ponder

 INPUT STRING:	دلوققتى
     IS_TRANS:	dlwqqtY
        INDEX:	P2W4
      OFFSETS:	15-22
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dilwaqtiy_1]
   UNSPLITVOC:	(dilwaqtiy)
          POS:	ADV
          VOC:	dilwaqtiy
        GLOSS:	now

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P2W5
      OFFSETS:	23-26
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(bijid~)
          POS:	PREP+NOUN
          VOC:	bi+jid~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P2W6
      OFFSETS:	27-30
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P2W7
      OFFSETS:	31-34
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	مصلحتو
     IS_TRANS:	mSlHtw
        INDEX:	P2W8
      OFFSETS:	35-41
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHtuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	maSolaH+ap+uh
        GLOSS:	interest/advantage/favor+[fem.sg.]+his/its

 INPUT STRING:	البلاد
     IS_TRANS:	AlblAd
        INDEX:	P2W9
      OFFSETS:	42-48
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(AlbilAd)
          POS:	DET+NOUN
          VOC:	Al+bilAd
        GLOSS:	the+country/country/countries

 INPUT STRING:	تولع
     IS_TRANS:	twlE
        INDEX:	P2W10
      OFFSETS:	49-53
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~aE_1]
   UNSPLITVOC:	(tiwal~aE)
          POS:	IV3FS+IV
          VOC:	ti+wal~aE
        GLOSS:	it/they/she+kindle/light/set fire to

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ملاحظين
     IS_TRANS:	mlAHZyn
        INDEX:	P3W2
      OFFSETS:	4-11
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[milAHiZ_1]
   UNSPLITVOC:	(milAHoZiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	milAHoZ+iyn
        GLOSS:	observing/remarking+[pl.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W3
      OFFSETS:	12-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P3W4
      OFFSETS:	15-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P3W5
      OFFSETS:	18-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/every/entire

 INPUT STRING:	اعتصام
     IS_TRANS:	AEtSAm
        INDEX:	P3W6
      OFFSETS:	21-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiSAm_1]
   UNSPLITVOC:	(AiEotiSAm)
          POS:	NOUN
          VOC:	AiEotiSAm
        GLOSS:	refuge/preservation

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P3W7
      OFFSETS:	28-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	الجي
     IS_TRANS:	Aljy
        INDEX:	P3W8
      OFFSETS:	31-35
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jiy_1]
   UNSPLITVOC:	(Aljiy)
          POS:	DET+ABBREV
          VOC:	Al+jiy
        GLOSS:	the+ji

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W1
      OFFSETS:	0-1
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ش
     IS_TRANS:	$
        INDEX:	P4W2
      OFFSETS:	3-4
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($)
          POS:	TYPO
          VOC:	$
        GLOSS:	nogloss

 INPUT STRING:	تظهر
     IS_TRANS:	tZhr
        INDEX:	P4W3
      OFFSETS:	5-9
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(tiZohar)
          POS:	IV3FS+IV
          VOC:	ti+Zohar
        GLOSS:	it/they/she+appear/emerge

 INPUT STRING:	الاصابع
     IS_TRANS:	AlASAbE
        INDEX:	P4W4
      OFFSETS:	10-17
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AiSbiE_1]
   UNSPLITVOC:	(AlAaSAbiE)
          POS:	DET+NOUN
          VOC:	Al+AaSAbiE
        GLOSS:	the+fingers

 INPUT STRING:	الخفية
     IS_TRANS:	Alxfyp
        INDEX:	P4W5
      OFFSETS:	18-24
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xifoyap_1]
   UNSPLITVOC:	(Alxifoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xifoy+ap
        GLOSS:	the+secret/hidden/invesible+[fem.sg.]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P4W6
      OFFSETS:	25-28
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بتموت
     IS_TRANS:	btmwt
        INDEX:	P4W7
      OFFSETS:	29-34
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(bitimuwt)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+muwt
        GLOSS:	[present-tense]+it/they/she+die/pass away

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W8
      OFFSETS:	35-37
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بلادنا
     IS_TRANS:	blAdnA
        INDEX:	P4W9
      OFFSETS:	38-44
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bilAd_1]
   UNSPLITVOC:	(bilAdnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bilAd+nA
        GLOSS:	country/countries+our

 INPUT STRING:	وشبابنا
     IS_TRANS:	w$bAbnA
        INDEX:	P4W10
      OFFSETS:	45-52
       TOKENS:	P4W12-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abAb_1]
   UNSPLITVOC:	(wi$abAbnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+$abAb+nA
        GLOSS:	and+Jeunesse/young men+our

 INPUT STRING:	المشه
     IS_TRANS:	Alm$h
        INDEX:	P4W11
      OFFSETS:	53-58
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Alm$h)
          POS:	TYPO
          VOC:	Alm$h
        GLOSS:	nogloss

 INPUT STRING:	د
     IS_TRANS:	d
        INDEX:	P4W12
      OFFSETS:	84-85
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P4W13
      OFFSETS:	86-89
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P4W14
      OFFSETS:	90-93
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	occur/happen/take place+he/it

 INPUT STRING:	النهاردة
     IS_TRANS:	AlnhArdp
        INDEX:	P4W15
      OFFSETS:	94-102
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodah_1]
   UNSPLITVOC:	(Aln~ahArodah)
          POS:	DET+NOUN
          VOC:	Al+nahArodah
        GLOSS:	the+today

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W16
      OFFSETS:	103-105
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	متش
     IS_TRANS:	mt$
        INDEX:	P4W17
      OFFSETS:	106-109
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mt$)
          POS:	FOREIGN
          VOC:	mt$
        GLOSS:	nogloss

 INPUT STRING:	كورة
     IS_TRANS:	kwrp
        INDEX:	P4W18
      OFFSETS:	110-114
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawrap_1]
   UNSPLITVOC:	(kawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kawr+ap
        GLOSS:	foot-ball+[fem.sg.]

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P5W2
      OFFSETS:	4-7
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumor)
          POS:	NOUN
          VOC:	Eumor
        GLOSS:	age/life/ages/age groups

 INPUT STRING:	الاهلى
     IS_TRANS:	AlAhlY
        INDEX:	P5W3
      OFFSETS:	8-14
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaholiy_1]
   UNSPLITVOC:	(AlAholiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Aholiy
        GLOSS:	the+Ahli

 INPUT STRING:	والزمالك
     IS_TRANS:	wAlzmAlk
        INDEX:	P5W4
      OFFSETS:	15-23
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAlik_1]
   UNSPLITVOC:	(wiAlzamAlik)
          POS:	CONJ+DET+NOUN_PROP
          VOC:	wi+Al+zamAlik
        GLOSS:	and+the+Zamalik

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P5W5
      OFFSETS:	24-27
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all/entire/every

 INPUT STRING:	الانديا
     IS_TRANS:	AlAndyA
        INDEX:	P5W6
      OFFSETS:	28-35
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(AlAndiyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Andiy+ap
        GLOSS:	the+clubs/associations+[fem.sg.]

 INPUT STRING:	بتلعب
     IS_TRANS:	btlEb
        INDEX:	P5W7
      OFFSETS:	36-41
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(bitiloEab)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+loEab
        GLOSS:	[present-tense]+it/they/she+play

 INPUT STRING:	بى
     IS_TRANS:	bY
        INDEX:	P5W8
      OFFSETS:	42-44
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bi)
          POS:	PREP
          VOC:	bi
        GLOSS:	with/by

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P5W9
      OFFSETS:	45-52
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bwrsEyd)
          POS:	NO_FUNC
          VOC:	bwrsEyd
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W10
      OFFSETS:	53-55
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيح
     IS_TRANS:	byH
        INDEX:	P5W11
      OFFSETS:	56-59
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(byH)
          POS:	TYPO
          VOC:	byH
        GLOSS:	nogloss

 INPUT STRING:	صلهم
     IS_TRANS:	Slhm
        INDEX:	P5W12
      OFFSETS:	84-88
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Slhm)
          POS:	TYPO
          VOC:	Slhm
        GLOSS:	nogloss

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P5W13
      OFFSETS:	89-93
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	السيناريو
     IS_TRANS:	AlsynAryw
        INDEX:	P6W1
      OFFSETS:	0-9
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynAriyuw_1]
   UNSPLITVOC:	(Als~iynAriyuw)
          POS:	DET+NOUN
          VOC:	Al+siynAriyuw
        GLOSS:	the+scenario

 INPUT STRING:	كا
     IS_TRANS:	kA
        INDEX:	P6W2
      OFFSETS:	10-12
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(kA)
          POS:	TYPO
          VOC:	kA
        GLOSS:	nogloss

 INPUT STRING:	الاتى
     IS_TRANS:	AlAtY
        INDEX:	P6W3
      OFFSETS:	13-18
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|atiy_1]
   UNSPLITVOC:	(Al|atiy)
          POS:	DET+ADJ
          VOC:	Al+|atiy
        GLOSS:	the+coming/following

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P7W1
      OFFSETS:	0-6
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	فائةكبيرة
     IS_TRANS:	fA}pkbyrp
        INDEX:	P7W2
      OFFSETS:	7-16
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fA}pkbyrp)
          POS:	NO_FUNC
          VOC:	fA}pkbyrp
        GLOSS:	nogloss

 INPUT STRING:	بدات
     IS_TRANS:	bdAt
        INDEX:	P7W3
      OFFSETS:	17-21
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bidA_1]
   UNSPLITVOC:	(bidAit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	bidA+it
        GLOSS:	start/begin+it/they/she

 INPUT STRING:	تفهم
     IS_TRANS:	tfhm
        INDEX:	P7W4
      OFFSETS:	22-26
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(tifoham)
          POS:	IV3FS+IV
          VOC:	ti+foham
        GLOSS:	it/they/she+understand

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W5
      OFFSETS:	27-29
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P7W6
      OFFSETS:	30-35
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P7W7
      OFFSETS:	36-39
       TOKENS:	P7W7-P7W7
