 INPUT STRING:	متى
        INDEX:	P2W6
      OFFSETS:	23-26
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Asw)
          POS:	TYPO
          VOC:	Asw
        GLOSS:	nogloss

 INPUT STRING:	د
     IS_TRANS:	d
        INDEX:	P2W7
      OFFSETS:	27-28
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(d)
          POS:	TYPO
          VOC:	d
        GLOSS:	nogloss

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P3W2
      OFFSETS:	5-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	المواقف
     IS_TRANS:	AlmwAqf
        INDEX:	P3W3
      OFFSETS:	9-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(AlmawAqif)
          POS:	DET+NOUN
          VOC:	Al+mawAqif
        GLOSS:	the+positions/situations

 INPUT STRING:	تضعنا
     IS_TRANS:	tDEnA
        INDEX:	P3W4
      OFFSETS:	17-22
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waDaE_1]
   UNSPLITVOC:	(taDaEnA)
          POS:	IV2MS+IV+IVSUFF_DO:1P
          VOC:	ta+DaE+nA
        GLOSS:	you [masc.sg.]+put/place+us

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W5
      OFFSETS:	23-25
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	موقف
     IS_TRANS:	mwqf
        INDEX:	P3W6
      OFFSETS:	26-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(mawqif)
          POS:	NOUN
          VOC:	mawqif
        GLOSS:	position/situation

 INPUT STRING:	محرج
     IS_TRANS:	mHrj
        INDEX:	P3W7
      OFFSETS:	31-35
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHorij_1]
   UNSPLITVOC:	(muHorij)
          POS:	ADJ
          VOC:	muHorij
        GLOSS:	embarrassing

 INPUT STRING:	وصعب
     IS_TRANS:	wSEb
        INDEX:	P3W8
      OFFSETS:	36-40
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEob_1]
   UNSPLITVOC:	(wiSaEob)
          POS:	CONJ+ADJ
          VOC:	wi+SaEob
        GLOSS:	and+difficult/hard/arduous

 INPUT STRING:	فنضطر
     IS_TRANS:	fnDTr
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiDoTar~_1]
   UNSPLITVOC:	(faniDoTar~)
          POS:	CONJ+IV1P+IV
          VOC:	fa+ni+DoTar~
        GLOSS:	so/and+we+compel/force/oblige

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P4W2
      OFFSETS:	6-10
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her/it/them

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P4W3
      OFFSETS:	11-14
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaY)
          POS:	PREP
          VOC:	<ilaY
        GLOSS:	to/towards

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P4W4
      OFFSETS:	15-20
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	لنداري
     IS_TRANS:	lndAry
        INDEX:	P4W5
      OFFSETS:	21-27
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lndAry)
          POS:	NO_FUNC
          VOC:	lndAry
        GLOSS:	nogloss

 INPUT STRING:	الموقف
     IS_TRANS:	Almwqf
        INDEX:	P4W6
      OFFSETS:	28-34
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(Almawqif)
          POS:	DET+NOUN
          VOC:	Al+mawqif
        GLOSS:	the+position/situation

 INPUT STRING:	ويكون
     IS_TRANS:	wykwn
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wiyikuwn)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+kuwn
        GLOSS:	and+he/it+be

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P5W2
      OFFSETS:	6-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P5W3
      OFFSETS:	12-15
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	افضل
     IS_TRANS:	AfDl
        INDEX:	P5W4
      OFFSETS:	16-20
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better/best

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W5
      OFFSETS:	21-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الصدق
     IS_TRANS:	AlSdq
        INDEX:	P5W6
      OFFSETS:	24-29
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sidoq_1]
   UNSPLITVOC:	(AlS~idoq)
          POS:	DET+NOUN
          VOC:	Al+Sidoq
        GLOSS:	the+sincerity/candor

 INPUT STRING:	والصراحة
     IS_TRANS:	wAlSrAHp
        INDEX:	P5W7
      OFFSETS:	30-38
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(wiAlSarAHap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+SarAH+ap
        GLOSS:	and+the+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	احيانا
     IS_TRANS:	AHyAnA
        INDEX:	P5W8
      OFFSETS:	39-45
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(>aHoyAnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aHoyAn+AF
        GLOSS:	sometimes/occasionally+[acc.indef.]

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P5W9
      OFFSETS:	46-50
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	يوجد
     IS_TRANS:	ywjd
        INDEX:	P6W2
      OFFSETS:	3-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(yuwjad)
          POS:	IV3MS+IV
          VOC:	yu+wjad
        GLOSS:	he/it+be found/exist

 INPUT STRING:	تبرير
     IS_TRANS:	tbryr
        INDEX:	P6W3
      OFFSETS:	8-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taboriyr_1]
   UNSPLITVOC:	(taboriyr)
          POS:	NOUN
          VOC:	taboriyr
        GLOSS:	in justification/as a pretext

 INPUT STRING:	للكذب
     IS_TRANS:	llk*b
        INDEX:	P6W4
      OFFSETS:	14-19
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(lilki*ob)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+ki*ob
        GLOSS:	for/to+the+lying/falsehood

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W5
      OFFSETS:	19-20
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[layosa_2]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P7W2
      OFFSETS:	4-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P7W3
      OFFSETS:	7-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P7W4
      OFFSETS:	13-16
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(kamA)
          POS:	PREP+REL_PRON
          VOC:	ka+mA
        GLOSS:	like/such as+what/which

 INPUT STRING:	قلتى
     IS_TRANS:	qltY
        INDEX:	P7W5
      OFFSETS:	17-21
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qultiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	qul+tiy
        GLOSS:	say+you [fem.sg.]

 INPUT STRING:	وبالنسبة
     IS_TRANS:	wbAlnsbp
        INDEX:	P7W6
      OFFSETS:	22-30
       TOKENS:	P7W7-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(wibiAlnisobap)
          POS:	CONJ+PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+bi+Al+nisob+ap
        GLOSS:	and+with/by+the+link/relation+[fem.sg.]

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P7W7
      OFFSETS:	31-33
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+me

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P7W8
      OFFSETS:	34-36
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	احبه
     IS_TRANS:	AHbh
        INDEX:	P7W9
      OFFSETS:	37-41
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(AaHib~uh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+Hib~+uh
        GLOSS:	I+love/like+him/it

 INPUT STRING:	مطلقا
     IS_TRANS:	mTlqA
        INDEX:	P7W10
      OFFSETS:	42-47
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muTolaq_1]
   UNSPLITVOC:	(muTolaqAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	muTolaq+AF
        GLOSS:	absolute/unlimited/absolutely+[acc.indef.]

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P8W2
      OFFSETS:	3-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	منجي
     IS_TRANS:	mnjy
        INDEX:	P8W3
      OFFSETS:	9-13
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minaj~iy_1]
   UNSPLITVOC:	(minaj~iy)
          POS:	ADJ
          VOC:	minaj~iy
        GLOSS:	rescuer/deliverer

 INPUT STRING:	احيانا
     IS_TRANS:	AHyAnA
        INDEX:	P8W4
      OFFSETS:	14-20
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(>aHoyAnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aHoyAn+AF
        GLOSS:	sometimes/occasionally+[acc.indef.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W5
      OFFSETS:	20-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	احيانا
     IS_TRANS:	AHyAnA
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(>aHoyAnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aHoyAn+AF
        GLOSS:	sometimes/occasionally+[acc.indef.]

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P9W2
      OFFSETS:	7-10
       TOKENS:	P9W2-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	to/for+that

 INPUT STRING:	كثيرا
     IS_TRANS:	kvyrA
        INDEX:	P9W3
      OFFSETS:	11-16
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(kaviyrAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	kaviyr+AF
        GLOSS:	much/a lot/very+[acc.indef.]

 INPUT STRING:	الصدق
     IS_TRANS:	AlSdq
        INDEX:	P9W4
      OFFSETS:	17-22
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sidoq_1]
   UNSPLITVOC:	(AlS~idoq)
          POS:	DET+NOUN
          VOC:	Al+Sidoq
        GLOSS:	the+sincerity/candor

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P9W5
      OFFSETS:	23-25
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	يزعل
     IS_TRANS:	yzEl
        INDEX:	P9W6
      OFFSETS:	26-30
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaE~al_1]
   UNSPLITVOC:	(yizaE~al)
          POS:	IV3MS+IV
          VOC:	yi+zaE~al
        GLOSS:	he/it+annoy/make angry

 INPUT STRING:	منى
     IS_TRANS:	mnY
        INDEX:	P9W7
      OFFSETS:	31-34
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+me

 INPUT STRING:	الاخرين
     IS_TRANS:	AlAxryn
        INDEX:	P9W8
      OFFSETS:	35-42
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(Al|xariyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+|xar+iyn
        GLOSS:	the+other/another+[masc.pl.]

 INPUT STRING:	لانى
     IS_TRANS:	lAnY
        INDEX:	P9W9
      OFFSETS:	43-47
       TOKENS:	P9W11-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(la<in~iy)
          POS:	PREP+SUB_CONJ+PRON_1S
          VOC:	li+<in~+iy
        GLOSS:	for/to+that+I

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P9W10
      OFFSETS:	48-50
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	انافقهم
     IS_TRANS:	AnAfqhm
        INDEX:	P9W11
      OFFSETS:	51-58
       TOKENS:	P9W15-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAfiq_1]
   UNSPLITVOC:	(>anAfiqhum)
          POS:	IV1S+IV+IVSUFF_DO:3P
          VOC:	>a+nAfiq+hum
        GLOSS:	I+dissimulate/act hypocritically+them

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P9W12
      OFFSETS:	59-62
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as

 INPUT STRING:	غيرى
     IS_TRANS:	gyrY
        INDEX:	P9W13
      OFFSETS:	63-67
       TOKENS:	P9W18-P9W19
