 INPUT STRING:	لما
        GLOSS:	he/it+console/offer condolences

 INPUT STRING:	النادي
     IS_TRANS:	AlnAdy
        INDEX:	P1W14
      OFFSETS:	54-60
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(Aln~Adiy)
          POS:	DET+NOUN
          VOC:	Al+nAdiy
        GLOSS:	the+club/association

 INPUT STRING:	الأهلي
     IS_TRANS:	Al>hly
        INDEX:	P1W15
      OFFSETS:	61-67
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aholiy_1]
   UNSPLITVOC:	(Al>aholiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+>aholiy
        GLOSS:	the+Ahly

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W16
      OFFSETS:	68-70
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ضحاياه
     IS_TRANS:	DHAyAh
        INDEX:	P1W17
      OFFSETS:	71-77
       TOKENS:	P1W18-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(DaHAyAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	DaHAyA+uh
        GLOSS:	victims+its/his

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W18
      OFFSETS:	78-79
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وتلاقي
     IS_TRANS:	wtlAqy
        INDEX:	P1W19
      OFFSETS:	80-86
       TOKENS:	P1W21-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(witilAqiy)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+ti+lAqiy
        GLOSS:	and+you+see/find

 INPUT STRING:	الاعلام
     IS_TRANS:	AlAElAm
        INDEX:	P1W20
      OFFSETS:	87-94
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(Al<iEolAm)
          POS:	DET+NOUN
          VOC:	Al+<iEolAm
        GLOSS:	the+information/media

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P1W21
      OFFSETS:	95-98
       TOKENS:	P1W24-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all, entire, every, whole+its/his

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P1W22
      OFFSETS:	99-103
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	making as if

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P1W23
      OFFSETS:	104-108
       TOKENS:	P1W27-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves+his/its

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W24
      OFFSETS:	109-111
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الهند
     IS_TRANS:	Alhnd
        INDEX:	P1W25
      OFFSETS:	112-117
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinod_1]
   UNSPLITVOC:	(Alhinod)
          POS:	DET+NOUN_PROP
          VOC:	Al+hinod
        GLOSS:	the+India

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P1W26
      OFFSETS:	118-121
       TOKENS:	P1W31-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	كأن
     IS_TRANS:	k>n
        INDEX:	P1W27
      OFFSETS:	122-125
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka>an_1]
   UNSPLITVOC:	(ka>an)
          POS:	PSEUDO_VERB
          VOC:	ka>an
        GLOSS:	as if, as though, like

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P1W28
      OFFSETS:	126-130
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing+[fem.sg.]

 INPUT STRING:	حصلت
     IS_TRANS:	HSlt
        INDEX:	P1W29
      OFFSETS:	131-135
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	HaSal+it
        GLOSS:	occur/happen/take place+it/they/she

 INPUT STRING:	ولما
     IS_TRANS:	wlmA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(walam~A)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+lam~A
        GLOSS:	and+as, when

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(tiEoraf)
          POS:	IV2MS+IV
          VOC:	ti+Eoraf
        GLOSS:	you+know/be known

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P2W3
      OFFSETS:	10-12
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P2W4
      OFFSETS:	13-18
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAfy$)
          POS:	NO_FUNC
          VOC:	mAfy$
        GLOSS:	nogloss

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P2W5
      OFFSETS:	19-21
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	some one

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W6
      OFFSETS:	22-24
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P2W7
      OFFSETS:	25-32
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	وفر
     IS_TRANS:	wfr
        INDEX:	P2W8
      OFFSETS:	33-36
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waf~ar_1]
   UNSPLITVOC:	(waf~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	waf~ar+(null)
        GLOSS:	provide/fulfill+he/it [verb]

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P2W9
      OFFSETS:	37-40
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	for+them

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P2W10
      OFFSETS:	41-45
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	يقعدو
     IS_TRANS:	yqEdw
        INDEX:	P2W11
      OFFSETS:	46-51
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(yuqoEuduwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+qoEud+uwA
        GLOSS:	they+sit down/be seated/remain+[masc.pl.]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P2W12
      OFFSETS:	52-55
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it

 INPUT STRING:	ويقضو
     IS_TRANS:	wyqDw
        INDEX:	P2W13
      OFFSETS:	56-61
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wyqDw)
          POS:	NO_FUNC
          VOC:	wyqDw
        GLOSS:	nogloss

 INPUT STRING:	ليلتهم
     IS_TRANS:	lylthm
        INDEX:	P2W14
      OFFSETS:	62-68
       TOKENS:	P2W17-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyolap_1]
   UNSPLITVOC:	(liyolithum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	liyol+ap+hum
        GLOSS:	night/evening/soire+[fem.sg.]+their

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P2W15
      OFFSETS:	69-72
       TOKENS:	P2W19-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wahuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wa+huw~a
        GLOSS:	and+it/he

 INPUT STRING:	وفد
     IS_TRANS:	wfd
        INDEX:	P2W16
      OFFSETS:	73-76
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wafod_1]
   UNSPLITVOC:	(wafod)
          POS:	NOUN
          VOC:	wafod
        GLOSS:	delegation

 INPUT STRING:	رسمي
     IS_TRANS:	rsmy
        INDEX:	P2W17
      OFFSETS:	77-81
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasomiy_1]
   UNSPLITVOC:	(rasomiy)
          POS:	ADJ
          VOC:	rasomiy
        GLOSS:	official

 INPUT STRING:	جاي
     IS_TRANS:	jAy
        INDEX:	P2W18
      OFFSETS:	82-85
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(jAy~)
          POS:	ADJ.VN
          VOC:	jAy~
        GLOSS:	coming

 INPUT STRING:	يعزي
     IS_TRANS:	yEzy
        INDEX:	P2W19
      OFFSETS:	86-90
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaz~ay_1]
   UNSPLITVOC:	(yiEaz~iy)
          POS:	IV3MS+IV
          VOC:	yi+Eaz~iy
        GLOSS:	he/it+console/offer condolences

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W20
      OFFSETS:	90-91
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W21
      OFFSETS:	91-92
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W22
      OFFSETS:	92-93
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W23
      OFFSETS:	94-96
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ويتطلب
     IS_TRANS:	wytTlb
        INDEX:	P2W24
      OFFSETS:	97-103
       TOKENS:	P2W29-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taTal~ab_1]
   UNSPLITVOC:	(wayataTal~ab)
          POS:	CONJ+IV3MS+IV
          VOC:	wa+ya+taTal~ab
        GLOSS:	and+he/it/she+require

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P2W25
      OFFSETS:	104-108
       TOKENS:	P2W31-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	فلوس
     IS_TRANS:	flws
        INDEX:	P2W26
      OFFSETS:	109-113
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(filuws)
          POS:	NOUN
          VOC:	filuws
        GLOSS:	fils (small coins)/money

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P2W27
      OFFSETS:	114-118
       TOKENS:	P2W34-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	for+that

 INPUT STRING:	يشوفو
     IS_TRANS:	y$wfw
        INDEX:	P2W28
      OFFSETS:	119-124
       TOKENS:	P2W36-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(yi$uwfuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+$uwf+uwA
        GLOSS:	they+look+[masc.pl.]

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P2W29
      OFFSETS:	125-129
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	يبيتو
     IS_TRANS:	ybytw
        INDEX:	P2W30
      OFFSETS:	130-135
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAt_1]
   UNSPLITVOC:	(yibay~atuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+bay~at+uwA
        GLOSS:	they+sleep overnight+[masc.pl.]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P2W31
      OFFSETS:	136-139
       TOKENS:	P2W39-P2W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yaboqaY)
          POS:	IV3MS+IV
          VOC:	ya+boqaY
        GLOSS:	he+become

 INPUT STRING:	اعرف
     IS_TRANS:	AErf
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P3W3
      OFFSETS:	10-13
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ak)
          POS:	SUB_CONJ+PRON_2MS
          VOC:	<in~+ak
        GLOSS:	that+you [masc.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W4
      OFFSETS:	14-16
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P3W5
      OFFSETS:	17-20
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P4W2
      OFFSETS:	4-7
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
